,,,,,CD_6p_Dollar,CD_6p_Dollar,CD_6p_Cents,CD_6p_Cents,CD_6p_def_Dollar,CD_6p_def_Dollar,CD_6p_def_Cents,CD_6p_def_Cents,CD_3p_Dollar,CD_3p_Dollar,CD_3p_Cents,CD_3p_Cents
,,,,,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count
delegate name,First Name,Last Name,delegate_state,sign,,,,,,,,,,,,
Lewis Morris,Lewis,Morris,SC,yes,0.0,0,0.0,0,2500.0,1,0.0,0,0.0,0,0.0,0
James Morris,James,Morris,PA,yes,4954.0,1,57.0,1,2477.0,1,29.0,1,0.0,0,0.0,0
Lewis Morris,Lewis,Morris,NY,yes,0.0,0,0.0,0,2500.0,1,0.0,0,0.0,0,0.0,0
William Morris,William,Morris,MD,yes,1212.0,8,232.0,4,600.0,8,712.0,8,740.0,8,0.0,0
Robert Morris,Robert,Morris,Constitution,yes,35845.0,26,1075.0,26,15420.0,25,1375.0,25,400.0,4,139.0,4
Joseph Mosely,Joseph,Mosely,CT,yes,262.0,1,35.0,1,131.0,1,17.0,1,87.0,1,38.0,1
Isaac Motte,Isaac,Motte,SC,yes,53.0,1,74.0,1,26.0,1,87.0,1,32.0,1,24.0,1
Roger Newberry,Roger,Newberry,CT,yes,71.0,1,23.0,1,0.0,0,0.0,0,18.0,1,46.0,1
William Noyes,William,Noyes,CT,yes,25340.0,8,296.0,8,12668.0,8,352.0,8,7500.0,8,728.0,8
John Overton,John,Overton,NC,yes,3602.0,2,2.0,2,1800.0,2,102.0,2,1117.0,2,60.0,2
John Palmer,John,Palmer,SC,yes,0.0,0,0.0,0,0.0,0,0.0,0,89.0,1,64.0,1
Joseph Palmer,Joseph,Palmer,MA,yes,441.0,1,79.0,1,220.0,1,90.0,1,441.0,1,90.0,1
John Parker,John,Parker,SC,yes,1602.0,5,134.0,5,799.0,5,271.0,5,7947.0,11,685.0,11
George Parker,George,Parker,VA,yes,33.0,1,33.0,1,16.0,1,67.0,1,31.0,1,67.0,1
Isaac Parker,Isaac,Parker,SC,yes,685.0,1,77.0,1,342.0,1,88.0,1,810.0,1,0.0,0
William Paterson,William,Paterson,Constitution,yes,8900.0,4,160.0,4,2016.0,4,213.0,5,4518.0,5,106.0,5
Robert Patton,Robert,Patton,SC,no,21990.0,6,292.0,6,10992.0,6,448.0,6,2473.0,2,33.0,2
William Peachy,William,Peachy,VA,yes,430.0,4,276.0,4,214.0,4,240.0,4,0.0,0,0.0,0
Clarke Peleg,Clarke,Peleg,RI,yes,633.0,1,34.0,1,316.0,1,66.0,1,379.0,1,0.0,0
Isaac Perkins,Isaac,Perkins,MD,yes,158.0,1,20.0,1,79.0,1,9.0,1,111.0,1,11.0,1
Charles Phelps,Charles,Phelps,CT,yes,829.0,1,33.0,1,414.0,1,67.0,1,743.0,1,5.0,1
John Phelps,John,Phelps,CT,yes,1200.0,1,0.0,0,600.0,1,0.0,0,324.0,1,0.0,0
Thomas Pierce,Thomas,Pierce,VA,did not vote,400.0,4,128.0,4,2858.0,4,68.0,4,1888.0,4,266.0,4
William Porter,William,Porter,NC,yes,15990.0,10,542.0,10,7992.0,10,577.0,10,21.0,1,15.0,1
Richard Potts,Richard,Potts,MD,yes,8402.0,2,28.0,2,3828.0,2,155.0,2,11593.0,3,133.0,3
Levin Powell,Levin,Powell,VA,yes,158.0,1,10.0,1,79.0,1,6.0,1,84.0,1,11.0,1
John Pratt,John,Pratt,MA,no,1843.0,1,71.0,1,921.0,1,85.0,1,0.0,0,0.0,0
Moses Rawlings,Moses,Rawlings,MD,yes,8256.0,12,72.0,12,4128.0,12,30.0,12,4272.0,12,788.0,12
Thomas Read,Thomas,Read,VA,no,0.0,0,0.0,0,0.0,0,0.0,0,554.0,1,33.0,1
William Read,William,Read,SC,yes,5954.0,4,54.0,4,2976.0,4,130.0,4,7696.0,4,108.0,4
George Read,George,Read,Constitution,yes,767.0,1,88.0,1,0.0,0,0.0,0,0.0,0,0.0,0
John Richards,John,Richards,PA,yes,0.0,0,0.0,0,0.0,0,0.0,0,67.0,1,4.0,1
William Richardson,William,Richardson,MD,yes,1052.0,8,120.0,8,524.0,8,260.0,8,1028.0,8,328.0,8
Samuel  Richardson,Samuel ,Richardson,VA,no,1363.0,1,33.0,1,681.0,1,67.0,1,368.0,1,10.0,1
Jeremiah Ripley,Jeremiah,Ripley,CT,yes,320.0,1,37.0,1,160.0,1,18.0,1,404.0,1,45.0,1
William Robinson,William,Robinson,NC,no,183.0,1,49.0,1,91.0,1,74.0,1,190.0,1,40.0,1
William Robison,William,Robison,SC,yes,183.0,1,49.0,1,91.0,1,74.0,1,190.0,1,40.0,1
Daniel Rodgers,Daniel,Rodgers,MA,yes,0.0,0,0.0,0,204.0,1,67.0,1,0.0,0,0.0,0
Isaac Roosevelt,Isaac,Roosevelt,NY,yes,0.0,0,0.0,0,0.0,0,0.0,0,10465.0,2,111.0,2
Jesse Root,Jesse,Root,CT,yes,2556.0,48,1800.0,36,1260.0,48,2712.0,48,2208.0,48,2384.0,48
Thomas Russel,Thomas,Russel,MA,yes,2733.0,2,24.0,1,1366.0,2,61.0,1,2010.0,1,0.0,0
Nathaniel Russell,Nathaniel,Russell,SC,yes,98493.0,45,7023.9033,45,49233.0,45,4901.9533,45,72942.0,45,5527.67,45
Robert Rutherford,Robert,Rutherford,SC,no,72.0,1,15.0,1,36.0,1,8.0,1,50.0,1,51.0,1
Potter Samuel J,Potter,Samuel J,RI,no,20.0,1,60.0,1,10.0,1,29.0,1,0.0,0,0.0,0
Enoch Sawyer,Enoch,Sawyer,NC,yes,832.0,1,35.0,1,416.0,1,18.0,1,475.0,1,33.0,1
John Schenck,John,Schenck,NY,yes,0.0,0,0.0,0,0.0,0,0.0,0,8.0,1,10.0,1
John Scott,John,Scott,NC,no,237.0,1,70.0,1,118.0,1,85.0,1,0.0,0,0.0,0
William Scott,William,Scott,SC,yes,492.0,4,114.0,4,244.0,4,258.0,4,60.0,4,120.0,4
Benjamin Sheldon,Benjamin,Sheldon,MA,yes,31.0,1,16.0,1,15.0,1,58.0,1,0.0,0,0.0,0
Solomon Shepherd,Solomon,Shepherd,VA,yes,678.0,1,16.0,1,339.0,1,9.0,1,366.0,1,20.0,1
Roger Sherman,Roger,Sherman,CT,yes,24180.0,60,3180.0,48,7605.0,60,2730.0,60,6020.0,60,1880.0,40
Roger Sherman,Roger,Sherman,Constitution,yes,24180.0,60,3180.0,48,7605.0,60,2730.0,60,6020.0,60,1880.0,40
Charles Simms,Charles,Simms,VA,yes,108.0,1,37.0,1,54.0,1,19.0,1,111.0,1,7.0,1
Thomas Smith,Thomas,Smith,MA,no,10508.0,1,90.0,1,0.0,0,0.0,0,2665.0,3,211.0,3
Thomas Smith,Thomas,Smith,VA,yes,10508.0,1,90.0,1,0.0,0,0.0,0,2665.0,3,211.0,3
William Smith,William,Smith,SC,yes,23616.0,11,313.0,11,12639.0,14,475.0,14,650.0,2,48.0,2
Simeon Smith,Simeon,Smith,CT,yes,1894.0,1,98.0,1,947.0,1,49.0,1,1715.0,1,86.0,1
Samuel Smith,Samuel,Smith,SC,yes,46492.0,291,19184.0,291,30912.0,288,16032.0,288,53487.0,289,18621.0,289
Daniel Smith,Daniel,Smith,NC,yes,636.0,1,11.0,1,318.0,1,6.0,1,293.0,1,36.0,1
Stephen Smith,Stephen,Smith,SC,yes,471.0,1,54.0,1,235.0,1,77.0,1,180.0,1,0.0,0
David Smith,David,Smith,CT,yes,0.0,0,0.0,0,49.0,1,14.0,1,0.0,0,0.0,0
Samuel Smith,Samuel,Smith,NC,yes,46492.0,291,19184.0,291,30912.0,288,16032.0,288,53487.0,289,18621.0,289
Josiah Smith,Josiah,Smith,SC,yes,13248.0,10,534.0,10,6624.0,10,194.0,10,4535.0,10,288.0,6
Jonathan Smith,Jonathan,Smith,MA,no,3714.0,2,97.0,1,2800.0,2,0.0,0,0.0,0,0.0,0
Benjamin Smith,Benjamin,Smith,SC,yes,88.0,1,33.0,1,44.0,1,17.0,1,826.0,3,111.0,3
John Smith,John,Smith,NY,yes,2552.0,11,696.0,11,1273.0,11,641.0,11,1337.0,10,10.0,1
Josiah Smith,Josiah,Smith,MA,yes,13248.0,10,534.0,10,6624.0,10,194.0,10,4535.0,10,288.0,6
Jonathan Smith,Jonathan,Smith,NH,did not vote,3714.0,2,97.0,1,2800.0,2,0.0,0,0.0,0,0.0,0
Peter Smith,Peter,Smith,SC,yes,1064.0,8,264.0,8,528.0,8,528.0,8,1004.0,8,572.0,8
Richard Smith,Richard,Smith,DE,yes,1375.0,3,177.0,3,440.0,3,194.0,3,15228.0,8,275.0,8
Jonathan Smith,Jonathan,Smith,NH,no,3714.0,2,97.0,1,2800.0,2,0.0,0,0.0,0,0.0,0
Benjamin Smith,Benjamin,Smith,NC,yes,88.0,1,33.0,1,44.0,1,17.0,1,826.0,3,111.0,3
John K. Smith,John K.,Smith,MA,yes,2552.0,11,696.0,11,1273.0,11,641.0,11,1337.0,10,10.0,1
Calvin Spencer,Calvin,Spencer,SC,yes,100.0,1,0.0,0,50.0,1,0.0,0,95.0,1,80.0,1
John Steele,John,Steele,VA,no,2474.0,4,216.0,4,1236.0,4,210.0,4,2548.0,4,240.0,4
John Steele,John,Steele,NC,yes,2474.0,4,216.0,4,1236.0,4,210.0,4,2548.0,4,240.0,4
John Stevens,John,Stevens,MD,yes,0.0,0,0.0,0,0.0,0,0.0,0,21346.0,11,636.0,11
John Stevens,John,Stevens,NJ,yes,0.0,0,0.0,0,0.0,0,0.0,0,21346.0,11,636.0,11
John Stewart,John,Stewart,MD,yes,6.0,1,42.0,1,3.0,1,22.0,1,275.0,2,38.0,2
James Stewart,James,Stewart,SC,yes,89.0,1,44.0,1,44.0,1,72.0,1,57.0,1,35.0,1
Thomas Stewart,Thomas,Stewart,NC,yes,1144.0,4,306.0,4,572.0,4,156.0,4,0.0,0,0.0,0
John Stewart,John,Stewart,NC,yes,6.0,1,42.0,1,3.0,1,22.0,1,275.0,2,38.0,2
Samuel W. Stockton,Samuel W.,Stockton,NJ,did not vote,0.0,0,0.0,0,0.0,0,0.0,0,3801.0,3,112.0,3
French Strother,French,Strother,VA,no,127.0,1,66.0,1,63.0,1,84.0,1,0.0,0,0.0,0
David Stuart,David,Stuart,VA,yes,1278.0,3,77.0,3,438.0,1,2.0,1,1404.0,3,129.0,3
Jonathan Sturges,Jonathan,Sturges,CT,yes,388.0,1,33.0,1,194.0,1,16.0,1,568.0,3,198.0,3
John Sullivan,John,Sullivan,NH,yes,0.0,0,0.0,0,0.0,0,0.0,0,65.0,1,94.0,1
James Taylor,James,Taylor,VA,yes,474.0,2,44.0,2,236.0,2,122.0,2,188.0,2,6.0,2
Thomas Taylor,Thomas,Taylor,SC,no,876.0,4,140.0,4,436.0,4,270.0,4,1488.0,4,32.0,4
John Taylor,John,Taylor,MA,no,14729.0,14,587.0,14,7361.0,14,646.0,14,8461.0,15,878.0,15
Benjamin Temple,Benjamin,Temple,VA,no,6572.0,4,340.0,4,3286.0,4,174.0,4,6176.0,4,60.0,4
Anthony Ten Eyck,Anthony,Ten Eyck,NY,did not vote,0.0,0,0.0,0,0.0,0,0.0,0,435.0,1,70.0,1
Allen Thomas,Allen,Thomas,RI,yes,357.0,1,38.0,1,178.0,1,69.0,1,291.0,1,4.0,1
Richard Thomas,Richard,Thomas,MD,yes,1538.0,1,62.0,1,769.0,1,31.0,1,1108.0,1,63.0,1
James Thomas,James,Thomas,RI,no,0.0,0,0.0,0,0.0,0,0.0,0,440.0,1,85.0,1
John Thomas,John,Thomas,SC,yes,2169.0,19,662.0,19,1081.0,19,677.0,19,2611.0,19,966.0,19
John Thompson,John,Thompson,NC,yes,647.0,6,239.0,6,323.0,6,191.0,6,1339.0,5,174.0,5
James Thompson,James,Thompson,NC,no,1183.0,1,71.0,1,0.0,0,0.0,0,0.0,0,0.0,0
William Thornton,William,Thornton,VA,yes,816.0,1,1.0,1,408.0,1,0.0,0,494.0,1,62.0,1
Christopher Toppan,Christopher,Toppan,NH,yes,4164.0,2,69.0,2,2082.0,2,35.0,2,1910.0,2,76.0,2
"John Tyler, Sr.",John,"Tyler, Sr.",VA,no,469.0,1,13.0,1,234.0,1,56.0,1,364.0,1,3.0,1
Isaac Vanmeter,Isaac,Vanmeter,VA,yes,2952.0,4,230.0,4,0.0,0,0.0,0,1706.0,4,176.0,4
Jeremiah Wadsworth,Jeremiah,Wadsworth,CT,yes,64956.0,60,3996.0,60,17505.0,60,3780.0,60,23960.0,60,2680.0,60
John Wallace,John,Wallace,NC,yes,0.0,0,0.0,0,0.0,0,0.0,0,180.0,1,0.0,1
Ichabod Warner,Ichabod,Warner,CT,yes,1446.0,1,9.0,1,723.0,1,4.0,1,1377.0,1,99.0,1
William Washington,William,Washington,SC,yes,5178.0,1,54.0,1,2589.0,1,27.0,1,3276.0,1,31.0,1
George Washington,George,Washington,Constitution,yes,226.0,1,39.0,1,113.0,1,19.0,1,0.0,0,0.0,0
John Watson,John,Watson,CT,yes,416.0,1,28.0,1,208.0,1,14.0,1,436.0,1,88.0,1
James Watson,James,Watson,NC,yes,0.0,0,0.0,0,0.0,0,0.0,0,8302.0,5,161.0,5
Edmund Wetherby ,Edmund,Wetherby ,NJ,yes,0.0,0,0.0,0,0.0,0,0.0,0,49.0,1,14.0,1
William White,William,White,VA,no,3103.0,7,264.0,5,1765.0,7,375.0,7,1818.0,6,534.0,6
Joseph Moss White,Joseph Moss,White,CT,yes,61.0,1,57.0,1,30.0,1,79.0,1,27.0,1,88.0,1
Robert Whitehill,Robert,Whitehill,PA,no,2388.0,1,52.0,1,0.0,0,0.0,0,0.0,0,0.0,0
Daniel Whitney,Daniel,Whitney,MA,yes,1320.0,4,286.0,4,660.0,4,140.0,4,1440.0,4,52.0,4
Joseph Wilkinson,Joseph,Wilkinson,MD,yes,26.0,1,67.0,1,13.0,1,33.0,1,218.0,1,40.0,1
Barton William,Barton,William,RI,yes,2677.0,1,44.0,1,1338.0,1,72.0,1,834.0,4,267.0,4
King William,King,William,RI,no,266.0,1,87.0,1,133.0,1,43.0,1,189.0,1,26.0,1
Thomas Williams,Thomas,Williams,NC,no,620.0,2,29.0,2,310.0,2,14.0,2,550.0,2,101.0,2
William Williams,William,Williams,NC,yes,9526.0,9,135.0,9,4763.0,9,65.0,9,6296.0,8,520.0,8
William Williams,William,Williams,CT,yes,9526.0,9,135.0,9,4763.0,9,65.0,9,6296.0,8,520.0,8
James Williams,James,Williams,MA,no,1045685.0,379,12146.0,271,598850.0,379,5366.0,295,359873.0,379,21244.0,379
John Williams,John,Williams,NY,no,7472.0,19,695.0,19,2560.0,19,197.0,19,3794.0,20,913.0,14
John Williams,John,Williams,VA,yes,7472.0,19,695.0,19,2560.0,19,197.0,19,3794.0,20,913.0,14
Edward Williams,Edward,Williams,NC,yes,847.0,1,44.0,1,423.0,1,72.0,1,457.0,1,60.0,1
Thomas P. Williams,Thomas P.,Williams,NC,yes,620.0,2,29.0,2,310.0,2,14.0,2,550.0,2,101.0,2
Hugh Williamson,Hugh,Williamson,NC,yes,149.0,1,98.0,1,75.0,1,0.0,0,0.0,0,0.0,0
Hugh Williamson,Hugh,Williamson,Constitution,yes,149.0,1,98.0,1,75.0,1,0.0,0,0.0,0,0.0,0
William Wilson,William,Wilson,SC,yes,682.0,2,105.0,2,341.0,2,53.0,2,484.0,2,52.0,2
John Wilson,John,Wilson,VA,no,978.0,3,89.0,3,489.0,3,45.0,3,776.0,3,156.0,3
John Wilson,John,Wilson,VA,yes,978.0,3,89.0,3,489.0,3,45.0,3,776.0,3,156.0,3
James Wilson,James,Wilson,Constitution,yes,497.0,1,43.0,1,248.0,1,72.0,1,36.0,1,90.0,1
James Wilson,James,Wilson,NC,yes,497.0,1,43.0,1,248.0,1,72.0,1,36.0,1,90.0,1
James Wilson,James,Wilson,PA,yes,497.0,1,43.0,1,248.0,1,72.0,1,36.0,1,90.0,1
Robert Wilson,Robert,Wilson,MA,no,0.0,0,0.0,0,0.0,0,0.0,0,24.0,2,62.0,2
William Wilson,William,Wilson,PA,yes,682.0,2,105.0,2,341.0,2,53.0,2,484.0,2,52.0,2
John Wood,John,Wood,NY,no,428.0,1,69.0,1,214.0,1,35.0,1,115.0,1,73.0,1
Joseph Woodbridge,Joseph,Woodbridge,CT,yes,486.0,4,226.0,4,242.0,4,214.0,4,620.0,4,220.0,4
Jesse Woodhull,Jesse,Woodhull,NY,yes,0.0,0,0.0,0,0.0,0,0.0,0,3852.0,2,70.0,2
Jasper Yeates,Jasper,Yeates,PA,yes,12836.0,4,268.0,4,6418.0,4,136.0,4,0.0,0,0.0,0
Samuel Young,Samuel,Young,NH,yes,4.0,1,27.0,1,2.0,1,13.0,1,39.0,1,0.0,0
