,,,,,Loan Office Certificates Face Value,Loan Office Certificates Face Value,Loan Office Certificates Specie Value,Loan Office Certificates Specie Value
,,,,,sum,count,sum,count
Frederick A. Muhlenberg,Frederick A.,Muhlenberg,PA,yes,7300,6,182.5,6
Gabriel Jones,Gabriel,Jones,VA,yes,5700,5,563.1582699999999,5
George Carrington,George,Carrington,VA,no,1200,2,119.23333,2
George Clinton,George,Clinton,NY,did not vote,53600,118,20666.301870000036,118
George Clymer,George,Clymer,Constitution,yes,1400,2,168.75558,2
George Digges,George,Digges,MD,yes,200,1,6.808333,1
George H. Berger,George H.,Berger,NC,no,5500,5,279.6737,5
George Mitchell,George,Mitchell,NC,yes,4900,3,385.0903,3
George Read,George,Read,Constitution,yes,2800,2,267.29997000000003,2
George Truitt,George,Truitt,DE,yes,500,2,47.04861,2
George Washington,George,Washington,Constitution,yes,82000,21,4746.21646,21
Gideon Buckingham,Gideon,Buckingham,CT,yes,300,1,123.4917,1
Gilbert Livingston,Gilbert,Livingston,NY,yes,15000,10,1255.8334599999998,10
Gunning Bedford Jr.,Gunning,Bedford Jr.,Constitution,yes,9300,24,401.83887,24
"Gunning Bedford, Jr.",Gunning,"Bedford, Jr.",DE,yes,9300,24,401.83887,24
"Gunning Bedford, Sr.",Gunning,"Bedford, Sr.",DE,yes,9300,24,401.83887,24
Gustavus Richard Brown,Gustavus Richard,Brown,MD,yes,3200,5,207.12221999999997,5
Henry Baker,Henry,Baker,NC,yes,600,1,50.00833,1
Henry Hill,Henry,Hill,NC,no,1800,4,161.30138,4
Henry Hollingsworth,Henry,Hollingsworth,MD,yes,2800,4,212.72222,4
Henry Laurens,Henry,Laurens,SC,yes,500,1,29.41667,1
Henry Lee,Henry,Lee,VA,no,13900,27,413.55278,27
Henry Lee III,Henry,Lee III,VA,yes,13900,27,413.55278,27
Henry Slagle,Henry,Slagle,PA,yes,800,4,50.51388,4
Henry Wisner,Henry,Wisner,NY,no,500,1,12.5,1
Henry Wynkoop,Henry,Wynkoop,PA,yes,3600,5,1673.08333,5
Hezekiah Brainard,Hezekiah,Brainard,CT,yes,400,1,30.97778,1
Howard Jonathan J,Howard,Jonathan J,RI,no,1100,2,88.79444,2
Hugh White,Hugh,White,SC,no,3300,6,267.00834,6
Ichabod Warner,Ichabod,Warner,CT,yes,8300,27,2058.1277959999998,27
Isaac Clarke,Isaac,Clarke,NC,no,2100,5,651.7445100000001,5
Isaac Cooper,Isaac,Cooper,DE,yes,1700,3,182.49027,3
Isaac Foot,Isaac,Foot,CT,yes,600,1,351.4417,1
Isaac Lee,Isaac,Lee,CT,yes,400,2,88.36111000000001,2
Isaac Perkins,Isaac,Perkins,MD,yes,2600,9,238.29999999999995,9
Isaac Roosevelt,Isaac,Roosevelt,NY,yes,12000,12,9711.73612,12
Isaac Thompson,Isaac,Thompson,MA,yes,500,1,40.88194,1
Israel Clark,Israel,Clark,MA,yes,300,1,26.48333,1
Jabez Fitch,Jabez,Fitch,CT,yes,300,1,27.695829999999997,1
Jacob Broom,Jacob,Broom,Constitution,yes,300,1,23.60833,1
Jacob Green,Jacob,Green,NH,no,1200,2,32.233340000000005,2
