,,,,,Loan Office Certificates Face Value,Loan Office Certificates Face Value,Loan Office Certificates Specie Value,Loan Office Certificates Specie Value
,,,,,sum,count,sum,count
Samuel Simpson,Samuel,Simpson,NC,yes,2600,5,123.83333,5
Samuel Smith,Samuel,Smith,SC,yes,24800,56,6971.288243000003,56
Samuel Taylor,Samuel,Taylor,SC,yes,200,1,5.0,1
Samuel W. Stockton,Samuel W.,Stockton,NJ,did not vote,3200,7,221.3556,7
Samuel Watson,Samuel,Watson,SC,no,22600,34,7393.333200000004,34
Samuel West,Samuel,West,MA,yes,300,1,26.7375,1
Samuel Whiting,Samuel,Whiting,CT,no,500,1,40.88194,1
Samuel Young,Samuel,Young,NH,yes,400,1,29.905559999999998,1
Sebastian Graff,Sebastian,Graff,PA,yes,1000,4,58.741659999999996,4
Simeon Smith,Simeon,Smith,CT,yes,9600,16,6498.14438,16
Simon Cotton,Simon,Cotton,CT,no,400,2,141.41107,2
Stephen Dole,Stephen,Dole,NH,no,500,1,52.58889,1
Stephen Mix Mitchell,Stephen Mix,Mitchell,CT,yes,300,1,25.9,1
Stephen Smith,Stephen,Smith,SC,yes,2200,4,926.8028099999999,4
Stone Peter,Stone,Peter,RI,no,7400,4,277.18611,4
Thaddeus Burr,Thaddeus,Burr,CT,yes,5100,10,1472.6555099999998,10
Thomas  Collins,Thomas ,Collins,DE,yes,1000,1,92.02778,1
Thomas Allen,Thomas,Allen,VA,no,6000,8,839.119604,8
Thomas Anderson,Thomas,Anderson,NJ,yes,1100,3,89.52222,3
Thomas Brown,Thomas,Brown,NC,no,74500,27,2840.8652300000003,27
Thomas Campbell,Thomas,Campbell,PA,yes,500,1,40.23611,1
Thomas Chase,Thomas,Chase,NH,no,30500,94,13033.862099999986,94
Thomas Cooper,Thomas,Cooper,VA,no,200,1,17.6,1
Thomas Cramphin,Thomas,Cramphin,MD,yes,500,1,48.88889,1
Thomas Davis,Thomas,Davis,MA,yes,28100,42,13570.353080000006,42
Thomas Dawes,Thomas,Dawes,MA,yes,4900,7,4013.8332,7
Thomas Durfee,Thomas,Durfee,MA,yes,1200,3,77.42499,3
Thomas Fuller,Thomas,Fuller,SC,yes,1000,2,60.55556,2
Thomas Gaskins,Thomas,Gaskins,VA,yes,2000,4,107.86110099999999,4
Thomas Goodman,Thomas,Goodman,CT,no,3400,2,183.64726,2
Thomas H. Perkins,Thomas H.,Perkins,NC,no,200,1,23.75556,1
Thomas Johnson,Thomas,Johnson,MD,yes,4900,9,316.45971000000003,9
Thomas Johnston,Thomas,Johnston,NC,yes,4900,9,316.45971000000003,9
Thomas Jones,Thomas,Jones,MA,yes,47500,99,8165.1321,99
Thomas Lewis,Thomas,Lewis,VA,yes,16400,28,1317.2513099999996,28
Thomas Mifflin,Thomas,Mifflin,Constitution,yes,13800,46,13800.0,46
Thomas Mighill,Thomas,Mighill,MA,no,600,2,159.26948,2
Thomas Owen,Thomas,Owen,NC,yes,3400,8,204.61388000000002,8
Thomas P. Williams,Thomas P.,Williams,NC,yes,6000,10,1032.9180199999998,10
Thomas Penniman,Thomas,Penniman,NH,no,300,1,25.4875,1
Thomas Pierce,Thomas,Pierce,VA,did not vote,10000,3,456.38889,3
Thomas Read,Thomas,Read,VA,no,18600,21,2938.7250000000004,21
Thomas Russel,Thomas,Russel,MA,yes,40800,76,16124.281820000007,76
Thomas Scott,Thomas,Scott,PA,yes,6500,15,266.71112,15
Thomas Smith,Thomas,Smith,VA,yes,15200,21,1470.96668,21
Thomas Stewart,Thomas,Stewart,NC,yes,31400,20,898.1041899999999,20
Thomas Taylor,Thomas,Taylor,SC,no,1600,3,86.77778,3
Thomas Walke,Thomas,Walke,VA,yes,1800,4,206.26111,4
Thomas Walter,Thomas,Walter,SC,no,800,2,93.11112,2
Thomas Williams,Thomas,Williams,NC,no,10300,19,1754.29305,19
Timothy Parker,Timothy,Parker,MA,no,300,1,300.0,1
Timothy Pickering,Timothy,Pickering,PA,yes,500,1,12.5,1
Timothy Winn,Timothy,Winn,MA,no,2000,4,69.24168,4
Tristam Dalton,Tristam,Dalton,MA,yes,900,2,900.0,2
Walter Smith,Walter,Smith,MD,yes,200,1,16.616670000000003,1
Wheeler Coit,Wheeler,Coit,CT,yes,8600,21,7739.472299999999,21
William Abbott,William,Abbott,NH,yes,500,2,317.71111,2
William Bailey ,William,Bailey ,NC,yes,9700,13,1024.4861399999998,13
William Brown,William,Brown,PA,no,11000,27,1014.2611200000001,27
William Butler,William,Butler,SC,no,1100,2,94.05,2
William C. Houston,William C.,Houston,Constitution,no,1800,4,724.5,4
William Clayton,William,Clayton,VA,yes,1000,2,108.43055,2
William Crawford ,William,Crawford ,NJ,yes,1700,4,123.31110000000001,4
William Cushing,William,Cushing,MA,yes,600,1,57.375,1
"William Deakins, Jun.",William,"Deakins, Jun.",MD,yes,11300,15,932.93331,15
William Gray Jun.,William,Gray Jun.,MA,yes,2400,6,409.72912999999994,6
William Hall,William,Hall,DE,yes,9400,18,7589.627780000001,18
William Harper,William,Harper,NY,no,2500,10,89.07222000000002,10
William Hart,William,Hart,CT,yes,21800,38,10977.6363,38
William Harwood,William,Harwood,MD,did not vote,1300,2,131.31807,2
William Heath,William,Heath,MA,yes,1400,2,126.27222,2
William Hill,William,Hill,SC,no,5000,3,548.7861,3
William Houston,William,Houston,NC,yes,1800,4,724.5,4
William Hunt,William,Hunt,NH,no,1300,2,1300.0,2
William Johnson,William,Johnson,SC,yes,17100,25,1261.60006,25
William Johnston,William,Johnston,NC,yes,17100,25,1261.60006,25
William Johnston Dawson,William,Johnston Dawson,NC,yes,1800,3,167.64166,3
William Jones,William,Jones,MA,no,43100,78,3100.4164000000023,78
William Kennedy,William,Kennedy,SC,no,1200,3,90.66111099999999,3
William L. Pierce,William L.,Pierce,Constitution,no,2000,4,50.0,4
William Livingston,William,Livingston,Constitution,yes,900,2,75.725,2
William Martin,William,Martin,NC,no,600,1,59.23333,1
William Mason,William,Mason,VA,yes,1100,2,118.34165999999999,2
William McKee,William,McKee,VA,yes,2300,3,180.99721,3
William Meyer,William,Meyer,SC,no,20000,13,2079.63866,13
William Moore,William,Moore,DE,yes,32600,90,24908.04859999999,90
William Morris,William,Morris,MD,yes,1200,4,86.24028,4
William N. Hill,William N.,Hill,NC,yes,5000,3,548.7861,3
William Noyes,William,Noyes,CT,yes,40300,55,9636.710949999999,55
William Paca,William,Paca,MD,yes,49700,11,4567.45833,11
William Page,William,Page,NH,no,200,1,17.26667,1
William Paterson,William,Paterson,Constitution,yes,10100,18,1153.7708,18
William Peachy,William,Peachy,VA,yes,6200,7,712.73337,7
William Phillips,William,Phillips,MA,yes,97700,170,44598.93883000001,170
William Porter,William,Porter,NC,yes,300,1,22.14583,1
William Read,William,Read,SC,yes,300,1,241.6167,1
William Reed,William,Reed,SC,no,1100,3,161.61944,3
William Richardson,William,Richardson,MD,yes,3000,5,237.63332000000003,5
William Richardson Davie,William Richardson,Davie,NC,yes,3000,5,237.63332000000003,5
William Robinson,William,Robinson,NC,no,18400,16,641.8333299999999,16
William Robison,William,Robison,SC,yes,18400,16,641.8333299999999,16
William S. Marnes,William S.,Marnes,NC,yes,500,1,500.0,1
William Samuel Johnson,William Samuel,Johnson,Constitution,yes,14300,18,1002.4167800000001,18
William Scott,William,Scott,SC,yes,81200,73,7990.134929999995,73
William Shaw,William,Shaw,MA,yes,3000,7,311.36388999999997,7
William Simpson,William,Simpson,NH,yes,3400,8,274.56804,8
William Smith,William,Smith,SC,yes,212200,381,29479.097219999985,381
William Sommersall,William,Sommersall,SC,yes,18000,18,450.0,18
William Stevens,William,Stevens,GA,yes,6000,13,4495.42227,13
William Thompson,William,Thompson,MA,no,39800,71,5750.044527000006,71
William White,William,White,VA,no,11400,18,1197.5845,18
William Williams,William,Williams,CT,yes,15600,28,3957.088890000001,28
William Wilson,William,Wilson,PA,yes,2800,9,272.00277000000006,9
William Woodhull,William,Woodhull,NJ,yes,1000,2,51.06944,2
Williams John,Williams,John,RI,no,107800,176,9740.07501999999,176
