,,,Value,Value
,,,sum,count
John Anderson,NC,yes,4637.4800000000005,32
John Ashley,MA,yes,257.56,3
John Baker,NC,yes,2436.23,38
John Barclay,PA,yes,1912.83,6
John Baxter,MA,yes,151.7,3
John Beach,CT,yes,252.3,3
John Beatty,NJ,yes,305.79999999999995,5
John Bishop,PA,no,2367.31,20
John Black,PA,yes,225.53000000000003,4
John Blair,Constitution,yes,3093.8500000000004,18
John Blake,SC,yes,687.3399999999999,16
John Bowman,SC,no,404.75,4
John Boyd,PA,yes,2121.0299999999997,12
John Brooks,MA,yes,7338.64,12
John Brown,NC,no,6729.770000000002,110
John Burgess,SC,no,271.08,5
John Burnham,MA,yes,3422.34,6
John Carson,NC,yes,846.1899999999999,9
John Chester,CT,yes,126.6,2
John Cochran,NH,no,4601.250000000001,13
John Collins,SC,yes,1902.9899999999996,31
John Cook,SC,no,1289.36,21
John Coulter,MD,yes,33.3,1
John Curtiss,CT,yes,935.1099999999999,13
John Davis,MA,yes,11313.860000000002,61
John Dawson,VA,no,254.51999999999998,5
John DeWitt,NY,yes,85.66,1
John Drew,NC,yes,2514.5,4
John Dunlap,MA,yes,72.6,2
John Early,VA,no,33.3,1
John Easton,NC,yes,236.01999999999998,5
John Edwards,SC,yes,1445.12,21
John Elliot,GA,yes,402.56,4
John Evans,VA,no,1253.1200000000001,17
John F. Mercer,Constitution,no,80.0,1
John Fowler,VA,no,309.9,5
John Fulford,NC,yes,398.89000000000004,8
John Fuller,MA,no,4335.91,22
John Gale,MD,yes,3988.52,6
John Glover,MA,yes,59.1,2
John Graves,NC,no,315.85,5
John Hall,NC,yes,1273.28,21
John Hamilton,MA,no,5137.300000000001,23
John Hampton,SC,no,428.59,5
John Hancock,MA,yes,615.49,12
John Harris,PA,no,4167.45,41
John Hunt,NC,yes,73.87,1
John Hunter,SC,yes,314.65000000000003,5
John Ingersoll,MA,yes,87.89999999999999,3
John Jennings,MA,no,246.96,5
John Johnston,NC,yes,2522.69,39
John Jones,DE,yes,7587.03,68
John Joyner,SC,yes,19.1,1
John K. Smith,MA,yes,21242.689999999988,198
John King,GA,yes,1361.42,22
John Lansing Jr.,Constitution,no,53.3,1
John Linton,SC,no,2409.06,4
John Lloyd,SC,yes,407.65000000000003,7
John Love,MD,no,326.6,5
John Low,MA,yes,33.78,1
John Lowry,SC,no,160.0,2
John Marshall,VA,yes,3401.14,13
John Matthews,SC,yes,178.65,4
