,delegate name,First Name,Last Name,delegate_state,sign,Dollars_sum,Dollars_count,90th_sum,90th_count,Total_assets,sign_coded
64,David Rice,David,Rice,NC,yes,200,1,16.991670000000003,1,200.18879633333333,1.0
65,David Smith,David,Smith,CT,yes,400,1,10.0,1,400.1111111111111,1.0
66,David Stuart,David,Stuart,VA,yes,5500,11,501.26386999999994,11,5505.569598555556,1.0
67,David Todd,David,Todd,CT,no,3500,8,231.59999,8,3502.573333222222,0.0
68,David Wilson,David,Wilson,NC,yes,300,1,28.22917,1,300.31365744444446,1.0
69,Davis John,Davis,John,RI,yes,134200,194,5696.338807999995,194,134263.29265342222,1.0
70,Dexter John S,Dexter,John S,RI,yes,2100,4,164.43193,4,2101.8270214444447,1.0
71,Dirck Wynkoop,Dirck,Wynkoop,NY,no,1200,2,923.5583,2,1210.2617588888888,0.0
72,Ebenezer Nash,Ebenezer,Nash,CT,no,400,2,67.25,2,400.7472222222222,0.0
73,Ebenezer Smith,Ebenezer,Smith,NH,did not vote,8400,9,643.57772,9,8407.150863555555,0.0
74,Ebenezer Wales,Ebenezer,Wales,MA,yes,200,1,41.04167,1,200.45601855555554,1.0
75,Ebenezer Warren,Ebenezer,Warren,MA,yes,300,1,167.6208,1,301.86245333333335,1.0
76,Ebenezer White,Ebenezer,White,CT,yes,2800,7,1524.636164,7,2816.940401822222,1.0
77,Edmund Wetherby ,Edmund,Wetherby ,NJ,yes,300,1,23.9125,1,300.2656944444444,1.0
78,Elbridge Gerry,Elbridge,Gerry,Constitution,no,76500,211,10445.5972,211,76616.06219111111,0.0
79,Eliphalet Dyer,Eliphalet,Dyer,CT,yes,16300,20,1425.1499700000002,20,16315.834999666667,1.0
80,Elisha Lawrence,Elisha,Lawrence,NJ,yes,200,1,11.43333,1,200.127037,1.0
81,Elisha Mills,Elisha,Mills,CT,yes,16600,35,7857.633499999996,35,16687.30703888889,1.0
82,Enoch Sawyer,Enoch,Sawyer,NC,yes,1200,2,571.66663,2,1206.3518514444445,1.0
83,Ezra Green,Ezra,Green,NH,yes,200,1,22.81111,1,200.25345677777779,1.0
84,Francis Cabot,Francis,Cabot,MA,yes,300,1,135.1042,1,301.5011577777778,1.0
85,Francis Dana,Francis,Dana,MA,yes,2300,7,2254.4445,7,2325.0493833333335,1.0
86,Frederick A. Muhlenberg,Frederick A.,Muhlenberg,PA,yes,7300,6,182.5,6,7302.027777777777,1.0
87,Gabriel Jones,Gabriel,Jones,VA,yes,5700,5,563.1582699999999,5,5706.257314111112,1.0
88,George Carrington,George,Carrington,VA,no,1200,2,119.23333,2,1201.3248147777779,0.0
89,George Clinton,George,Clinton,NY,did not vote,53600,118,20666.301870000036,118,53829.62557633333,0.0
