,delegate name,First Name,Last Name,delegate_state,sign,Dollars_sum,Dollars_count,90th_sum,90th_count,Total_assets,sign_coded
280,John Watson,John,Watson,CT,yes,300,1,25.4875,1,300.28319444444446,1.0
281,John Weeks,John,Weeks,NH,yes,300,1,31.388890000000004,1,300.34876544444444,1.0
282,John Whitehill,John,Whitehill,PA,no,200,1,17.76944,1,200.19743822222222,0.0
283,John Williams,John,Williams,VA,yes,107500,176,9937.48332999999,176,107610.41648144444,1.0
284,John Willis,John,Willis,NC,yes,1500,2,71.83333,2,1500.798148111111,1.0
285,John Wilson,John,Wilson,VA,no,10000,26,2140.7318840000003,26,10023.785909822222,0.0
286,John Winthrop,John,Winthrop,MA,yes,4400,10,4031.5334000000003,10,4444.794815555556,1.0
287,John Wood,John,Wood,NY,no,21900,27,1448.48053,27,21916.094228111113,0.0
288,Jonathan Chase,Jonathan,Chase,NH,yes,3400,5,2317.2111,5,3425.74679,1.0
289,Jonathan Cogswell,Jonathan,Cogswell,MA,yes,4400,9,205.14996999999997,9,4402.279444111111,1.0
290,Jonathan Day,Jonathan,Day,MA,no,1100,3,59.90417,3,1100.665601888889,0.0
291,Jonathan Freeman,Jonathan,Freeman,NH,yes,400,1,400.0,1,404.44444444444446,1.0
292,Jonathan Gillet,Jonathan,Gillet,CT,no,700,2,110.39583,2,701.2266203333334,0.0
293,Jonathan Hoge,Jonathan,Hoge,PA,no,2000,3,126.49723,3,2001.4055247777778,0.0
294,Jonathan Smith,Jonathan,Smith,MA,no,500,2,52.49722,2,500.5833024444444,0.0
295,Jonathan Sturges,Jonathan,Sturges,CT,yes,2200,5,639.45556,5,2207.105061777778,1.0
296,Joseph Badger,Joseph,Badger,NH,no,7200,5,1144.64438,5,7212.718270888889,0.0
297,Joseph Barker,Joseph,Barker,DE,yes,1300,3,838.97222,3,1309.3219135555555,1.0
298,Joseph Blanchard,Joseph,Blanchard,NH,yes,1600,6,50.88889,6,1600.565432111111,1.0
299,Joseph Brown,Joseph,Brown,SC,no,24800,32,1080.34166,32,24812.003796222223,0.0
300,Joseph Gilpin,Joseph,Gilpin,MD,yes,200,1,5.0,1,200.05555555555554,1.0
301,Joseph Heister,Joseph,Heister,PA,no,27800,16,2211.91366,16,27824.576818444446,0.0
302,Joseph Hosmer,Joseph,Hosmer,MA,yes,300,1,10.62917,1,300.1181018888889,1.0
303,Joseph Jackson,Joseph,Jackson,MA,yes,4900,13,2279.48337,13,4925.327593,1.0
304,Joseph Jones,Joseph,Jones,VA,no,3000,5,230.58333,5,3002.562037,0.0
305,Joseph Kimball,Joseph,Kimball,NH,yes,200,1,19.0,1,200.2111111111111,1.0
306,Joseph Mosely,Joseph,Mosely,CT,yes,700,3,285.31253,3,703.1701392222222,1.0
307,Joseph Moss White,Joseph Moss,White,CT,yes,7400,18,927.1625499999999,18,7410.301806111112,1.0
308,Joseph Powell,Joseph,Powell,PA,no,1700,3,80.99166000000001,3,1700.8999073333334,0.0
309,Joseph Richardson,Joseph,Richardson,MD,yes,3200,8,300.61109,8,3203.3401232222222,1.0
310,Joseph Wood,Joseph,Wood,MA,yes,3200,16,251.82224,16,3202.798024888889,1.0
311,Joshua Dunlap,Joshua,Dunlap,CT,yes,500,1,445.9444,1,504.9549377777778,1.0
312,Joshua Porter,Joshua,Porter,CT,yes,1000,3,1000.0,3,1011.1111111111111,1.0
313,Josiah Bartlett,Josiah,Bartlett,NH,yes,600,3,296.36661999999995,3,603.2929624444445,1.0
314,Josiah Smith,Josiah,Smith,MA,yes,7900,28,399.39441500000027,28,7904.4377157222225,1.0
315,Lemuel Sandford,Lemuel,Sandford,CT,yes,6100,15,776.9916489999999,15,6108.633240544445,1.0
316,Leonard Williams,Leonard,Williams,MA,yes,1100,2,99.93194,2,1101.1103548888889,1.0
317,Levin Powell,Levin,Powell,VA,yes,4200,3,341.19168,3,4203.791018666667,1.0
318,Lewis Morris,Lewis,Morris,NY,yes,2000,2,2000.0,2,2022.2222222222222,1.0
319,Luther Martin,Luther,Martin,Constitution,no,8700,11,760.58475,11,8708.450941666666,0.0
320,Matthew Adgate,Matthew,Adgate,NY,no,700,3,166.788922,3,701.8532102444444,0.0
321,Melancton Smith,Melancton,Smith,NY,yes,1000,1,57.90278000000001,1,1000.6433642222222,1.0
322,Meriwether Smith,Meriwether,Smith,VA,no,3500,2,265.02781,2,3502.9447534444444,0.0
323,Miles King,Miles,King,VA,yes,10000,1,595.9722,1,10006.621913333332,1.0
324,Moses Carr,Moses,Carr,NH,yes,300,1,18.27778,1,300.20308644444447,1.0
325,Moses Davis,Moses,Davis,MA,yes,700,3,400.34029999999996,3,704.4482255555556,1.0
326,Nathaniel Robbins,Nathaniel,Robbins,MA,yes,1500,4,102.34582999999999,4,1501.1371758888888,1.0
327,Nehemiah Beardsley,Nehemiah,Beardsley,CT,yes,300,1,300.0,1,303.3333333333333,1.0
328,Nicholas Gilman,Nicholas,Gilman,Constitution,yes,2000,2,968.47781,2,2010.7608645555556,1.0
329,Nicholas Lewis Sewall,Nicholas Lewis,Sewall,MD,yes,5000,8,177.875,8,5001.976388888889,1.0
330,Nicholas Lutz,Nicholas,Lutz,PA,no,500,1,12.5,1,500.1388888888889,0.0
331,Nichols William,Nichols,William,RI,no,6200,11,221.39163,11,6202.459907,0.0
332,Oliver Ellsworth,Oliver,Ellsworth,Constitution,no,300,1,28.320829999999997,1,300.31467588888887,0.0
333,Peter Lefferts,Peter,Lefferts,NY,yes,2000,4,50.0,4,2000.5555555555557,1.0
334,Peter Osgood,Peter,Osgood,MA,no,3400,7,951.0860200000002,7,3410.5676224444446,0.0
335,Peter Smith,Peter,Smith,SC,yes,5700,7,264.09306000000004,7,5702.934367333333,1.0
336,Peter Van Ness,Peter,Van Ness,NY,no,9100,10,1469.2803699999997,10,9116.325337444445,0.0
337,Peter Vrooman,Peter,Vrooman,NY,did not vote,1000,1,77.94444,1,1000.8660493333333,0.0
338,Philip Livingston,Philip,Livingston,NY,yes,400,1,400.0,1,404.44444444444446,1.0
339,Reynolds Joseph,Reynolds,Joseph,RI,no,5200,6,424.40000999999995,6,5204.715555666667,0.0
340,Richard Barnes,Richard,Barnes,MD,yes,6500,8,2960.55132,8,6532.895014666667,1.0
341,Richard Cary,Richard,Cary,VA,no,7400,21,1586.4069619999998,21,7417.626744022222,0.0
342,Richard F. Cutts,Richard F.,Cutts,MA,no,500,1,25.22917,1,500.2803241111111,0.0
343,Richard Hutson,Richard,Hutson,SC,yes,10000,4,1022.9722999999999,4,10011.366358888888,1.0
344,Richard Law,Richard,Law,CT,yes,1800,6,1800.0,6,1820.0,1.0
345,Richard Nixon,Richard,Nixon,NC,yes,500,1,44.99306,1,500.4999228888889,1.0
346,Richard Potts,Richard,Potts,MD,yes,6300,19,489.47501000000005,19,6305.438611222222,1.0
347,Richard Smith,Richard,Smith,DE,yes,7900,20,702.4277999999999,20,7907.804753333333,1.0
348,Richard Thomas,Richard,Thomas,MD,yes,600,3,54.68334,3,600.6075926666666,1.0
349,Robert Adam,Robert,Adam,NC,yes,2800,4,70.0,4,2800.777777777778,1.0
350,Robert Alexander,Robert,Alexander,VA,no,5000,1,634.2361,1,5007.047067777778,0.0
351,Robert Andrews,Robert,Andrews,VA,yes,5000,11,584.9305699999999,11,5006.499228555555,1.0
352,Robert B. Wilkins,Robert B.,Wilkins,NH,yes,3000,6,1157.6388,6,3012.862653333333,1.0
353,Robert Coleman,Robert,Coleman,PA,yes,206200,306,5155.001389999999,306,206257.27779322222,1.0
354,Robert Edwards,Robert,Edwards,NC,no,800,2,64.98888000000001,2,800.7220986666666,0.0
355,Robert Ewing,Robert,Ewing,NC,yes,500,1,101.0486,1,501.1227622222222,1.0
356,Robert Hoops,Robert,Hoops,NJ,yes,27700,33,975.0750200000003,33,27710.83416688889,1.0
357,Robert Morris,Robert,Morris,Constitution,yes,405700,309,67275.16728999997,309,406447.5018587778,1.0
358,Robert Ogden,Robert,Ogden,NJ,yes,1800,3,143.47500000000002,3,1801.5941666666668,1.0
359,Robert Patton,Robert,Patton,SC,no,400,1,10.0,1,400.1111111111111,0.0
360,Robert R. Livingston,Robert R.,Livingston,NY,yes,12600,12,5566.63883,12,12661.851542555556,1.0
361,Robert Rutherford,Robert,Rutherford,SC,no,5000,3,146.1111,3,5001.623456666666,0.0
362,Robert Whitehill,Robert,Whitehill,PA,no,9900,15,3944.20844,15,9943.824538222223,0.0
363,Robert Williams,Robert,Williams,VA,no,1500,4,156.86111,4,1501.7429012222221,0.0
364,Robert Wilson,Robert,Wilson,MA,no,900,2,199.44580000000002,2,902.2160644444444,0.0
365,Roger Sherman,Roger,Sherman,Constitution,yes,2000,7,944.1097699999999,7,2010.4901085555555,1.0
366,Samuel Adams,Samuel,Adams,MA,yes,500,1,34.07639,1,500.37862655555557,1.0
367,Samuel Ashmead,Samuel,Ashmead,PA,yes,4800,10,1219.5166600000002,10,4813.550185111111,1.0
368,Samuel Baker,Samuel,Baker,MA,yes,5200,10,1723.2943800000003,10,5219.1477153333335,1.0
369,Samuel Carver,Samuel,Carver,CT,yes,4000,9,137.27778999999998,9,4001.525308777778,1.0
370,Samuel Chase,Samuel,Chase,MD,no,1600,3,122.94167000000002,3,1601.3660185555555,0.0
371,Samuel Edmison,Samuel,Edmison,VA,no,600,1,45.43333,1,600.5048147777778,0.0
372,Samuel Grant,Samuel,Grant,MA,yes,700,2,700.0,2,707.7777777777778,1.0
373,Samuel Griffin,Samuel,Griffin,NH,yes,59900,41,24838.71125,41,60175.985680555554,1.0
374,Samuel Hay,Samuel,Hay,NJ,yes,2900,6,72.5,6,2900.8055555555557,1.0
375,"Samuel Hopkins, Jun.",Samuel,"Hopkins, Jun.",VA,no,300,1,300.0,1,303.3333333333333,0.0
376,Samuel Johnston,Samuel,Johnston,NC,yes,5700,7,635.7570400000001,7,5707.063967111111,1.0
377,Samuel Jones,Samuel,Jones,NY,yes,11300,24,1652.2513400000007,24,11318.358348222222,1.0
378,Samuel Langdon,Samuel,Langdon,NH,yes,2000,6,248.03332999999998,6,2002.755925888889,1.0
379,Samuel Mason,Samuel,Mason,NC,yes,1200,2,45.77778,2,1200.508642,1.0
380,Samuel Orton,Samuel,Orton,CT,yes,3900,8,1240.0471599999998,8,3913.778301777778,1.0
381,Samuel Simpson,Samuel,Simpson,NC,yes,2600,5,123.83333,5,2601.375925888889,1.0
382,Samuel Smith,Samuel,Smith,SC,yes,24800,56,6971.288243000003,56,24877.458758255554,1.0
383,Samuel Taylor,Samuel,Taylor,SC,yes,200,1,5.0,1,200.05555555555554,1.0
384,Samuel W. Stockton,Samuel W.,Stockton,NJ,did not vote,3200,7,221.3556,7,3202.4595066666666,0.0
385,Samuel Watson,Samuel,Watson,SC,no,22600,34,7393.333200000004,34,22682.148146666666,0.0
386,Samuel West,Samuel,West,MA,yes,300,1,26.7375,1,300.2970833333333,1.0
387,Samuel Whiting,Samuel,Whiting,CT,no,500,1,40.88194,1,500.4542437777778,0.0
388,Samuel Young,Samuel,Young,NH,yes,400,1,29.905559999999998,1,400.332284,1.0
389,Sebastian Graff,Sebastian,Graff,PA,yes,1000,4,58.741659999999996,4,1000.652685111111,1.0
390,Simeon Smith,Simeon,Smith,CT,yes,9600,16,6498.14438,16,9672.201604222222,1.0
391,Simon Cotton,Simon,Cotton,CT,no,400,2,141.41107,2,401.5712341111111,0.0
392,Stephen Dole,Stephen,Dole,NH,no,500,1,52.58889,1,500.584321,0.0
393,Stephen Mix Mitchell,Stephen Mix,Mitchell,CT,yes,300,1,25.9,1,300.28777777777776,1.0
394,Stephen Smith,Stephen,Smith,SC,yes,2200,4,926.8028099999999,4,2210.297809,1.0
395,Stone Peter,Stone,Peter,RI,no,7400,4,277.18611,4,7403.079845666667,0.0
396,Thaddeus Burr,Thaddeus,Burr,CT,yes,5100,10,1472.6555099999998,10,5116.362839,1.0
397,Thomas  Collins,Thomas ,Collins,DE,yes,1000,1,92.02778,1,1001.0225308888889,1.0
398,Thomas Allen,Thomas,Allen,VA,no,6000,8,839.119604,8,6009.323551155556,0.0
399,Thomas Anderson,Thomas,Anderson,NJ,yes,1100,3,89.52222,3,1100.9946913333333,1.0
400,Thomas Brown,Thomas,Brown,NC,no,74500,27,2840.8652300000003,27,74531.56516922222,0.0
401,Thomas Campbell,Thomas,Campbell,PA,yes,500,1,40.23611,1,500.4470678888889,1.0
402,Thomas Chase,Thomas,Chase,NH,no,30500,94,13033.862099999986,94,30644.82069,0.0
403,Thomas Cooper,Thomas,Cooper,VA,no,200,1,17.6,1,200.19555555555556,0.0
404,Thomas Cramphin,Thomas,Cramphin,MD,yes,500,1,48.88889,1,500.5432098888889,1.0
405,Thomas Davis,Thomas,Davis,MA,yes,28100,42,13570.353080000006,42,28250.78170088889,1.0
406,Thomas Dawes,Thomas,Dawes,MA,yes,4900,7,4013.8332,7,4944.598146666666,1.0
407,Thomas Durfee,Thomas,Durfee,MA,yes,1200,3,77.42499,3,1200.8602776666667,1.0
408,Thomas Fuller,Thomas,Fuller,SC,yes,1000,2,60.55556,2,1000.6728395555556,1.0
409,Thomas Gaskins,Thomas,Gaskins,VA,yes,2000,4,107.86110099999999,4,2001.1984566777778,1.0
410,Thomas Goodman,Thomas,Goodman,CT,no,3400,2,183.64726,2,3402.040525111111,0.0
411,Thomas H. Perkins,Thomas H.,Perkins,NC,no,200,1,23.75556,1,200.26395066666666,0.0
412,Thomas Johnson,Thomas,Johnson,MD,yes,4900,9,316.45971000000003,9,4903.516219,1.0
413,Thomas Johnston,Thomas,Johnston,NC,yes,4900,9,316.45971000000003,9,4903.516219,1.0
414,Thomas Jones,Thomas,Jones,MA,yes,47500,99,8165.1321,99,47590.72369,1.0
415,Thomas Lewis,Thomas,Lewis,VA,yes,16400,28,1317.2513099999996,28,16414.636125666668,1.0
416,Thomas Mifflin,Thomas,Mifflin,Constitution,yes,13800,46,13800.0,46,13953.333333333334,1.0
417,Thomas Mighill,Thomas,Mighill,MA,no,600,2,159.26948,2,601.7696608888889,0.0
418,Thomas Owen,Thomas,Owen,NC,yes,3400,8,204.61388000000002,8,3402.2734875555557,1.0
419,Thomas P. Williams,Thomas P.,Williams,NC,yes,6000,10,1032.9180199999998,10,6011.476866888889,1.0
420,Thomas Penniman,Thomas,Penniman,NH,no,300,1,25.4875,1,300.28319444444446,0.0
421,Thomas Pierce,Thomas,Pierce,VA,did not vote,10000,3,456.38889,3,10005.070987666666,0.0
422,Thomas Read,Thomas,Read,VA,no,18600,21,2938.7250000000004,21,18632.6525,0.0
423,Thomas Russel,Thomas,Russel,MA,yes,40800,76,16124.281820000007,76,40979.15868688889,1.0
424,Thomas Scott,Thomas,Scott,PA,yes,6500,15,266.71112,15,6502.963456888889,1.0
425,Thomas Smith,Thomas,Smith,VA,yes,15200,21,1470.96668,21,15216.344074222223,1.0
426,Thomas Stewart,Thomas,Stewart,NC,yes,31400,20,898.1041899999999,20,31409.978935444444,1.0
427,Thomas Taylor,Thomas,Taylor,SC,no,1600,3,86.77778,3,1600.9641975555555,0.0
428,Thomas Walke,Thomas,Walke,VA,yes,1800,4,206.26111,4,1802.2917901111111,1.0
429,Thomas Walter,Thomas,Walter,SC,no,800,2,93.11112,2,801.034568,0.0
430,Thomas Williams,Thomas,Williams,NC,no,10300,19,1754.29305,19,10319.492145,0.0
431,Timothy Parker,Timothy,Parker,MA,no,300,1,300.0,1,303.3333333333333,0.0
432,Timothy Pickering,Timothy,Pickering,PA,yes,500,1,12.5,1,500.1388888888889,1.0
433,Timothy Winn,Timothy,Winn,MA,no,2000,4,69.24168,4,2000.769352,0.0
434,Tristam Dalton,Tristam,Dalton,MA,yes,900,2,900.0,2,910.0,1.0
435,Walter Smith,Walter,Smith,MD,yes,200,1,16.616670000000003,1,200.18462966666667,1.0
436,Wheeler Coit,Wheeler,Coit,CT,yes,8600,21,7739.472299999999,21,8685.994136666666,1.0
437,William Abbott,William,Abbott,NH,yes,500,2,317.71111,2,503.5301234444444,1.0
438,William Bailey ,William,Bailey ,NC,yes,9700,13,1024.4861399999998,13,9711.383179333334,1.0
439,William Brown,William,Brown,PA,no,11000,27,1014.2611200000001,27,11011.269568,0.0
440,William Butler,William,Butler,SC,no,1100,2,94.05,2,1101.045,0.0
441,William C. Houston,William C.,Houston,Constitution,no,1800,4,724.5,4,1808.05,0.0
442,William Clayton,William,Clayton,VA,yes,1000,2,108.43055,2,1001.2047838888889,1.0
443,William Crawford ,William,Crawford ,NJ,yes,1700,4,123.31110000000001,4,1701.3701233333334,1.0
444,William Cushing,William,Cushing,MA,yes,600,1,57.375,1,600.6375,1.0
445,"William Deakins, Jun.",William,"Deakins, Jun.",MD,yes,11300,15,932.93331,15,11310.365925666667,1.0
446,William Gray Jun.,William,Gray Jun.,MA,yes,2400,6,409.72912999999994,6,2404.5525458888887,1.0
447,William Hall,William,Hall,DE,yes,9400,18,7589.627780000001,18,9484.329197555555,1.0
448,William Harper,William,Harper,NY,no,2500,10,89.07222000000002,10,2500.989691333333,0.0
449,William Hart,William,Hart,CT,yes,21800,38,10977.6363,38,21921.973736666667,1.0
450,William Harwood,William,Harwood,MD,did not vote,1300,2,131.31807,2,1301.4590896666666,0.0
451,William Heath,William,Heath,MA,yes,1400,2,126.27222,2,1401.4030246666666,1.0
452,William Hill,William,Hill,SC,no,5000,3,548.7861,3,5006.097623333333,0.0
453,William Houston,William,Houston,NC,yes,1800,4,724.5,4,1808.05,1.0
454,William Hunt,William,Hunt,NH,no,1300,2,1300.0,2,1314.4444444444443,0.0
455,William Johnson,William,Johnson,SC,yes,17100,25,1261.60006,25,17114.017778444446,1.0
456,William Johnston,William,Johnston,NC,yes,17100,25,1261.60006,25,17114.017778444446,1.0
457,William Johnston Dawson,William,Johnston Dawson,NC,yes,1800,3,167.64166,3,1801.8626851111112,1.0
458,William Jones,William,Jones,MA,no,43100,78,3100.4164000000023,78,43134.449071111114,0.0
459,William Kennedy,William,Kennedy,SC,no,1200,3,90.66111099999999,3,1201.0073456777777,0.0
460,William L. Pierce,William L.,Pierce,Constitution,no,2000,4,50.0,4,2000.5555555555557,0.0
461,William Livingston,William,Livingston,Constitution,yes,900,2,75.725,2,900.8413888888889,1.0
462,William Martin,William,Martin,NC,no,600,1,59.23333,1,600.6581481111111,0.0
463,William Mason,William,Mason,VA,yes,1100,2,118.34165999999999,2,1101.3149073333334,1.0
464,William McKee,William,McKee,VA,yes,2300,3,180.99721,3,2302.011080111111,1.0
465,William Meyer,William,Meyer,SC,no,20000,13,2079.63866,13,20023.107096222222,0.0
466,William Moore,William,Moore,DE,yes,32600,90,24908.04859999999,90,32876.75609555555,1.0
467,William Morris,William,Morris,MD,yes,1200,4,86.24028,4,1200.9582253333333,1.0
468,William N. Hill,William N.,Hill,NC,yes,5000,3,548.7861,3,5006.097623333333,1.0
469,William Noyes,William,Noyes,CT,yes,40300,55,9636.710949999999,55,40407.074566111114,1.0
470,William Paca,William,Paca,MD,yes,49700,11,4567.45833,11,49750.749537,1.0
471,William Page,William,Page,NH,no,200,1,17.26667,1,200.1918518888889,0.0
472,William Paterson,William,Paterson,Constitution,yes,10100,18,1153.7708,18,10112.819675555556,1.0
473,William Peachy,William,Peachy,VA,yes,6200,7,712.73337,7,6207.919259666666,1.0
474,William Phillips,William,Phillips,MA,yes,97700,170,44598.93883000001,170,98195.54376477777,1.0
475,William Porter,William,Porter,NC,yes,300,1,22.14583,1,300.2460647777778,1.0
476,William Read,William,Read,SC,yes,300,1,241.6167,1,302.68463,1.0
477,William Reed,William,Reed,SC,no,1100,3,161.61944,3,1101.7957715555556,0.0
478,William Richardson,William,Richardson,MD,yes,3000,5,237.63332000000003,5,3002.6403702222224,1.0
479,William Richardson Davie,William Richardson,Davie,NC,yes,3000,5,237.63332000000003,5,3002.6403702222224,1.0
480,William Robinson,William,Robinson,NC,no,18400,16,641.8333299999999,16,18407.131481444445,0.0
481,William Robison,William,Robison,SC,yes,18400,16,641.8333299999999,16,18407.131481444445,1.0
482,William S. Marnes,William S.,Marnes,NC,yes,500,1,500.0,1,505.55555555555554,1.0
483,William Samuel Johnson,William Samuel,Johnson,Constitution,yes,14300,18,1002.4167800000001,18,14311.137964222222,1.0
484,William Scott,William,Scott,SC,yes,81200,73,7990.134929999995,73,81288.779277,1.0
485,William Shaw,William,Shaw,MA,yes,3000,7,311.36388999999997,7,3003.459598777778,1.0
486,William Simpson,William,Simpson,NH,yes,3400,8,274.56804,8,3403.050756,1.0
487,William Smith,William,Smith,SC,yes,212200,381,29479.097219999985,381,212527.54552466667,1.0
488,William Sommersall,William,Sommersall,SC,yes,18000,18,450.0,18,18005.0,1.0
489,William Stevens,William,Stevens,GA,yes,6000,13,4495.42227,13,6049.949136333334,1.0
490,William Thompson,William,Thompson,MA,no,39800,71,5750.044527000006,71,39863.88938363333,0.0
491,William White,William,White,VA,no,11400,18,1197.5845,18,11413.306494444445,0.0
492,William Williams,William,Williams,CT,yes,15600,28,3957.088890000001,28,15643.967654333333,1.0
493,William Wilson,William,Wilson,PA,yes,2800,9,272.00277000000006,9,2803.022253,1.0
494,William Woodhull,William,Woodhull,NJ,yes,1000,2,51.06944,2,1000.5674382222222,1.0
495,Williams John,Williams,John,RI,no,107800,176,9740.07501999999,176,107908.22305577778,0.0
