,Original Name,Search Names,6p_Total,6p_def_Total,3p_Total,Name Count,Family Size 1,Family Size 2,Location 1,Location 2,Match Reason 1,Match Reason 2,Match Status 1,Match Status 2,Slavecount 1,Slavecount 2,url 1,url 2
0,{'John Delafield'},['John Delafield'],183028.0,82021.0,106683.0,1,13,,"New York City East Ward, New York, New York",,Full Match,,Match,,2,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Delafield&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
1,{'Daniel Badcock'},['Daniel Badcock'],76243.0,38175.0,97702.0,1,,,,,No Match Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Daniel_Badcock&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
2,{'Richard Platt'},['Richard Platt'],71624.0,31776.0,67443.0,1,9,,"New York City Out Ward, New York, New York",,Full Match,,Match,,2,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Richard_Platt&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
3,{'George Lewis'},['George Lewis'],67721.0,29663.0,86066.0,1,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=George_Lewis&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
4,{'Nicholas Low'},['Nicholas Low'],65522.0,43166.0,41553.0,1,,,,,No Match Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Nicholas_Low&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
5,{'Isaac Whippo'},['Isaac Whippo'],54722.0,1499.0,58005.0,1,,,,,No Match Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Isaac_Whippo&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
6,{'James F Sebor and Co'},['James F Sebor'],40549.0,20484.0,91984.0,1,,,,,No Match Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=James F_Sebor&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
7,{'George Service'},['George Service'],37822.0,19015.0,27897.0,1,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=George_Service&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
8,{'Daniel C Verplanck'},['Daniel C Verplanck'],36235.0,9659.0,8628.0,1,10,,"New York City North Ward, New York, New York",,Full Match,,Match,,3,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Daniel C_Verplanck&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
9,"{'John Delafield', 'William W Morris'}",['John Delafield' 'William W Morris'],33075.0,15419.0,1662.0,2,13,,"New York City East Ward, New York, New York",,Full Match,Too Many Potential Matches Found,Match,No Match,2,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Delafield&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=William W_Morris&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
10,{'Daniel Ludlow'},['Daniel Ludlow'],27452.0,13780.0,19638.0,1,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Daniel_Ludlow&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
11,{'Jacob Reed'},['Jacob Reed'],26272.0,13287.0,11313.0,1,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jacob_Reed&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
12,{'Philip Schuyler'},['Philip Schuyler'],23210.0,11655.0,8086.0,1,,, Albany,,Only Location Found,,Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Philip_Schuyler&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
13,{'Nicholas Cruger'},['Nicholas Cruger'],21471.0,10785.0,6361.0,1,16,,"New York City South Ward, New York, New York",,Full Match,,Match,,1,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Nicholas_Cruger&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
14,{'Daniel Crommelin and Sons'},['Daniel Crommelin'],20309.0,10204.0,90989.0,1,,,,,No Match Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Daniel_Crommelin&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
15,{'Berry and Rogers'},['Berry and Rogers'],19607.0,9954.0,20421.0,1,,,,,No Match Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Berry and_Rogers&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
16,{'George Scriba'},['George Scriba'],17525.0,5009.0,49217.0,1,8,,"New York City East Ward, New York, New York",,Full Match,,Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=George_Scriba&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
17,{'Jonathan Dayton'},['Jonathan Dayton'],17142.0,8570.0,19849.0,1,,,,,No Match Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jonathan_Dayton&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
18,{'William Henderson'},['William Henderson'],15602.0,17282.0,5409.0,1,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=William_Henderson&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
19,{'Charles Shaw'},['Charles Shaw'],15574.0,7837.0,39572.0,1,5,,"New York City North Ward, New York, New York",,Full Match,,Match,,2,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Charles_Shaw&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
20,{'Francis Lewis'},['Francis Lewis'],14666.0,7383.0,8763.0,1,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Francis_Lewis&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
21,{'Daniel Penfield'},['Daniel Penfield'],14505.0,7354.0,49435.0,1,10,,"New York City East Ward, New York, New York",,Full Match,,Match,,1,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Daniel_Penfield&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
22,{'John Dewhurst'},['John Dewhurst'],13718.0,1219.0,16785.0,1,4,,"New York City East Ward, New York, New York",,Full Match,,Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Dewhurst&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
23,{'Joseph Hardy'},['Joseph Hardy'],12917.0,6226.0,5816.0,1,6,,"New York City Montgomery Ward, New York, New York",,Full Match,,Match,,1,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Joseph_Hardy&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
24,{'Edward Chinn'},['Edward Chinn'],9876.0,4938.0,6148.0,1,6,,"Claverack, Columbia, New York",,Full Match,,Match,,4,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Edward_Chinn&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
25,{'John Burnett'},['John Burnett'],9351.0,4668.0,7694.0,1,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Burnett&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
26,{'John and Francis Atkinson'},['John Atkinson' 'Francis Atkinson'],9169.0,4637.0,25777.0,2,13,,"New York City East Ward, New York, New York",,Full Match,No Match Found,Match,No Match,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Atkinson&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Francis_Atkinson&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
27,{'Joseph Lewis'},['Joseph Lewis'],9012.0,4555.0,10756.0,1,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Joseph_Lewis&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
28,{'Thomas Buchanan'},['Thomas Buchanan'],8754.0,4427.0,5081.0,1,17,,"New York City East Ward, New York, New York",,Full Match,,Match,,6,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Thomas_Buchanan&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
29,"{'Jabcob Reed', 'Jacob Reed'}",['Jabcob Reed' 'Jacob Reed'],8751.0,4426.0,2371.0,2,,,,,No Match Found,Too Many Potential Matches Found,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jabcob_Reed&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jacob_Reed&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
30,{'James Carter'},['James Carter'],8732.0,1490.0,7111.0,1,9,,"New York City East Ward, New York, New York",,Full Match,,Match,,2,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=James_Carter&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
31,{'Horatio Gates'},['Horatio Gates'],8167.0,4133.0,2491.0,1,8,,"New York City Out Ward, New York, New York",,Full Match,,Match,,2,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Horatio_Gates&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
32,{'Dominick Lynch'},['Dominick Lynch'],8080.0,4092.0,12286.0,1,15,,"New York City West Ward, New York, New York",,Full Match,,Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Dominick_Lynch&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
33,{'Robert T Kemble'},['Robert T Kemble'],7950.0,4077.0,5763.0,1,,,,,No Match Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Robert T_Kemble&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
34,{'Randall Son and Stewarts'},['Thomas Randall'],7627.0,3865.0,4164.0,1,,, New York,,Only Location Found,,Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Thomas_Randall&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
35,{'Nathaniel Green'},['Nathaniel Green'],7334.0,3717.0,4946.0,1,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Nathaniel_Green&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
36,{'Peter Kemble'},['Peter Kemble'],6836.0,3467.0,2711.0,1,11,,"New York City Dock Ward, New York, New York",,Full Match,,Match,,2,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Peter_Kemble&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
37,{'Cornelius Ray'},['Cornelius Ray'],6637.0,3368.0,16147.0,1,8,,"New York City East Ward, New York, New York",,Full Match,,Match,,4,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Cornelius_Ray&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
38,{'William Rogers'},['William Rogers'],6356.0,693.0,60296.0,1,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=William_Rogers&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
39,{'John L Hunn'},['John L Hunn'],6271.0,3187.0,3399.0,1,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John L_Hunn&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
40,{'John Bleecker'},['John Bleecker'],6222.0,3110.0,0.0,1,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Bleecker&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
41,{'John Jay'},['John Jay'],5898.0,2998.0,5015.0,1,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Jay&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
42,{'Theodosius Fowler and Co'},['Theodosius Fowler'],5762.0,29354.0,106539.0,1,8,,"New York City East Ward, New York, New York",,Full Match,,Match,,2,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Theodosius_Fowler&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
43,{'Jacamiah Smith'},['Jacamiah Smith'],5670.0,2837.0,2292.0,1,,,,,No Match Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jacamiah_Smith&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
44,{'Moses and Charles Ogden'},['Moses Ogden' 'Charles Ogden'],5423.0,2711.0,5741.0,2,,,,,No Match Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Moses_Ogden&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Charles_Ogden&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
45,{'Joseph Young'},['Joseph Young'],5262.0,2681.0,3832.0,1,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Joseph_Young&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
46,{'Isaac Clason'},['Isaac Clason'],5143.0,2621.0,70376.0,1,13,,"New York City East Ward, New York, New York",,Full Match,,Match,,4,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Isaac_Clason&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
47,{'James Gray'},['James Gray'],5000.0,0.0,335.0,1,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=James_Gray&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
48,"{'Nicholas Hoffman and Sons', 'Nicholas Huffman and Son'}",['Nicholas Huffman' 'Nicholas Hoffman'],4833.0,2416.0,1887.0,2,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Nicholas_Huffman&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Nicholas_Hoffman&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
49,"{'Robert T Kemble', 'Robert F Kimble'}",['Robert T Kemble' 'Robert F Kimble'],4769.0,2435.0,1915.0,2,8,,"New York City North Ward, New York, New York",,Full Match,,Match,,1,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Robert T_Kemble&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Robert F_Kimble&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
50,{'Daniel Cotton'},['Daniel Cotton'],4732.0,2367.0,6599.0,1,,,,,No Match Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Daniel_Cotton&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
51,{'Ebenezer Storer'},['Ebenezer Storer'],4704.0,2402.0,1644.0,1,,,,,No Match Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Ebenezer_Storer&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
52,{'Thomas Service'},['Thomas Service'],4508.0,2256.0,1576.0,1,,,,,No Match Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Thomas_Service&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
53,{'Charles Anderson'},['Charles Anderson'],4427.0,2263.0,3646.0,1,1,,"New York City Out Ward, New York, New York",,Full Match,,Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Charles_Anderson&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
54,{'Edward Parker'},['Edward Parker'],4376.0,2188.0,1852.0,1,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Edward_Parker&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
55,"{'John N Bleecher', 'John N Blecker'}",['John N Bleecher' 'John N Blecker'],4310.0,2159.0,2315.0,2,,11,,"Albany Ward 2, Albany, New York",Too Many Potential Matches Found,Full Match,No Match,Match,,1,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John N_Bleecher&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John N_Blecker&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
56,{'Mary Van Schaick'},['Mary Van Schaick'],4277.0,2238.0,2138.0,1,11,,"Albany Ward 1, Albany, New York",,Full Match,,Match,,4,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Mary_Van Schaick&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
57,{'John Brown'},['John Brown'],4183.0,592.0,363.0,1,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Brown&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
58,"{'Thomas McEuen', 'Thomas Mc Euen'}",['Thomas McEuen' 'Thomas Mc Euen'],3984.0,1041.0,957.0,2,1,,"New York City Dock Ward, New York, New York",,Full Match,,Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Thomas_McEuen&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Thomas Mc_Euen&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
59,{'John Laurence'},['John Laurence'],3833.0,1967.0,19961.0,1,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Laurence&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
60,{'John Jacob Lansing'},['John Jacob Lansing'],3832.0,2019.0,2638.0,1,6,,"Albany Ward 3, Albany, New York",,Full Match,,Match,,3,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John Jacob_Lansing&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
61,{'Edward Griswold'},['Edward Griswold'],3738.0,17332.0,549.0,1,5,,"Herkimer, Montgomery, New York",,Full Match,,Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Edward_Griswold&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
62,"{'Lucas Van Neghten', 'Lucas VanNeghten'}",['Lucas Van Neghten' 'Lucas VanNeghten'],3590.0,1795.0,1930.0,2,,,,,No Match Found,Too Many Potential Matches Found,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Lucas_Van Neghten&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=_Lucas VanNeghten&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
63,{'Michael Joy'},['Michael Joy'],3545.0,1824.0,272.0,1,,,,,No Match Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Michael_Joy&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
64,{'Jacobus Lefferts'},['Jacobus Lefferts'],3454.0,1728.0,1817.0,1,12,,"New York City North Ward, New York, New York",,Full Match,,Match,,8,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jacobus_Lefferts&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
65,{'Lydia Watkins'},['Lydia Watkins'],3345.0,1722.0,1765.0,1,,,,,No Match Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Lydia_Watkins&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
66,{'Marinus Willett'},['Marinus Willett'],3343.0,1671.0,2029.0,1,5,,"New York City East Ward, New York, New York",,Full Match,,Match,,1,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Marinus_Willett&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
67,"{'Peter Gansevoort', 'Peter Gansevert'}",['Peter Gansevoort' 'Peter Gansevert'],3154.0,1578.0,1439.0,2,8,,"Albany Ward 3, Albany, New York",,Full Match,,Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Peter_Gansevoort&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Peter_Gansevert&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
68,{'Gabriel Furman'},['Gabriel Furman'],3040.0,1570.0,13486.0,1,9,,"New York City North Ward, New York, New York",,Full Match,,Match,,3,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Gabriel_Furman&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
69,{'Jabez Campfield'},['Jabez Campfield'],2971.0,1537.0,1990.0,1,,,,,No Match Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jabez_Campfield&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
70,{'Robert Hodge'},['Robert Hodge'],2928.0,1514.0,1534.0,1,8,,"New York City East Ward, New York, New York",,Full Match,,Match,,1,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Robert_Hodge&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
71,{'John Jacob Beekman'},['John Jacob Beekman'],2885.0,1491.0,2391.0,1,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John Jacob_Beekman&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
72,{'Garrit Lansing'},['Garrit Lansing'],2866.0,1433.0,1615.0,1,,, Albany,,Only Location Found,,Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Garrit_Lansing&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
73,{'Abraham Duryee'},['Abraham Duryee'],2780.0,1390.0,1525.0,1,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Abraham_Duryee&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
74,{'Margaret Cunningham'},['Margaret Cunningham'],2668.0,1336.0,776.0,1,,,,,No Match Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Margaret_Cunningham&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
75,{'John R B Rogers'},['John R B Rogers'],2609.0,1354.0,776.0,1,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John R B_Rogers&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
76,{'Mary Beekman'},['Mary Beekman'],2541.0,1320.0,1357.0,1,11,,"New York City North Ward, New York, New York",,Full Match,,Match,,4,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Mary_Beekman&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
77,{'Elisha Hart'},['Elisha Hart'],2505.0,1302.0,835.0,1,,,,,No Match Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Elisha_Hart&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
78,{'Anthony L Bleecker'},['Anthony L Bleecker'],2369.0,1234.0,1030.0,1,18,,"New York City East Ward, New York, New York",,Full Match,,Match,,3,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Anthony L_Bleecker&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
79,{'John Conway'},['John Conway'],2360.0,1180.0,864.0,1,6,,"North Castle, Westchester, New York",,Full Match,,Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Conway&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
80,"{'John Atkinson', 'James Atkinson'}",['John Atkinson' 'James Atkinson'],2200.0,1101.0,2249.0,2,13,,"New York City East Ward, New York, New York",,Full Match,No Match Found,Match,No Match,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Atkinson&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=James_Atkinson&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
81,"{""H and S Johnson and Co'"", 'H and S Johnson and Co'}","[""H and S Johnson '"" 'H and S Johnson']",2085.0,1092.0,590.0,2,,5,,"New York City West Ward, New York, New York",No Match Found,Full Match,No Match,Match,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=H and S Johnson_'&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=H and S_Johnson&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
82,{'John Bush'},['John Bush'],1992.0,997.0,626.0,1,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Bush&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
83,{'John De la Mater'},['John De la Mater'],1952.0,978.0,1759.0,1,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John De la_Mater&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
84,{'Elsey Everson'},['Elsey Everson'],1951.0,1025.0,1436.0,1,,,,,No Match Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Elsey_Everson&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
