,Original Name,Search Names,6p_Total,6p_def_Total,3p_Total,Name Count,Family Size 1,Family Size 2,Location 1,Location 2,Match Reason 1,Match Reason 2,Match Status 1,Match Status 2,Slavecount 1,Slavecount 2,url 1,url 2
742,{'Rebecca Hedden'},['Rebecca Hedden'],0.0,0.0,195.0,1,,,,,No Match Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Rebecca_Hedden&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
743,{'Benjamin Walker'},['Benjamin Walker'],0.0,0.0,194.0,1,7,,"Schenectady, Albany, New York",,Full Match,,Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Benjamin_Walker&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
744,{'Samuel Beach'},['Samuel Beach'],0.0,0.0,192.0,1,,,,,No Match Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Samuel_Beach&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
745,{'George Denniston'},['George Denniston'],0.0,0.0,189.0,1,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=George_Denniston&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
746,{'Aryantye Wendell'},['Aryantye Wendell'],0.0,0.0,188.0,1,,,,,No Match Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Aryantye_Wendell&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
747,{'John Hoop'},['John Hoop'],0.0,0.0,188.0,1,,,,,No Match Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Hoop&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
748,{'William Keese'},['William Keese'],0.0,0.0,188.0,1,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=William_Keese&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
749,{'Asa Douglass'},['Asa Douglass'],0.0,0.0,187.0,1,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Asa_Douglass&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
750,{'Gilbert Totten'},['Gilbert Totten'],0.0,0.0,184.0,1,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Gilbert_Totten&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
751,{'Cooke and Cushing'},['Cooke and Cushing'],0.0,0.0,180.0,1,,,,,No Match Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Cooke and_Cushing&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
752,{'Michael and Abraham Van Peene'},['Abraham Van Peene' 'Michael Van Peene'],0.0,0.0,180.0,2,12,,"Amenia, Dutchess, New York",,Full Match,No Match Found,Match,No Match,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Abraham_Van Peene&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Michael_Van Peene&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
753,{'Robert Taylor'},['Robert Taylor'],0.0,0.0,180.0,1,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Robert_Taylor&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
754,{'Robert Wasson'},['Robert Wasson'],0.0,0.0,180.0,1,,,,,No Match Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Robert_Wasson&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
755,{'Wainwright and Caldwell'},['Francis Wainwright' 'Andrew Caldwell'],0.0,0.0,178.0,2,6,,"New York City East Ward, New York, New York",,Full Match,No Match Found,Match,No Match,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Francis_Wainwright&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Andrew_Caldwell&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
756,{'William Douglass'},['William Douglass'],0.0,0.0,178.0,1,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=William_Douglass&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
757,{'Charles Goodrich'},['Charles Goodrich'],0.0,0.0,177.0,1,,,,,No Match Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Charles_Goodrich&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
758,{'Hugh Stocker'},['Hugh Stocker'],0.0,0.0,177.0,1,,,,,No Match Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Hugh_Stocker&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
759,{'John Cannon'},['John Cannon'],0.0,0.0,177.0,1,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Cannon&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
760,{'John Sanders'},['John Sanders'],0.0,0.0,177.0,1,21,,"Schenectady, Albany, New York",,Full Match,,Match,,14,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Sanders&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
761,{'Stephen Hart'},['Stephen Hart'],0.0,0.0,177.0,1,8,,"Huntington, Suffolk, New York",,Full Match,,Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Stephen_Hart&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
762,{'Gerrit Groesbeeck'},['Gerrit Groesbeeck'],0.0,0.0,176.0,1,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Gerrit_Groesbeeck&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
763,{'Benjamin Van Arden'},['Benjamin Van Arden'],0.0,0.0,175.0,1,9,,"Catskill, Albany, New York",,Full Match,,Match,,3,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Benjamin_Van Arden&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
764,{'Jeremiah Frazier'},['Jeremiah Frazier'],0.0,0.0,174.0,1,2,,"Crown Point, Clinton, New York",,Full Match,,Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jeremiah_Frazier&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
765,{'Phoebe Montagnie'},['Phoebe Montagnie'],0.0,0.0,174.0,1,,,,,No Match Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Phoebe_Montagnie&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
766,{'Walter Buchanan'},['Walter Buchanan'],0.0,0.0,173.0,1,11,,"New York City Montgomery Ward, New York, New York",,Full Match,,Match,,4,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Walter_Buchanan&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
767,{'John Tayler'},['John Tayler'],0.0,0.0,172.0,1,12,,"Albany Ward 1, Albany, New York",,Full Match,,Match,,5,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Tayler&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
768,{'Samuel H Phillips'},['Samuel H Phillips'],0.0,0.0,172.0,1,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Samuel H_Phillips&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
769,{'William Winthrop'},['William Winthrop'],0.0,0.0,171.0,1,,,,,No Match Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=William_Winthrop&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
770,{'Garret Marselus'},['Garret Marselus'],0.0,0.0,170.0,1,1,,"Watervliet, Albany, New York",,Full Match,,Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Garret_Marselus&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
771,{'Jacob House'},['Jacob House'],0.0,0.0,170.0,1,4,,"Rensselaerwick, Albany, New York",,Full Match,,Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jacob_House&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
772,{'Abraham Fonda'},['Abraham Fonda'],0.0,0.0,169.0,1,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Abraham_Fonda&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
773,{'David Kelly'},['David Kelly'],0.0,0.0,169.0,1,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=David_Kelly&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
774,{'Nathaniel Olcott'},['Nathaniel Olcott'],0.0,0.0,169.0,1,,,,,No Match Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Nathaniel_Olcott&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
775,{'Robert Hunter'},['Robert Hunter'],0.0,0.0,168.0,1,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Robert_Hunter&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
776,{'Samuel Clarkson'},['Samuel Clarkson'],0.0,0.0,165.0,1,,,,,No Match Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Samuel_Clarkson&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
777,{'Tunis Bergen'},['Tunis Bergen'],0.0,0.0,164.0,1,,, Kings,,Only Location Found,,Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Tunis_Bergen&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
778,{'Angus McLean'},['Angus McLean'],0.0,0.0,163.0,1,7,,"New York City Out Ward, New York, New York",,Full Match,,Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Angus_McLean&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
779,{'James H Kip'},['James H Kip'],0.0,0.0,163.0,1,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=James H_Kip&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
780,{'Alexander Rose'},['Alexander Rose'],0.0,0.0,162.0,1,6,,"Shawangunk, Ulster, New York",,Full Match,,Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Alexander_Rose&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
781,{'John Leake'},['John Leake'],0.0,0.0,162.0,1,,, Dutchess,,Only Location Found,,Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Leake&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
782,{'Fredrick Fox'},['Fredrick Fox'],0.0,0.0,160.0,1,12,,"German Flatts, Montgomery, New York",,Full Match,,Match,,2,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Fredrick_Fox&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
783,{'John Sullivan'},['John Sullivan'],0.0,0.0,159.0,1,6,,"New York City South Ward, New York, New York",,Full Match,,Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Sullivan&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
784,{'Albert Hyckoff'},['Albert Hyckoff'],0.0,0.0,157.0,1,,,,,No Match Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Albert_Hyckoff&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
785,{'David Judson'},['David Judson'],0.0,0.0,156.0,1,,,,,No Match Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=David_Judson&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
786,{'Wouter Knickerbacker'},['Wouter Knickerbacker'],0.0,0.0,156.0,1,,,,,No Match Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Wouter_Knickerbacker&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
787,{'Henry Whiteman'},['Henry Whiteman'],0.0,0.0,155.0,1,,, New York,,Only Location Found,,Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Henry_Whiteman&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
788,{'David Peck'},['David Peck'],0.0,0.0,153.0,1,9,,"Warwick, Orange, New York",,Full Match,,Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=David_Peck&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
789,{'John Palmer'},['John Palmer'],0.0,0.0,153.0,1,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Palmer&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
