state,county,town,0
NC,New Hanover County,Wilmington,2
NC,Orange County,Hillsborough,2
NC,Perquimans County,NaN,1
NC,Pitt County,NaN,1
NC,Rockingham County,NaN,1
NC,Rowan County,NaN,4
NC,Rowan County,Salisbury,1
NC,Warren County,NaN,2
NC,Wayne County,NaN,1
NH,Cheshire County,Acworth,1
NH,Cheshire County,Charleston,3
NH,Cheshire County,Keene,1
NH,Cheshire County,Newport,1
NH,Grafton County,Alexandria,2
NH,Grafton County,Concord,7
NH,Hillsborough County,Amherst,2
NH,Hillsborough County,Hollis,1
NH,Hillsborough County,Hopkinton,1
NH,Hillsborough County,Merrimac,1
NH,Hillsborough County,Newbury,3
NH,Hillsborough County,Pelham,1
NH,Hillsborough County,Pembroke,1
NH,Hillsborough County,Salisbury,1
NH,NaN,Glouster,3
NH,NaN,NaN,1
NH,NaN,Newport,1
NH,NaN,North Hampshire,1
NH,Rockingham County,Brintwood,1
NH,Rockingham County,Candia,1
NH,Rockingham County,Canterbury,4
NH,Rockingham County,Deerfield,1
NH,Rockingham County,Exeter,29
NH,Rockingham County,Greenland,1
NH,Rockingham County,Hampton,7
NH,Rockingham County,Kensington,4
NH,Rockingham County,Kingstown,1
NH,Rockingham County,London,3
NH,Rockingham County,NaN,2
NH,Rockingham County,New Castle,1
NH,Rockingham County,Newtown,2
NH,Rockingham County,Nottingham,1
NH,Rockingham County,Portsmouth,64
NH,Rockingham County,Rye,1
NH,Rockingham County,Salem,3
NH,Strafford County,Barrington,2
NH,Strafford County,Dover,2
NH,Strafford County,Durham,3
NH,Strafford County,Gilmantown,2
NH,Strafford County,Marbury,1
NH,Strafford County,Sandwich,1
NH,Strafford County,Somersworth,2
NH,Strafford County,Tamworth,1
NH,Strafford County,Wakefield,1
NH,York County,Wells,1
NH,York County,York,1
NJ,Burlington County,Berlington,1
NJ,Burlington County,Mount Holley,1
NJ,Cape May County,Cape May,2
NJ,Hunterdon County,NaN,1
NJ,Hunterdon County,Trenton,2
NJ,Middlesex County,Brunswick,2
NJ,Middlesex County,Middlesex,1
NJ,Middlesex County,Princeton,1
NJ,Monmouth County,NaN,1
NJ,NaN,Monmouth,1
NJ,NaN,NaN,27
NJ,Somerset County,NaN,1
NJ,Sussex County,Newton ship,1
NY,Albany County,Albany,1
NY,NaN,Harkarmar,1
NY,NaN,Hudson,2
NY,NaN,Long Island,1
NY,NaN,NaN,115
NY,NaN,State of the New York,1
NY,New York County,City of New York,4
PA,Allegheny County,NaN,3
PA,Allegheny County,Pittsburgh,4
PA,Bedford County,NaN,1
PA,Berks,NaN,2
PA,Berks County,NaN,11
PA,Berks County,Reading,9
PA,Berks County,Reading Berks,8
PA,Berks County,Tulpehocken,2
PA,Bucks County,NaN,27
PA,Chester County,NaN,28
PA,Cumberland County,Carlisle,7
PA,Cumberland County,Cumb,1
PA,Cumberland County,Germantown,5
PA,Dauphin County,Dauphin,1
PA,Dauphin County,Dauphincoy,1
PA,Dauphin County,NaN,7
PA,Delaware County,NaN,4
PA,Fayette County,NaN,2
PA,Franklin County,Chambersburgh,1
PA,Franklin County,NaN,7
PA,Lancaster County,Lancaster,27
PA,Lancaster County,NaN,11
PA,Montgomery,NaN,1
PA,Montgomery County,NaN,10
PA,NaN,Charleston South Carolina,1
PA,NaN,Kensington,1
PA,NaN,NaN,1
PA,NaN,Philadelphia,2
PA,NaN,St Eustatia,1
PA,NaN,W Callisters,1
PA,Northampton County,Bethlehem,5
PA,Northampton County,NaN,5
PA,Northumberland,NaN,1
PA,Northumberland County,Armstrong,1
PA,Northumberland County,Montgomery,1
PA,Northumberland County,NaN,10
