state,county,town,6p_total
NH,Rockingham,Rye,139.91
NH,Rockingham,Salem,3423.2400000000002
NH,Strafford,Barrington,543.5699999999999
NH,Strafford,Dover,859.78
NH,Strafford,Durham,532.29
NH,Strafford,Gilmantown,2729.78
NH,Strafford,Marbury,0.0
NH,Strafford,Sandwich,205.17
NH,Strafford,Somersworth,801.9499999999999
NH,Strafford,Tamworth,303.42
NH,Strafford,Wakefield,352.53
NH,York,Wells,643.34
NH,York,York,189.58
NJ,Burlington,Burlington ,0.0
NJ,Burlington,Mount Holley ,190.71
NJ,Cape May,Cape May,62.89
NJ,Essex,Newark,48.33
NJ,Hunterdon,Trenton ,1115.95
NJ,Middlesex,Brunswick ,1330.3
NJ,Middlesex,Middlesex ,74.88
NJ,Middlesex,Princeton ,1183.71
NJ,Sussex,Newton ship ,311.99
NY,Albany,Albany,22.7
NY,New York,City of New York,492.21000000000004
PA,Allegheny,Pittsburgh,4017.6900000000005
PA,Berks,Reading,9843.65
PA,Berks,Reading Berks ,19243.649999999998
PA,Berks,Tulpehocken,1136.06
PA,Cumberland,Carlisle ,6171.04
PA,Cumberland,Cumberland,2388.52
PA,Cumberland,Germantown,4065.43
PA,Dauphin,Dauphin ,1979.6
PA,Dauphin,Dauphincoy ,1160.69
PA,Franklin,Chambersburgh ,237.7
PA,Lancaster,Lancaster,36375.09
PA,Lancaster,Lancaster ,10803.76
PA,Northampton,Bethlehem,2639.7
PA,Northumberland,Armstrong,989.87
PA,Northumberland,Montgomery ,443.9
PA,Northumberland,Sunbury ,1360.22
PA,Philadelphia,Blockley,971.4
PA,Philadelphia,Borden ,4050.5000000000005
PA,Philadelphia,Burlington New Jersey,280.69
PA,Philadelphia,Germantown,1959.55
PA,Philadelphia,Kensington,1241.76
PA,Philadelphia,Northern Liberties,2486.79
PA,Philadelphia,Passyunk,64.37
PA,Philadelphia,Philadelphia,1165947.0605
PA,Philadelphia,Southwark,3.33
PA,Philadelphia,The Northern Libert,1263.4
PA,Westmoreland,Kensington,692.25
PA,Westmoreland,Westmoreland,33.33
PA,York,York ,91.83
PA,York,York  ,7529.37
RI,Bristol,Barrington,2059.1800000000003
RI,Bristol,Bristol,1065.52
RI,Bristol,Warren,5603.700000000001
RI,Kent,Coventry,481.83
RI,Kent,East Greenwich,1964.0
RI,Kent,Warwick,6513.650000000001
RI,Kent,West Greenwich,1325.27
RI,Newport,Little Compton,1614.7
RI,Newport,Newport,252788.89
RI,Newport,Portsmouth,82.74000000000001
RI,Newport,Tiverton,1462.79
RI,Providence,Cranston,3058.09
RI,Providence,Cumberland,1257.36
RI,Providence,Foster,255.82
RI,Providence,Gloucester,4249.81
RI,Providence,Johnson,715.88
RI,Providence,Johnston,1388.82
RI,Providence,North Providence,1179.0
RI,Providence,Providence,138893.75
RI,Providence,Scituate,5109.3099999999995
RI,Providence,Smithfield,536.49
RI,Washington,Charlestown,1553.18
RI,Washington,Exeter,389.03999999999996
RI,Washington,North Kingston,1294.41
RI,Washington,Richmond,17.12
RI,Washington,South Kingston,1426.4099999999999
SC,Abbeville,96 District,31.26
SC,Abbeville,Abbeville,48.42
SC,Beaufort,Broad River,26.84
SC,Beaufort,New River,38.29
SC,Beaufort,St Helena,250.89
SC,Charleston,Charleston,130630.007433
SC,Charleston,Charleston ,4360.811233
SC,Charleston,Dorchester,104.78
SC,Charleston,James Island,315.26
SC,Charleston,St Johns,169.72
SC,Charleston,St. George,1501.6
SC,Charleston,Toogoodoo,28.97
SC,Clarendon,St Pauls,218.68
SC,Georgetown,Georgetown,6131.25
SC,Georgetown,Pee Dee,4397.06
SC,Georgetown,Winyaw,66.66666666666667
SC,Lancaster,Camden,5258.296666666666
SC,Laurens,96 District,19.73
SC,Richland,Columbia,438.7
SC,Richland,St Andrews,46.02
VA,Fairfax,Alexandria,711.12
VA,Greenbrier,Williamsburgh,46.02
VA,Hampshire,Petersburg ,2693.4900000000002
VA,Henrico,Richmond ,599.8100000000001
VA,Rockingham,Portsmouth ,20.516233
VA,Spotsylvania,Fredericksburg ,550.06
