,state,county,town,6p_total_sum,6p_total_count,town/county pct,county/state pct,state/ovall (excluding non-colonies) pct
77,CT,Windham County,Canterbury,778.27,4,3.0,5.6,12.6
78,CT,Windham County,Hampton,387.56,3,1.5,5.6,12.6
79,CT,Windham County,Plainfield,1430.27,4,5.6,5.6,12.6
80,CT,Windham County,Pomfret,2705.1200000000003,8,10.6,5.6,12.6
81,CT,Windham County,Thompson,2722.47,4,10.6,5.6,12.6
82,CT,Windham County,Windham,5490.97,13,21.5,5.6,12.6
83,CT,Windham County,Woodstock,9823.87,21,38.4,5.6,12.6
84,CT,nan,nan,4111.63,3,100.0,0.9,12.6
85,DE,Kent County,nan,1731.41,1,100.0,20.7,0.2
86,DE,New Castle County,nan,2596.86,4,100.0,31.0,0.2
87,DE,nan,nan,4052.69,3,100.0,48.4,0.2
88,GA,Chatham County,Savannah,10582.682729,11,100.0,68.5,0.4
89,GA,Effingham County,nan,68.851733,2,100.0,0.4,0.4
90,GA,Richmond County,Augusta,139.271033,2,88.5,1.0,0.4
91,GA,Richmond County,nan,18.068233,1,11.5,1.0,0.4
92,GA,nan,nan,4650.480732999999,3,100.0,30.1,0.4
93,MA,Barnstable County,Falmouth,99.09,1,100.0,0.1,1.9
94,MA,Berkshire County,Pittsfield,357.38,1,26.5,1.9,1.9
95,MA,Berkshire County,Tyringham,992.1200000000001,2,73.5,1.9,1.9
96,MA,Bristol County,Attleborough,1268.5,6,8.9,20.4,1.9
97,MA,Bristol County,Dighton,2712.82,4,19.1,20.4,1.9
98,MA,Bristol County,Freetown,133.34,1,0.9,20.4,1.9
99,MA,Bristol County,Norton,266.67,1,1.9,20.4,1.9
100,MA,Bristol County,Rehoboth,8270.92,13,58.1,20.4,1.9
101,MA,Bristol County,Somerset,30.45,1,0.2,20.4,1.9
102,MA,Bristol County,Swansea,1444.53,5,10.1,20.4,1.9
103,MA,Bristol County,Westport,106.57,1,0.7,20.4,1.9
104,MA,Essex County,Almsbury,110.59,2,0.8,19.8,1.9
105,MA,Essex County,Andover,2836.61,5,20.5,19.8,1.9
106,MA,Essex County,Beverly,1333.33,4,9.7,19.8,1.9
107,MA,Essex County,Haverhill,1336.8300000000002,5,9.7,19.8,1.9
108,MA,Essex County,Ipswich,585.76,3,4.2,19.8,1.9
109,MA,Essex County,Newbury Port,6091.2,15,44.1,19.8,1.9
110,MA,Essex County,Rowley,72.19,1,0.5,19.8,1.9
111,MA,Essex County,Salem,1437.65,2,10.4,19.8,1.9
112,MA,Hampshire County,Chesterfield,75.34,1,2.2,4.8,1.9
113,MA,Hampshire County,Granby,4.18,1,0.1,4.8,1.9
114,MA,Hampshire County,Hadley,0.0,1,0.0,4.8,1.9
115,MA,Hampshire County,Long Meadow,219.43,2,6.5,4.8,1.9
116,MA,Hampshire County,Ludlow,0.0,1,0.0,4.8,1.9
117,MA,Hampshire County,North Hampton,177.85,1,5.3,4.8,1.9
118,MA,Hampshire County,Springfield,2880.8599999999997,4,85.8,4.8,1.9
119,MA,Middlesex County,Cambridge,2118.7799999999997,5,78.0,3.9,1.9
120,MA,Middlesex County,Littleton,596.81,1,22.0,3.9,1.9
121,MA,Plymouth County,Bridgewater,192.71,1,42.0,0.7,1.9
122,MA,Plymouth County,Situate,266.67,1,58.0,0.7,1.9
123,MA,Suffolk County,Boston,22339.48,26,92.8,34.5,1.9
124,MA,Suffolk County,Roxbury,1204.7,2,5.0,34.5,1.9
125,MA,Suffolk County,Stoughton,533.33,1,2.2,34.5,1.9
126,MA,Worcester County,Dudley,98.48,1,2.3,6.1,1.9
127,MA,Worcester County,Grafton,434.6,1,10.2,6.1,1.9
128,MA,Worcester County,Liecester,266.67,1,6.3,6.1,1.9
129,MA,Worcester County,Sturbridge MA,222.32,1,5.2,6.1,1.9
130,MA,Worcester County,Sutton,376.55999999999995,2,8.8,6.1,1.9
131,MA,Worcester County,Worcester,2861.87,1,67.2,6.1,1.9
132,MA,York County,Kittery,1328.17,3,100.0,1.9,1.9
133,MA,nan,nan,4065.01,3,100.0,5.8,1.9
134,MD,Allegany County,nan,755.55,1,100.0,0.1,23.3
135,MD,Anne Arundel County,Annapolis,586235.98,200,97.7,70.7,23.3
136,MD,Anne Arundel County,nan,13611.109999999999,27,2.3,70.7,23.3
137,MD,Baltimore County,Baltimore,39374.985733,69,84.9,5.5,23.3
138,MD,Baltimore County,nan,7014.37,19,15.1,5.5,23.3
139,MD,Calvert County,nan,9468.98,4,100.0,1.1,23.3
140,MD,Caroline County,nan,413.05,2,100.0,0.0,23.3
141,MD,Cecil County,George,65194.99,13,99.8,7.7,23.3
142,MD,Cecil County,nan,159.27,2,0.2,7.7,23.3
143,MD,Charles County,nan,6991.23,11,100.0,0.8,23.3
144,MD,Dorchester County,Cambridge,18626.05,4,66.8,3.3,23.3
145,MD,Dorchester County,nan,9249.82,8,33.2,3.3,23.3
146,MD,Frederick County,Frederick,11048.11,10,61.7,2.1,23.3
147,MD,Frederick County,nan,6870.72,33,38.3,2.1,23.3
148,MD,Harford County,nan,5934.12,16,100.0,0.7,23.3
149,MD,Kent County,nan,158.2,1,100.0,0.0,23.3
150,MD,Montgomery County,nan,8964.5,20,100.0,1.1,23.3
151,MD,Prince Georges County,Bladensburg,704.31,2,2.8,3.0,23.3
152,MD,Prince Georges County,nan,24450.81,38,97.2,3.0,23.3
153,MD,Queen Annes County,nan,9677.81,4,100.0,1.1,23.3
154,MD,Somerset County,nan,5238.71,5,100.0,0.6,23.3
155,MD,St Marys County,nan,7615.83,10,100.0,0.9,23.3
156,MD,Talbot County,nan,585.74,4,100.0,0.1,23.3
157,MD,Washington County,nan,3760.7599999999998,4,100.0,0.4,23.3
158,MD,Worcester County,nan,2521.14,2,100.0,0.3,23.3
159,MD,nan,Isaac,26.93,1,0.8,0.4,23.3
160,MD,nan,nan,3407.2376,11,99.2,0.4,23.3
161,NC,Beaufort County,Washington,254.73,1,100.0,0.9,0.8
162,NC,Chowan County,Edenton,5513.57,12,100.0,19.1,0.8
163,NC,Craven County,Newbern,5639.79,10,100.0,19.5,0.8
164,NC,Cumberland County,Fayetteville,81.8,1,100.0,0.3,0.8
165,NC,Currituck County,nan,38.67,1,100.0,0.1,0.8
166,NC,Edgecombe County,Tarborugh,1330.16,1,74.4,6.2,0.8
167,NC,Edgecombe County,nan,458.54,1,25.6,6.2,0.8
168,NC,Halifax County,Halifax,169.49,3,100.0,0.6,0.8
169,NC,Hertford County,Murfrees Borough,71.11,2,100.0,0.2,0.8
170,NC,Mecklenburg County,nan,21.04,1,100.0,0.1,0.8
171,NC,New Hanover County,Wilmington,589.5600000000001,2,100.0,2.0,0.8
172,NC,Orange County,Hillsborough,78.89,2,100.0,0.3,0.8
173,NC,Perquimans County,nan,15.3,1,100.0,0.1,0.8
174,NC,Pitt County,nan,19.56,1,100.0,0.1,0.8
175,NC,Rockingham County,nan,38.83,1,100.0,0.1,0.8
176,NC,Rowan County,Salisbury,98.66,1,52.5,0.7,0.8
177,NC,Rowan County,nan,89.42,4,47.5,0.7,0.8
178,NC,Warren County,nan,127.28,2,100.0,0.4,0.8
179,NC,Wayne County,nan,85.25,1,100.0,0.3,0.8
180,NC,nan,nan,14197.8567,10,100.0,49.1,0.8
181,NH,Cheshire County,Acworth,50.8,1,4.1,1.0,3.4
182,NH,Cheshire County,Charleston,926.49,3,74.0,1.0,3.4
183,NH,Cheshire County,Keene,106.45,1,8.5,1.0,3.4
184,NH,Cheshire County,Newport in,168.28,1,13.4,1.0,3.4
185,NH,Grafton County,Alexandria,40.67,1,1.2,2.7,3.4
186,NH,Grafton County,Concord,3329.57,7,98.8,2.7,3.4
187,NH,Hillsborough County,Amherst,185.89999999999998,2,2.7,5.5,3.4
188,NH,Hillsborough County,Hollis,283.82,1,4.1,5.5,3.4
189,NH,Hillsborough County,Hopkinton,400.0,1,5.8,5.5,3.4
190,NH,Hillsborough County,Merrimac,4082.06,1,59.0,5.5,3.4
191,NH,Hillsborough County,Newbury,1414.7,3,20.5,5.5,3.4
192,NH,Hillsborough County,Pelham,64.17,1,0.9,5.5,3.4
193,NH,Hillsborough County,Pembroke,52.98,1,0.8,5.5,3.4
194,NH,Hillsborough County,Salisbury,431.21,1,6.2,5.5,3.4
195,NH,Rockingham County,Brintwood,146.16,1,0.1,82.8,3.4
196,NH,Rockingham County,Candia,1066.67,1,1.0,82.8,3.4
197,NH,Rockingham County,Canterbury,495.83,4,0.5,82.8,3.4
198,NH,Rockingham County,Deerfield,3677.87,1,3.6,82.8,3.4
199,NH,Rockingham County,Exeter,30837.74,29,29.8,82.8,3.4
200,NH,Rockingham County,Greenland,615.28,1,0.6,82.8,3.4
201,NH,Rockingham County,Hampton,7797.719999999999,7,7.5,82.8,3.4
202,NH,Rockingham County,Kensington,4027.66,4,3.9,82.8,3.4
203,NH,Rockingham County,Kingstown,398.93,1,0.4,82.8,3.4
204,NH,Rockingham County,London,4695.96,3,4.5,82.8,3.4
205,NH,Rockingham County,New Castle,172.49,1,0.2,82.8,3.4
206,NH,Rockingham County,Newtown,337.63,2,0.3,82.8,3.4
207,NH,Rockingham County,Nottingham,3975.85,1,3.8,82.8,3.4
208,NH,Rockingham County,Portsmouth,41300.04,64,40.0,82.8,3.4
209,NH,Rockingham County,Rye,139.91,1,0.1,82.8,3.4
210,NH,Rockingham County,Salem,3423.2400000000002,3,3.3,82.8,3.4
211,NH,Rockingham County,nan,205.19,2,0.2,82.8,3.4
212,NH,Strafford County,Barrington,543.5699999999999,2,8.6,5.1,3.4
213,NH,Strafford County,Dover,859.78,2,13.6,5.1,3.4
214,NH,Strafford County,Durham,532.29,3,8.4,5.1,3.4
215,NH,Strafford County,Gilmantown,2729.78,2,43.1,5.1,3.4
216,NH,Strafford County,Marbury,0.0,1,0.0,5.1,3.4
217,NH,Strafford County,Sandwich,205.17,1,3.2,5.1,3.4
218,NH,Strafford County,Somersworth,801.9499999999999,2,12.7,5.1,3.4
219,NH,Strafford County,Tamworth,303.42,1,4.8,5.1,3.4
220,NH,Strafford County,Wakefield,352.53,1,5.6,5.1,3.4
221,NH,York County,Wells,643.34,1,77.2,0.7,3.4
222,NH,York County,York,189.58,1,22.8,0.7,3.4
223,NH,nan,Glouster,1900.03,3,69.2,2.2,3.4
224,NH,nan,North Hampshire,778.04,1,28.3,2.2,3.4
225,NH,nan,nan,68.72,1,2.5,2.2,3.4
226,NJ,Burlington County,Burlington,0.0,1,0.0,0.7,0.8
227,NJ,Burlington County,Mount Holley,190.71,1,100.0,0.7,0.8
228,NJ,Cape May County,Cape May,62.89,2,100.0,0.2,0.8
229,NJ,Essex County,Newark,48.33,1,100.0,0.2,0.8
230,NJ,Hunterdon County,Trenton,1115.95,2,88.1,4.4,0.8
231,NJ,Hunterdon County,nan,151.4,1,11.9,4.4,0.8
232,NJ,Middlesex County,Middlesex,74.88,1,2.9,9.1,0.8
233,NJ,Middlesex County,New Brunswick,1330.3,2,51.4,9.1,0.8
234,NJ,Middlesex County,Princeton,1183.71,1,45.7,9.1,0.8
235,NJ,Monmouth County,nan,235.01,1,100.0,0.8,0.8
236,NJ,Somerset County,nan,16.67,1,100.0,0.1,0.8
237,NJ,Sussex County,Newton ship,311.99,1,100.0,1.1,0.8
238,NJ,nan,nan,23874.66,26,100.0,83.5,0.8
239,NY,Albany County,Albany,22.7,1,100.0,0.1,0.5
240,NY,New York County,City of New York,492.21000000000004,4,100.0,2.9,0.5
