,Original Name,Matches
197,John Dabney,John Abney
198,"John Davenport, Jun.",John Davenport
199,John Davis,John Davies
200,John Davis,John Davis Williams
201,John Davis,John G Davis
202,John DeWitt,John L Dewitt
203,John Easton,John Eaton
204,John Eborn,John Heborn
205,John Edwards,John Edward
206,John Edwards,John Jr. Edwards
207,John Edwards,John Sr. Edwards
208,John Elliot,John Elliott
209,John Elliot,John elliott deceased
210,John F. Mercer,John Mercer
211,John Fowler,John Fowle
212,John Francis Mercer,John Francis
213,John G. Scull,John Scull
214,John H. Bryan,John Bryan
215,John H. Bryan,John O'Bryan
216,John Hamilton,John A Hamilton
217,John Hamilton,John Hammilton
218,John Haring,John D Harring
219,John Haring,John Harding
220,John Harris,John 2d Harris
221,John Harris,John Jr. Harris
222,John Howell Briggs,John Howel
223,John Howell Briggs,John Howell
224,John Hunt,John S Hunt
225,John Jacob Faesch ,John Jacob
226,John Jacob Faesch ,John Jacob Faesh
227,John Jacob Faesch ,John Jacobs
228,John Jay,John Jay Bleecker
229,John Johnston,John Johnson
230,John Johnston,John Johnstone
231,John Jones,John Johnes
232,John Jones,John Joynes
233,John Jones,John Paul Jones
234,John K. Smith,John K Smith
235,John K. Smith,John Smith
236,John Lansing Jr.,John Lansing
237,"John Lansing, Jun. ",John Lansing
238,John Lewis Bourquin,John Lewis
239,John Lewis Bourquin,John lewis
240,John Lewis Gervias,John Lewis
241,John Lewis Gervias,John lewis
242,John Lindsey,John Linsey
243,John Linton,John Clinton
244,John Lowry,John Lowrey
245,John Ludwig,John M'Ludwig
246,John Matthews,John Mathews
247,John Miller,John 1st Miller
248,John Miller,John 2d Miller
249,John Miller,John C Miller
250,John Miller,John George Miller
251,John Miller,John M'Miller
252,John Miller,John P Miller
253,John Minot,John Minots
254,John Minot,John Minott
255,John Montgomery,John Mongomery
256,John Moore,John Moores
257,John Moore,John W Moore
258,John Neilson,John Jr. Neilson
259,John Neilson,John Nelson
260,John Neilson,John Nilson
261,John Nesbitt (Nisbet),John Nesbitt
262,John Nevill,John Neill
263,John Parnham,John Parham
264,John Pickering,John Gee Pickering
265,John Richards,John Richard
266,John Richards,John Richard Watrous
267,John Rutherford,John rutherford deceased
268,John Schenck,John H Schenck
269,John Schenck,John P Schenck
270,John Schenck,John P Schenk
271,John Schenck,John Schenk
272,John Scott,John Scott Clark
273,John Sheaman Woodcock,John Shearman
274,John Simmons,John C Simons
275,John Simmons,John Simmonds
276,John Simmons,John Simons
277,John Skinner,John Kinner
278,John Smith,John 1st Smith
279,John Smith,John 2d Smith
280,John Smith,John 3d Smith
281,John Smith,John 4th Smith
282,John Smith,John C Smith
283,John Smith,John Jr. Smith
284,John Smith,John K Smith
285,John Smith,John L Smith
286,John Smith,John Nic Smith
287,John Smith,John Sr. Smith
288,John Steele,John P Steel
289,John Steele,John Seele
290,John Steele,John Steel
291,John Stevens,John Steven
292,John Taylor,John 1st Taylor
293,John Taylor,John 2d Taylor
294,John Taylor,John Spencer Taylor
295,John Taylor,John Taylor Gilman
296,John Taylor,John Tylor
297,John Taylor Gilman,John Gilman
298,John Taylor Gilman,John Taylor
299,John Thomas,John A Thomas
300,John Thomas,John G Thomas
301,John Thomas,Thomas John
302,John Thompson,John Thomson
303,John Thompson,John Tompson
304,John Treadwell,John Tredwell
305,"John Tyler, Sr.",John Tyler
306,John Welton,John Welon  Bouch
307,John Wilder,John George Wilder
308,John Williams,John 1st Williams
309,John Williams,John 2d Williams
310,John Williams,John Davis Williams
311,John Williams,John F Williams
312,John Williams,John Foster Williams
313,John Williams,John M Williams
314,John Williams,John Mc Williams
315,John Williams,John Wiliams
316,John Williams,John William
317,John Williams,William John
318,John Willis,John Wills
319,John Wilson,John 2d Wilson
320,John Wilson,John Willson
321,Jonathan Clark,Jonathan Clarke
322,Jonathan Dayton,Jonathan I Dayton
323,Jonathan Gillet,Jonathan Gillett
324,Jonathan Green,Jonathan Greene
325,Jonathan Patteson,Jonathan Patterson
326,Jonathan Randall,Jonathan Crandall
327,Jonathan Smith,Jonathan B Smith
328,Jonathan Smith,Jonathn Smith
329,Joseph Barker,Joseph Baker
330,Joseph Brown,Joseph 1st Brown
331,Joseph Brown,Joseph J Brown
332,Joseph Brown,Joseph T Brown
333,Joseph Douglass,Joseph Douglas
334,Joseph Heister,Joseph Hester
335,Joseph Hosmer,Joseph Osmer
336,Joseph Hutchins,Joseph Hutchings
337,Joseph Jackson,Joseph Jackson brookline
338,Joseph Kimball,Joseph Kimbal
339,Joseph Martin,Joseph P Martin
340,Joseph Mosely,Joseph Moseley
341,Joseph Moss White,Joseph Moss
342,Joseph Moss White,Joseph White
343,Joseph Powell,Joseph Prowell
344,Joshua Saxon,Joshua Saxton
345,King William,William King
346,Ladd William,William Ladd
347,Lemuel Sandford,Lemuel Sanford
348,Leonard Williams,William Leonard
349,Levi Whitman,Levi Whiteman
350,Luther Martin,Martin Luther
351,Manchester Isaac,Isaac Manchester
352,Michael Jenifer Stone,Michael Stone
353,Miller Nathan,Nathan Horton Miller
354,Miller Nathan,Nathan Miller
355,Moses Chamberlain,Moses Chamberlin
356,Nathaniel Robbins,Nathaniel Robins
357,Nathaniel Rogers,Nathaniel R Rogers
358,Nathaniel Russell,Nathaniel Russel
359,Nicholas Breading,Nicholas Reading
360,Nicholas Gilman,Nichols Gilman
361,Nicholas Lewis Sewall,Lewis Nichols
362,Nichols William,Nicholas Williams
363,Nichols William,William Nicholas
364,Nichols William,William Nicholls
365,Nichols William,William Nichols
366,Oliver Elsworth,Oliver Ellsworth
367,Pearce Samuel,Samuel Pearce
368,Peter Bennett,Peter Bennet
369,Peter Fayssoux,Peter Fassoux
370,Peter Lefferts,Peter Leffert
371,Peter Vandevoort,Peter Vandervoort
372,Peter Vrooman,Peter C Vrooman
373,Peter Vrooman,Peter I Vroman
374,Peter Vrooman,Peter Vroman
375,Philip Burr Bradley,Burr Bradley
376,Philip Burr Bradley,PhilipB Bradley
377,Philip Van Cortlandt,Philip Cortlandt
378,Potter Samuel J,Samuel Potter
379,Reynolds Joseph,Joseph Renolds
380,Reynolds Joseph,Joseph Reynolds
381,Reynolds Joseph,Joseph Rynolds
382,Rice Thomas,Thomas Rice
383,Richard Barnes,Richard Barns
384,Richard F. Cutts,Richard F Cutts
385,Richard Smith,Smith Richards
386,Richard Thomas,Thomas Prichard
387,Richard Thomas,Thomas Richards
388,Robert Alexander,Alexander Roberts
389,Robert B. Wilkins,Robert B Wilkins
390,Robert B. Wilkins,Robert Wilkin
391,Robert B. Wilkins,Robert Wilkins
392,Robert Daniel,Daniel P Roberts
393,Robert Daniel,Daniel Roberts
394,Robert Edwards,Edward Roberts
395,Robert R. Livingston,Robert Livingston
396,Robert R. Livingston,Robert R Livingston
397,Robert Williams,Robert William
398,Robert Williams,William Robert Buchanan
399,Robert Williams,William Roberts
400,Robert Williams,william roberts
401,Robert Wilson,Robert Willson
402,Robert Wilson,Robert Wilson 3rd
403,Roger Parker Saunders,Parker Rogers
404,Roger Parker Saunders,Roger Sanders
405,Samuel  Richardson,Samuel Richardson
406,Samuel Adams,Samuel Addams
407,Samuel Baker,Samuel A Baker
408,Samuel Baker,Samuel Backer
409,Samuel Baker,Samuel Barker
410,Samuel Baker,Samuel Blaker
411,Samuel Earle,Samuel Searle
412,Samuel Edmison,Samuel Edmiston
413,Samuel H. Parsons,Samuel H Parsons
414,Samuel H. Parsons,Samuel Parsons
415,"Samuel Hopkins, Jun.",Samuel Hopkins
416,Samuel Johnston,Samuel Johnson
417,Samuel Jones,Samuel P Jones
418,Samuel Langdon,Samuel Landon
419,Samuel Mason,Samuel Marson
420,Samuel Orton,Samuel Horton
421,Samuel Orton,Samuel Morton
422,Samuel Orton,Samuel Norton
423,Samuel Simpson,Samuel Simson
424,Samuel Smith,Samuel 2d Smith
425,Samuel W. Stockton,Samuel Stockton
426,Samuel W. Stockton,Samuel W Stockton
427,Sands Ray,Ray Sands
428,Sears George,George Hall  Sears
429,Sears George,George Sears
430,Simeon Bright,Simon Bright
431,Simeon Smith,Simon Smith
432,Slocum Giles,Giles Slocum
433,Stanton Joseph,Joseph Stanton
434,Stanton Joseph,Joseph Staton
435,Stephen Billings,Stephens Billings
436,Stephen Mix Mitchell,Stephen Mitchell
437,Stephen Mix Mitchell,Stephen Mix
438,Stevens Thomson Mason,Stevens Mason
439,Stone Peter,Peter Stone
440,Thomas  Collins,Thomas Collins
441,Thomas Arthur,Thomas Arthurs
442,Thomas Brown,Thomas Jr. Brown
443,Thomas Brown,Thomas Sr. Brown
444,Thomas Chase,Thomas Chasey
445,Thomas Cheney,Thomas Chesney
446,Thomas Daniell,Daniel Thomas
447,Thomas Davis,Thomas Davies
448,Thomas Davis,Thomas I Davis
449,Thomas Edmunds,Edmund D Thomas
450,Thomas Edmunds,Edmund Thomas
451,Thomas FitzSimons; Fitzsimmons,Thomas Fitzsimmon
452,Thomas Gaskins,Thomas Askins
453,Thomas H. Perkins,Thomas Perkins
454,Thomas Hines,Thomas Haines
455,Thomas Johnson,Thomas Johnston
456,Thomas Johnston,Thomas Johnson
457,Thomas Jones,Thomas Johnes
458,Thomas Kittridge,Thomas Kitteridge
459,Thomas Lewis,Lewis Thomas
460,Thomas Matthews,Matthew Thomas
461,Thomas Matthews,Thomas Mathews
462,Thomas Mighill,Thomas Mighills
463,Thomas Owen,Owen Thomas
464,Thomas P. Williams,Thomas Williams
465,Thomas Person,Thomas Pearson
466,Thomas Person,Thomas Pierson
467,Thomas Reynolds,Thomas reynolds deceased
468,Thomas Russel,Thomas C Russell
469,Thomas Russel,Thomas Russell
470,Thomas Sim Lee,Thomas Lee
471,Thomas Walke,Thomas Walker
472,Thomas Walter,Thomas Water
473,Thomas Wastson,Thomas W Watson
474,Thomas Wastson,Thomas Watson
475,Thomas Williams,Thomas M Williams
476,Thomas Williams,William Thomas
477,Thomas Williams,William Thoms
478,Tristam Dalton,Tristram Dalton
479,Volkert Veeder,Volkert S Veeder
480,Walter Smith,Water Smith
481,Wilcox Job,Job Wilcox
482,Wilcox Job,Job Willcox
483,William  Findley,William Findley
484,William  Findley,William Finley
485,William  Gold,William Gold
486,William Abbott,William Abbot
487,William B. Grove,William Groves
488,William Bailey ,Willam Bailey
489,William Bailey ,William Baily
490,William Baylies,William Bayles
491,William Baylies,William Baylis
492,William Brown,William Browne
493,William Brown,William Sh Brown
494,William Brown,William Shepard Brown
495,William Brown,William Sheph Brown
496,William Brown,william brown foggo
497,William Butler,William Buttler
498,William C. Houston,William C. Huston
499,William C. Houston,William Houston
500,William C. Houston,William Huston
501,William Cabell,William Cambell
502,"William Deakins, Jun.",William Deakins
503,William Dobbin,William Dobbins
504,William E. Erwin,William Erwin
505,William E. Erwin,William Erwine
506,William E. Lord,William Lord
507,William Elliot,William Elliott
508,William Gray Jun.,William Gray
509,William Hart,William D Hart
510,William Hayes,William Haynes
511,William Heath,M.G William Heath
512,William Heath,William (M.G) Heath
513,William Heron,William Herron
514,William Houston,William Huston
515,William Houstoun,William Houston
516,William Johnson,William Johnston
517,William Johnson,Williams Johnson
518,William Johnston,William Johnson
519,William Johnston,William Johnstone
520,William Johnston,William Johnstons
521,William Johnston,William Sr. Johnston
522,William Johnston,Williams Johnson
523,William Johnston Dawson,William Johnston
524,William Jones,William 1st Jones
525,William Jones,William 2nd Jones
526,William Jones,William Johnes
527,William Kennedy,William Mc Kenney
528,William L. Pierce,William Pierce
529,William Martin,William Martain
530,William Mason,William Malson
531,William Mason,William Matson
532,William Mayhew,William Mahew
533,William Meyer,William Meyers
534,William Morris,William Moris
535,William Moultrie,William Moultrice
536,William Moultrie,William Sr. Moultrie
537,William N. Hill,William Hill
538,William Paterson,William Palterson
539,William Paterson,William Patterson
540,William Patterson,William Paterson
541,William Phillips,Wiliam Phillips
542,William Phillips,William Philips
543,William R. Davie,William Davies
544,William Richardson Davie,William Richardson
545,William Robison,William Robinson
546,William S. Marnes,William S
547,William Samuel Johnson,Samuel Johnson
548,William Samuel Johnson,William Johnson
549,William Scott,Wiliam Scott
550,William Simpson,William Simson
551,William Simpson,William Stimpson
552,William Smith,William 2d Smith
553,William Smith,William D Smith
554,William Smith,William Hooker Smith
555,William Smith,William J Smith
556,William Smith,William L Smith
557,William Smith,William Lovett Smith
558,William Smith,William O. Smith
559,William Smith,William P Smith
560,William Smith,William S Smith
561,William Smith,William V Smith
562,William Sommersall,William Somersall
563,William Stevens,William S Stevens
564,William Thompson,William Thomson
565,William Watkins,William Atkins
566,William Williams,William Mc Williams
567,William Williams,William Willamson
568,William Williams,William Williamson
569,William Williams,William Willis
570,William Wilson,William Willson
571,Williams John,John 1st Williams
572,Williams John,John 2d Williams
573,Williams John,John Davis Williams
574,Williams John,John F Williams
575,Williams John,John M Williams
576,Williams John,John Mc Williams
577,Williams John,John Wiliams
578,Williams John,John William
579,Williams John,John Williams
580,Williams John,William John
581,Williams John,William John Molnerear
582,Williams John,William St John
583,Williams John,john williams
584,Allen Samuel,Samuel Allen Otis
585,Arnoldus Vanderhorst,Arnoldus  Vanderhorst
586,Barker Abraham,Abraham Barker
587,Benjamin Jones,Benjamin Jones and Co
588,Benjamin Thomas,Thomas and Benjamin Harwood
589,Benjamin West,Benjamin F West
590,Bosworth Benjamin,Benjamin Bosworth
591,Champlin George,George Champlin
592,Charles Pinckney,Charles Coteaworth  Pinckney
593,Christopher Toppan,Christopher  Toppan
594,Daniel Carroll,Daniel Carroll Brent
595,Daniel DeSaussure,Daniel  DeSaussure
596,Daniel of St. Thomas Jenifer,Daniel Jenifer
597,David Smith,David  Smith
598,David Smith,David  Smith and Co
599,Edmund J. Randolph,Edmund Randolph
600,Edmund Taylor Jr.,Edmund Taylor
601,Ephraim Root,Ephraim and Phoebe Root
602,Gabriel Manigault,Gabriel  Manigault
603,George Clinton,George  Clinton 
604,Hardy Murfee,Hardy Murfree
605,Hazard George,George C Hazard
606,Hazard George,George Hazard
607,Isaac Coles,Isaac Cowles
608,James Anderson,James Sanderson
609,James Davenport,John and James Davenport
610,James Gordon,James Gordon Heron
611,James Gordon Heron,James Heron
612,James Madison Jr.,James Maddison
613,James Madison Jr.,James Madison
614,"James Madison, Jun.",James Madison
615,James Potter,Richard and James Potter
616,James Thomas,James  Thomas
617,James Thompson,James H Thomson
618,James Williams,James  Williams
619,Jeremiah Wadsworth,Jeremiah  Wadsworth
620,John Coffin Jones,Coffin Jones
621,John Collins,John Collin 
622,John Davis,John R Davies
623,John DeWitt,John L DeWitt
624,John Edwards,John  Edwards
625,John Fell,John  Fell 
626,John Hunn,John L Hunn
