,Original Name,Matches
799,Robert Buchanan,William Robert Buchanan
800,John Maxwell Nesbitt,John Maxwell
801,William Montgomery Sterrett,William Montgomery
802,Distressed Presbyterian Ministers,Corporation for relief of poor and distressed presbyterian ministers 
803,Distressed Presbyterian Ministers,Corporation for the Relief of Poor and Distressed Presbyterian Ministers 
804,Isaac Wikoff,Peter Isaac Wikoff
805,James Johnston John McDowell,James John
806,Joseph Stiles for Society,Joseph Stiles
807,George Clymer,his inlaws george clymer
808,Corporation for the Relief of Poor,Corporation for the Relief of Poor and Distressed Presbyterian Ministers 
809,James Johnston John McDowell,John McDowell
810,John Pringle,John Pringle Ve Ex
811,William Williams,William S
812,John Kline,John Isaac Kline
813,Peter Wikoff,Peter Isaac Wikoff
814,John Jones,John Paul Jones
815,John Smith,John Nicholas Smith
816,Richard Bryant,Richard Bryan
817,Philip Key,Phillip Key
818,John Thomas,John A Thomas
819,Charles A Warfield,Charles Warfield
820,Samuel T Wright,Samuel Wright
821,John L Gibson,John Gibson
822,Matthias Shrub,Mathias Shrubb
823,Ezekiel John Dorsey,John Dorsey
824,Philip Barton Key,Phillip Key
825,John Smith Brookes,John Brooke
826,Benjamin Johnson,Benjamin Johnston
827,Mathew Pearson,Matthew Pearson
828,Thomas Colson,Thomas Colston
829,William Harvey,William Harvy
830,Willam Bryan,William Bryan
831,Richard E Lee,Richard Lee
832,John Carter,John Carter jr
833,George Carrington,George Carrington Jr
834,Benjamin Ruffin,Benjamin Ruffin Jr
835,James Ladd Executor of Atkinsons Est ,James Ladd
836,James Mercer for Samuel Seldens Wars ,James Mercer
837,Richard Taylor,Richard Squire Taylor
838,Francis Lee,Francis Lightfoot Lee
839,Winthrop Sargent,Winthrop Sargeant
840,Nehemiah Parson,Nehemiah Parsons
841,Benjamin Titcomb,Benjamin Ticomb
842,Jacob Treadwell,Jacob Tredwell
843,Benjamin Brown,Benjamin Browne
844,Thomas Williams,Thomas M Williams
845,William Gray,William Gray 3rd
846,Joseph H Shepard,Joseph Shepard
847,Enoch Titcomb,Enoch Titcomb 3rd
848,Samuel McClellan,Samuel McLellan
849,Benjamin Summer,Benjamin Summers
850,William Morris,William Moris
851,John Humpheys,John Humphreys
852,Abijah Savage,Habijah Savage
853,Susannah White,Susanna White
854,John Humphrey,John Humphreys
855,Hannah Hawley,Hannah Haley
856,John Williams,John William
857,John Thompson,John Tompson
858,Caleb Fowler,Caleb Fowle
859,John Tyler,John Tayler
860,Timothy Green,Timothy J. Green
861,Thomas C Green,Thomas Green
862,Joseph P Cooke,Joseph Cooke
863,Samuel W Williams,Samuel Williams
864,William St John,William John
865,William St John,John William
866,John Norton,John H Norton
867,Robert C Johnson,Robert Johnson
868,John Williams,John Davis Williams
869,John Williams,John F Williams
870,John Williams,John M Williams
871,Nicholas Cruger,Nicolas Cruger
872,Ebenezer Storer,Ebenzer Storer
873,Helena Bogart,Helenah Bogart
874,Helena Bogart,Helenat Bogart
875,William Rogers,William Roger
876,Robert R Randall,Robert Randall
877,John L Hunn,John Hunn
878,John R B Rogers,John Rogers
879,William W Morris,William Morris
880,Philip Stockton,Phillip Stockton
881,Michael Burke,Michael Bourke
882,James Wilson,James Willson
883,Thomas Jones,Thomas Johnes
884,John Stricker,John Striker
885,Samuel Hayes,Samuel Haynes
886,John Bennet,John Bennett
887,David Evans,David Devans
888,John Craig,John Craige
889,John Brown,John Browne
890,John Olden,John Golden
891,George Washington,George Washington Esqr
892,Jonathan B Smith,Jonathan Smith
893,Thomas L Moore,Thomas Moore
894,Christopher Johnston,Christopher Johnson
895,William Matthews,William Mathews
896,Thomas Thornton,Thomas Thorton
897,William Miller,William Millner
898,Samuel Sterett,Samuel Steret
899,Henry Gardiner,Henry Gardner
900,Robert Gilmor,Robert Gilmore
901,William  Sharp,William Sharp
902,William Faris,William Farris
903,Sarah Marshall,Sarah Marshal
904,Joshua Howard,Josua Howard
905,John Davidson,John Davison
906,Thomas Waters,Thomas Water
907,Thomas Beatty,Thomas Beaty
908,Samuel Beall,Samuel Bealle
909,Peter Hoffman,Peter Hofman
910,Daniel Clarke,Daniel Clark
911,Jacob Walter,Jacob Alter
912,Sam Smith,Sam S Smith
913,Alexander Lawson Smith,Alexander Smith
914,John Thompson Mason,John Thompson
915,Samuel Jn Smith,Samuel Smith
916,William Miller,William F Miller
917,John Ashton,John Ashton Jr
918,John E Howard,John Howard
919,Wiliam Alexander,William Alexander
920,Nathaniel Steele,Nathaniel Seele
921,William Price,William Prince
922,John Hamilton,John Hammilton
923,John Robinson,John Robbinson
924,George Mofatt,George Moffatt
925,William Hines,William Haines
926,David Stuart,David Steuart
927,Robert Means,Robert Mearns
928,Thomas Perice,Thomas Price
929,Willam White,William White
