,Delegates,Loan Matches,Scores,state
3133,John Smith,John Smith,100.0,Marine
1683,David Bell,David Bell,100.0,Marine
1382,William Morris,William Morris,100.0,Marine
991,William Hart,William Hart,100.0,Marine
6977,David Rice,David Rice,100.0,Marine
7759,John Rhea,John Rhea,100.0,Marine
7948,John Brown,John Brown,100.0,Marine
5096,William Scott,William Scott,100.0,Marine
3971,Benjamin Browne,Benjamin Brown,96.55172413793103,Marine
7605,Samuel Johnston,Samuel Johnson,96.55172413793103,Marine
7757,George Houser,George House,96.0,Marine
434,John Elliot,John Elliott,95.65217391304348,Marine
6463,Williams John,John Williams,95.0,Marine
6423,Brown John,John Brown,95.0,Marine
6375,Davis John,John Davis,95.0,Marine
6266,Clark John I,John Clark,95.0,Marine
8280,Nathaniel Rogers,Nathaniel R Rogers,95.0,Marine
4579,John K. Smith,John Smith,95.0,Marine
3590,William Brown,william brown foggo,95.0,Marine
7162,James White,James white deceased,90.0,Marine
467,John Rutherford,John rutherford deceased,90.0,Marine
435,John Elliot,John elliott deceased,90.0,Marine
8122,John Taylor Gilman,John Taylor,90.0,Marine
114,Thomas Reynolds,Thomas reynolds deceased,90.0,Marine
2344,Robert Williams,william roberts,88.66666666666666,Marine
4998,Daniel Cannon,Daniel mc cannon deceased,85.5,Marine
3712,John Coffin Jones,John Jones,85.5,Marine
906,William Williams,William hamilton deceased,85.5,Marine
905,William Williams,William russell deceased,85.5,Marine
210,Jeremiah Wadsworth,Jeremiah Wadsworth,100.0,CT
471,Cornelius Higgins,Cornelius Higgins,100.0,CT
483,Ephraim Root,Ephraim Root,100.0,CT
218,Elisha Pitkin,Elisha Pitkin,100.0,CT
487,Isaac Foot,Isaac Foot,100.0,CT
492,Seth Crocker,Seth Crocker,100.0,CT
494,Hezekiah Holcomb,Hezekiah Holcomb,100.0,CT
496,David Todd,David Todd,100.0,CT
665,William Morris,William Morris,100.0,CT
1531,Jonathan Roberts,Jonathan Roberts,100.0,CT
1886,Ephraim Williams,Ephraim Williams,100.0,CT
2838,John Allen,John Allen,100.0,CT
2967,John Baker,John Baker,100.0,CT
3223,John Skinner,John Skinner,100.0,CT
474,Hezekiah Lane,Hezekiah Lane,100.0,CT
485,John Phelps,John Phelps,100.0,CT
470,Jabez Chapman,Jabez Chapman,100.0,CT
304,Charles Phelps,Charles Phelps,100.0,CT
251,Samuel Canfield,Samuel Canfield,100.0,CT
252,Daniel Everitt,Daniel Everitt,100.0,CT
256,Joseph Mosely,Joseph Mosely,100.0,CT
257,Wait Goodrich,Wait Goodrich,100.0,CT
264,John Chester,John Chester,100.0,CT
272,Daniel Holbrook,Daniel Holbrook,100.0,CT
282,Samuel Huntington,Samuel Huntington,100.0,CT
428,Charles Burrall,Charles Burrall,100.0,CT
412,Asa Witter,Asa Witter,100.0,CT
461,Asher Miller,Asher Miller,100.0,CT
431,Daniel Miles,Daniel Miles,100.0,CT
430,Nathan Hale,Nathan Hale,100.0,CT
286,Jedediah Huntington,Jeddediah Huntington,97.43589743589743,CT
1339,Peter Vandevoort,Peter Vandervoort,96.96969696969697,CT
435,John  Whittlesey,John Whittlesey,96.7741935483871,CT
2910,John Thompson,John Thomson,96.0,CT
258,John Curtiss,John Curtis,95.65217391304348,CT
1181,John  Allen,John Allen,95.23809523809524,CT
320,"John Davenport, Jun.",John Davenport,95.0,CT
2622,William Kennedy,William Mc Kenney,87.5,CT
1573,John Bishop,John Bishop,100.0,DE
1527,John Black,John Black,100.0,DE
2842,John Hall,John Hall,100.0,DE
2659,Jacob Brown,Jacob Brown,100.0,DE
2337,John Kean,John Kean,100.0,DE
1673,Joseph Jackson,Joseph Jackson,100.0,DE
1586,William Brown,William Brown,100.0,DE
99,William Hall,William Hall,100.0,DE
3156,David Caldwell,David Caldwell,100.0,DE
1120,William McKee,William McKee,100.0,DE
1031,John Evans,John Evans,100.0,DE
1014,William White,William White,100.0,DE
767,Thomas Read,Thomas Read,100.0,DE
738,George Parker,George Parker,100.0,DE
133,Solomon Maxwell,Solomon Maxwell,100.0,DE
126,James Black,James Black,100.0,DE
132,Thomas Wastson,Thomas Watson,96.29629629629629,DE
1548,James Morris,James Morriss,96.0,DE
2778,Williams John,William John,96.0,DE
12,John Beatty,John Beaty,95.23809523809524,DE
1799,Daniel Adams,Daniel J Adams,95.0,DE
2750,Bradford William,William Bradford,95.0,DE
1577,William  Findley,William Finley,93.33333333333333,DE
1129,John Williams,William John,91.19999999999999,DE
1800,Daniel Adams,Daniel Jenifer Adams,85.5,DE
5136,James Stewart,James Stewart,100.0,MA
4618,Comstock Betts,Comstock Betts,100.0,MA
4609,John Ashley,John Ashley,100.0,MA
4597,Moses Davis,Moses Davis,100.0,MA
4521,Joseph Stone,Joseph Stone,100.0,MA
4461,Seth Newton,Seth Newton,100.0,MA
4437,John Sprague,John Sprague,100.0,MA
4367,Joseph Palmer,Joseph Palmer,100.0,MA
4086,Benjamin Sheldon,Benjamin Sheldon,100.0,MA
7768,Thomas Chase,Thomas Chase,100.0,MA
7710,William Simpson,William Simpson,100.0,MA
7371,Benjamin Jones,Benjamin Jones ,100.0,MA
7303,Thomas Johnston,Thomas Johnston,100.0,MA
6678,Robert Montgomery,Robert Montgomery,100.0,MA
6527,Henry Hill,Henry Hill,100.0,MA
6431,Enoch Sawyer,Enoch Sawyer,100.0,MA
6289,John Hay,John Hay,100.0,MA
4006,Daniel Whitney,Daniel Whitney,100.0,MA
2519,John Williams,john williams,100.0,MA
1055,Ebenezer White,Ebenezer White,100.0,MA
606,John Holbrook,John Holbrook,100.0,MA
605,Daniel Holbrook,Daniel Holbrook,100.0,MA
7833,John Cochran,John Cochran,100.0,MA
3653,William Phillips,William Phillips,100.0,MA
3656,John Coffin Jones,John Coffin Jones,100.0,MA
3978,Francis Dana,Francis Dana,100.0,MA
3864,John Glover,John Glover,100.0,MA
3827,Ebenezer Warren,Ebenezer Warren,100.0,MA
3815,George Payson,George Payson,100.0,MA
3770,William Heath,William Heath,100.0,MA
3839,Tristam Dalton,Tristram Dalton,96.55172413793103,MA
1455,Thomas Johnson,Thomas Johnston,96.55172413793103,MA
3767,Thomas Russel,Thomas Russell,96.29629629629629,MA
3983,Joseph Hosmer,Joseph Osmer,96.0,MA
1030,Samuel Orton,Samuel Norton,96.0,MA
4951,John Edwards,John Edward,95.65217391304348,MA
7176,Edward Williams,edward p williams,95.0,MA
6041,Williams John,john williams,95.0,MA
7252,John Scott,John Scott Clark,90.0,MA
2182,Stevens Thomson Mason,Stevens Mason,85.5,MA
3735,John Coffin Jones,John Jones,85.5,MA
260,John Jones,John Coffin Jones,85.5,MA
547,John Marshall,John Marshall,100.0,NH
589,John Evans,John Evans,100.0,NH
927,Isaac Mansfield,Isaac Mansfield,100.0,NH
1978,Benjamin Bellows,Benjamin Bellows,100.0,NH
1981,Icabod Weeks,Ichabod Weeks,96.0,NH
186,"John Davenport, Jun.",John Davenport,95.0,NH
335,Gustavus Richard Brown,Richard Brown,90.0,NH
0,John Stevens,John Stevens,100.0,NJ
9830,Thomas Taylor,Thomas Taylor,100.0,NJ
8794,Samuel Smith,Samuel Smith,100.0,NJ
8598,John Lloyd,John Lloyd ,100.0,NJ
8395,William Smith,William Smith,100.0,NJ
8391,Benjamin Smith,Benjamin Smith,100.0,NJ
7748,Moses Davis,Moses Davis,100.0,NJ
7691,John Dunlap,John Dunlap,100.0,NJ
7469,John Taylor,John Taylor,100.0,NJ
7440,Samuel Baker,Samuel Baker,100.0,NJ
14,John Fell,John Fell,100.0,NJ
7199,John Turner,John Turner,100.0,NJ
6771,Samuel Reed,Samuel Reed,100.0,NJ
6479,Joseph Wood,Joseph Wood,100.0,NJ
6458,Thomas Jones,Thomas Jones,100.0,NJ
6408,Joseph Jackson,Joseph Jackson,100.0,NJ
6251,John Hancock,John Hancock,100.0,NJ
6134,James Edgar,James Edgar,100.0,NJ
9800,John Hampton,John Hampton,100.0,NJ
9848,John Cook,John Cook,100.0,NJ
5943,Thomas Scott,Thomas Scott,100.0,NJ
10022,Joseph Brown,Joseph Brown,100.0,NJ
13506,William Abbott,William Abbott,100.0,NJ
13498,Jonathan Freeman,Jonathan Freeman,100.0,NJ
12947,John Brown,John Brown,100.0,NJ
12738,Daniel Smith,Daniel Smith,100.0,NJ
11797,Jacob Johnston,Jacob Johnston,100.0,NJ
11583,John Hunt,John Hunt,100.0,NJ
11565,John Anderson,John Anderson,100.0,NJ
11516,Henry Baker,Henry Baker,100.0,NJ
11121,James Anderson,James Anderson,100.0,NJ
11101,John Thompson,John Thompson,100.0,NJ
10978,John Easton,John Easton,100.0,NJ
10817,John Allen,John Allen,100.0,NJ
10343,James Thomas,James Thomas,100.0,NJ
5979,James Campbell,James Campbell,100.0,NJ
13509,William Simpson,William Simpson,100.0,NJ
1715,William Hart,William Hart,100.0,NJ
1974,Walter Smith,Walter Smith,100.0,NJ
5745,John Black,John Black,100.0,NJ
1233,John Beach,John Beach,100.0,NJ
2542,Richard Potts,Richard Potts,100.0,NJ
1153,Samuel Huntington,Samuel Huntington,100.0,NJ
1048,John Chandler,John Chandler,100.0,NJ
3662,Robert Andrews,Robert Andrews,100.0,NJ
3839,William White,William White,100.0,NJ
3847,John Logan,John Logan,100.0,NJ
800,Jacob Weed,Jacob Weed,100.0,NJ
626,James Black,James Black,100.0,NJ
215,Thomas Reynolds,Thomas Reynolds,100.0,NJ
109,John Chetwood,John Chetwood,100.0,NJ
5572,Lewis Morris,Lewis Morris,100.0,NJ
153,David Crane ,David Crane,100.0,NJ
178,Benjamin Manning ,Benjamin Manning,100.0,NJ
179,Elisha Lawrence,Elisha Lawrence,100.0,NJ
5424,Samuel Jones,Samuel Jones,100.0,NJ
420,John Jones,John Jones,100.0,NJ
5335,John Wood,John Wood,100.0,NJ
4868,John DeWitt,John Dewitt,100.0,NJ
361,Robert Ogden,Robert Ogden,100.0,NJ
363,Thomas Anderson,Thomas Anderson,100.0,NJ
1675,David Smith,David Smith,100.0,NJ
253,John Jacob Faesch ,John Jacob Faesh,96.96969696969697,NJ
5852,William Wilson,William Willson,96.55172413793103,NJ
7274,William Baylies,William Bayles,96.55172413793103,NJ
7740,William Jones,William Johnes,96.29629629629629,NJ
11313,Thomas Person,Thomas Pearson,96.29629629629629,NJ
4256,Thomas Walke,Thomas Walker,96.0,NJ
12930,Thomas Hines,Thomas Haines,96.0,NJ
615,Joseph Barker,Joseph Baker,96.0,NJ
11102,John Thompson,John Thomson,96.0,NJ
5428,John Schenck,John Schenk,95.65217391304348,NJ
12458,Isaac Clarke,Isaac Clark,95.65217391304348,NJ
11802,John Moore,John Moores,95.23809523809524,NJ
4406,John  Allen,John Allen,95.23809523809524,NJ
172,John Beatty,John Beaty,95.23809523809524,NJ
11519,John Eborn,John Heborn,95.23809523809524,NJ
11984,John G. Scull,John Scull,95.0,NJ
12042,John A. Campbell,John Campbell,95.0,NJ
1716,William Hart,William D Hart,95.0,NJ
10063,James G. Hunt,James Hunt,95.0,NJ
10325,Miller Nathan,Nathan Miller,95.0,NJ
10350,Brown John,John Brown,95.0,NJ
2538,Thomas Sim Lee,Thomas Lee,95.0,NJ
8396,William Smith,William L Smith,95.0,NJ
1537,William Williams,William Williamson,94.11764705882354,NJ
173,John Beatty,Honorable John Beatty,90.0,NJ
13346,John Taylor Gilman,John Taylor,90.0,NJ
1977,Gustavus Richard Brown,Richard Brown,90.0,NJ
5429,John Schenck,John P Schenk,88.0,NJ
5326,John Haring,John D Harring,88.0,NJ
8397,William Smith,William Lovett Smith,85.5,NJ
6292,John Coffin Jones,John Jones,85.5,NJ
6157,John Andre Hanna,John Hanna,85.5,NJ
0,John Stevens,John Stevens,100.0,
11554,Jonathan Smith,Jonathan Smith,100.0,
9901,Daniel Adams,Daniel Adams,100.0,
10381,John Davis,John Davis,100.0,
10557,John Turner,John Turner,100.0,
10671,James Williams,James Williams,100.0,
11066,John Taylor,John Taylor,100.0,
11361,John Dunlap,John Dunlap,100.0,
11440,David Murray,David Murray,100.0,
11841,William Johnson,William Johnson,100.0,
7586,Henry Wisner,Henry Wisner,100.0,
11942,John Blake,John Blake,100.0,
12279,William Scott,William Scott,100.0,
12426,Benjamin Smith,Benjamin Smith,100.0,
12430,William Smith,William Smith,100.0,
12683,Isaac Parker,Isaac Parker,100.0,
13048,James Stewart,James Stewart,100.0,
13056,Samuel Warren,Samuel Warren,100.0,
9885,Benjamin Morse,Benjamin Morse,100.0,
9848,John Brooks,John Brooks,100.0,
9741,William Thompson,William Thompson,100.0,
9457,Joseph Wood,Joseph Wood,100.0,
7691,Jesse Woodhull,Jesse Woodhull,100.0,
7752,John Smith,John Smith,100.0,
7856,John Cantine,John Cantine,100.0,
7882,Ebenezer Clark,Ebenezer Clark,100.0,
7884,George Clinton,George Clinton,100.0,
7885,James Clinton,James Clinton,100.0,
7939,Albert Baker,Albert Baker,100.0,
7946,David Hopkins,David Hopkins,100.0,
7956,Philip Van Cortlandt,Philip Van Cortlandt,100.0,
8668,James Campbell,James Campbell,100.0,
8772,John Reynolds,John Reynolds,100.0,
8834,John Bishop,John Bishop,100.0,
9036,William Brown,William Brown,100.0,
9313,Joseph Jackson,Joseph Jackson,100.0,
9415,Thomas Jones,Thomas Jones,100.0,
13123,Samuel Smith,Samuel Smith,100.0,
13611,John Simmons,John Simmons,100.0,
13639,John Palmer,John Palmer,100.0,
17725,William Martin,William Martin,100.0,
18613,Richard Lewis,Richard Lewis,100.0,
18617,James Gallaway,James Gallaway,100.0,
18657,John Willis,John Willis,100.0,
19020,James Thompson,James Thompson,100.0,
19026,William King,William King,100.0,
19048,Daniel Smith,Daniel Smith,100.0,
19184,Thomas Johnston,Thomas Johnston,100.0,
19207,John Blair,John Blair,100.0,
19384,John Brown,John Brown,100.0,
19613,Isaac Guion,Isaac Guion,100.0,
19725,John Langdon,John Langdon,100.0,
20108,Benjamin Thurston,Benjamin Thurston,100.0,
20130,William Simpson,William Simpson,100.0,
20442,William Page,William Page,100.0,
20505,John Cochran,John Cochran,100.0,
18606,William Robinson,William Robinson,100.0,
17596,John Moore,John Moore,100.0,
14321,John Thomas,John Thomas,100.0,
17364,John Hunt,John Hunt,100.0,
14649,John Cook,John Cook,100.0,
14896,William Hill,William Hill,100.0,
15111,Benjamin Hicks,Benjamin Hicks,100.0,
15114,Stephen Smith,Stephen Smith,100.0,
15119,John Collins,John Collins,100.0,
15754,John Johnston,John Johnston,100.0,
15883,John Hall,John Hall,100.0,
16094,Thomas Brown,Thomas Brown,100.0,
16177,John Allen,John Allen,100.0,
16280,Thomas Williams,Thomas Williams,100.0,
16385,James Moore,James Moore,100.0,
16630,John Thompson,John Thompson,100.0,
17324,James Watson,James Watson,100.0,
17332,John Anderson,John Anderson,100.0,
17352,James White,James White,100.0,
7591,John Wood,John Wood,100.0,
20546,William Hunt,William Hunt,100.0,
7552,John Haring,John Haring,100.0,
4924,Thomas Smith,Thomas Smith,100.0,
987,William Stevens,William Stevens,100.0,
6785,Peter Vrooman,Peter Vrooman,100.0,
6783,Anthony Ten Eyck,Anthony Ten Eyck,100.0,
1441,John Watson,John Watson,100.0,
1596,John Chandler,John Chandler,100.0,
2638,Matthew Patterson,Matthew Patterson,100.0,
1700,John Chester,John Chester,100.0,
6225,John Williams,John Williams,100.0,
6196,Thomas Lewis,Thomas Lewis,100.0,
1752,Joseph Hopkins,Joseph Hopkins,100.0,
5615,John Miller,John Miller,100.0,
1894,John Beach,John Beach,100.0,
6894,Peter Van Ness,Peter Van Ness,100.0,
1990,Hezekiah Rogers,Hezekiah Rogers,100.0,
4628,Joseph Jones,Joseph Jones,100.0,
4503,Robert Alexander,Robert Alexander,100.0,
4143,John Pride,John Pride,100.0,
3691,Thomas Johnson,Thomas Johnson,100.0,
3365,William Richardson,William Richardson,100.0,
3210,John Gale,John Gale,100.0,
2272,William Williams,William Williams,100.0,
2427,David Smith,David Smith,100.0,
3181,John Stewart,John Stewart,100.0,
2650,Elihu Marvin,Elihu Marvin,100.0,
6794,John Bay,John Bay,100.0,
6529,James Montgomery,James Montgomery,100.0,
790,Richard Smith,Richard Smith,100.0,
7011,Peter Lefferts,Peter Lefferts,100.0,
535,John Jones,John Jones,100.0,
633,William Moore,William Moore,100.0,
7372,John Jay,John Jay,100.0,
7257,James Duane,James Duane,100.0,
640,William Hall,William Hall,100.0,
7145,John Winn,John Winn,100.0,
7142,Volkert Veeder,Volkert Veeder,100.0,
7136,William Harper,William Harper,100.0,
7036,John Frey,John Frey,100.0,
2604,Daniel Hall,Daniel Hall,100.0,
7000,Melancton Smith,Melancton Smith,100.0,
7006,Jacobus Swartwout,Jacobus Swartwout,100.0,
842,Edward White,Edward White,100.0,
6999,Zephaniah Platt,Zephaniah Platt,100.0,
7472,Robert R. Livingston,Robert R Livingston,97.43589743589743,
7007,Jacobus Swartwout,Jacobus Swartout,96.96969696969697,
17772,William Johnston,William Johnson,96.7741935483871,
15117,William Robison,William Robinson,96.7741935483871,
9742,William Thompson,William Thomson,96.7741935483871,
8641,Benjamin Elliott,Benjamin Elliot,96.7741935483871,
7540,Isaac Roosevelt,Isaac Rosevelt,96.55172413793103,
3692,Thomas Johnson,Thomas Johnston,96.55172413793103,
500,Thomas  Collins,Thomas Collins,96.55172413793103,
9744,Benjamin Browne,Benjamin Brown,96.55172413793103,
8482,William Wilson,William Willson,96.55172413793103,
19185,Thomas Johnston,Thomas Johnson,96.55172413793103,
2653,Richard Barnes,Richard Barns,96.29629629629629,
5262,James Johnson,James Johnston,96.29629629629629,
19378,William Hayes,William Haynes,96.29629629629629,
9293,Thomas Russel,Thomas Russell,96.29629629629629,
18798,George Houser,George House,96.0,
15755,John Johnston,John Johnson,96.0,
6786,Peter Vrooman,Peter Vroman,96.0,
8015,James Wilson,James Willson,96.0,
2436,Samuel Orton,Samuel Horton,96.0,
2239,Simeon Smith,Simon Smith,95.65217391304348,
5998,John Wilson,John Willson,95.65217391304348,
18495,John Skinner,John Kinner,95.65217391304348,
15038,John Linton,John Clinton,95.65217391304348,
6386,John  Allen,John Allen,95.23809523809524,
16952,John Baker,John Banker,95.23809523809524,
211,John Beatty,John Beaty,95.23809523809524,
2136,William Samuel Johnson,William Johnson,95.0,
2036,"John Davenport, Jun.",John Davenport,95.0,
17578,John H. Bryan,John Bryan,95.0,
2273,William Williams,William Mc Williams,95.0,
19722,William N. Hill,William Hill,95.0,
1566,Joseph Moss White,Joseph White,95.0,
16487,Thomas P. Williams,Thomas Williams,95.0,
19622,William Richardson Davie,William Richardson,95.0,
18006,John A. Campbell,John Campbell,95.0,
14926,James G. Hunt,James Hunt,95.0,
16179,John Allen,John Van allen,95.0,
7473,Robert R. Livingston,Robert Livingston,95.0,
7753,John Smith,John L Smith,95.0,
7245,Christopher P.  Yates,Christopher Yates,95.0,
7888,Cornelius C. Schoonmaker,Cornelius Schoonmaker,95.0,
7143,Volkert Veeder,Volkert S Veeder,95.0,
6956,John DeWitt,John L Dewitt,95.0,
6787,Peter Vrooman,Peter C Vrooman,95.0,
6680,"John Lansing, Jun. ",John Lansing,95.0,
11238,John K. Smith,John Smith,95.0,
11250,John  Fox,John Fox,95.0,
6226,John Williams,John Mc Williams,95.0,
5114,George Jackson,George H Jackson,95.0,
16178,John Allen,John Van Allen,95.0,
7697,John Schenck,John H Schenck,95.0,
15475,Miller Nathan,Nathan Miller,95.0,
15619,King William,William King,95.0,
15650,Williams John,John Williams,95.0,
3696,Thomas Sim Lee,Thomas Lee,95.0,
15161,Clark John I,John Clark,95.0,
15228,Potter Samuel J,Samuel Potter,95.0,
15649,Williams John,John Mc Williams,95.0,
15336,Reynolds Joseph,Joseph Reynolds,95.0,
15377,Davis John,John Davis,95.0,
15516,Brown John,John Brown,95.0,
7889,Cornelius C. Schoonmaker,Cornelius Shoonmaker,90.9090909090909,
2814,Gustavus Richard Brown,Richard Brown,90.0,
19973,John Taylor Gilman,John Taylor,90.0,
13255,John Lewis Bourquin,John Lewis,90.0,
14119,John Lewis Gervias,John Lewis,90.0,
6560,"John Blair, Jun.",John Blair,90.0,
14120,John Lewis Gervias,John lewis,90.0,
13256,John Lewis Bourquin,John lewis,90.0,
2274,William Williams,William Wills,89.65517241379311,
6788,Peter Vrooman,Peter I Vroman,88.88888888888889,
5996,Robert Williams,William Roberts,88.66666666666666,
18604,Edward Williams,William Edwards,88.66666666666666,
1754,John Welton,John Welon  Bouch,85.71428571428572,
9181,John Coffin Jones,John Jones,85.5,
3518,William Elliot,William Elliot,100.0,PA
3557,Hugh Wilson,Hugh Wilson,100.0,PA
3974,William Kennedy,William Kennedy,100.0,PA
4264,John Hall,John Hall,100.0,PA
4380,John Wallace,John Wallace,100.0,PA
4424,James Gillespie,James Gillespie,100.0,PA
4910,Edward Ward,Edward Ward,100.0,PA
5105,William Houston,William Houston,100.0,PA
5124,Henry Lane,Henry Lane,100.0,PA
3371,Daniel Cannon,Daniel Cannon,100.0,PA
1557,John Logan,John Logan,100.0,PA
1727,William McKee,William Mckee,100.0,PA
2570,William Heath,William Heath,100.0,PA
4400,Charles Johnson,Charles Johnston,96.7741935483871,PA
1209,William Watkins,William Atkins,96.55172413793103,PA
3519,William Elliot,William Elliott,96.55172413793103,PA
1612,Thomas Gaskins,Thomas Askins,96.29629629629629,PA
257,John Elliot,John Elliott,95.65217391304348,PA
2510,John Coffin Jones,John Jones,85.5,PA
4369,James Moore,James Farncis Moore,85.5,PA
10498,William Johnson,William Johnson,100.0,PA
10919,John Glaze,John Glaze,100.0,PA
11350,John Lloyd,John Lloyd,100.0,PA
7898,John Whitehill,John Whitehill,100.0,PA
11839,John McPherson,John McPherson,100.0,PA
12302,John Chesnut,John Chesnut,100.0,PA
13046,Thomas Taylor,Thomas Taylor,100.0,PA
9765,Abraham Smith,Abraham Smith,100.0,PA
9560,David Brown,David Brown,100.0,PA
8029,Robert Whitehill,Robert Whitehill,100.0,PA
8034,Nicholas Lutz,Nicholas Lutz,100.0,PA
8055,John Bishop,John Bishop,100.0,PA
8071,Joseph Heister,Joseph Heister,100.0,PA
8075,John Baird,John Baird,100.0,PA
8137,William Todd,William Todd,100.0,PA
8568,Richard Manning,Richard Manning,100.0,PA
8586,Joseph Wood,Joseph Wood,100.0,PA
8871,John Brooks,John Brooks,100.0,PA
8900,Daniel Adams,Daniel Adams,100.0,PA
13059,Jacob Brown,Jacob Brown,100.0,PA
13072,John Cook,John Cook,100.0,PA
16379,Samuel Simpson,Samuel Simpson,100.0,PA
16391,John Stokes,John Stokes,100.0,PA
16431,Richard Lewis,Richard Lewis,100.0,PA
16687,William Nash,William Nash,100.0,PA
16774,William King,William King,100.0,PA
16799,David Wilson,David Wilson,100.0,PA
16931,Thomas Stewart,Thomas Stewart,100.0,PA
17853,Samuel Young,Samuel Young,100.0,PA
16218,John Swan,John Swan,100.0,PA
16065,George Mitchell,George Mitchell,100.0,PA
13285,James Knox,James Knox,100.0,PA
13320,William Hill,William Hill,100.0,PA
13343,Samuel Watson,Samuel Watson,100.0,PA
14325,Thomas Owen,Thomas Owen,100.0,PA
14397,John Carson,John Carson,100.0,PA
14479,John Hay,John Hay,100.0,PA
15263,Henry Baker,Henry Baker,100.0,PA
15356,James White,James White,100.0,PA
15359,John Hunt,John Hunt,100.0,PA
18127,Timothy Taylor,Timothy Taylor,100.0,PA
7105,Samuel Jones,Samuel Jones,100.0,PA
2782,Samuel Evans,Samuel Evans,100.0,PA
603,William Hall,William Hall,100.0,PA
6450,Peter Lefferts,Peter Lefferts,100.0,PA
739,Thomas Evans,Thomas Evans,100.0,PA
4230,James Taylor,James Taylor,100.0,PA
2582,Henry Hollingsworth,Henry Hollingsworth,100.0,PA
5756,Andrew Moore,Andrew Moore,100.0,PA
1393,James Potter,James Potter,100.0,PA
2184,William Hart,William Hart,100.0,PA
5176,William White,William White,100.0,PA
4859,Thomas Cooper,Thomas Cooper,100.0,PA
2010,James Bradford,James Bradford,100.0,PA
4364,French Strother,French Strother,100.0,PA
3781,John Love,John Love,100.0,PA
7543,John Hannum,John Hannum,100.0,PA
7874,Benjamin Elliott,Benjamin Elliott,100.0,PA
235,William Crawford ,William Crawford,100.0,PA
7871,James Morris,James Morris,100.0,PA
7854,John Richards,John Richards,100.0,PA
7728,David Deshler,David Deshler,100.0,PA
7589,John Black,John Black,100.0,PA
7586,David Grier,David Grier,100.0,PA
7578,Henry Slagle,Henry Slagle,100.0,PA
2150,David Smith,David Smith,100.0,PA
7524,Abraham Stout,Abraham Stout,100.0,PA
7523,Thomas Yardley,Thomas Yardley,100.0,PA
7266,Lewis Morris,Lewis Morris,100.0,PA
3566,Richard Thomas,Richard Thomas,100.0,PA
7481,George Gray,George Gray,100.0,PA
7500,Enoch Edwards,Enoch Edwards,100.0,PA
3177,William Richardson,William Richardson,100.0,PA
7501,Henry Wynkoop,Henry Wynkoop,100.0,PA
15697,William Johnston,William Johnson,96.7741935483871,PA
6070,Samuel Edmison,Samuel Edmiston,96.55172413793103,PA
15675,William Martin,William Martain,96.55172413793103,PA
3988,William Cabell,William Cambell,96.55172413793103,PA
7895,James Campbell,James Cambell,96.29629629629629,PA
16770,James Thompson,James Thomson,96.29629629629629,PA
10213,Jonathan Smith,Jonathn Smith,96.29629629629629,PA
1715,William Heron,William Herron,96.29629629629629,PA
16411,William Bailey ,Willam Bailey,96.29629629629629,PA
9799,Samuel Baker,Samuel Backer,96.0,PA
16800,David Wilson,David Willson,96.0,PA
2156,Samuel Orton,Samuel Morton,96.0,PA
5801,John Williams,John William,96.0,PA
5795,Jacob Rinker,Jacob Brinker,96.0,PA
753,Allen McLane,Allen McClane,96.0,PA
15264,Henry Baker,Henry Barker,95.65217391304348,PA
197,John Neilson,John Nelson,95.65217391304348,PA
11694,Hugh Wilson,Hugh Willson,95.65217391304348,PA
18047,John Cragin,John Crain,95.23809523809524,PA
7837,John Nevill,John Neill,95.23809523809524,PA
8872,John Brooks,John Brook,95.23809523809524,PA
217,John Beatty,John Beaty,95.23809523809524,PA
16453,John Willis,John Wills,95.23809523809524,PA
828,"Gunning Bedford, Sr.",Gunning Bedford,95.0,PA
854,"Gunning Bedford, Jr.",Gunning Bedford,95.0,PA
10214,Jonathan Smith,Jonathan B Smith,95.0,PA
17286,William Richardson Davie,William Richardson,95.0,PA
17387,William N. Hill,William Hill,95.0,PA
13690,Bradford William,William Bradford,95.0,PA
14394,William E. Erwin,William Erwin,95.0,PA
13875,King William,William King,95.0,PA
14326,Thomas Owen,Owen Thomas,95.0,PA
3499,Thomas Sim Lee,Thomas Lee,95.0,PA
13681,Nichols William,Nicholas Williams,93.75,PA
8074,William  Findley,William Finley,93.33333333333333,PA
1206,Thomas Daniell,Daniel Thomas,91.48148148148147,PA
13903,Williams John,John William,91.19999999999999,PA
7872,James Morris,James Morris Jones,90.0,PA
5964,John Howell Briggs,John Howel,90.0,PA
15464,John Nesbitt (Nisbet),John Nesbitt,90.0,PA
4724,John Carter Littlepage,John Carter,90.0,PA
14771,Robert Edwards,Edward Roberts,88.21428571428571,PA
2009,William Williams,William Will,85.71428571428571,PA
15883,John A. Campbell,John Cambell,85.71428571428571,PA
2771,James Gordon Heron,James Herron,85.5,PA
2828,Michael Jenifer Stone,Michael Stone,85.5,PA
11016,William Smith,William Hooker Smith,85.5,PA
123,William Hall,William Hall,100.0,RI
3387,Stephen Smith,Stephen Smith,100.0,RI
2400,William Shaw,William Shaw,100.0,RI
2451,James Williams,James Williams,100.0,RI
2605,William Jones,William Jones,100.0,RI
2624,Elisha Carpenter,Elisha Carpenter,100.0,RI
2980,Samuel Warren,Samuel Warren,100.0,RI
156,Joseph Barker,Joseph Barker,100.0,RI
2012,William Brown,William Brown,100.0,RI
3615,Thomas Brown,Thomas Brown ,100.0,RI
3632,John Allen,John Allen,100.0,RI
