,county,state,6p_total
167,Philadelphia,PA,1218462.3305000004
24,Anne Arundel,MD,599847.0899999999
173,Newport,RI,255949.12
5,New London,CT,161101.91000000003
174,Providence,RI,156644.33000000007
178,Charleston,SC,137111.14866600008
62,Rockingham,NH,103314.17000000004
