,county,state,debt_per_capita
24,Anne Arundel,MD,26.54425568634392
167,Philadelphia,PA,22.40314647532545
173,Newport,RI,17.834932757299146
174,Providence,RI,6.4261704135215
5,New London,CT,4.894037001032871
28,Cecil,MD,4.7966429357798175
