,county,state,debt_per_white_male
24,Anne Arundel,MD,100.10799232309743
167,Philadelphia,PA,47.98418188083332
173,Newport,RI,41.87649214659686
178,Charleston,SC,16.64576285856502
174,Providence,RI,13.45626063053003
28,Cecil,MD,12.510386676875958
5,New London,CT,10.504134446110715
