,full_name,state,amount_total
177,Melancton Smith,ny,2025.90278
178,Moses Carr,nh,318.27778
179,Moses Davis,ma,947.9625
180,Nathan Hale,ct,110.0
181,Nathaniel Robbins,ma,435.65
182,Nehemiah Beardsley,ct,600.0
183,Nicholas Lutz,pa,584.5
184,Oliver Ellsworth,ct,328.32083
185,Peter Lefferts,ny,512.0
186,Peter Osgood,ma,3989.70133
187,Peter Van Ness,ny,11661.63606
188,Peter Vrooman,ny,85.0
189,Philip Livingston,ny,800.0
190,Philip Van Cortlandt,ny,850.0
191,Richard Barnes,md,7459.85414
192,Richard Law,ct,2400.0
193,Richard Potts,md,6401.002780000001
194,Richard Thomas,md,618.22778
195,Robert Coleman,pa,206307.5
196,Robert Ogden,nj,1889.825
197,Robert R. Livingston,ny,5400.0
198,Robert Whitehill,pa,12641.94724
199,Roger Sherman,ct,2601.40417
200,Samuel Adams,ma,33.0
201,Samuel Ashmead,pa,6019.51666
202,Samuel Baker,ma,74.0
203,Samuel Canfield,ct,13.0
204,Samuel Carver,ct,4044.61528
205,Samuel Chase,md,218.28611
206,Samuel Huntington,ct,27.0
207,Samuel West,ma,326.7375
208,Sebastian Graff,pa,1034.3708299999998
209,Seth Crocker,ct,7.0
210,Seth Newton,ma,10.0
211,Simeon Smith,ct,13379.14717
212,Simon Cotton,ct,541.41107
213,Solomon Maxwell,de,1121.0
214,Stephen Dole,nh,552.58889
215,Thaddeus Burr,ct,5568.45277
216,Thomas Anderson,nj,319.0
217,Thomas Cramphin,md,548.88889
218,Thomas Davis,ma,26225.87367
219,Thomas Durfee,ma,1277.42499
220,Thomas Goodman,ct,3583.6472599999997
221,Thomas Johnson,md,741.26667
222,Thomas Jones,ma,11007.69995
223,Thomas Mighill,ma,759.26948
224,Thomas Reynolds,nj,108.0
225,Thomas Scott,pa,9200.49445
226,Thomas Smith,ma,768.19444
227,Thomas Yardley,pa,21.0
228,Timothy Parker,ma,600.0
229,Timothy Pickering,pa,512.5
230,Timothy Winn,ma,2037.90834
231,Volkert Veeder,ny,691.0
232,Wait Goodrich,ct,6.0
233,Wheeler Coit,ct,10735.9306
234,William Brown,pa,12454.430550000001
235,William Cushing,ma,657.375
236,William Hall,de,1094.0
237,William Harper,ny,7.0
238,William Hart,ct,13044.6528
239,William Heath,ma,1452.27778
240,William Jones,ma,328.6875
241,William Moore,de,435.99444
242,William Noyes,ct,43904.69014
243,William Paca,md,4738.58053
244,William Phillips,ma,102337.68053
245,William Richardson,md,3121.31666
246,William Shaw,ma,2181.41945
247,William Thompson,ma,39373.647207
248,William Todd,pa,36.0
249,William Williams,ct,3342.72917
250,William Wilson,pa,1206.70417
251,William Woodhull,nj,1025.53472
252,Zephaniah Platt,ny,284.0
