,Occupations,6p_Total,count,state,Average (6p),6p_Total_pct,count_pct
0,,1952654.66,2237,New York,872.89,99.14,97.99
3,merchant,12686.97,42,New York,302.07,0.64,1.84
1,broker,2682.0,1,New York,2682.0,0.14,0.04
2,farmer,1256.0,2,New York,628.0,0.06,0.09
4,school master,268.0,1,New York,268.0,0.01,0.04
