,Occupations,6p_Total,count,state,Average (6p),6p_Total_pct,count_pct
0,,48497.0,52,North Carolina,932.63,79.14,74.29
2,esquire,4652.0,5,North Carolina,930.4,7.59,7.14
5,merchant,3934.0,10,North Carolina,393.4,6.42,14.29
1,doctor,3067.0,1,North Carolina,3067.0,5.01,1.43
3,executor,958.0,1,North Carolina,958.0,1.56,1.43
4,farmer,170.0,1,North Carolina,170.0,0.28,1.43
