,Occupations,6p_Total,count,state,Average (6p),6p_Total_pct,count_pct
0,,30475.0,29,Virginia,1050.86,96.3,85.29
2,merchant,933.44,3,Virginia,311.15,2.95,8.82
1,gentleman,167.0,1,Virginia,167.0,0.53,2.94
3,weaver,72.0,1,Virginia,72.0,0.23,2.94
