,Occupations,6p_Total,count,state,Average (6p),6p_Total_pct,count_pct
0,,40097.05,21,Georgia,1909.38,62.9,67.74
1,esquire,15165.36,1,Georgia,15165.36,23.79,3.23
2,gentleman,6978.0,1,Georgia,6978.0,10.95,3.23
3,merchant,1503.54,8,Georgia,187.94,2.36,25.81
