,full name,state,state debt,Same State Loan Office,Different State Loan Office,Same State Liquidated Debt,Different State Liquidated Debt,Pierce Certificates,Total,SSLO Total,DSLO Total,SSLD Total,DSLD Total,PC Total,Debt Total,tot_pre1790_certs
1744,['Ozias Loomis'],CT,CT,['Ozias Loomis'],,['Ozias Loomis'],['Ozias Loomis'],,1783.57,325.2125,0.0,2.5,2.5,0.0,330.2125,3
1745,['Ozias Marvin'],CT,CT,['Ozias Marvin'],,,,,739.66,1136.276419,0.0,0.0,0.0,0.0,1136.276419,1
1746,['Ozias Pettibone'],CT,CT,['Ozias Pettibone'],,['Ozias Pettibone'],['Ozias Pettibone'],,633.57,1600.0,0.0,1.2555555555555555,1.2555555555555555,0.0,1602.511111111111,3
1747,['Pardon Bowen'],RI,RI,,,,,,84.2,0.0,0.0,0.0,0.0,0.0,0.0,0
1748,['Pardon Gray'],RI,RI,,,,,,411.11,0.0,0.0,0.0,0.0,0.0,0.0,0
1749,['Pardon Tillinghast'],RI,RI,,,,,,1902.98,0.0,0.0,0.0,0.0,0.0,0.0,0
1750,['Pat  Allison'],MD,MD,,,,,,259.75,0.0,0.0,0.0,0.0,0.0,0.0,0
1751,['Patrick Allison'],MD,MD,,['Patrick Allison'],,,,1855.72,0.0,406.61943,0.0,0.0,0.0,406.61943,1
1752,['Patrick Byrne'],PA,PA,,,,,['Patrick Byrnes'],1916.85,0.0,0.0,0.0,0.0,36.6,36.6,1
1753,['Patrick Doran'],MD,MD,,,,,['Patrick Doran'],260.53,0.0,0.0,0.0,0.0,260.48,260.48,1
1754,['Patrick Duffey'],PA,PA,,,,,['Patrick Duffy'],511.83,0.0,0.0,0.0,0.0,156.68,156.68,1
1755,['Patrick Duncan'],SC,SC,,,,,,91.63,0.0,0.0,0.0,0.0,0.0,0.0,0
1756,['Paul Allen'],RI,RI,,,,,,6015.33,0.0,0.0,0.0,0.0,0.0,0.0,0
1757,['Paul Cox'],PA,PA,['Paul Cox'],['Paul Cox'],,,,7909.58,1284.43333,58.10833,0.0,0.0,0.0,1342.54166,2
1758,['Paul Mumford'],RI,RI,,,,,,301.43,0.0,0.0,0.0,0.0,0.0,0.0,0
1759,['Paul Parke'],CT,CT,,,,,,131.5,0.0,0.0,0.0,0.0,0.0,0.0,0
1760,['Paul Pritchard'],SC,SC,,,,,,230.31,0.0,0.0,0.0,0.0,0.0,0.0,0
1761,['Paul Sanford'],MA,RI,,,,,,41.71,0.0,0.0,0.0,0.0,0.0,0.0,0
1762,['Peggy Keyes'],CT,CT,,,,,,497.92,0.0,0.0,0.0,0.0,0.0,0.0,0
1763,['Pelatiah Daniels'],NH,NH,,,,,,175.98,0.0,0.0,0.0,0.0,0.0,0.0,0
1764,['Peleg Brown'],CT,RI,,,,,,19.82,0.0,0.0,0.0,0.0,0.0,0.0,0
1765,['Peleg Clarke'],RI,RI,,,,,,950.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1766,['Peleg Hull'],RI,RI,,,,,,68.66,0.0,0.0,0.0,0.0,0.0,0.0,0
1767,['Peleg Sanford'],CT,CT,,,,,,4104.61,0.0,0.0,0.0,0.0,0.0,0.0,0
1768,['Peleg Thomas'],CT,CT,['Peleg Thomas'],,,,,603.32,476.28892799999994,0.0,0.0,0.0,0.0,476.28892799999994,1
