,,,,,Loan Office Certificates Face Value,Loan Office Certificates Face Value,Loan Office Certificates Specie Value,Loan Office Certificates Specie Value,State Certificates Dollars,State Certificates Dollars,State Certificates 90th,State Certificates 90th,Marine Certificates Dollars,Marine Certificates Dollars,Marine Certificates 90th,Marine Certificates 90th,Pierce Certificates Value,Pierce Certificates Value
,,,,,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count
delegate name,First Name,Last Name,delegate_state,sign,,,,,,,,,,,,,,
Thomas Arthur,Thomas,Arthur,VA,no,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,180.6,2.0
John Ashley,John,Ashley,MA,yes,7600.0,6.0,1231.2000400000002,6.0,62.0,1.0,0,0.0,0.0,0.0,0.0,0.0,337.56,4.0
Samuel Ashmead,Samuel,Ashmead,PA,yes,4800.0,10.0,1219.5166600000002,10.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burdet Ashton,Burdet,Ashton,VA,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joshua Atherton,Joshua,Atherton,NH,no,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nathaniel Atwood,Nathaniel,Atwood,CT,no,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicholas Austin,Nicholas,Austin,NH,no,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Austin,Aaron,Austin,CT,yes,3700.0,3.0,180.06667,3.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isaac Backus,Isaac,Backus,MA,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joseph Badger,Joseph,Badger,NH,no,7200.0,5.0,1144.64438,5.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
William Bailey ,William,Bailey ,NC,yes,9700.0,13.0,1024.4861399999998,13.0,5.0,1.0,56.0,1.0,0.0,0.0,0.0,0.0,3201.1800000000003,15.0
John Baird,John,Baird,PA,no,2600.0,5.0,1605.1027000000001,5.0,70.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hilary Baker,Hilary,Baker,PA,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Samuel Baker,Samuel,Baker,MA,yes,5200.0,10.0,1723.2943800000003,10.0,613.0,9.0,220.0,5.0,0.0,0.0,0.0,0.0,1022.29,18.0
John Baker,John,Baker,NC,yes,32700.0,51.0,7787.109810000005,51.0,270.0,7.0,113.0,4.0,0.0,0.0,0.0,0.0,3748.7699999999995,60.0
Henry Baker,Henry,Baker,NC,yes,600.0,1.0,50.00833,1.0,641.0,5.0,195.0,4.0,0.0,0.0,0.0,0.0,1655.8899999999999,5.0
T.M. Baker,T.M.,Baker,MA,no,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albert Baker,Albert,Baker,NY,no,0.0,0.0,0.0,0.0,28.0,1.0,0,0.0,0.0,0.0,0.0,0.0,53.3,1.0
Abraham Baldwin,Abraham,Baldwin,Constitution,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3746.75,6.0
Stephen Balliott,Stephen,Balliott,PA,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abraham Bancker,Abraham,Bancker,NY,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thomas Banks,Thomas,Banks,NC,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Baptista Ashe,John,Baptista Ashe,NC,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,402.43,8.0
John Barclay,John,Barclay,PA,yes,5200.0,4.0,2293.5111399999996,4.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1912.83,6.0
Richardson Bard,Richardson,Bard,PA,no,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joseph Barker,Joseph,Barker,DE,yes,1300.0,3.0,838.97222,3.0,126.0,9.0,361.0,9.0,0.0,0.0,0.0,0.0,374.42,8.0
Elias Barnes,Elias,Barnes,NC,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.1,1.0
Richard Barnes,Richard,Barnes,MD,yes,6500.0,8.0,2960.55132,8.0,21.0,1.0,50,1.0,0.0,0.0,0.0,0.0,153.9,3.0
Asa Barns,Asa,Barns,CT,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Barnwell,John,Barnwell,SC,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert Barnwell,Robert,Barnwell,SC,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nathaniel Barrell,Nathaniel,Barrell,MA,no,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charles Barrett,Charles,Barrett,NH,no,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,80.0,1.0
Anthony Barrington,Anthony,Barrington,RI,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bailey Bartlett,Bailey,Bartlett,MA,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thomas Bartlett,Thomas,Bartlett,NH,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josiah Bartlett,Josiah,Bartlett,NH,yes,600.0,3.0,296.36661999999995,3.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Moses Bascum,Moses,Bascum,MA,no,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Baskins,Andrew,Baskins,SC,no,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Richard Bassett,Richard,Bassett,DE,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Bassett,Daniel,Bassett,CT,no,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,129.3,2.0
Richard Bassett,Richard,Bassett,Constitution,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,354.15,3.0
Burwell Bassett,Burwell,Bassett,VA,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Baxter,John,Baxter,MA,yes,200.0,1.0,23.044439999999998,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,151.7,3.0
John Bay,John,Bay,NY,no,0.0,0.0,0.0,0.0,291.0,2.0,100,2.0,0.0,0.0,0.0,0.0,0.0,0.0
William Baylies,William,Baylies,MA,yes,0.0,0.0,0.0,0.0,304.0,2.0,80.0,2.0,0.0,0.0,0.0,0.0,125.6,2.0
Samuel Beach,Samuel,Beach,CT,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1815.18,6.0
John Beach,John,Beach,CT,yes,0.0,0.0,0.0,0.0,979.0,3.0,90.0,2.0,0.0,0.0,0.0,0.0,252.3,3.0
Zachary Beal,Zachary,Beal,MA,no,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joshua Bean,Joshua,Bean,MA,no,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nathaniel Bean,Nathaniel,Bean,NH,no,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,79.51,2.0
Nehemiah Beardsley,Nehemiah,Beardsley,CT,yes,300.0,1.0,300.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Beatty,John,Beatty,NJ,yes,5600.0,13.0,766.3112000000001,13.0,400.0,5.0,178.0,4.0,0.0,0.0,0.0,0.0,305.79999999999995,5.0
Daniel Bedee,Daniel,Bedee,NH,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gunning Bedford Jr.,Gunning,Bedford Jr.,Constitution,yes,9300.0,24.0,401.83887,24.0,106.0,6.0,217.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
"Gunning Bedford, Jr.",Gunning,"Bedford, Jr.",DE,yes,9300.0,24.0,401.83887,24.0,106.0,6.0,217.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
"Gunning Bedford, Sr.",Gunning,"Bedford, Sr.",DE,yes,9300.0,24.0,401.83887,24.0,106.0,6.0,217.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Thomas Bee,Thomas,Bee,SC,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benjamin Bell,Benjamin,Bell,NC,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malachi Bell,Malachi,Bell,NC,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Bell,David,Bell,VA,no,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,108.0,1.0,14.0,1.0,0.0,0.0
Edmond Bellinger,Edmond,Bellinger,SC,no,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benjamin Bellows,Benjamin,Bellows,NH,yes,6400.0,11.0,5006.7001,11.0,156.0,1.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
John M. Benford,John M.,Benford,NC,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Remington Benjamin,Remington,Benjamin,RI,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosworth Benjamin,Bosworth,Benjamin,RI,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arnold Benjamin,Arnold,Benjamin,RI,no,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arnold Benjamin,Arnold,Benjamin,RI,yes,0.0,0.0,0.0,0.0,37.0,1.0,54.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Bourne Benjamin,Bourne,Benjamin,RI,yes,0.0,0.0,0.0,0.0,14.0,6.0,88.0,4.0,0.0,0.0,0.0,0.0,4.09,1.0
Peter Bennett,Peter,Bennett,NC,no,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,68.58,1.0
Samuel Benton,Samuel,Benton,NC,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lamuel Benton,Lamuel,Benton,SC,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
George H. Berger,George H.,Berger,NC,no,5500.0,5.0,279.6737,5.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
William Bethell,William,Bethell,NC,no,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Bettan,James,Bettan,NH,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Comstock Betts,Comstock,Betts,MA,no,0.0,0.0,0.0,0.0,35.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Bigelow,David,Bigelow,MA,no,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
