,,,,,CD_6p_Dollar,CD_6p_Dollar,CD_6p_Cents,CD_6p_Cents,CD_6p_def_Dollar,CD_6p_def_Dollar,CD_6p_def_Cents,CD_6p_def_Cents,CD_3p_Dollar,CD_3p_Dollar,CD_3p_Cents,CD_3p_Cents,ASD_6p_Dollar,ASD_6p_Dollar,ASD_6p_Cents,ASD_6p_Cents,ASD_6p_def_Dollar,ASD_6p_def_Dollar,ASD_6p_def_Cents,ASD_6p_def_Cents,ASD_3p_Dollar,ASD_3p_Dollar,ASD_3p_Cents,ASD_3p_Cents
,,,,,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count
J. Hastings,J.,Hastings,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Richard Hatfield,Richard,Hatfield,NY,yes,,,,,,,,,,,,,,,,,,,,,,,,
Melatiah Hathaway,Melatiah,Hathaway,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
James Hathun,James,Hathun,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Nicoll Havens,Jonathan Nicoll,Havens,NY,yes,,,,,,,,,,,,,,,,,,,,,,,,
Dennis Hawkins,Dennis,Hawkins,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Hawkins,Benjamin,Hawkins,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Philemon Hawkins,Philemon,Hawkins,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Wyatt Hawkins,Wyatt,Hawkins,NC,no,,,,,,,,,,,,,,,,,,,,,,,,
Moses Hawley,Moses,Hawley,CT,yes,,,,,,,,,,,,,,,,,,,,,,,,
Samuel Hay,Samuel,Hay,NJ,yes,48.0,1.0,33.0,1.0,24.0,1.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.0,1.0,38.0,1.0,507.0,1.0,58.0,1.0
John Hay,John,Hay,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
William Hayes,William,Hayes,NC,yes,19233.0,9.0,414.0,9.0,9615.0,9.0,360.0,9.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Elijah Hays,Elijah,Hays,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
William Heath,William,Heath,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
David Hedges,David,Hedges,NY,did not vote,,,,,,,,,,,,,,,,,,,,,,,,
Joseph Heister,Joseph,Heister,PA,no,77005.0,25.0,1525.0,25.0,38500.0,25.0,780.0,25.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Mr. Hemmenway,Mr.,Hemmenway,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
William Hemsley,William,Hemsley,MD,yes,,,,,,,,,,,,,,,,,,,,,,,,
Nathaniel Henderson,Nathaniel,Henderson,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Cornelius Hennion,Cornelius,Hennion,NJ,yes,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Henry,Patrick,Henry,VA,no,,,,,,,,,,,,,,,,,,,,,,,,
Merchant Henry,Merchant,Henry,RI,yes,,,,,,,,,,,,,,,,,,,,,,,,
Joseph Herndon,Joseph,Herndon,NC,no,,,,,,,,,,,,,,,,,,,,,,,,
William Heron,William,Heron,CT,yes,,,,,,,,,,,,,,,,,,,,,,,,
James Gordon Heron,James Gordon,Heron,MD,yes,2203.0,2.0,91.0,2.0,1159.0,3.0,179.0,3.0,63.0,1.0,52.0,1.0,720.0,2.0,0.8899999999999864,2.0,360.0,2.0,0.4399999999999977,2.0,540.0,2.0,0.6599999999999682,2.0
E. Herrick,E.,Herrick,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Herrick,Jacob,Herrick,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Heyward,Thomas,Heyward,SC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Hicks,Benjamin,Hicks,SC,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0,2.0,53.0,2.0,5104.0,8.0,112.0,8.0,2552.0,8.0,64.0,8.0,3824.0,8.0,484.0,8.0
Cornelius Higgins,Cornelius,Higgins,CT,yes,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Hill,Jordan,Hill,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Reuben Hill,Reuben,Hill,NH,did not vote,,,,,,,,,,,,,,,,,,,,,,,,
William Hill,William,Hill,SC,no,108.0,1.0,38.0,1.0,54.0,1.0,19.0,1.0,96.0,1.0,0.0,0.0,,,,,,,,,,,,
William N. Hill,William N.,Hill,NC,yes,108.0,1.0,38.0,1.0,54.0,1.0,19.0,1.0,96.0,1.0,0.0,0.0,,,,,,,,,,,,
Henry Hill,Henry,Hill,NC,no,51165.0,9.0,264.0,6.0,25581.0,9.0,282.0,6.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Henry Hill,Henry,Hill,NC,yes,51165.0,9.0,264.0,6.0,25581.0,9.0,282.0,6.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Christopher Hillary,Christopher,Hillary,GA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Jeremiah Hilliard,Jeremiah,Hilliard,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Hines,Thomas,Hines,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Hinma,Benjamin,Hinma,CT,yes,350.0,1.0,25.0,1.0,175.0,1.0,12.0,1.0,384.0,1.0,0.0,0.0,,,,,,,,,,,,
Timothy Hoadly,Timothy,Hoadly,CT,no,,,,,,,,,,,,,,,,,,,,,,,,
John Sloss Hobart,John Sloss,Hobart,NY,yes,,,,,,,,,,,,,,,,,,,,,,,,
Joseph Hodge,Joseph,Hodge,NC,no,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Hoge,Jonathan,Hoge,PA,no,,,,,,,,,,,,,,,,,,,,,,,,
John Holbrook,John,Holbrook,CT,yes,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Holbrook,Daniel,Holbrook,CT,yes,,,,,,,,,,,,,,,,,,,,,,,,
Henry Holcom,Henry,Holcom,SC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Hezekiah Holcomb,Hezekiah,Holcomb,CT,no,,,,,,,,,,,,,,,,,,,,,,,,
Stephen Holden,Stephen,Holden,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Israel Holland,Israel,Holland,DE,yes,,,,,,,,,,,,,,,,,,,,,,,,
James Holland,James,Holland,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Henry Hollingsworth,Henry,Hollingsworth,MD,yes,,,,,,,,,,,,,,,,,,,,,,,,
James Hollyday,James,Hollyday,MD,yes,,,,,,,,,,,,,,,,,,,,,,,,
Hardy Holmes,Hardy,Holmes,NC,no,,,,,,,,,,,,,,,,,,,,,,,,
Abraham Holmes,Abraham,Holmes,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Caleb Holt,Caleb,Holt,CT,yes,,,,,,,,,,,,,142.0,1.0,46.0,1.0,71.0,1.0,23.0,1.0,106.0,1.0,85.0,1.0
Hezekiah Hooper,Hezekiah,Hooper,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
William Hooper,William,Hooper,NH,no,,,,,,,,,,,,,,,,,,,,,,,,
Robert Hoops,Robert,Hoops,NJ,yes,,,,,,,,,,,,,,,,,,,,,,,,
David Hopkins,David,Hopkins,NY,no,,,,,,,,,,,,,,,,,,,,,,,,
Joseph Hopkins,Joseph,Hopkins,CT,yes,,,,,,,,,,,,,,,,,,,,,,,,
"Samuel Hopkins, Jun.",Samuel,"Hopkins, Jun.",VA,no,2960.0,2.0,0.0,0.0,1480.0,2.0,0.0,0.0,1182.0,2.0,70.0,2.0,,,,,,,,,,,,
Thomas Horry,Thomas,Horry,SC,yes,,,,,,,,,,,,,1090.0,2.0,0.7199999999999989,2.0,544.0,2.0,1.3500000000000085,2.0,817.0,2.0,1.0200000000000102,2.0
Joseph Horsefield,Joseph,Horsefield,PA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Joseph Hosmer,Joseph,Hosmer,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
George Houser,George,Houser,NC,yes,181.0,1.0,90.0,1.0,90.0,1.0,95.0,1.0,122.0,1.0,17.0,1.0,,,,,,,,,,,,
William Houston,William,Houston,NC,yes,,,,,,,,,,,,,672.0,4.0,336.0,4.0,312.0,4.0,204.0,4.0,468.0,4.0,306.0,4.0
William C. Houston,William C.,Houston,Constitution,no,,,,,,,,,,,,,672.0,4.0,336.0,4.0,312.0,4.0,204.0,4.0,468.0,4.0,306.0,4.0
William Houstoun,William,Houstoun,Constitution,no,,,,,,,,,,,,,672.0,4.0,336.0,4.0,312.0,4.0,204.0,4.0,468.0,4.0,306.0,4.0
Daniel Howard,Daniel,Howard,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
D. Howard,D.,Howard,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Samson Howe,Samson,Howe,CT,yes,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Howell,Thomas,Howell,SC,no,,,,,,,,,,,,,,,,,,,,,,,,
R Howell,R,Howell,NJ,yes,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Howes,Jonathan,Howes,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Hubbard,Jonathan,Hubbard,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Jedediah Hubbel,Jedediah,Hubbel,CT,yes,,,,,,,,,,,,,,,,,,,,,,,,
John Hubley,John,Hubley,PA,yes,,,,,,,,,,,,,,,,,,,,,,,,
John Huger,John,Huger,SC,yes,16698.0,12.0,198.0,6.0,8346.0,12.0,402.0,6.0,9380.0,12.0,564.0,12.0,,,,,,,,,,,,
John Hulbert,John,Hulbert,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Ralph Humphreys,Ralph,Humphreys,VA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Hosea Humphry,Hosea,Humphry,CT,no,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Humphry,Daniel,Humphry,CT,no,,,,,,,,,,,,,,,,,,,,,,,,
Asahel Humphry,Asahel,Humphry,CT,no,,,,,,,,,,,,,,,,,,,,,,,,
John Hunn,John,Hunn,PA,yes,,,,,,,,,,,,,,,,,,,,,,,,
James G. Hunt,James G.,Hunt,SC,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566.0,1.0,81.0,1.0,,,,,,,,,,,,
William Hunt,William,Hunt,NH,no,,,,,,,,,,,,,,,,,,,,,,,,
John Hunt,John,Hunt,NC,yes,2018.0,4.0,306.0,4.0,1008.0,4.0,252.0,4.0,143.0,1.0,66.0,1.0,2259.0,2.0,110.0,2.0,13.0,1.0,62.0,1.0,20.0,1.0,43.0,1.0
And Hunter,And,Hunter,NJ,yes,,,,,,,,,,,,,,,,,,,,,,,,
John Hunter,John,Hunter,SC,yes,834.0,1.0,18.0,1.0,417.0,1.0,8.0,1.0,895.0,1.0,10.0,1.0,,,,,,,,,,,,
Thomas Hunter ,Thomas,Hunter ,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Isaac Huntington,Isaac,Huntington,CT,yes,,,,,,,,,,,,,,,,,,,,,,,,
Samuel Huntington,Samuel,Huntington,CT,yes,,,,,,,,,,,,,,,,,,,,,,,,
Jedediah Huntington,Jedediah,Huntington,CT,yes,2.0,1.0,62.0,1.0,1.0,1.0,32.0,1.0,2.0,1.0,58.0,1.0,,,,,,,,,,,,
John Huske,John,Huske,NC,no,,,,,,,,,,,,,61.0,1.0,760.78,1.0,61.0,1.0,380.39,1.0,61.0,1.0,570.58,1.0
Joseph Hutchins,Joseph,Hutchins,NH,no,,,,,,,,,,,,,,,,,,,,,,,,
Matthias Hutchinson,Matthias,Hutchinson,SC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Is. Hutchinson,Is.,Hutchinson,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Hutson,Thomas,Hutson,SC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Richard Hutson,Richard,Hutson,SC,yes,76.0,1.0,91.0,1.0,38.0,1.0,46.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Eli Hyde,Eli,Hyde,CT,yes,,,,,,,,,,,,,,,,,,,,,,,,
Jared Ingersoll,Jared,Ingersoll,Constitution,yes,,,,,,,,,,,,,,,,,,,,,,,,
John Ingersoll,John,Ingersoll,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Ingham,Daniel,Ingham,CT,no,,,,,,,,,,,,,,,,,,,,,,,,
John Ingram,John,Ingram,NC,yes,81.0,1.0,80.0,1.0,40.0,1.0,89.0,1.0,0.0,0.0,0.0,0.0,62.0,1.0,22.61,1.0,62.0,1.0,11.3,1.0,62.0,1.0,16.95,1.0
John Ingram,John,Ingram,DE,yes,81.0,1.0,80.0,1.0,40.0,1.0,89.0,1.0,0.0,0.0,0.0,0.0,62.0,1.0,22.61,1.0,62.0,1.0,11.3,1.0,62.0,1.0,16.95,1.0
James Innes,James,Innes,VA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Jared Irwin,Jared,Irwin,GA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Manchester Isaac,Manchester,Isaac,RI,yes,98.0,4.0,202.0,4.0,48.0,4.0,198.0,4.0,180.0,4.0,272.0,4.0,,,,,,,,,,,,
Daniel Isley,Daniel,Isley,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Ralph Izard,Ralph,Izard,SC,yes,879.0,1.0,96.0,1.0,439.0,1.0,98.0,1.0,1386.0,1.0,62.0,1.0,8588.0,2.0,0.7644444444440524,2.0,4294.0,2.0,0.562222222222033,2.0,6441.0,2.0,0.5633333333330484,2.0
Bowen Jabez,Bowen,Jabez,RI,yes,322740.0,180.0,10620.0,180.0,161340.0,180.0,8190.0,180.0,109584.0,180.0,7956.0,144.0,331.0,1.0,47.0,1.0,165.0,1.0,73.0,1.0,248.0,1.0,60.0,1.0
Enoch Jackman,Enoch,Jackman,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Joseph Jackson,Joseph,Jackson,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
George Jackson,George,Jackson,VA,yes,7.0,1.0,90.0,1.0,3.0,1.0,95.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Aldrich James,Aldrich,James,RI,no,,,,,,,,,,,,,,,,,,,,,,,,
Sheldon James,Sheldon,James,RI,no,,,,,,,,,,,,,,,,,,,,,,,,
Ebenezer James,Ebenezer,James,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Jn.a James,Jn.a,James,DE,yes,,,,,,,,,,,,,,,,,,,,,,,,
David Jameson,David,Jameson,NC,yes,1156.0,8.0,588.0,8.0,576.0,8.0,500.0,8.0,716.0,8.0,96.0,8.0,11172.0,9.0,573.0,9.0,5583.0,9.0,594.0,9.0,477.0,9.0,630.0,9.0
Charles Jarvis,Charles,Jarvis,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
James Jasper,James,Jasper,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
John Jay,John,Jay,NY,yes,5831.0,1.0,67.0,1.0,2915.0,1.0,83.0,1.0,4931.0,1.0,84.0,1.0,3517.0,1.0,14.0,1.0,1758.0,1.0,57.0,1.0,2637.0,1.0,85.0,1.0
Daniel of St. Thomas Jenifer,Daniel of St. Thomas,Jenifer,Constitution,yes,,,,,,,,,,,,,,,,,,,,,,,,
Isaac Jenkins,Isaac,Jenkins,SC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Jenkins,Daniel,Jenkins,SC,yes,,,,,,,,,,,,,,,,,,,,,,,,
N. Jenks,N.,Jenks,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
John Jennings,John,Jennings,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Josiah Jernigan,Josiah,Jernigan,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Maxson Jesse,Maxson,Jesse,RI,yes,,,,,,,,,,,,,,,,,,,,,,,,
Durfree Job,Durfree,Job,RI,did not vote,,,,,,,,,,,,,,,,,,,,,,,,
Wilcox Job,Wilcox,Job,RI,no,,,,,,,,,,,,,,,,,,,,,,,,
Comstock Job,Comstock,Job,RI,no,,,,,,,,,,,,,,,,,,,,,,,,
Greene Job,Greene,Job,RI,no,,,,,,,,,,,,,,,,,,,,,,,,
Davis John,Davis,John,RI,yes,174.0,2.0,132.0,2.0,86.0,2.0,167.0,2.0,14.0,1.0,2.0,1.0,,,,,,,,,,,,
Williams John,Williams,John,RI,no,17708.0,49.0,2117.0,49.0,6446.0,49.0,876.0,49.0,10425.0,51.0,2391.0,39.0,2418.0,12.0,414.0,12.0,1361.0,13.0,566.0,13.0,2053.0,13.0,570.0,13.0
Brown John,Brown,John,RI,yes,36139.0,82.0,3392.0,66.0,17221.0,82.0,3118.0,62.0,18532.0,82.0,3735.0,82.0,28862.0,15.0,3008.6200000000003,15.0,4859.0,12.0,1465.29,12.0,22845.0,15.0,2526.9300000000003,15.0
Sayles John,Sayles,John,RI,no,,,,,,,,,,,,,,,,,,,,,,,,
Clark John I,Clark,John I,RI,yes,,,,,,,,,,,,,238.0,1.0,75.0,1.0,119.0,1.0,37.0,1.0,179.0,1.0,5.0,1.0
Dexter John S,Dexter,John S,RI,yes,2.0,1.0,49.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Kensey Johns,Kensey,Johns,DE,yes,,,,,,,,,,,,,,,,,,,,,,,,
Charles Johnson,Charles,Johnson,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Johnson,Thomas,Johnson,MD,yes,,,,,,,,,,,,,,,,,,,,,,,,
James Johnson,James,Johnson,VA,yes,81.0,2.0,86.0,2.0,40.0,2.0,76.0,2.0,114.0,4.0,299.0,4.0,,,,,,,,,,,,
William Samuel Johnson,William Samuel,Johnson,CT,yes,1423.0,1.0,48.0,1.0,711.0,1.0,74.0,1.0,740.0,2.0,98.0,2.0,1205.0,1.0,0.43000000000006366,1.0,602.0,1.0,0.7100000000000364,1.0,904.0,1.0,0.07000000000005002,1.0
William Johnson,William,Johnson,NC,yes,1423.0,1.0,48.0,1.0,711.0,1.0,74.0,1.0,740.0,2.0,98.0,2.0,1205.0,1.0,0.43000000000006366,1.0,602.0,1.0,0.7100000000000364,1.0,904.0,1.0,0.07000000000005002,1.0
William Johnson,William,Johnson,SC,yes,1423.0,1.0,48.0,1.0,711.0,1.0,74.0,1.0,740.0,2.0,98.0,2.0,1205.0,1.0,0.43000000000006366,1.0,602.0,1.0,0.7100000000000364,1.0,904.0,1.0,0.07000000000005002,1.0
Jesse Johnson,Jesse,Johnson,NH,yes,,,,,,,,,,,,,,,,,,,,,,,,
William Samuel Johnson,William Samuel,Johnson,Constitution,yes,1423.0,1.0,48.0,1.0,711.0,1.0,74.0,1.0,740.0,2.0,98.0,2.0,1205.0,1.0,0.43000000000006366,1.0,602.0,1.0,0.7100000000000364,1.0,904.0,1.0,0.07000000000005002,1.0
Thomas Johnston,Thomas,Johnston,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
John Johnston,John,Johnston,NC,yes,1517.0,3.0,194.0,3.0,758.0,3.0,148.0,3.0,563.0,2.0,88.0,2.0,0.0,0.0,0.0,0.0,301.0,1.0,46.0,1.0,450.0,1.0,68.0,1.0
Samuel Johnston,Samuel,Johnston,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Zachariah Johnston,Zachariah,Johnston,VA,yes,,,,,,,,,,,,,,,,,,,,,,,,
William Johnston,William,Johnston,NC,yes,1423.0,1.0,48.0,1.0,711.0,1.0,74.0,1.0,740.0,2.0,98.0,2.0,1205.0,1.0,0.43000000000006366,1.0,602.0,1.0,0.7100000000000364,1.0,904.0,1.0,0.07000000000005002,1.0
Jacob Johnston,Jacob,Johnston,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
William Johnston Dawson,William,Johnston Dawson,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Sprague Jonathan,Sprague,Jonathan,RI,no,,,,,,,,,,,,,,,,,,,,,,,,
Howard Jonathan J,Howard,Jonathan J,RI,no,,,,,,,,,,,,,,,,,,,,,,,,
John Jones,John,Jones,VA,no,443.0,1.0,90.0,1.0,221.0,1.0,95.0,1.0,10244.0,1.0,15.0,1.0,61.0,1.0,4037.67,1.0,61.0,1.0,2018.83,1.0,61.0,1.0,3028.25,1.0
Binns Jones,Binns,Jones,VA,no,,,,,,,,,,,,,,,,,,,,,,,,
John Coffin Jones,John Coffin,Jones,MA,yes,,,,,,,,,,,,,0.0,0.0,0.0,0.0,33.0,1.0,37.0,1.0,50.0,1.0,5.0,1.0
Samuel Jones,Samuel,Jones,NY,yes,710.0,8.0,654.0,8.0,352.0,8.0,624.0,8.0,572.0,5.0,181.0,5.0,0.0,0.0,0.0,0.0,92.0,1.0,1.0,1.0,138.0,1.0,2.0,1.0
John Jones,John,Jones,DE,yes,443.0,1.0,90.0,1.0,221.0,1.0,95.0,1.0,10244.0,1.0,15.0,1.0,61.0,1.0,4037.67,1.0,61.0,1.0,2018.83,1.0,61.0,1.0,3028.25,1.0
Gabriel Jones,Gabriel,Jones,VA,yes,175.0,1.0,22.0,1.0,87.0,1.0,62.0,1.0,137.0,1.0,23.0,1.0,,,,,,,,,,,,
William Jones,William,Jones,MA,no,565.0,6.0,400.0,6.0,282.0,6.0,248.0,6.0,712.0,6.0,322.0,6.0,,,,,,,,,,,,
Joseph Jones,Joseph,Jones,VA,no,,,,,,,,,,,,,17.0,1.0,9.0,1.0,8.0,1.0,54.0,1.0,12.0,1.0,81.0,1.0
Thomas Jones,Thomas,Jones,SC,yes,5725.0,39.0,1054.0,39.0,3172.0,39.0,1569.0,39.0,2866.0,37.0,350.0,25.0,5098.0,3.0,2.349999999999909,3.0,2548.0,3.0,2.159999999999968,3.0,3824.0,3.0,1.2500000000001137,3.0
Walter Jones,Walter,Jones,VA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Jones,Benjamin,Jones,NH,no,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Jones,Benjamin,Jones,NC,no,,,,,,,,,,,,,,,,,,,,,,,,
Adam Crain Jones,Adam Crain,Jones,SC,no,48.0,1.0,42.0,1.0,24.0,1.0,21.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Thomas Jones,Thomas,Jones,MA,yes,5725.0,39.0,1054.0,39.0,3172.0,39.0,1569.0,39.0,2866.0,37.0,350.0,25.0,5098.0,3.0,2.349999999999909,3.0,2548.0,3.0,2.159999999999968,3.0,3824.0,3.0,1.2500000000001137,3.0
James Jordan,James,Jordan,SC,no,,,,,,,,,,,,,,,,,,,,,,,,
Reynolds Joseph,Reynolds,Joseph,RI,no,,,,,,,,,,,,,,,,,,,,,,,,
Stanton Joseph,Stanton,Joseph,RI,no,,,,,,,,,,,,,,,,,,,,,,,,
Barker Joshua,Barker,Joshua,RI,yes,,,,,,,,,,,,,,,,,,,,,,,,
B. Joslyn,B.,Joslyn,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
John Joyner,John,Joyner,SC,yes,,,,,,,,,,,,,,,,,,,,,,,,
William Judd,William,Judd,CT,yes,996.0,1.0,14.0,1.0,498.0,1.0,8.0,1.0,717.0,1.0,22.0,1.0,,,,,,,,,,,,
Michael Kalteisen,Michael,Kalteisen,SC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Karwon,Thomas,Karwon,SC,yes,,,,,,,,,,,,,,,,,,,,,,,,
John Kean,John,Kean,SC,yes,,,,,,,,,,,,,1044.0,1.0,0.1999999999998181,1.0,522.0,1.0,0.09999999999990905,1.0,783.0,1.0,0.14999999999986358,1.0
Jonathan Keep,Jonathan,Keep,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
James Kenan,James,Kenan,NC,no,,,,,,,,,,,,,,,,,,,,,,,,
William Kennedy,William,Kennedy,SC,no,,,,,,,,,,,,,0.0,0.0,0.0,0.0,85.0,1.0,55.0,1.0,0.0,0.0,0.0,0.0
Richard Kennon,Richard,Kennon,VA,no,,,,,,,,,,,,,,,,,,,,,,,,
Samuel Killo,Samuel,Killo,VA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Joseph Kimball,Joseph,Kimball,NH,yes,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Kindrick,Daniel,Kindrick,NH,no,,,,,,,,,,,,,,,,,,,,,,,,
John King,John,King,GA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Miles King,Miles,King,VA,yes,1618.0,1.0,48.0,1.0,809.0,1.0,25.0,1.0,619.0,1.0,77.0,1.0,,,,,,,,,,,,
William King,William,King,NC,no,266.0,1.0,87.0,1.0,133.0,1.0,43.0,1.0,189.0,1.0,26.0,1.0,,,,,,,,,,,,
Rufus King,Rufus,King,Constitution,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1568.0,2.0,112.0,2.0,3276.0,4.0,0.0,2.0,2712.0,4.0,200.0,4.0,2876.0,4.0,268.0,4.0
Alexander King,Alexander,King,CT,no,,,,,,,,,,,,,,,,,,,,,,,,
Rufus King,Rufus,King,MA,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1568.0,2.0,112.0,2.0,3276.0,4.0,0.0,2.0,2712.0,4.0,200.0,4.0,2876.0,4.0,268.0,4.0
Cleland Kinloch,Cleland,Kinloch,SC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Francis Kinloch,Francis,Kinloch,SC,yes,,,,,,,,,,,,,,,,,,,,,,,,
M. Kinsley,M.,Kinsley,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Kittridge,Thomas,Kittridge,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
James Knox,James,Knox,SC,no,,,,,,,,,,,,,251.0,1.0,58.0,1.0,125.0,1.0,79.0,1.0,188.0,1.0,68.0,1.0
Edward Lacey,Edward,Lacey,SC,no,,,,,,,,,,,,,,,,,,,,,,,,
Nathaniel Ladd,Nathaniel,Ladd,NH,did not vote,,,,,,,,,,,,,,,,,,,,,,,,
James Ladson,James,Ladson,SC,yes,,,,,,,,,,,,,,,,,,,,,,,,
William Lancaster,William,Lancaster,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Henry Lane,Henry,Lane,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Joel Lane,Joel,Lane,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Hezekiah Lane,Hezekiah,Lane,CT,yes,,,,,,,,,,,,,,,,,,,,,,,,
Samuel Langdon,Samuel,Langdon,NH,yes,,,,,,,,,,,,,,,,,,,,,,,,
John Langdon,John,Langdon,Constitution,yes,12396.0,1.0,79.0,1.0,6198.0,1.0,39.0,1.0,7977.0,1.0,60.0,1.0,12641.0,28.0,925.0,28.0,6311.0,28.0,1422.0,28.0,9487.25,28.0,45.0,1.0
John Langdon,John,Langdon,NH,yes,12396.0,1.0,79.0,1.0,6198.0,1.0,39.0,1.0,7977.0,1.0,60.0,1.0,12641.0,28.0,925.0,28.0,6311.0,28.0,1422.0,28.0,9487.25,28.0,45.0,1.0
John Lansing Jr.,John,Lansing Jr.,Constitution,no,,,,,,,,,,,,,,,,,,,,,,,,
"John Lansing, Jun. ",John,"Lansing, Jun. ",NY,no,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Lassiter,Nathan,Lassiter,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
