,Occupations,6p_Total,6p_def_Total,3p_Total,count,state,Average (6p),6p_Total_pct,6p_def_Total_pct,3p_Total_pct,count_pct
0,,19857.0,10618.0,14797.0,28,Virginia,709.18,96.39,96.13,95.07,87.5
2,merchant,585.62,347.81,562.09,2,Virginia,292.81,2.84,3.15,3.61,6.25
1,gentleman,111.0,56.0,72.0,1,Virginia,111.0,0.54,0.51,0.46,3.12
3,weaver,48.0,24.0,133.0,1,Virginia,48.0,0.23,0.22,0.85,3.12
