,Occupations,6p_Total,6p_def_Total,3p_Total,count,state,Average (6p),6p_Total_pct,6p_def_Total_pct,3p_Total_pct,count_pct
0,,67279.62,35666.91,55309.93,43,North Carolina,1564.64,89.79,87.43,88.06,79.63
2,esquire,2971.0,1681.0,3030.0,2,North Carolina,1485.5,3.96,4.12,4.82,3.7
5,merchant,2524.0,1410.0,1732.0,6,North Carolina,420.67,3.37,3.46,2.76,11.11
1,doctor,2045.0,1022.0,1400.0,1,North Carolina,2045.0,2.73,2.51,2.23,1.85
4,farmer,113.0,57.0,0.0,1,North Carolina,113.0,0.15,0.14,0.0,1.85
3,executor,0.0,958.0,1339.0,1,North Carolina,0.0,0.0,2.35,2.13,1.85
