,Occupations,6p_Total,6p_def_Total,3p_Total,count,state,Average (6p),6p_Total_pct,6p_def_Total_pct,3p_Total_pct,count_pct
0,,1286758.77,669662.88,5007800.65,885,New York,1453.96,99.35,99.31,99.84,98.22
3,merchant,5712.31,3207.65,5392.05,12,New York,476.03,0.44,0.48,0.11,1.33
1,broker,1788.0,894.0,1586.0,1,New York,1788.0,0.14,0.13,0.03,0.11
2,farmer,804.0,452.0,882.0,2,New York,402.0,0.06,0.07,0.02,0.22
4,school master,146.0,122.0,215.0,1,New York,146.0,0.01,0.02,0.0,0.11
