,Occupations,6p_Total,6p_def_Total,3p_Total,count,state,Average (6p),6p_Total_pct,6p_def_Total_pct,3p_Total_pct,count_pct
0,,84824.62,42524.66,53994.04,20,Georgia,4241.23,84.33,84.35,89.03,68.97
1,esquire,10109.9,5055.45,2730.4,1,Georgia,10109.9,10.05,10.03,4.5,3.45
2,gentleman,4652.0,2326.0,3037.0,1,Georgia,4652.0,4.63,4.61,5.01,3.45
3,merchant,996.75,506.79,882.94,7,Georgia,142.39,0.99,1.01,1.46,24.14
