,Occupations,6p_Total,count,state,Average (6p),6p_Total_pct,count_pct
0,,6934.0,5,Delaware,1386.8,52.1,62.5
1,esquire,5883.0,2,Delaware,2941.5,44.21,25.0
2,merchant,491.0,1,Delaware,491.0,3.69,12.5
