,Occupations,6p_Total,count,cert_count,Average (6p),6p_Total_pct,count_pct,cert_count_avg
92,merchant,1301032.339,333,675,3907.004021021021,32.63888530400384,21.277955271565496,2.027027027027027
46,esquire,438025.9732,212,292,2066.1602509433965,10.988719550536446,13.546325878594248,1.3773584905660377
148,treasurer,383248.0,21,32,18249.904761904763,9.614509293906847,1.34185303514377,1.5238095238095237
100,"merchant, esquire",170750.0,5,24,34150.0,4.283590421697163,0.3194888178913738,4.8
52,executor,124411.53,54,64,2303.9172222222223,3.1211012489410788,3.450479233226837,1.1851851851851851
18,broker,123764.56,25,72,4950.5824,3.1048707687353665,1.5974440894568689,2.88
68,"gentlewoman, esquire",114740.0,1,1,114740.0,2.8784724157278623,0.06389776357827476,1.0
64,gentleman,107240.94,53,67,2023.413962264151,2.690344148742607,3.386581469648562,1.2641509433962264
57,farmer,82305.0,163,179,504.93865030674846,2.064778387454085,10.415335463258787,1.098159509202454
103,"merchant, gentleman",63203.0,6,10,10533.833333333334,1.5855681723134747,0.38338658146964855,1.6666666666666667
154,widow,62620.380000000005,76,87,823.9523684210527,1.5709520349694677,4.856230031948882,1.144736842105263
99,"merchant, druggist",58039.0,2,7,29019.5,1.4560193527665104,0.12779552715654952,3.5
151,trustee,52374.0,12,16,4364.5,1.31390198972748,0.7667731629392971,1.3333333333333333
131,"scrivener,  notary, broker",49774.0,1,17,49774.0,1.2486760155171572,0.06389776357827476,17.0
157,yeoman,45926.0,104,112,441.59615384615387,1.1521415736858795,6.645367412140575,1.0769230769230769
2,administrator,41589.0,27,43,1540.3333333333333,1.0433396313204293,1.7252396166134185,1.5925925925925926
84,"junior, broker",40339.0,1,12,40339.0,1.0119809898731589,0.06389776357827476,12.0
116,physician,38633.0,25,44,1545.32,0.9691827160259239,1.5974440894568689,1.76
147,trader,35068.0,46,59,762.3478260869565,0.8797478706183082,2.939297124600639,1.2826086956521738
112,minister,30703.0,2,2,15351.5,0.7702434946844392,0.12779552715654952,1.0
105,"merchant, hatter",28785.0,2,7,14392.5,0.7221267952477471,0.12779552715654952,3.5
90,mariner,27535.92,38,53,724.6294736842104,0.6907912337605818,2.428115015974441,1.394736842105263
7,attorney,25504.23,19,29,1342.3278947368422,0.6398224031669776,1.2140575079872205,1.5263157894736843
118,planter,24226.0,26,30,931.7692307692307,0.6077555581612619,1.6613418530351438,1.1538461538461537
66,gentlewoman,22990.0,13,15,1768.4615384615386,0.5767481334982008,0.8306709265175719,1.1538461538461537
93,"merchant, administrator",19228.0,1,5,19228.0,0.4823711661984952,0.06389776357827476,5.0
101,"merchant, estate, guardian",17652.0,1,6,17652.0,0.4428341910617764,0.06389776357827476,6.0
110,"merchant, widow",17227.0,2,3,8613.5,0.4321722529697044,0.12779552715654952,1.5
51,estate,15901.0,3,3,5300.333333333333,0.3989070061224398,0.19169329073482427,1.0
26,clerk,14210.0,10,19,1421.0,0.3564850359725721,0.6389776357827476,1.9
42,doctor,13288.0,4,9,3322.0,0.3333549020410653,0.25559105431309903,2.25
107,"merchant, shopkeeper",12882.0,3,5,4294.0,0.3231696152989918,0.19169329073482427,1.6666666666666667
123,printer,12863.0,5,10,2572.6,0.3226929639489933,0.3194888178913738,2.0
22,carpenter,11985.0,11,14,1089.5454545454545,0.30066665419643046,0.7028753993610224,1.2727272727272727
53,"executor, hatter",10831.0,1,1,10831.0,0.27171635641231023,0.06389776357827476,1.0
122,"post master, esquire",10754.0,1,1,10754.0,0.26978466409915836,0.06389776357827476,1.0
12,baker,10746.0,4,4,2686.5,0.26958396879389585,0.25559105431309903,1.0
135,shopkeeper,10235.0,11,13,930.4545454545455,0.2567645561702516,0.7028753993610224,1.1818181818181819
142,spinster,10072.0,15,16,671.4666666666667,0.2526753893255275,0.9584664536741214,1.0666666666666667
97,"merchant, broker",9370.0,1,3,9370.0,0.23506437628874038,0.06389776357827476,3.0
79,inn keeper,8626.0,10,16,862.6,0.21639971289932491,0.6389776357827476,1.6
14,blockmaker,8199.0,2,3,4099.5,0.20568760098093725,0.12779552715654952,1.5
13,blacksmith,8116.0,13,14,624.3076923076923,0.20360538718883853,0.8306709265175719,1.0769230769230769
25,city commissioner,8095.0,2,2,4047.5,0.20307856201252436,0.12779552715654952,1.0
98,"merchant, carpenter",7816.0,1,5,7816.0,0.19607931324149355,0.06389776357827476,5.0
33,consul,7137.0,1,4,7137.0,0.17904529920733617,0.06389776357827476,4.0
130,school master,7135.0,8,9,891.875,0.17899512538102055,0.5111821086261981,1.125
145,taylor,7076.0,10,11,707.6,0.17751499750470937,0.6389776357827476,1.1
38,currier,6983.0,1,2,6983.0,0.17518191458103244,0.06389776357827476,2.0
70,"gentlewoman, widow",6823.0,1,1,6823.0,0.1711680084757818,0.06389776357827476,1.0
114,negroe,6418.0,2,2,3209.0,0.16100780864686612,0.12779552715654952,1.0
88,"lawyer, esquire",6128.0,1,2,6128.0,0.15373260383109935,0.06389776357827476,2.0
129,sadler,6006.0,2,2,3003.0,0.15067200042584572,0.12779552715654952,1.0
87,lawyer,5438.0,2,2,2719.0,0.13642263375220598,0.12779552715654952,1.0
45,druggist,5275.0,1,1,5275.0,0.1323334669074819,0.06389776357827476,1.0
74,guardian,5172.0,7,8,738.8571428571429,0.1297495148522268,0.44728434504792336,1.1428571428571428
134,shoemaker,5072.0,9,10,563.5555555555555,0.12724082353644514,0.5750798722044729,1.1111111111111112
21,candlekeeper,5061.0,1,1,5061.0,0.12696486749170918,0.06389776357827476,1.0
133,ship wright,4978.0,9,9,553.1111111111111,0.12488265369961041,0.5750798722044729,1.0
27,"clerk, administrator",4932.0,1,3,4932.0,0.12372865569435085,0.06389776357827476,3.0
132,sheriff,4745.000000000001,4,6,1186.2500000000002,0.11903740293383919,0.25559105431309903,1.5
63,furrier,4737.0,2,2,2368.5,0.11883670762857663,0.12779552715654952,1.0
56,factor,4663.0,3,3,1554.3333333333333,0.11698027605489822,0.19169329073482427,1.0
54,"executor, physician",4557.0,1,2,4557.0,0.11432106326016966,0.06389776357827476,2.0
81,ironmonger,4055.0,1,1,4055.0,0.10172743285494579,0.06389776357827476,1.0
143,surveyor,3938.0,1,1,3938.0,0.09879226401548126,0.06389776357827476,1.0
144,tanner,3842.0,4,4,960.5,0.0963839203523309,0.25559105431309903,1.0
127,reverend,3728.0,3,3,1242.6666666666667,0.09352401225233982,0.19169329073482427,1.0
47,"esquire, gentleman",3719.0,4,9,929.75,0.09329823003391946,0.25559105431309903,2.25
108,"merchant, trader",3573.0,2,6,1786.5,0.08963554071287826,0.12779552715654952,3.0
83,judges,3462.0,1,1,3462.0,0.08685089335236064,0.06389776357827476,1.0
19,butcher,3353.0,2,2,1676.5,0.08411641981815864,0.12779552715654952,1.0
94,"merchant, baker",3272.0,1,1,3272.0,0.0820843798523755,0.06389776357827476,1.0
139,silversmith,3222.0,1,2,3222.0,0.08083003419448467,0.06389776357827476,2.0
86,"labourer, hatter",3195.0,1,1,3195.0,0.08015268753922364,0.06389776357827476,1.0
5,assignee,3177.0,2,2,1588.5,0.07970112310238293,0.12779552715654952,1.0
96,"merchant, board builder",3159.0,1,1,3159.0,0.07924955866554224,0.06389776357827476,1.0
158,"yeoman, esquire",3127.0,2,4,1563.5,0.07844677744449212,0.12779552715654952,2.0
35,cooper,3111.0,4,4,777.75,0.07804538683396706,0.25559105431309903,1.0
65,"gentleman, executor",3093.0,1,2,3093.0,0.07759382239712635,0.06389776357827476,2.0
102,"merchant, executor",3077.0,2,6,1538.5,0.07719243178660129,0.12779552715654952,3.0
1,accountant,3055.0,1,1,3055.0,0.07664051969712933,0.06389776357827476,1.0
138,"shopkeeper, taylor",3046.0,1,1,3046.0,0.07641473747870897,0.06389776357827476,1.0
80,"inn keeper, treasurer, executor",3032.0,1,3,3032.0,0.07606352069449955,0.06389776357827476,3.0
140,skinner,2835.0,1,2,2835.0,0.0711213988024097,0.06389776357827476,2.0
75,"guardian, widow",2819.0,1,3,2819.0,0.07072000819188465,0.06389776357827476,3.0
28,cloak maker,2793.0,1,1,2793.0,0.0700677484497814,0.06389776357827476,1.0
104,"merchant, grocer",2676.0,1,1,2676.0,0.06713257961031688,0.06389776357827476,1.0
49,"esquire, treasurer",2663.0,2,5,1331.5,0.06680644973926526,0.12779552715654952,2.5
20,cabinet maker,2637.0,2,2,1318.5,0.06615418999716204,0.12779552715654952,1.0
16,book binder,2456.0,2,2,1228.0,0.06161345871559726,0.12779552715654952,1.0
55,"executor, receiver general of land office, governor, colonel",2427.0,1,1,2427.0,0.06088593823402058,0.06389776357827476,1.0
156,wooden planemaker,2413.0,1,1,2413.0,0.06053472144981115,0.06389776357827476,1.0
36,cordwainer,2342.0,4,4,585.5,0.058753550615606186,0.25559105431309903,1.0
146,the estate of the late,2219.0,1,1,2219.0,0.055667860297194754,0.06389776357827476,1.0
