,6p_Dollar,6p_Cents,6p_def_Dollar,6p_def_Cents,3p_Dollar,3p_Cents,town,state,occupation,county,name_type,6p_total
1142,39.0,11.0,19.0,55.0,41.0,57.0,Montgomery County,MD,,Montgomery County,county,39.11
1143,67.0,34.0,33.0,67.0,65.0,72.0,St Marys County,MD,,St Marys County,county,67.34
1144,268.0,88.0,134.0,43.0,280.0,93.0,Harford County,MD,,Harford County,county,268.88
1145,125.0,,62.0,50.0,110.0,58.0,Baltimore County,MD,,Baltimore County,county,
1146,197.0,4.0,98.0,51.0,139.0,4.0,Frederick County,MD,,Frederick County,county,197.04
1147,282.0,67.0,141.0,33.0,201.0,27.0,Annapolis,MD,,Anne Arundel County,town,282.67
1148,300.0,67.0,150.0,33.0,216.0,97.0,,,,,other,300.67
1149,195.0,11.0,97.0,55.0,148.0,58.0,Annapolis,MD,,Anne Arundel County,town,195.11
1150,504.0,74.0,252.0,37.0,488.0,4.0,Prince Georges County,MD,,Prince Georges County,county,504.74
1151,744.0,47.0,372.0,23.0,531.0,62.0,Annapolis,MD,,Anne Arundel County,town,744.47
1152,466.0,67.0,233.0,33.0,284.0,43.0,Talbot County,MD,,Talbot County,county,466.67
1153,196.0,44.0,98.0,22.0,140.0,43.0,Calvert County,MD,,Calvert County,county,196.44
1154,1975.0,48.0,987.0,73.0,533.0,37.0,Annapolis,MD,,Anne Arundel County,town,1975.48
1155,203.0,34.0,101.0,66.0,54.0,90.0,Annapolis,MD,,Anne Arundel County,town,203.34
1156,733.0,64.0,366.0,82.0,736.0,50.0,Annapolis,MD,,Anne Arundel County,town,733.64
1157,59.0,40.0,29.0,70.0,62.0,73.0,Anne Arundel County,MD,,Anne Arundel County,county,59.4
1158,6.0,49.0,3.0,24.0,6.0,55.0,Annapolis,MD,,Anne Arundel County,town,6.49
1159,114.0,59.0,57.0,29.0,113.0,1.0,Annapolis,MD,Shoemaker,Anne Arundel County,town,114.59
1160,2908.0,67.0,1454.0,33.0,2045.0,65.0,George Town,MD,,Cecil County,town,2908.67
1161,195.0,5.0,97.0,52.0,188.0,80.0,Montgomery County,MD,,Montgomery County,county,195.05
1162,14.0,36.0,7.0,18.0,11.0,10.0,Talbot,MD,,Talbot County,county,14.36
1163,48.0,15.0,24.0,7.0,50.0,90.0,,,,,other,48.15
1164,7572.0,70.0,3786.0,35.0,7307.0,83.0,Calvert County,MD,,Calvert County,county,7572.7
1165,6565.0,31.0,3282.0,65.0,1775.0,40.0,Baltimore Town,MD,Merchant,Baltimore County,town,6565.31
1166,10426.0,20.0,5213.0,10.0,13057.0,95.0,Annapolis,MD,,Anne Arundel County,town,10426.2
1167,438.0,60.0,219.0,30.0,396.0,52.0,,,acting Administrator of Robert Adam,,other,438.6
1168,111.0,55.0,55.0,70.0,84.0,72.0,Frederick County,MD,,Frederick County,county,111.55
1169,1211.0,24.0,605.0,62.0,943.0,76.0,George Town,MD,,Cecil County,town,1211.24
1170,188.0,89.0,94.0,44.0,134.0,32.0,Harford County,MD,,Harford County,county,188.89
1171,173.0,69.0,86.0,84.0,119.0,60.0,Harford County,MD,,Harford County,county,173.69
1172,3869.0,22.0,1934.0,61.0,2500.0,58.0,,,,,other,3869.22
1173,208.0,81.0,104.0,40.0,,,Baltimore,MD,Merchant,Baltimore County,town,208.81
1174,138.0,89.0,69.0,44.0,137.0,51.0,Frederick County,MD,,Frederick County,county,138.89
1175,183.0,65.0,91.0,82.0,145.0,62.0,Frederick,MD,,Frederick County,town,183.65
1176,1623.0,8.0,811.0,53.0,1110.0,25.0,Anne Arundel County,MD,,Anne Arundel County,county,1623.08
1177,2300.0,,1150.0,,5607.0,90.0,Annapolis,MD,Merchant,Anne Arundel County,town,
1178,16.0,80.0,8.0,40.0,,,Annapolis,MD,,Anne Arundel County,town,16.8
1179,463.0,25.0,231.0,62.0,327.0,65.0,Annapolis,MD,,Anne Arundel County,town,463.25
1180,270.0,28.0,135.0,13.0,246.0,91.0,Baltimore Town,MD,,Baltimore County,town,270.28
1181,241.0,54.0,120.0,76.0,230.0,27.0,Montgomery County,MD,,Montgomery County,county,241.54
1182,75.0,69.0,37.0,84.0,,,Harford County,MD,,Harford County,county,75.69
1183,902.0,74.0,451.0,37.0,900.0,87.0,Montgomery County,MD,,Montgomery County,county,902.74
1184,264.0,30.0,132.0,14.0,195.0,75.0,Montgomery County,MD,,Montgomery County,county,264.3
1185,21.0,4.0,10.0,51.0,,,Baltimore,MD,,Baltimore County,town,21.04
1186,25.0,90.0,12.0,95.0,27.0,52.0,Annapolis,MD,,Anne Arundel County,town,25.9
1187,364.0,16.0,182.0,7.0,98.0,31.0,Baltimore County,MD,,Baltimore County,county,364.16
1188,1050.0,28.0,525.0,13.0,283.0,56.0,Baltimore County,MD,,Baltimore County,county,1050.28
1189,188.0,89.0,94.0,44.0,134.0,32.0,Annapolis,MD,,Anne Arundel County,town,188.89
1190,363.0,23.0,181.0,61.0,268.0,7.0,Bladensburg,MD,,Prince Georges County,town,363.23
1191,155.0,83.0,77.0,91.0,132.0,45.0,Cecil County,MD,,Cecil County,county,155.83
1192,275.0,56.0,137.0,77.0,3173.0,74.0,Annapolis,MD,,Anne Arundel County,town,275.56
1193,1237.0,15.0,618.0,57.0,867.0,28.0,Baltimore Town,MD,,Baltimore County,town,1237.15
1194,52.0,99.0,26.0,49.0,51.0,63.0,Montgomery County,MD,,Montgomery County,county,52.99
1195,2822.0,88.0,1411.0,44.0,847.0,53.0,Prince Georges County,MD,,Prince Georges County,county,2822.88
1196,84.0,18.0,42.0,9.0,69.0,20.0,Prince Georges County,MD,,Prince Georges County,county,84.18
1197,188.0,89.0,94.0,44.0,134.0,32.0,Baltimore Town,MD,,Baltimore County,town,188.89
1198,1089.0,54.0,544.0,77.0,462.0,86.0,,,,,other,1089.54
1199,71.0,38.0,35.0,69.0,51.0,12.0,St Marys County,MD,,St Marys County,county,71.38
1200,1538.0,62.0,769.0,31.0,1108.0,63.0,Montgomery County,MD,,Montgomery County,county,1538.62
1201,957.0,54.0,478.0,77.0,686.0,21.0,Frederick County,MD,,Frederick County,county,957.54
1202,5811.0,99.0,2905.0,99.0,8293.0,98.0,Annapolis,MD,,Anne Arundel County,town,5811.99
1203,,,,,1600.0,1.0,Annapolis,MD,,Anne Arundel County,town,
1204,22.0,50.0,11.0,24.0,17.0,62.0,Annapolis,MD,Administrator of John Johnson,Anne Arundel County,town,22.5
1205,158.0,38.0,79.0,19.0,165.0,82.0,Frederick County,MD,,Frederick County,county,158.38
1206,5877.0,58.0,2938.0,79.0,2825.0,76.0,Annapolis,MD,,Anne Arundel County,town,5877.58
1207,2696.0,87.0,1348.0,43.0,1559.0,53.0,Annapolis,MD,,Anne Arundel County,town,2696.87
1208,4907.0,90.0,2453.0,94.0,1468.0,98.0,Annapolis,MD,,Anne Arundel County,town,4907.9
1209,160.0,,80.0,,115.0,80.0,Prince Georges County,MD,,Prince Georges County,county,
1210,,,,,52.0,34.0,Annapolis,MD,,Anne Arundel County,town,
1211,64.0,76.0,32.0,38.0,68.0,82.0,Montgomery County,MD,,Montgomery County,county,64.76
1212,,,,,5291.0,38.0,,,,,other,
1213,,,,,1924.0,64.0,,,,,other,
1214,16.0,,8.0,,,,Prince Georges County,MD,,Prince Georges County,county,
1215,15.0,42.0,7.0,70.0,,,Anne Arundel County,MD,,Anne Arundel County,county,15.42
1216,1936.0,28.0,968.0,14.0,,,Virgina,VA,,,state,1936.28
1217,2079.0,60.0,1039.0,90.0,1368.0,41.0,Dorchester County,MD,,Dorchester County,county,2079.6
1218,118.0,22.0,59.0,11.0,80.0,,Prince Georges County,MD,,Prince Georges County,county,118.22
1219,1235.0,92.0,617.0,95.0,933.0,73.0,Cambridge,MD,,Dorchester County,town,1235.92
1220,126.0,1.0,63.0,,91.0,24.0,Prince Georges County,MD,,Prince Georges County,county,126.01
1221,504.0,28.0,252.0,13.0,554.0,6.0,Annapolis,MD,Merchant,Anne Arundel County,town,504.28
1222,3177.0,36.0,1588.0,68.0,2612.0,45.0,Annapolis,MD,,Anne Arundel County,town,3177.36
1223,158.0,1.0,79.0,,158.0,10.0,Pennsylvania,PA,,,state,158.01
1224,,,,,1240.0,,Annapolis,MD,,Anne Arundel County,town,
1225,230.0,65.0,115.0,32.0,239.0,30.0,Annapolis,MD,Merchant,Anne Arundel County,town,230.65
1226,13700.0,94.0,6850.0,46.0,7487.0,1.0,Annapolis,MD,,Anne Arundel County,town,13700.94
1227,21854.0,30.0,10927.0,14.0,25213.0,72.0,George Town,MD,Merchant,Cecil County,town,21854.3
1228,98.0,8.0,49.0,3.0,64.0,13.0,Annapolis,MD,,Anne Arundel County,town,98.08
1229,20.0,27.0,10.0,13.0,13571.0,95.0,Annapolis,MD,,Anne Arundel County,town,20.27
1230,262138.0,43.0,131069.0,21.0,152239.0,70.0,Annapolis,MD,,Anne Arundel County,town,262138.43
1231,272.0,48.0,136.0,24.0,278.0,11.0,Baltimore,MD,Merchant,Baltimore County,town,272.48
1232,2202.0,48.0,1101.0,24.0,2129.0,56.0,Baltimore County,MD,,Baltimore County,county,2202.48
1233,913.0,48.0,456.0,73.0,644.0,64.0,St Marys County,MD,,St Marys County,county,913.48
1234,2217.0,40.0,1108.0,70.0,1721.0,34.0,Annapolis,MD,,Anne Arundel County,town,2217.4
1235,803.0,11.0,401.0,55.0,811.0,45.0,Anne Arundel County,MD,,Anne Arundel County,county,803.11
1236,2521.0,14.0,1260.0,57.0,1726.0,90.0,Worcester County,MD,,Worcester County,county,2521.14
1237,376.0,8.0,188.0,4.0,255.0,4.0,Cambridge,MD,,Dorchester County,town,376.08
1238,312.0,84.0,156.0,42.0,280.0,28.0,Cambridge,MD,,Dorchester County,town,312.84
1239,3045.0,87.0,1522.0,93.0,2033.0,30.0,Somerset County,MD,,Somerset County,county,3045.87
1240,1619.0,36.0,809.0,68.0,1148.0,37.0,Dorchester County,MD,,Dorchester County,county,1619.36
1241,15.0,,7.0,50.0,14.0,45.0,Anne Arundel County,MD,,Anne Arundel County,county,
1242,257.0,11.0,128.0,55.0,181.0,21.0,Anne Arundel County,MD,,Anne Arundel County,county,257.11
1243,275.0,32.0,137.0,65.0,227.0,38.0,St Marys County,MD,,St Marys County,county,275.32
1244,121.0,52.0,60.0,75.0,117.0,58.0,Baltimore,MD,,Baltimore County,town,121.52
1245,243.0,94.0,121.0,96.0,65.0,85.0,Alexandria State of Virginia,VA,,Fairfax County,town,243.94
1246,133.0,15.0,66.0,57.0,130.0,47.0,Annapolis,MD,,Anne Arundel County,town,133.15
1247,221.0,46.0,110.0,72.0,114.0,73.0,Baltimore,MD,Merchant,Baltimore County,town,221.46
1248,123.0,56.0,61.0,77.0,81.0,32.0,Montgomery County,MD,,Montgomery County,county,123.56
1249,126.0,27.0,63.0,13.0,134.0,38.0,Baltimore,MD,,Baltimore County,town,126.27
1250,31.0,70.0,15.0,85.0,25.0,32.0,Annapolis,MD,,Anne Arundel County,town,31.7
1251,323.0,84.0,161.0,91.0,315.0,1.0,Dorchester County,MD,,Dorchester County,county,323.84
1252,,,,,2127.0,85.0,,,,,other,
1253,735.0,46.0,367.0,72.0,530.0,52.0,St Marys County,MD,,St Marys County,county,735.46
1254,1503.0,32.0,,,1119.0,53.0,Baltimore,MD,Merchant,Baltimore County,town,1503.32
1255,261.0,48.0,130.0,74.0,286.0,81.0,Prince Georges County,MD,,Prince Georges County,county,261.48
1256,333.0,33.0,,,,,Annapolis,MD,,Anne Arundel County,town,333.33
1257,1664.0,60.0,832.0,30.0,1205.0,15.0,Annapolis,MD,,Anne Arundel County,town,1664.6
1258,73.0,36.0,36.0,68.0,72.0,67.0,Calvert County,MD,,Calvert County,county,73.36
1259,82.0,56.0,41.0,27.0,79.0,13.0,Annapolis,MD,,Anne Arundel County,town,82.56
1260,233.0,33.0,116.0,67.0,221.0,56.0,Annapolis,MD,,Anne Arundel County,town,233.33
1261,,,7360.0,77.0,,,Annapolis,MD,,Anne Arundel County,town,
1262,,,177.0,54.0,,,Baltimore,MD,,Baltimore County,town,
1263,3.0,44.0,1.0,72.0,,,Cecil County,MD,,Cecil County,county,3.44
1264,3013.0,48.0,1506.0,74.0,2125.0,15.0,,,,,other,3013.48
1265,620.0,47.0,310.0,24.0,1062.0,10.0,Queen Annes County,MD,,Queen Annes County,county,620.47
1266,68.0,84.0,34.0,42.0,66.0,32.0,,,,,other,68.84
1267,80.0,,40.0,,57.0,60.0,Annapolis,MD,,Anne Arundel County,town,
1268,768.0,7.0,384.0,3.0,540.0,86.0,Washington County,MD,,Washington County,county,768.07
1269,803.0,96.0,401.0,98.0,1307.0,61.0,George town,MD,,Cecil County,town,803.96
1270,55.0,50.0,27.0,75.0,,,Prince Georges County,MD,,Prince Georges County,county,55.5
1271,610.0,97.0,305.0,48.0,589.0,5.0,,,,,other,610.97
1272,1034.0,12.0,517.0,6.0,558.0,42.0,Virginia,VA,,,state,1034.12
1273,165.0,92.0,82.0,96.0,176.0,23.0,Virginia,VA,,,state,165.92
1274,3128.0,30.0,1564.0,15.0,1605.0,60.0,George Town,MD,Merchants,Cecil County,town,3128.3
1275,46.0,20.0,23.0,10.0,,,Frederick County,MD,,Frederick County,county,46.2
1276,15.0,62.0,7.0,81.0,,,Frederick County,MD,,Frederick County,county,15.62
1277,333.0,68.0,166.0,84.0,303.0,87.0,Prince Georges County,MD,,Prince Georges County,county,333.68
1278,32.0,84.0,16.0,42.0,11.0,56.0,Frederick County,MD,,Frederick County,county,32.84
1279,22.0,22.0,11.0,11.0,24.0,93.0,Frederick County,MD,,Frederick County,county,22.22
1280,38.0,72.0,19.0,36.0,38.0,47.0,Frederick County,MD,,Frederick County,county,38.72
1281,44.0,44.0,22.0,22.0,49.0,86.0,Frederick County,MD,,Frederick County,county,44.44
1282,62.0,69.0,31.0,34.0,66.0,1.0,Frederick County,MD,,Frederick County,county,62.69
1283,2950.0,,1475.0,,1891.0,67.0,Worcester County,MD,,Worcester County,county,
1284,80.0,48.0,40.0,24.0,78.0,96.0,Frederick County,MD,,Frederick County,county,80.48
1285,33.0,33.0,16.0,66.0,37.0,40.0,Frederick County,MD,,Frederick County,county,33.33
1286,31.0,10.0,15.0,55.0,34.0,91.0,Frederick County,MD,,Frederick County,county,31.1
1287,22.0,64.0,11.0,32.0,23.0,83.0,Frederick County,MD,,Frederick County,county,22.64
1288,26.0,40.0,13.0,20.0,28.0,10.0,Frederick County,MD,,Frederick County,county,26.4
1289,53.0,16.0,26.0,58.0,49.0,96.0,Frederick Town,MD,,Frederick County,town,53.16
1290,90.0,78.0,45.0,39.0,93.0,2.0,Frederick County,MD,,Frederick County,county,90.78
1291,39.0,36.0,19.0,68.0,41.0,87.0,Annapolis,MD,,Anne Arundel County,town,39.36
1292,258.0,20.0,129.0,10.0,248.0,47.0,Baltimore,MD,,Baltimore County,town,258.2
1293,864.0,39.0,432.0,19.0,807.0,86.0,St Marys County,MD,,St Marys County,county,864.39
1294,369.0,70.0,184.0,84.0,360.0,94.0,Virginia,VA,,,state,369.7
1295,221.0,67.0,110.0,83.0,212.0,57.0,Prince Georges County,MD,,Prince Georges County,county,221.67
1296,143.0,78.0,71.0,88.0,105.0,80.0,Baltimore County,MD,,Baltimore County,county,143.78
1297,1283.0,99.0,641.0,99.0,903.0,22.0,Charles County,MD,,Charles County,county,1283.99
1298,2416.0,60.0,1208.0,30.0,1857.0,50.0,,,,,other,2416.6
1299,430.0,,215.0,,116.0,10.0,Annapolis,MD,,Anne Arundel County,town,
1300,2548.0,46.0,1274.0,22.0,1731.0,41.0,Montgomery County,MD,,Montgomery County,county,2548.46
1301,65.0,98.0,32.0,99.0,69.0,74.0,Talbot County,MD,,Talbot County,county,65.98
1302,1783.0,18.0,891.0,59.0,1286.0,33.0,,,,,other,1783.18
1303,115.0,85.0,57.0,92.0,123.0,47.0,Annapolis,MD,,Anne Arundel County,town,115.85
1304,1085.0,24.0,542.0,62.0,1321.0,25.0,Baltimore Town,MD,Merchant,Baltimore County,town,1085.24
1305,50.0,,25.0,,46.0,25.0,Annapolis,MD,,Anne Arundel County,town,
1306,912.0,45.0,456.0,22.0,971.0,43.0,Prince Georges County,MD,,Prince Georges County,county,912.45
1307,28.0,4.0,14.0,3.0,29.0,93.0,,,,,other,28.04
1308,33.0,34.0,16.0,66.0,35.0,3.0,Frederick County,MD,,Frederick County,county,33.34
1309,1390.0,89.0,695.0,45.0,556.0,70.0,,,the estate of the late,,other,1390.89
1310,,,,,375.0,54.0,,,,,other,
1311,725.0,75.0,362.0,87.0,794.0,68.0,Annapolis,MD,,Anne Arundel County,town,725.75
1312,186.0,86.0,93.0,42.0,90.0,44.0,Annapolis,MD,,Anne Arundel County,town,186.86
1313,608.0,5.0,304.0,2.0,364.0,95.0,Washington County,MD,,Washington County,county,608.05
1314,,,,,164.0,16.0,Washington County,MD,,Washington County,county,
1315,135.0,56.0,67.0,77.0,91.0,12.0,Baltimore County,MD,,Baltimore County,county,135.56
1316,2148.0,66.0,1074.0,34.0,1409.0,32.0,,,,,other,2148.66
1317,1036.0,86.0,518.0,43.0,683.0,74.0,,,Executor of Ebenezer Finlay,,other,1036.86
1318,362.0,91.0,181.0,43.0,225.0,10.0,Baltimore County,MD,Merchant,Baltimore County,county,362.91
1319,4666.0,66.0,2333.0,34.0,1952.0,30.0,,,,,other,4666.66
1320,129.0,10.0,64.0,55.0,162.0,4.0,Dorchester County,MD,,Dorchester County,county,129.1
1321,16.0,98.0,8.0,49.0,17.0,86.0,Frederick County,MD,,Frederick County,county,16.98
1322,105.0,74.0,52.0,87.0,,,Baltimore,MD,,Baltimore County,town,105.74
1323,82.0,55.0,41.0,28.0,22.0,28.0,Annapolis,MD,Merchant,Anne Arundel County,town,82.55
1324,95.0,62.0,47.0,81.0,62.0,44.0,Annapolis,MD,Merchant,Anne Arundel County,town,95.62
1325,,,,,66.0,34.0,Annapolis,MD,Merchant,Anne Arundel County,town,
1326,266.0,42.0,133.0,22.0,71.0,93.0,Baltimore County,MD,,Baltimore County,county,266.42
1327,353.0,34.0,176.0,66.0,248.0,46.0,Annapolis,MD,,Anne Arundel County,town,353.34
1328,233.0,70.0,116.0,85.0,347.0,33.0,Baltimore,MD,Merchant,Baltimore County,town,233.7
1329,2343.0,3.0,1171.0,52.0,2063.0,60.0,Annapolis,MD,,Anne Arundel County,town,2343.03
1330,242.0,32.0,121.0,15.0,130.0,84.0,,,,,other,242.32
1331,72.0,22.0,36.0,11.0,26.0,,Anne Arundel County,MD,,Anne Arundel County,county,72.22
1332,184.0,89.0,92.0,44.0,131.0,7.0,Baltimore,MD,Merchant,Baltimore County,town,184.89
1333,217.0,76.0,108.0,88.0,131.0,72.0,Annapolis,MD,,Anne Arundel County,town,217.76
1334,106.0,66.0,53.0,34.0,81.0,60.0,Annapolis,MD,,Anne Arundel County,town,106.66
1335,967.0,94.0,483.0,97.0,540.0,76.0,Baltimore,MD,,Baltimore County,town,967.94
1336,4206.0,29.0,2103.0,14.0,3754.0,77.0,Annapolis,MD,,Anne Arundel County,town,4206.29
1337,39.0,48.0,19.0,74.0,32.0,31.0,St Marys County,MD,,St Marys County,county,39.48
1338,515.0,55.0,257.0,77.0,360.0,75.0,Charles County,MD,,Charles County,county,515.55
1339,,,,,1068.0,,Baltimore,MD,,Baltimore County,town,
1340,550.0,,275.0,,371.0,38.0,Charles County,MD,,Charles County,county,
1341,133.0,24.0,66.0,62.0,108.0,65.0,Frederick County,MD,,Frederick County,county,133.24
1342,233.0,70.0,116.0,85.0,173.0,62.0,Baltimore County,MD,,Baltimore County,county,233.7
1343,88.0,24.0,44.0,12.0,83.0,76.0,Anne Arundel County,MD,,Anne Arundel County,county,88.24
1344,15.0,53.0,7.0,76.0,14.0,83.0,Prince Georges County,MD,,Prince Georges County,county,15.53
1345,21.0,66.0,10.0,83.0,76.0,87.0,Anne Arundel County,MD,,Anne Arundel County,county,21.66
1346,415.0,36.0,207.0,68.0,389.0,88.0,Harford County,MD,,Harford County,county,415.36
1347,44.0,84.0,22.0,42.0,43.0,95.0,Harford County,MD,Executor of Moses Ruth,Harford County,county,44.84
1348,210.0,58.0,105.0,29.0,202.0,30.0,Harford County,MD,,Harford County,county,210.58
1349,9.0,24.0,4.0,62.0,7.0,73.0,Harford County,MD,,Harford County,county,9.24
1350,11.0,66.0,5.0,83.0,11.0,5.0,Harford County,MD,,Harford County,county,11.66
1351,1573.0,33.0,786.0,66.0,1008.0,90.0,Harford County,MD,,Harford County,county,1573.33
1352,183.0,49.0,91.0,74.0,190.0,40.0,,,,,other,183.49
1353,,,10580.0,28.0,,,Prince Georges County,MD,,Prince Georges County,county,
1354,188.0,88.0,94.0,44.0,134.0,32.0,Annapolis,MD,,Anne Arundel County,town,188.88
1355,283.0,33.0,141.0,66.0,261.0,57.0,Baltimore,MD,,Baltimore County,town,283.33
1356,161.0,77.0,80.0,88.0,117.0,7.0,Charles County,MD,,Charles County,county,161.77
1357,39.0,48.0,19.0,74.0,42.0,1.0,Charles County,MD,,Charles County,county,39.48
1358,135.0,38.0,67.0,69.0,142.0,92.0,Dorchester County,MD,,Dorchester County,county,135.38
1359,4031.0,31.0,2015.0,65.0,2747.0,74.0,Dorchester County,MD,,Dorchester County,county,4031.31
1360,360.0,,269.0,62.0,267.0,,Montgomery County,MD,,Montgomery County,county,
1361,179.0,25.0,,,130.0,64.0,Montgomery County,MD,,Montgomery County,county,179.25
1362,153.0,54.0,76.0,77.0,146.0,96.0,Montgomery County,MD,,Montgomery County,county,153.54
1363,,,3192.0,66.0,,,,,,,other,
1364,732.0,32.0,366.0,16.0,493.0,86.0,Prince Georges County,MD,,Prince Georges County,county,732.32
1365,,,,,753.0,35.0,,,,,other,
1366,179.0,48.0,89.0,74.0,115.0,32.0,Annapolis,MD,,Anne Arundel County,town,179.48
1367,169.0,14.0,84.0,57.0,164.0,51.0,Frederick County,MD,,Frederick County,county,169.14
1368,553.0,45.0,276.0,72.0,314.0,,Annapolis,MD,,Anne Arundel County,town,553.45
1369,110.0,22.0,55.0,11.0,86.0,8.0,Frederick County,MD,,Frederick County,county,110.22
1370,340.0,42.0,170.0,21.0,276.0,66.0,Harford County,MD,,Harford County,county,340.42
1371,31.0,77.0,15.0,88.0,20.0,35.0,Frederick County,MD,,Frederick County,county,31.77
1372,1468.0,80.0,734.0,40.0,1807.0,86.0,Virginia,VA,,,state,1468.8
1373,68.0,78.0,34.0,39.0,62.0,56.0,Annapolis,MD,,Anne Arundel County,town,68.78
1374,116.0,13.0,58.0,6.0,113.0,97.0,Annapolis,MD,,Anne Arundel County,town,116.13
1375,902.0,47.0,451.0,23.0,164.0,61.0,Baltimore,MD,Merchant,Baltimore County,town,902.47
1376,119.0,96.0,59.0,98.0,,,Annapolis,MD,,Anne Arundel County,town,119.96
1377,755.0,55.0,377.0,77.0,539.0,96.0,Allegany County,MD,,Allegany County,county,755.55
1378,266.0,59.0,133.0,30.0,266.0,80.0,Annapolis,MD,,Anne Arundel County,town,266.59
1379,4354.0,63.0,520.0,2.0,1828.0,24.0,Annapolis,MD,,Anne Arundel County,town,4354.63
1380,3016.0,91.0,2977.0,32.0,280.0,80.0,Annapolis,MD,,Anne Arundel County,town,3016.91
1381,233.0,65.0,116.0,82.0,169.0,12.0,Harford County,MD,,Harford County,county,233.65
1382,,,,,2412.0,15.0,,,,,other,
1383,316.0,66.0,158.0,33.0,305.0,90.0,Charles County,MD,,Charles County,county,316.66
1384,,,872.0,66.0,,,,,,,other,
1385,,,4493.0,12.0,,,Annapolis,MD,,Anne Arundel County,town,
1386,5414.0,49.0,2707.0,24.0,4606.0,32.0,Anne Arundel County,MD,,Anne Arundel County,county,5414.49
1387,38.0,12.0,19.0,6.0,37.0,12.0,Annapolis,MD,,Anne Arundel County,town,38.12
1388,2818.0,40.0,1409.0,20.0,1889.0,95.0,Prince Georges County,MD,,Prince Georges County,county,2818.4
1389,297.0,67.0,148.0,83.0,,,Montgomery County,MD,,Montgomery County,county,297.67
1390,2363.0,94.0,1181.0,97.0,1804.0,50.0,Virginia,VA,,,state,2363.94
1391,2673.0,42.0,,,606.0,9.0,Annapolis,MD,,Anne Arundel County,town,2673.42
1392,64.0,97.0,32.0,48.0,69.0,6.0,Annapolis,MD,,Anne Arundel County,town,64.97
1393,309.0,60.0,154.0,80.0,167.0,17.0,Virginia,VA,,,state,309.6
1394,64.0,14.0,32.0,7.0,45.0,94.0,Annapolis,MD,,Anne Arundel County,town,64.14
1395,,,1051.0,29.0,2027.0,85.0,Baltimore County,MD,,Baltimore County,county,
1396,101.0,43.0,50.0,71.0,1993.0,27.0,Anne Arundel County,MD,,Anne Arundel County,county,101.43
1397,2225.0,40.0,905.0,42.0,228.0,16.0,Baltimore,MD,,Baltimore County,town,2225.4
1398,,,103.0,64.0,228.0,16.0,Baltimore,MD,,Baltimore County,town,
1399,,,103.0,64.0,106.0,70.0,Baltimore,MD,,Baltimore County,town,
1400,157.0,85.0,78.0,92.0,133.0,88.0,Annapolis,MD,,Anne Arundel County,town,157.85
1401,55.0,3.0,27.0,52.0,57.0,78.0,,,,,other,55.03
1402,459.0,40.0,229.0,70.0,256.0,36.0,Dorchester County,MD,,Dorchester County,county,459.4
1403,267.0,62.0,133.0,81.0,234.0,86.0,Anne Arundel County,MD,,Anne Arundel County,county,267.62
1404,154.0,58.0,77.0,29.0,321.0,17.0,Prince Georges County,MD,,Prince Georges County,county,154.58
1405,,,1076.0,54.0,,,Prince Georges County,MD,,Prince Georges County,county,
1406,106.0,66.0,53.0,33.0,81.0,60.0,Charles County,MD,,Charles County,county,106.66
1407,471.0,83.0,235.0,91.0,323.0,3.0,Dorchester County,MD,,Dorchester County,county,471.83
1408,600.0,88.0,300.0,44.0,586.0,34.0,,,Executor of Nicholas Gassaway,,other,600.88
1409,,,,,934.0,28.0,George Town,MD,Merchant,Cecil County,town,
1410,1402.0,40.0,701.0,20.0,1204.0,1.0,Annapolis,MD,,Anne Arundel County,town,1402.4
1411,80.0,98.0,40.0,49.0,25.0,78.0,George Town,MD,,Cecil County,town,80.98
1412,952.0,33.0,476.0,16.0,695.0,91.0,George Town,MD,,Cecil County,town,952.33
1413,645.0,33.0,322.0,66.0,422.0,63.0,Annapolis,MD,,Anne Arundel County,town,645.33
1414,28.0,89.0,14.0,44.0,18.0,49.0,Annapolis,MD,,Anne Arundel County,town,28.89
1415,10437.0,76.0,5036.0,65.0,146.0,64.0,Annapolis,MD,,Anne Arundel County,town,10437.76
1416,,,182.0,23.0,,,Annapolis,MD,,Anne Arundel County,town,
1417,1077.0,,538.0,50.0,,,Annapolis,MD,,Anne Arundel County,town,
1418,106.0,66.0,53.0,34.0,81.0,60.0,Baltimore,MD,,Baltimore County,town,106.66
1419,296.0,2.0,148.0,1.0,204.0,74.0,Annapolis,MD,,Anne Arundel County,town,296.02
1420,675.0,98.0,337.0,99.0,704.0,4.0,Prince Georges County,MD,,Prince Georges County,county,675.98
1421,505.0,60.0,252.0,80.0,667.0,62.0,Montgomery County,MD,,Montgomery County,county,505.6
1422,89.0,82.0,44.0,91.0,44.0,68.0,Baltimore,MD,,Baltimore County,town,89.82
1423,273.0,22.0,136.0,61.0,257.0,45.0,St Marys County,MD,,St Marys County,county,273.22
1424,,,,,407.0,85.0,Baltimore County,MD,Merchant,Baltimore County,county,
1425,,,,,5849.0,6.0,Baltimore County,MD,Merchant,Baltimore County,county,
1426,105.0,15.0,52.0,57.0,78.0,25.0,Baltimore Town,MD,,Baltimore County,town,105.15
1427,34.0,66.0,17.0,33.0,36.0,53.0,Annapolis,MD,,Anne Arundel County,town,34.66
1428,1791.0,88.0,895.0,93.0,2057.0,70.0,Annapolis,MD,,Anne Arundel County,town,1791.88
