State,Private Debt,Public Debt
CT,0,1,499,915
DE,0,16,903
GA,0,18,462
MA,0,152,014
MD,0,1,431,463
NC,0,53,870
NH,0,264,590
NJ,0,43,713
NY,0,1,792,507
PA,0,2,825,484
RI,0,764,422
SC,0,1,492,260
