,Last Name,First Name,Position,State,County / Town,Vote,full name 1,name duplication,state-name duplication
594,Downing,Richard,,PA,,yes,Richard Downing,False,False
595,Cheney,Thomas,,PA,,yes,Thomas Cheney,False,False
596,Hannum,John,,PA,,yes,John Hannum,False,False
597,Chambers,Stephen,,PA,,yes,Stephen Chambers,False,False
598,Coleman,Robert,,PA,,yes,Robert Coleman,False,False
599,Graff,Sebastian,,PA,,yes,Sebastian Graff,False,False
600,Hubley,John,,PA,,yes,John Hubley,False,False
601,Yeates,Jasper,,PA,,yes,Jasper Yeates,False,False
602,Slagle,Henry,,PA,,yes,Henry Slagle,False,False
603,Campbell,Thomas,,PA,,yes,Thomas Campbell,False,False
604,Hartley,Thomas,,PA,,yes,Thomas Hartley,False,False
605,Grier,David,,PA,,yes,David Grier,False,False
606,Black,John,,PA,,yes,John Black,True,False
607,Pedan,Benjamin,,PA,,yes,Benjamin Pedan,False,False
608,Arndt,John,,PA,,yes,John Arndt,False,False
609,Balliott,Stephen,,PA,,yes,Stephen Balliott,False,False
610,Horsefield,Joseph,,PA,,yes,Joseph Horsefield,False,False
611,Deshler,David,,PA,,yes,David Deshler,False,False
612,Wilson,William,,PA,,yes,William Wilson,True,False
613,Boyd,John,,PA,,yes,John Boyd,False,False
614,Scott,Thomas,,PA,,yes,Thomas Scott,False,False
615,Nevill,John,,PA,,yes,John Nevill,False,False
616,Roberts,Jonathan,,PA,,yes,Jonathan Roberts,False,False
617,Richards,John,,PA,,yes,John Richards,False,False
618,Morris,James,,PA,,yes,James Morris,False,False
619,Pickering,Timothy,,PA,,yes,Timothy Pickering,False,False
620,Elliott,Benjamin,,PA,,yes,Benjamin Elliott,False,False
621,Allison,John,,PA,,yes,John Allison,True,False
622,Campbell,James,Secretary,PA,,did not vote,James Campbell,False,False
623,Whitehill,John,,PA,,no,John Whitehill,False,False
624,Harris,John,,PA,,no,John Harris,True,False
625,Reynolds,John,,PA,,no,John Reynolds,False,False
626,Whitehill,Robert,,PA,,no,Robert Whitehill,False,False
627,Hoge,Jonathan,,PA,,no,Jonathan Hoge,False,False
628,Lutz,Nicholas,,PA,,no,Nicholas Lutz,False,False
629,Ludwig,John,,PA,,no,John Ludwig,False,False
630,Lincoln,Abraham,,PA,,no,Abraham Lincoln,False,False
631,Bishop,John,,PA,,no,John Bishop,False,False
632,Heister,Joseph,,PA,,no,Joseph Heister,False,False
633,Martin,James,,PA,,no,James Martin,False,False
634,Powell,Joseph,,PA,,no,Joseph Powell,False,False
635,Findley,William ,,PA,,no,William  Findley,False,False
636,Baird,John,,PA,,no,John Baird,False,False
637,Todd,William,,PA,,no,William Todd,False,False
638,Marshall,James,,PA,,no,James Marshall,False,False
639,Edgar,James,,PA,,no,James Edgar,False,False
640,Breading,Nicholas,,PA,,no,Nicholas Breading,False,False
641,Smilie,John,,PA,,no,John Smilie,False,False
642,Bard,Richardson,,PA,,no,Richardson Bard,False,False
643,Brown,William,,PA,,no,William Brown,True,False
