,Last Name,First Name,Position,State,County / Town,Vote,full name 1,name duplication,state-name duplication
899,Bigelow,David,,MA,Worcester,no,David Bigelow,False,False
900,Sprague,John,,MA,Lancaster,yes,John Sprague,False,False
901,Thompson,Ed.,,MA,Mendon,no,Ed. Thompson,False,False
902,Forbes,Daniel,,MA,Brookfield,no,Daniel Forbes,False,False
903,Jenks,N.,,MA,Brookfield,no,N. Jenks,False,False
904,Learned,Jeremiah,,MA,Oxford,no,Jeremiah Learned,False,False
905,Curtiss,Caleb,,MA,Charlton,no,Caleb Curtiss,False,False
906,M'Intier,Ezra,,MA,Charlton,no,Ezra M'Intier,False,False
907,Harwood,David,,MA,Sutton,no,David Harwood,False,False
908,Singletary,Amos,,MA,Sutton,no,Amos Singletary,False,False
909,Denny,Samuel,,MA,Leicester,no,Samuel Denny,False,False
910,Hathun,James,,MA,Spencer,no,James Hathun,False,False
911,Sherman,Asaph,,MA,Rutland,no,Asaph Sherman,False,False
912,Smith,Abraham,,MA,Paxton,no,Abraham Smith,True,False
913,Bullard,Jonathan,,MA,Oakham,no,Jonathan Bullard,False,False
914,Black,John,,MA,Barre,no,John Black,True,False
915,Woods,J.,,MA,Hubbardston,no,J. Woods,False,False
916,Joslyn,B.,,MA,New Braintree,no,B. Joslyn,False,False
917,Newton,Seth,,MA,Southboro,yes,Seth Newton,False,False
918,Maynard,S.,,MA,Westboro,no,S. Maynard,False,False
919,Brigham,Art.,,MA,Northboro,no,Art. Brigham,False,False
920,Harrington,I.,,MA,Shrewsbury,no,I. Harrington,False,False
921,Fuller,John,,MA,Lunenburg,no,John Fuller,False,False
922,Putman,Daniel,,MA,Fitchburg,no,Daniel Putman,False,False
923,Willard,Samuel,,MA,Uxbridge,no,Samuel Willard,False,False
924,Whitney,Joshua,,MA,Harvard,no,Joshua Whitney,False,False
925,Day,Jonathan,,MA,Dudley,no,Jonathan Day,False,False
926,Baker,Samuel,,MA,Bolton,yes,Samuel Baker,False,False
927,Baker,T.M.,,MA,Upton,no,T.M. Baker,False,False
928,Parker,Timothy,,MA,Sturbridge,no,Timothy Parker,False,False
929,Wilder,D.,,MA,Leominster,yes,D. Wilder,False,False
930,Kinsley,M.,,MA,Hardwick,no,M. Kinsley,False,False
931,Davi,Joseph,,MA,Holden,no,Joseph Davi,False,False
932,Patrick,Mat.,,MA,Western,yes,Mat. Patrick,False,False
933,Taylor,John,,MA,Douglass,no,John Taylor,False,False
934,Wood,Joseph,,MA,Grafton,no,Joseph Wood,True,True
935,Grout,Jonathan,,MA,Petersham,no,Jonathan Grout,False,False
936,Peckham,Samuel,,MA,Petersham,no,Samuel Peckham,False,False
937,Frye,John,,MA,Royalston,no,John Frye,False,False
938,Holden,Stephen,,MA,Westminster,no,Stephen Holden,False,False
939,Fletcher,J.,,MA,Templeton,no,J. Fletcher,False,False
940,Fuller,Timothy,,MA,Princeton,no,Timothy Fuller,False,False
941,Willard,Jacob,,MA,Ashburnham,no,Jacob Willard,False,False
942,Hale,Moses,,MA,Winchendon,no,Moses Hale,False,False
943,Wood,J.,,MA,Northbridge,no,J. Wood,False,False
944,Stone,Joseph,,MA,Ward,no,Joseph Stone,False,False
945,Goddard,Josiah,,MA,Athol,yes,Josiah Goddard,False,False
946,Stearns,David,,MA,Milford,no,David Stearns,False,False
947,Wilder,Ephraim,,MA,Sterling,yes,Ephraim Wilder,False,False
948,Temple,Jonas,,MA,Boylston,no,Jonas Temple,False,False
949,Isley,Daniel,,MA,Falmouth,no,Daniel Isley,False,False
950,Smith,John K.,,MA,Falmouth,yes,John K. Smith,False,False
951, Fox,John,,MA,Portland,yes,John  Fox,False,False
952,M'Lellen,Joseph,,MA,Portland,yes,Joseph M'Lellen,False,False
953,Mitchell,D.,,MA,North Yarmouth,yes,D. Mitchell,False,False
954,Merrill,Samuel,,MA,North Yarmouth,yes,Samuel Merrill,False,False
955,Thompson,W.,,MA,Scarboro,yes,W. Thompson,False,False
956,Dunlap,John,,MA,Brunswick,yes,John Dunlap,False,False
957,Snow,Isaac,,MA,Harpswell,yes,Isaac Snow,False,False
958,Dyer,Joshua,,MA,Cape Elizabeth,yes,Joshua Dyer,False,False
959,Longfellow,S.,,MA,Gorham,no,S. Longfellow,False,False
960,Widgery,William,,MA,New Gloucester,no,William Widgery,False,False
961,Perley,Samuel,,MA,Gray,yes,Samuel Perley,False,False
962,Rice,Thomas,,MA,Pownalboro,yes,Thomas Rice,True,False
963,Sylvester,David,,MA,Pownalboro,yes,David Sylvester,False,False
964,Wyman,N.,,MA,Georgetown,yes,N. Wyman,False,False
965,Murray,David,,MA,Newcastle,no,David Murray,False,False
966,Gilmore,David,,MA,Woolwich,yes,David Gilmore,False,False
967,Thompson,S.,,MA,Topsham,no,S. Thompson,False,False
968,Crosby,Jonah,,MA,Winslow,no,Jonah Crosby,False,False
969,Beal,Zachary,,MA,Bowdoinham,no,Zachary Beal,False,False
970,M'Cobb,William,,MA,Boothbay,yes,William M'Cobb,False,False
971,Jones,William,,MA,Bristol,no,William Jones,False,False
972,Grant,Samuel,,MA,Vassalboro,yes,Samuel Grant,False,False
973,Davis,Moses,,MA,Edgecomb,yes,Moses Davis,False,False
974,Carr,James,,MA,Hallowell,no,James Carr,False,False
975,Fayles,David,,MA,Thomaston,yes,David Fayles,False,False
976,Sewall,Dummer,,MA,Bath,yes,Dummer Sewall,False,False
977,Bean,Joshua,,MA,Winthrop,no,Joshua Bean,False,False
978,Ashley,John,,MA,Sheffield and Mount Washington,yes,John Ashley,False,False
979,Dwight,E.,,MA,Great Barrington,yes,E. Dwight,False,False
980,Sedgwick,T.,,MA,Stockbridge,yes,T. Sedgwick,False,False
981,Rathburn,Val.,,MA,Pittsfield,no,Val. Rathburn,False,False
982,Betts,Comstock,,MA,Richmond,no,Comstock Betts,False,False
983,Collins,Lemuel,,MA,Lenox,no,Lemuel Collins,False,False
984,Smith,Jonathan,,MA,Lanesboro,no,Jonathan Smith,False,False
985,Skinner,T.J.,,MA,Williamstown,yes,T.J. Skinner,False,False
986,Pleroe,J.,,MA,Adams,no,J. Pleroe,False,False
987,Fitch,Ephraim,,MA,Egremont,no,Ephraim Fitch,False,False
988,Carpenter,Elisha,,MA,Becket,yes,Elisha Carpenter,False,False
989,Lusk,T.,,MA,West Stockbridge,no,T. Lusk,False,False
990,Hulbert,John,,MA,Alford,no,John Hulbert,False,False
991,Taylor,D.,,MA,New Marlborough,yes,D. Taylor,False,False
992,Herrick,E.,,MA,Tyringham,no,E. Herrick,False,False
993,Lawton,Joshua,,MA,Loudon,no,Joshua Lawton,False,False
994,Mason,Timothy,,MA,Windsor,no,Timothy Mason,False,False
995,Peirce,Ebenezer,,MA,Partridgefield,no,Ebenezer Peirce,False,False
996,Vaughan,David,,MA,Hancock,no,David Vaughan,False,False
997,Bradley,Jesse,,MA,Lee,no,Jesse Bradley,False,False
998,Noble,Zenas,,MA,Washington,no,Zenas Noble,False,False
999,Picket,J.,,MA,Sandisfield,no,J. Picket,False,False
1000,Pinckney,Charles Cotesworth,,SC,"St. Philip and St. Michael, Charleston",yes,Charles Cotesworth Pinckney,False,False
1001,Gadsden,Christopher,,SC,"St. Philip and St. Michael, Charleston",yes,Christopher Gadsden,False,False
1002,Rutledge,Edward,,SC,"St. Philip and St. Michael, Charleston",yes,Edward Rutledge,False,False
1003,Ramsay,David,,SC,"St. Philip and St. Michael, Charleston",yes,David Ramsay,False,False
1004,Heyward,Thomas,Hon Jun,SC,"St. Philip and St. Michael, Charleston",yes,Thomas Heyward,False,False
1005,Darrell,Edward,,SC,"St. Philip and St. Michael, Charleston",yes,Edward Darrell,False,False
1006,Motte,Isaac,,SC,"St. Philip and St. Michael, Charleston",yes,Isaac Motte,False,False
1007,Gadsden,Thomas,,SC,"St. Philip and St. Michael, Charleston",yes,Thomas Gadsden,False,False
1008,Matthews,John,,SC,"St. Philip and St. Michael, Charleston",yes,John Matthews,False,False
1009,Blake,Edward,,SC,"St. Philip and St. Michael, Charleston",yes,Edward Blake,False,False
1010,Bee,Thomas,,SC,"St. Philip and St. Michael, Charleston",yes,Thomas Bee,False,False
1011,DeSaussure,Daniel,,SC,"St. Philip and St. Michael, Charleston",yes,Daniel DeSaussure,False,False
1012,Jones,Thomas,,SC,"St. Philip and St. Michael, Charleston",yes,Thomas Jones,True,False
1013,Grimkie,John Faucheraud,,SC,"St. Philip and St. Michael, Charleston",yes,John Faucheraud Grimkie,False,False
1014,Johnson,William,,SC,"St. Philip and St. Michael, Charleston",yes,William Johnson,True,False
1015,Pringle,John Julius,,SC,"St. Philip and St. Michael, Charleston",yes,John Julius Pringle,False,False
1016,Blake,John,,SC,"St. Philip and St. Michael, Charleston",yes,John Blake,False,False
1017,Stevens,Daniel,,SC,"St. Philip and St. Michael, Charleston",yes,Daniel Stevens,False,False
1018,Cannon,Daniel,,SC,"St. Philip and St. Michael, Charleston",yes,Daniel Cannon,False,False
1019,Toomer,Anthony,,SC,"St. Philip and St. Michael, Charleston",yes,Anthony Toomer,False,False
1020,Rutledge,Hugh,,SC,"St. Philip and St. Michael, Charleston",yes,Hugh Rutledge,False,False
1021,Budd,John,,SC,"St. Philip and St. Michael, Charleston",yes,John Budd,False,False
1022,Kinloch,Francis,,SC,"St. Philip and St. Michael, Charleston",yes,Francis Kinloch,False,False
1023,Sommersall,William,,SC,"St. Philip and St. Michael, Charleston",yes,William Sommersall,False,False
1024,Kalteisen,Michael,,SC,"St. Philip and St. Michael, Charleston",yes,Michael Kalteisen,False,False
1025,Lushington,Richard,,SC,"St. Philip and St. Michael, Charleston",yes,Richard Lushington,False,False
1026,Russell,Nathaniel,,SC,"St. Philip and St. Michael, Charleston",yes,Nathaniel Russell,False,False
1027,Smith,Josiah,,SC,"St. Philip and St. Michael, Charleston",yes,Josiah Smith,True,False
1028,Morris,Lewis,,SC,"St. Philip and St. Michael, Charleston",yes,Lewis Morris,True,False
1029,Lightwood,Edward,,SC,"St. Philip and St. Michael, Charleston",yes,Edward Lightwood,False,False
1030,Edwards,John,,SC,"St. Philip and St. Michael, Charleston",yes,John Edwards,False,False
1031,Pinckney,Charles,,SC,Christ Church,yes,Charles Pinckney,False,False
1032,Rutledge,John,,SC,Christ Church,yes,John Rutledge,False,False
1033,Vanderhorst,Arnoldus,,SC,Christ Church,yes,Arnoldus Vanderhorst,False,False
1034,Read,William,,SC,Christ Church,yes,William Read,False,False
1035,Toomer,Joshua,,SC,Christ Church,yes,Joshua Toomer,False,False
1036,Laurens,Henry,,SC,"St. John, Berkley County",yes,Henry Laurens,True,True
1037,Moultrie,William,,SC,"St. John, Berkley County",yes,William Moultrie,False,False
1038,Fayssoux,Peter,,SC,"St. John, Berkley County",no,Peter Fayssoux,False,False
1039,Simons,Keating,,SC,"St. John, Berkley County",no,Keating Simons,False,False
1040,Laurens,Henry,,SC,"St. John, Berkley County",yes,Henry Laurens,True,True
1041,Walter,Thomas,,SC,"St. John, Berkley County",no,Thomas Walter,False,False
1042,Drayton,Glen,,SC,St. Andrews,yes,Glen Drayton,False,False
1043,Hutson,Richard,,SC,St. Andrews,yes,Richard Hutson,False,False
1044,Fuller,Thomas,,SC,St. Andrews,yes,Thomas Fuller,False,False
1045,Ladson,James,,SC,St. Andrews,yes,James Ladson,False,False
1046,Izard,Ralph,Junior,SC,St. Andrews,yes,Ralph Izard,True,True
1047,Drayton,Charles,,SC,St. Andrews,yes,Charles Drayton,False,False
1048,Scott,William,,SC,St. Andrews,yes,William Scott,False,False
1049,Glaze,John,,SC,"St. George, Dorchester",yes,John Glaze,False,False
1050,Waring,Morton,,SC,"St. George, Dorchester",yes,Morton Waring,False,False
1051,Waring,Thomas,,SC,"St. George, Dorchester",yes,Thomas Waring,False,False
1052,Postell,John,,SC,"St. George, Dorchester",yes,John Postell,False,False
1053,Postell,William,,SC,"St. George, Dorchester",yes,William Postell,False,False
1054,Hutchinson,Matthias,,SC,"St. George, Dorchester",yes,Matthias Hutchinson,False,False
1055,Dawson,John,,SC,"St. George, Dorchester",yes,John Dawson,True,False
1056,Izard,Ralph,Senior,SC,"St. James, Goose Creek",yes,Ralph Izard,True,True
1057,Smith,Peter,,SC,"St. James, Goose Creek",yes,Peter Smith,False,False
1058,Smith,Benjamin,,SC,"St. James, Goose Creek",yes,Benjamin Smith,True,False
1059,Manigault,Gabriel,,SC,"St. James, Goose Creek",yes,Gabriel Manigault,False,False
1060,Smith,William,,SC,"St. James, Goose Creek",yes,William Smith,False,False
1061,Parker,John,,SC,"St. James, Goose Creek",yes,John Parker,False,False
1062,Deas,John,,SC,"St. James, Goose Creek",yes,John Deas,False,False
1063,Huger,John,,SC,St. Thomas and St. Dennis,yes,John Huger,False,False
1064,Karwon,Thomas,,SC,St. Thomas and St. Dennis,yes,Thomas Karwon,False,False
1065,Screven,Thomas,,SC,St. Thomas and St. Dennis,yes,Thomas Screven,False,False
1066,Daniel,Robert,,SC,St. Thomas and St. Dennis,yes,Robert Daniel,False,False
1067,Forgartie,Lewis,,SC,St. Thomas and St. Dennis,yes,Lewis Forgartie,False,False
1068,Harleston,Isaac,,SC,St. Thomas and St. Dennis,yes,Isaac Harleston,False,False
1069,Parker,Isaac,,SC,St. Thomas and St. Dennis,yes,Isaac Parker,False,False
1070,Hamilton,Paul,,SC,St. Pauls' Parish,yes,Paul Hamilton,False,False
1071,Wilson,Jehu,,SC,St. Pauls' Parish,no,Jehu Wilson,False,False
1072,Garner,Melcher,,SC,St. Pauls' Parish,no,Melcher Garner,False,False
1073,Haig,George,,SC,St. Pauls' Parish,yes,George Haig,False,False
1074,Slann,Joseph,,SC,St. Pauls' Parish,yes,Joseph Slann,False,False
1075,Saunders,Roger Parker,,SC,St. Pauls' Parish,yes,Roger Parker Saunders,False,False
1076,Washington,William,,SC,St. Pauls' Parish,yes,William Washington,False,False
1077,Postell,Benjamin,,SC,St. Bartholomew,no,Benjamin Postell,False,False
1078,Snipes,William Clay,,SC,St. Bartholomew,no,William Clay Snipes,False,False
1079,Smith,Obrian,,SC,St. Bartholomew,no,Obrian Smith,False,False
1080,Walter,Paul,,SC,St. Bartholomew,no,Paul Walter,False,False
1081,Lloyd,John,,SC,St. Bartholomew,yes,John Lloyd,False,False
1082,Croskeys,John,,SC,St. Bartholomew,yes,John Croskeys,False,False
1083,Bellinger,Edmond,,SC,St. Bartholomew,no,Edmond Bellinger,False,False
1084,Barnwell,John,,SC,St. Helena,yes,John Barnwell,False,False
1085,Joyner,John,,SC,St. Helena,yes,John Joyner,False,False
1086,Kean,John,,SC,St. Helena,yes,John Kean,False,False
1087,Wigg,William H,,SC,St. Helena,yes,William H Wigg,False,False
1088,Barnwell,Robert,,SC,St. Helena,yes,Robert Barnwell,False,False
1089,Elliot,William,,SC,St. Helena,yes,William Elliot,False,False
1090,Stewart,James,,SC,St. Helena,yes,James Stewart,False,False
1091,Dubose,Isaac,,SC,"St. James, Santee",yes,Isaac Dubose,False,False
1092,Miles,Lewis,,SC,"St. James, Santee",yes,Lewis Miles,False,False
1093,Warren,Samuel,,SC,"St. James, Santee",yes,Samuel Warren,False,False
1094,Withers,Richard,,SC,"St. James, Santee",yes,Richard Withers,False,False
1095,Mayrant,John,,SC,"St. James, Santee",yes,John Mayrant,False,False
1096,Bowman,John,,SC,"St. James, Santee",no,John Bowman,False,False
1097,Horry,Thomas,,SC,"St. James, Santee",yes,Thomas Horry,False,False
1098,Watles,Thomas,,SC,"Prince George, Winyah",yes,Thomas Watles,False,False
1099,Smith,Samuel,,SC,"Prince George, Winyah",yes,Samuel Smith,True,False
1100,Kinloch,Cleland,,SC,"Prince George, Winyah",yes,Cleland Kinloch,False,False
1101,Allston,William,,SC,"Prince George, Winyah",yes,William Allston,False,False
1102,Allston,Thomas,,SC,All Saints,yes,Thomas Allston,False,False
1103,Morrall,Daniel,,SC,All Saints,yes,Daniel Morrall,False,False
1104,Wilson,William,,SC,Prince Frederick,yes,William Wilson,True,False
1105,Dollard,Patrick,,SC,Prince Frederick,no,Patrick Dollard,False,False
1106,Tweed,Alexander,,SC,Prince Frederick,yes,Alexander Tweed,False,False
1107,Frierson,William,,SC,Prince Frederick,yes,William Frierson,False,False
1108,Reed,William,,SC,Prince Frederick,no,William Reed,False,False
1109,Pettigrew,James,,SC,Prince Frederick,yes,James Pettigrew,False,False
1110,Burgess,John,,SC,Prince Frederick,no,John Burgess,False,False
1111,Legare,Thomas,,SC,"St. John, Colleton County",yes,Thomas Legare,False,False
1112,Muncreef,Richard,,SC,"St. John, Colleton County",yes,Richard Muncreef,False,False
1113,Jenkins,Daniel,,SC,"St. John, Colleton County",yes,Daniel Jenkins,False,False
1114,Wilson,Hugh,,SC,"St. John, Colleton County",yes,Hugh Wilson,False,False
1115,Jenkins,Isaac,,SC,"St. John, Colleton County",yes,Isaac Jenkins,False,False
1116,Mikell,Ephraim,,SC,"St. John, Colleton County",yes,Ephraim Mikell,False,False
1117,Smelie,William,,SC,"St. John, Colleton County",yes,William Smelie,False,False
1118,Fenwick,John,,SC,St. Peter,yes,John Fenwick,False,False
1119,Chisholm,John,,SC,St. Peter,no,John Chisholm,False,False
1120,Hartestone,Joachim,,SC,St. Peter,yes,Joachim Hartestone,False,False
1121,Bourquin,John Lewis,,SC,St. Peter,no,John Lewis Bourquin,False,False
1122,Stafford,Seth,,SC,St. Peter,yes,Seth Stafford,False,False
1123,Holcom,Henry,,SC,St. Peter,yes,Henry Holcom,False,False
1124,Hutson,Thomas,,SC,Prince William,yes,Thomas Hutson,False,False
1125,McPherson,John,,SC,Prince William,yes,John McPherson,False,False
1126,Maine,James,,SC,Prince William,yes,James Maine,False,False
1127,Cuthbert,John A.,,SC,Prince William,yes,John A. Cuthbert,False,False
1128,Lightwood,John,,SC,Prince William,yes,John Lightwood,False,False
1129,Simmons,John,,SC,Prince William,yes,John Simmons,False,False
1130,Deveaux,Stephen,,SC,Prince William,yes,Stephen Deveaux,False,False
1131,Palmer,John,,SC,St. Stephen,yes,John Palmer,False,False
1132,Maham,Hezekiah,,SC,St. Stephen,yes,Hezekiah Maham,False,False
1133,Dubose,Samuel,,SC,St. Stephen,yes,Samuel Dubose,False,False
1134,Peyre,John,,SC,St. Stephen,yes,John Peyre,False,False
1135,Sumter,Thomas,,SC,District Eastwd. of the Wateree,no,Thomas Sumter,False,False
1136,Baskins,Andrew,,SC,District Eastwd. of the Wateree,no,Andrew Baskins,False,False
1137,Lowry,John,,SC,District Eastwd. of the Wateree,no,John Lowry,False,False
1138,Cudworth,Benjamin,,SC,District Eastwd. of the Wateree,no,Benjamin Cudworth,False,False
1139,Massey,William,,SC,District Eastwd. of the Wateree,no,William Massey,False,False
1140,Chesnut,John,,SC,District Eastwd. of the Wateree,yes,John Chesnut,False,False
1141,White,Hugh,,SC,District Eastwd. of the Wateree,no,Hugh White,False,False
1142,Dunlap,Thomas,,SC,District Eastwd. of the Wateree,no,Thomas Dunlap,False,False
1143,Dunlap,Samuel,,SC,District Eastwd. of the Wateree,no,Samuel Dunlap,False,False
1144,Montgomery,John,,SC,District Eastwd. of the Wateree,no,John Montgomery,True,False
1145,Lincoln,James,,SC,District of Ninety Six,no,James Lincoln,False,False
1146,Jones,Adam Crain,,SC,District of Ninety Six,no,Adam Crain Jones,False,False
1147,Hamilton,Andrew,,SC,District of Ninety Six,no,Andrew Hamilton,False,False
1148,Harris,John,,SC,District of Ninety Six,yes,John Harris,True,False
1149,Martin,Edmond,,SC,District of Ninety Six,no,Edmond Martin,False,False
1150,Calhoun,Joseph,,SC,District of Ninety Six,no,Joseph Calhoun,False,False
1151,Butler,William,,SC,District of Ninety Six,no,William Butler,False,False
1152,Bowie,John,,SC,District of Ninety Six,no,John Bowie,False,False
1153,Gervias,John Lewis,,SC,District of Ninety Six,no,John Lewis Gervias,False,False
1154,Earle,Samuel,,SC,North Side of Saluda,yes,Samuel Earle,False,False
1155,Allston,Lamuel James,,SC,North Side of Saluda,yes,Lamuel James Allston,False,False
1156,Thomas,John,,SC,North Side of Saluda,yes,John Thomas,False,False
1157,Miller,John,,SC,South Side of Saluda,yes,John Miller,True,False
1158,McCaleb,William,,SC,South Side of Saluda,yes,William McCaleb,False,False
1159,Hampton,Richard,,SC,District of Saxe-Gotha,no,Richard Hampton,False,False
1160,Culpeper,John,,SC,District of Saxe-Gotha,no,John Culpeper,False,False
1161,Fitzpatrick,William,,SC,District of Saxe-Gotha,no,William Fitzpatrick,False,False
1162,Threewits,Lewellin,,SC,District of Saxe-Gotha,no,Lewellin Threewits,False,False
1163,Threewits,John,,SC,District of Saxe-Gotha,no,John Threewits,False,False
1164,Hampton,Wade,,SC,District of Saxe-Gotha,no,Wade Hampton,False,False
1165,Pendleton,Henry,,SC,District of Saxe-Gotha,yes,Henry Pendleton,False,False
1166,Burke,Edanus,,SC,Lower District between Broad and Saluda Rivers,no,Edanus Burke,False,False
1167,Lindsey,John,,SC,Lower District between Broad and Saluda Rivers,no,John Lindsey,False,False
1168,Waters,Philemon,,SC,Lower District between Broad and Saluda Rivers,no,Philemon Waters,False,False
1169,Rutherford,Robert,,SC,Lower District between Broad and Saluda Rivers,no,Robert Rutherford,False,False
1170,Hampton,John,,SC,Lower District between Broad and Saluda Rivers,no,John Hampton,False,False
1171,Hunter,John,,SC,Little River District,yes,John Hunter,False,False
1172,Saxon,Samuel,,SC,Little River District,no,Samuel Saxon,False,False
1173,Wadsworth,Thomas,,SC,Little River District,yes,Thomas Wadsworth,False,False
1174,Saxon,Joshua,,SC,Little River District,no,Joshua Saxon,False,False
1175,Kennedy,William,,SC,Upper or Spartan District,no,William Kennedy,False,False
1176,Jordan,James,,SC,Upper or Spartan District,no,James Jordan,False,False
1177,Sims,Charles,,SC,Upper or Spartan District,no,Charles Sims,False,False
1178,Brandon,Thomas,,SC,Upper or Spartan District,no,Thomas Brandon,False,False
1179,Bulloch,Zachariah,,SC,Upper or Spartan District,no,Zachariah Bulloch,False,False
1180,Taylor,Thomas,,SC,District between Broad and Catawba Rivers Vizt Richard County,no,Thomas Taylor,False,False
1181,Meyer,William,,SC,District between Broad and Catawba Rivers Vizt Richard County,no,William Meyer,False,False
1182,Howell,Thomas,,SC,District between Broad and Catawba Rivers Vizt Richard County,no,Thomas Howell,False,False
1183,Craig,James,,SC,Fairfield County,no,James Craig,False,False
1184,Brown,Jacob,,SC,Fairfield County,no,Jacob Brown,False,False
1185,Cook,John,,SC,Fairfield County,no,John Cook,False,False
1186,Grey,John,,SC,Fairfield County,no,John Grey,False,False
1187,Lacey,Edward,,SC,Chester County,no,Edward Lacey,False,False
1188,Brown,Joseph,,SC,Chester County,no,Joseph Brown,False,False
1189,Miles,William,,SC,Chester County,no,William Miles,False,False
1190,Knox,James,,SC,Chester County,no,James Knox,False,False
1191,Hill,William,,SC,District called the New Acqusistion,no,William Hill,False,False
1192,Patton,Robert,,SC,District called the New Acqusistion,no,Robert Patton,False,False
1193,Watson,Samuel,,SC,District called the New Acqusistion,no,Samuel Watson,False,False
1194,Cummins,Francis,,SC,District called the New Acqusistion,yes,Francis Cummins,False,False
1195,Martin,James,,SC,District called the New Acqusistion,no,James Martin,False,False
1196,Hunt,James G.,,SC,District called the New Acqusistion,no,James G. Hunt,False,False
1197,Lowrey,Samuel,,SC,District called the New Acqusistion,no,Samuel Lowrey,False,False
1198,Love,Andrew,,SC,District called the New Acqusistion,no,Andrew Love,False,False
1199,McGaw,John,,SC,District called the New Acqusistion,no,John McGaw,False,False
1200,Meck,Adam,,SC,District called the New Acqusistion,no,Adam Meck,False,False
1201,Smith,Abraham,,SC,District called the New Acqusistion,no,Abraham Smith,True,False
1202,Thompson,William,,SC,St. Matthew,yes,William Thompson,True,False
1203,Linton,John,,SC,St. Matthew,no,John Linton,False,False
1204,Warley,Paul,,SC,St. Matthew,yes,Paul Warley,False,False
1205,Lestergette,Lewis,,SC,Orange,yes,Lewis Lestergette,False,False
1206,Rumph,Jacob,,SC,Orange,yes,Jacob Rumph,False,False
1207,Bruce,Donald,,SC,Orange,yes,Donald Bruce,False,False
1208,Benton,Lamuel,,SC,St. David,yes,Lamuel Benton,False,False
1209,Dewitt,William,,SC,St. David,yes,William Dewitt,False,False
1210,Spencer,Calvin,,SC,St. David,yes,Calvin Spencer,False,False
1211,Taylor,Samuel,,SC,St. David,yes,Samuel Taylor,False,False
1212,Brounfield,R.,,SC,St. David,yes,R. Brounfield,False,False
1213,Hicks,Benjamin,,SC,St. David,yes,Benjamin Hicks,False,False
1214,Smith,Stephen,,SC,District between Savannah River and the North Fork of Edisto.,yes,Stephen Smith,False,False
1215,Dunbar,William,,SC,District between Savannah River and the North Fork of Edisto.,yes,William Dunbar,False,False
1216,Vance,Joseph,,SC,District between Savannah River and the North Fork of Edisto.,yes,Joseph Vance,False,False
1217,Robison,William,,SC,District between Savannah River and the North Fork of Edisto.,yes,William Robison,False,False
1218,Collins,John,,SC,District between Savannah River and the North Fork of Edisto.,yes,John Collins,False,False
1219,Clark,Jonathan,,SC,District between Savannah River and the North Fork of Edisto.,yes,Jonathan Clark,False,False
1220,Hazard,George,,RI,Newport,yes,George Hazard,False,False
1221,Merchant,Henry,,RI,Newport,yes,Henry Merchant,False,False
1222,Champlin,George,,RI,Newport,yes,George Champlin,False,False
1223,Clarke,Peleg,,RI,Newport,yes,Peleg Clarke,False,False
1224,Tripp,William,,RI,Newport,yes,William Tripp,False,False
1225,Sears,George,,RI,Newport,yes,George Sears,False,False
1226,Bowen,Jabez,,RI,Providence,yes,Jabez Bowen,False,False
1227,Bourne,Benjamin,,RI,Providence,yes,Benjamin Bourne,False,False
1228,Barton,William,,RI,Providence,yes,William Barton,False,False
1229,Clark,John I,,RI,Providence,yes,John I Clark,False,False
1230,Anthony,Barrington,,RI,Portsmouth,yes,Barrington Anthony,False,False
1231,Durfree,Job,,RI,Portsmouth,did not vote,Job Durfree,False,False
1232,Slocum,Giles,,RI,Portsmouth,no,Giles Slocum,False,False
1233,Barker,Peter,,RI,Portsmouth,yes,Peter Barker,False,False
1234,Rice,Thomas,,RI,Warwick,no,Thomas Rice,True,False
1235,Arnold,Gideon,,RI,Warwick,no,Gideon Arnold,False,False
1236,Arnold,Benjamin,,RI,Warwick,yes,Benjamin Arnold,True,True
1237,Greene,Christopher,,RI,Warwick,yes,Christopher Greene,False,False
1238,White,Walter,,RI,Westerly,yes,Walter White,False,False
1239,Stillman,George,,RI,Westerly,yes,George Stillman,False,False
1240,Hull,Edward,,RI,Newshoreham,did not vote,Edward Hull,False,False
1241,Sands,Ray,,RI,Newshoreham,did not vote,Ray Sands,False,False
1242,Congdon,William,,RI,North Kingston,no,William Congdon,False,False
1243,Card,Bowen,,RI,North Kingston,no,Bowen Card,False,False
1244,Potter,Samuel J,,RI,South Kingston,no,Samuel J Potter,False,False
1245,Howard,Jonathan J,,RI,South Kingston,no,Jonathan J Howard,False,False
1246,Mawney,Pardon,,RI,East Greenwich,no,Pardon Mawney,False,False
1247,Comstock,Job,,RI,East Greenwich,no,Job Comstock,False,False
1248,Remington,Benjamin,,RI,Jameston,yes,Benjamin Remington,False,False
1249,Carr,Nicholas,,RI,Jameston,yes,Nicholas Carr,False,False
1250,Sayles,John,,RI,Smithfield,no,John Sayles,False,False
1251,Waterman,Andrew,,RI,Smithfield,no,Andrew Waterman,False,False
1252,Aldrich,James,,RI,Scituate,no,James Aldrich,False,False
1253,Bates,Nathan,,RI,Scituate,no,Nathan Bates,False,False
1254,Owen,Daniel,,RI,Gloucester,did not vote,Daniel Owen,False,False
1255,Steere,Stephen,,RI,Gloucester,no,Stephen Steere,False,False
1256,Hoxsie,Thomas,,RI,Charlestown,no,Thomas Hoxsie,False,False
1257,Stanton,Joseph,,RI,Charlestown,no,Joseph Stanton,False,False
