,,,,,Dollars,Dollars,90th,90th
,,,,,sum,count,sum,count
George Read,George,Read,Constitution,yes,341.0,1,53.0,1
Gideon Buckingham,Gideon,Buckingham,CT,yes,12.0,1,45.0,1
Greene Job,Greene,Job,RI,no,6.0,1,110.0,2
Gunning Bedford Jr.,Gunning,Bedford Jr.,Constitution,yes,106.0,6,217.0,6
"Gunning Bedford, Jr.",Gunning,"Bedford, Jr.",DE,yes,106.0,6,217.0,6
"Gunning Bedford, Sr.",Gunning,"Bedford, Sr.",DE,yes,106.0,6,217.0,6
Gustavus Richard Brown,Gustavus Richard,Brown,MD,yes,228.0,4,90.0,2
Henry Baker,Henry,Baker,NC,yes,641.0,5,195.0,4
Henry Hill,Henry,Hill,NC,no,1.0,1,22.0,1
Henry Hollingsworth,Henry,Hollingsworth,MD,yes,213.0,1,30.0,1
Henry Lane,Henry,Lane,NC,yes,0.0,0,0,0
Henry Slagle,Henry,Slagle,PA,yes,25.0,1,38.0,1
Henry Wisner,Henry,Wisner,NY,no,795.0,10,282,8
Henry Wynkoop,Henry,Wynkoop,PA,yes,6.0,1,0,0
Hezekiah Holcomb,Hezekiah,Holcomb,CT,no,8.0,2,67.0,1
Hezekiah Lane,Hezekiah,Lane,CT,yes,8.0,1,67.0,1
Hezekiah Rogers,Hezekiah,Rogers,CT,yes,9.0,1,23,1
Hugh White,Hugh,White,SC,no,54.0,2,93.0,2
Hugh Wilson,Hugh,Wilson,SC,yes,639.0,3,34.0,1
Icabod Weeks,Icabod,Weeks,NH,yes,5.0,1,0,0
Isaac Clarke,Isaac,Clarke,NC,no,7.0,1,9.0,1
Isaac Foot,Isaac,Foot,CT,yes,6.0,2,22.0,1
Isaac Guion,Isaac,Guion,NC,yes,225.0,1,0,0
Isaac Mansfield,Isaac,Mansfield,MA,yes,5.0,1,0,0
Isaac Parker,Isaac,Parker,SC,yes,114.0,2,88,2
Jabez Chapman,Jabez,Chapman,CT,yes,15.0,2,0,0
Jacob Broom,Jacob,Broom,Constitution,yes,2.0,1,78.0,1
Jacob Brown,Jacob,Brown,SC,no,44.0,3,166.0,3
Jacob Johnston,Jacob,Johnston,NC,yes,40.0,2,71.0,1
Jacob Rinker,Jacob,Rinker,VA,yes,808.0,5,195.0,3
Jacob Weed,Jacob,Weed,GA,yes,686.0,1,47.0,1
Jacobus Swartwout,Jacobus,Swartwout,NY,no,293.0,3,159,3
James Anderson,James,Anderson,NC,yes,120.0,6,128.0,4
James Armstrong,James,Armstrong,NC,yes,37.0,4,132.0,4
James Black,James,Black,DE,yes,200.0,8,319.0,5
James Bradford,James,Bradford,CT,yes,30.0,1,38.0,1
James Campbell,James,Campbell,PA,did not vote,56.0,5,193.0,4
James Clinton,James,Clinton,NY,no,788.0,3,179,3
James Craig,James,Craig,SC,no,230.0,5,112.0,3
James Duane,James,Duane,NY,yes,288.0,1,67,1
James Edgar,James,Edgar,PA,no,108.0,2,86.0,2
James G. Hunt,James G.,Hunt,SC,no,1398.0,5,208.0,4
James Gallaway,James,Gallaway,NC,no,28.0,1,80,1
James Gillespie,James,Gillespie,NC,no,0.0,0,0,0
James Gordon Heron,James Gordon,Heron,MD,yes,134.0,2,75.0,2
James Johnson,James,Johnson,VA,yes,980.0,3,132.0,3
James Knox,James,Knox,SC,no,34.0,1,60.0,1
James Marshall,James,Marshall,PA,no,533.0,3,140.0,3
James Martin,James,Martin,MD,yes,67.0,4,199.0,3
James Maxwell,James,Maxwell,GA,yes,48.0,1,35.0,1
James Montgomery,James,Montgomery,VA,no,263.0,4,88.0,3
James Moore,James,Moore,NC,no,689.0,7,208.0,5
James Morris,James,Morris,PA,yes,8161.0,4,229.0,4
James Porter,James,Porter,NC,no,11.0,1,0,0
James Potter,James,Potter,CT,yes,153.0,3,135.0,3
James Shaw,James,Shaw,MD,yes,19.0,2,20.0,1
James Stewart,James,Stewart,SC,yes,1786.0,6,131.0,4
James Taylor,James,Taylor,VA,yes,102.0,3,96.0,2
James Thomas,James,Thomas,RI,no,24.0,2,96.0,2
James Thompson,James,Thompson,NC,no,8478.0,18,760.0,13
James Watson,James,Watson,NC,yes,3989.0,2,5,1
James White,James,White,NC,yes,214.0,4,87,1
James Williams,James,Williams,MA,no,44.0,1,22.0,1
James Wilson,James,Wilson,Constitution,yes,1037.0,17,531.0,9
Jedediah Huntington,Jedediah,Huntington,CT,yes,294.0,1,84.0,1
Jeremiah Wadsworth,Jeremiah,Wadsworth,CT,yes,22.0,1,45.0,1
Jesse Woodhull,Jesse,Woodhull,NY,yes,4880.0,4,0,0
John  Allen,John ,Allen,VA,yes,417.0,11,223.0,6
John  Fox,John, Fox,MA,yes,42.0,2,28.0,2
John  Whittlesey,John ,Whittlesey,CT,yes,3.0,1,67.0,1
John A. Campbell,John A.,Campbell,NC,no,797.0,8,131.0,4
John Allen,John,Allen,NC,yes,959.0,13,285.0,8
John Allison,John,Allison,PA,yes,32.0,2,39.0,2
John Anderson,John,Anderson,NC,yes,338.0,4,165,3
John Andre Hanna,John Andre,Hanna,PA,no,154.0,2,76.0,2
John Ashley,John,Ashley,MA,yes,62.0,1,0,0
John Baird,John,Baird,PA,no,70.0,1,0,0
John Baker,John,Baker,NC,yes,270.0,7,113.0,4
John Bay,John,Bay,NY,no,291.0,2,100,2
John Beach,John,Beach,CT,yes,979.0,3,90.0,2
John Beatty,John,Beatty,NJ,yes,400.0,5,178.0,4
John Bishop,John,Bishop,PA,no,1373.0,10,175.0,6
John Black,John,Black,PA,yes,603.0,6,138.0,4
John Blair,John,Blair,Constitution,yes,139.0,2,0,0
"John Blair, Jun.",John,"Blair, Jun.",VA,yes,139.0,2,0,0
John Blake,John,Blake,SC,yes,827.0,3,177,3
John Boyd,John,Boyd,PA,yes,96.0,1,0,0
John Brooks,John,Brooks,MA,yes,237.0,6,60.0,1
John Brown,John,Brown,NC,no,1204.0,13,379.0,10
John Cantine,John,Cantine,NY,no,32.0,2,67,2
John Carson,John,Carson,NC,yes,1283.0,6,202.0,6
John Carter Littlepage,John Carter,Littlepage,VA,no,37.0,1,30.0,1
John Chandler,John,Chandler,CT,yes,646.0,3,172.0,3
John Chesnut,John,Chesnut,SC,yes,8.0,2,44.0,2
John Chester,John,Chester,CT,yes,50.0,2,60.0,2
John Chetwood,John,Chetwood,NJ,yes,3139.0,1,46.0,1
John Cochran,John,Cochran,NH,no,158.0,4,111.0,4
John Coffin Jones,John Coffin,Jones,MA,yes,34.0,1,30.0,1
John Collins,John,Collins,SC,yes,91.0,1,43,1
John Cook,John,Cook,SC,no,5138.0,6,144.0,5
John Cragin,John,Cragin,NH,no,4.0,1,0,0
John Curtiss,John,Curtiss,CT,yes,201.0,3,45.0,1
"John Davenport, Jun.",John,"Davenport, Jun.",CT,yes,40.0,4,173.0,4
John Davis,John,Davis,MA,yes,2166.0,10,512.0,10
John DeWitt,John,DeWitt,NY,yes,67.0,2,26.0,2
John Dickinson,John,Dickinson,Constitution,yes,73.0,2,67.0,2
John Dunlap,John,Dunlap,MA,yes,1135.0,4,74.0,2
John Easton,John,Easton,NC,yes,65.0,2,0,0
John Eborn,John,Eborn,NC,yes,27.0,1,45.0,1
John Edwards,John,Edwards,SC,yes,87.0,3,78.0,2
John Elliot,John,Elliot,GA,yes,0.0,0,0,0
John Evans,John,Evans,VA,no,724.0,6,129.0,5
John Fell,John,Fell,NJ,yes,26.0,1,84.0,1
John Francis Mercer,John Francis,Mercer,MD,no,76.0,4,217.0,4
John Frey,John,Frey,NY,no,35.0,1,0,0
John G. Scull,John G.,Scull,NC,no,33.0,2,109.0,2
John Gale,John,Gale,MD,yes,2384.0,7,163,5
John Glaze,John,Glaze,SC,yes,56.0,3,139.0,3
John Glover,John,Glover,MA,yes,38.0,1,72.0,1
John H. Bryan,John H.,Bryan,NC,yes,125.0,1,0,0
John Hall,John,Hall,NC,yes,1768.0,13,438.0,11
John Hamilton,John,Hamilton,MA,no,102.0,3,93.0,3
John Hampton,John,Hampton,SC,no,2551.0,2,94.0,2
John Hancock,John,Hancock,MA,yes,40.0,1,0,0
John Hannum,John,Hannum,PA,yes,25.0,1,0,0
John Haring,John,Haring,NY,no,1303.0,2,30.0,1
John Harris,John,Harris,PA,no,169.0,3,125.0,3
John Hay,John,Hay,NC,yes,135.0,2,42.0,2
John Holbrook,John,Holbrook,CT,yes,25.0,1,38.0,1
John Howell Briggs,John Howell,Briggs,VA,no,80.0,1,0,0
John Hunt,John,Hunt,NC,yes,731.0,8,270.0,7
John Jacob Faesch ,John Jacob,Faesch ,NJ,yes,6273.0,7,33.0,2
John Jay,John,Jay,NY,yes,1.0,1,22/8,1
John Johnston,John,Johnston,NC,yes,1178.0,17,600.0,13
John Jones,John,Jones,DE,yes,1400.0,25,849.0,20
John K. Smith,John K.,Smith,MA,yes,6192.0,62,1853.0,51
John Kean,John,Kean,SC,yes,12.0,1,54.0,1
John King,John,King,GA,yes,1672.0,27,1397.0,25
John Langdon,John,Langdon,Constitution,yes,67.0,4,128.0,3
John Lansing Jr.,John,Lansing Jr.,Constitution,no,11.0,1,22,1
"John Lansing, Jun. ",John,"Lansing, Jun. ",NY,no,11.0,1,22,1
John Lewis Bourquin,John Lewis,Bourquin,SC,no,1827.0,4,60,2
