,,,,,Dollars,Dollars,90th,90th
,,,,,sum,count,sum,count
William Brown,William,Brown,PA,no,7896.0,132,5572.0,121
William Butler,William,Butler,SC,no,10622.0,1,0,0
William C. Houston,William C.,Houston,Constitution,no,1074.0,3,127.0,2
William Cabell,William,Cabell,VA,no,8.0,1,0,0
William Crawford ,William,Crawford ,NJ,yes,28.0,3,90.0,2
William E. Erwin,William E.,Erwin,NC,yes,218.0,1,56.0,1
William Elliot,William,Elliot,SC,yes,57320.0,5,75.0,1
William Few,William,Few,Constitution,yes,5.0,1,89,1
William Gray Jun.,William,Gray Jun.,MA,yes,626.0,7,70.0,2
William Hall,William,Hall,DE,yes,1358.0,10,324.0,6
William Harper,William,Harper,NY,no,7.0,1,71,1
William Hart,William,Hart,CT,yes,1119.0,9,241.0,7
William Hayes,William,Hayes,NC,yes,46.0,2,60,1
William Heath,William,Heath,MA,yes,362.0,3,135.0,2
William Heron,William,Heron,CT,yes,117.0,1,30.0,1
William Hill,William,Hill,SC,no,39.0,2,76.0,2
William Houston,William,Houston,NC,yes,1074.0,3,127.0,2
William Houstoun,William,Houstoun,Constitution,no,1000.0,1,0,0
William Hunt,William,Hunt,NH,no,74.0,1,10,1
William Johnson,William,Johnson,SC,yes,267.0,5,58.0,2
William Johnston,William,Johnston,NC,yes,267.0,5,58.0,2
William Johnston Dawson,William,Johnston Dawson,NC,yes,181.0,1,54.0,1
William Jones,William,Jones,MA,no,1159.0,7,198.0,5
William Kennedy,William,Kennedy,SC,no,907.0,7,150.0,3
William King,William,King,NC,no,88.0,3,86.0,2
William L. Pierce,William L.,Pierce,Constitution,no,15.0,1,22,1
William Livingston,William,Livingston,Constitution,yes,6.0,1,45,1
William Martin,William,Martin,NC,no,132.0,3,121.0,3
William McKee,William,McKee,VA,yes,446.0,3,60.0,1
William Moore,William,Moore,DE,yes,401.0,8,262.0,6
William Morris,William,Morris,MD,yes,20.0,4,113.0,3
William N. Hill,William N.,Hill,NC,yes,39.0,2,76.0,2
William Nash,William,Nash,NC,no,4.0,1,72.0,1
William Page,William,Page,NH,no,169.0,2,145.0,2
William Paterson,William,Paterson,Constitution,yes,30.0,2,90.0,2
William Phillips,William,Phillips,MA,yes,70.0,1,0,0
William Porter,William,Porter,NC,yes,23.0,2,64.0,1
William Read,William,Read,SC,yes,79.0,1,1.0,1
William Reed,William,Reed,SC,no,13.0,3,121.0,2
William Richardson,William,Richardson,MD,yes,378.0,4,70.0,3
William Richardson Davie,William Richardson,Davie,NC,yes,378.0,4,70.0,3
William Robinson,William,Robinson,NC,no,95.0,6,164.0,5
William Robison,William,Robison,SC,yes,95.0,6,164.0,5
William Samuel Johnson,William Samuel,Johnson,Constitution,yes,171.0,6,61.0,2
William Scott,William,Scott,SC,yes,211.0,3,22.0,1
William Shaw,William,Shaw,MA,yes,264.0,8,214.0,6
William Simpson,William,Simpson,NH,yes,224.0,3,112.0,2
William Smith,William,Smith,SC,yes,5920.0,26,679.0,19
William Stevens,William,Stevens,GA,yes,94.0,3,31.0,2
William Thompson,William,Thompson,MA,no,1363.0,6,102.0,2
William Todd,William,Todd,PA,no,36.0,2,39.0,1
William Watkins,William,Watkins,VA,no,600.0,1,0,0
William White,William,White,VA,no,721.0,12,383.0,10
William Williams,William,Williams,CT,yes,3552.0,14,486.0,9
William Wilson,William,Wilson,PA,yes,96.0,3,6,1
Williams John,Williams,John,RI,no,1766.0,19,579.0,16
Zephaniah Platt,Zephaniah,Platt,NY,yes,284.0,1,26,1
