,,,,,Loan Office Certificates Face Value,Loan Office Certificates Face Value,Loan Office Certificates Specie Value,Loan Office Certificates Specie Value,State Certificates Dollars,State Certificates Dollars,State Certificates 90th,State Certificates 90th,Marine Certificates Dollars,Marine Certificates Dollars,Marine Certificates 90th,Marine Certificates 90th,Pierce Certificates Value,Pierce Certificates Value
,,,,,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count
John Baptista Ashe,John,Baptista Ashe,NC,yes,,,,,,,,,,,,,402.43,8.0
John Barclay,John,Barclay,PA,yes,5200.0,4.0,2293.5111399999996,4.0,,,,,,,,,1912.83,6.0
Richardson Bard,Richardson,Bard,PA,no,,,,,,,,,,,,,,
Joseph Barker,Joseph,Barker,DE,yes,1300.0,3.0,838.97222,3.0,126.0,9.0,361.0,9.0,,,,,374.42,8.0
Elias Barnes,Elias,Barnes,NC,yes,,,,,,,,,,,,,2.1,1.0
Richard Barnes,Richard,Barnes,MD,yes,6500.0,8.0,2960.55132,8.0,21.0,1.0,50,1.0,,,,,153.9,3.0
Asa Barns,Asa,Barns,CT,yes,,,,,,,,,,,,,,
John Barnwell,John,Barnwell,SC,yes,,,,,,,,,,,,,,
Robert Barnwell,Robert,Barnwell,SC,yes,,,,,,,,,,,,,,
Nathaniel Barrell,Nathaniel,Barrell,MA,no,,,,,,,,,,,,,,
Charles Barrett,Charles,Barrett,NH,no,,,,,,,,,,,,,80.0,1.0
Anthony Barrington,Anthony,Barrington,RI,yes,,,,,,,,,,,,,,
Josiah Bartlett,Josiah,Bartlett,NH,yes,600.0,3.0,296.36661999999995,3.0,,,,,,,,,,
Bailey Bartlett,Bailey,Bartlett,MA,yes,,,,,,,,,,,,,,
Thomas Bartlett,Thomas,Bartlett,NH,yes,,,,,,,,,,,,,,
Moses Bascum,Moses,Bascum,MA,no,,,,,,,,,,,,,,
Andrew Baskins,Andrew,Baskins,SC,no,,,,,,,,,,,,,,
Richard Bassett,Richard,Bassett,Constitution,yes,,,,,,,,,,,,,354.15,3.0
Richard Bassett,Richard,Bassett,DE,yes,,,,,,,,,,,,,,
Daniel Bassett,Daniel,Bassett,CT,no,,,,,,,,,,,,,129.3,2.0
Burwell Bassett,Burwell,Bassett,VA,yes,,,,,,,,,,,,,,
John Baxter,John,Baxter,MA,yes,200.0,1.0,23.044439999999998,1.0,,,,,,,,,151.7,3.0
John Bay,John,Bay,NY,no,,,,,291.0,2.0,100,2.0,,,,,,
William Baylies,William,Baylies,MA,yes,,,,,304.0,2.0,80.0,2.0,,,,,125.6,2.0
Samuel Beach,Samuel,Beach,CT,yes,,,,,,,,,,,,,1815.18,6.0
John Beach,John,Beach,CT,yes,,,,,979.0,3.0,90.0,2.0,,,,,252.3,3.0
Zachary Beal,Zachary,Beal,MA,no,,,,,,,,,,,,,,
Joshua Bean,Joshua,Bean,MA,no,,,,,,,,,,,,,,
Nathaniel Bean,Nathaniel,Bean,NH,no,,,,,,,,,,,,,79.51,2.0
Nehemiah Beardsley,Nehemiah,Beardsley,CT,yes,300.0,1.0,300.0,1.0,,,,,,,,,,
John Beatty,John,Beatty,NJ,yes,5600.0,13.0,766.3112000000001,13.0,400.0,5.0,178.0,4.0,,,,,305.79999999999995,5.0
Daniel Bedee,Daniel,Bedee,NH,yes,,,,,,,,,,,,,,
Gunning Bedford Jr.,Gunning,Bedford Jr.,Constitution,yes,9300.0,24.0,401.83887,24.0,106.0,6.0,217.0,6.0,,,,,,
"Gunning Bedford, Jr.",Gunning,"Bedford, Jr.",DE,yes,9300.0,24.0,401.83887,24.0,106.0,6.0,217.0,6.0,,,,,,
"Gunning Bedford, Sr.",Gunning,"Bedford, Sr.",DE,yes,9300.0,24.0,401.83887,24.0,106.0,6.0,217.0,6.0,,,,,,
Thomas Bee,Thomas,Bee,SC,yes,,,,,,,,,,,,,,
David Bell,David,Bell,VA,no,,,,,,,,,108.0,1.0,14.0,1.0,,
Benjamin Bell,Benjamin,Bell,NC,yes,,,,,,,,,,,,,,
Malachi Bell,Malachi,Bell,NC,yes,,,,,,,,,,,,,,
Edmond Bellinger,Edmond,Bellinger,SC,no,,,,,,,,,,,,,,
Benjamin Bellows,Benjamin,Bellows,NH,yes,6400.0,11.0,5006.7001,11.0,156.0,1.0,22.0,1.0,,,,,,
John M. Benford,John M.,Benford,NC,yes,,,,,,,,,,,,,,
Arnold Benjamin,Arnold,Benjamin,RI,no,,,,,,,,,,,,,,
Bosworth Benjamin,Bosworth,Benjamin,RI,yes,,,,,,,,,,,,,,
Arnold Benjamin,Arnold,Benjamin,RI,yes,,,,,37.0,1.0,54.0,1.0,,,,,,
Remington Benjamin,Remington,Benjamin,RI,yes,,,,,,,,,,,,,,
Bourne Benjamin,Bourne,Benjamin,RI,yes,,,,,14.0,6.0,88.0,4.0,,,,,4.09,1.0
Peter Bennett,Peter,Bennett,NC,no,,,,,,,,,,,,,68.58,1.0
Samuel Benton,Samuel,Benton,NC,yes,,,,,,,,,,,,,,
Lamuel Benton,Lamuel,Benton,SC,yes,,,,,,,,,,,,,,
George H. Berger,George H.,Berger,NC,no,5500.0,5.0,279.6737,5.0,,,,,,,,,,
William Bethell,William,Bethell,NC,no,,,,,,,,,,,,,,
James Bettan,James,Bettan,NH,yes,,,,,,,,,,,,,,
Comstock Betts,Comstock,Betts,MA,no,,,,,35.0,1.0,0,0.0,,,,,,
Abraham Bigelow,Abraham,Bigelow,MA,yes,,,,,,,,,,,,,,
David Bigelow,David,Bigelow,MA,no,,,,,,,,,,,,,,
Stephen Billings,Stephen,Billings,CT,yes,,,,,,,,,,,,,2117.0299999999997,7.0
Elisha Bisbee,Elisha,Bisbee,MA,no,,,,,,,,,,,,,,
Phan. Bishop,Phan.,Bishop,MA,no,,,,,,,,,,,,,,
John Bishop,John,Bishop,PA,no,2900.0,6.0,72.5,6.0,1373.0,10.0,175.0,6.0,,,,,2367.31,20.0
Thomas Bixby,Thomas,Bixby,NH,no,,,,,,,,,,,,,,
Daniel Bixby,Daniel,Bixby,NH,no,,,,,,,,,,,,,,
John Black,John,Black,MA,no,,,,,,,,,,,,,,
John Black,John,Black,PA,yes,4900.0,6.0,273.63889,6.0,603.0,6.0,138.0,4.0,,,,,225.53000000000003,4.0
James Black,James,Black,DE,yes,7900.0,9.0,616.08887,9.0,200.0,8.0,319.0,5.0,,,,,137.89999999999998,3.0
John Blair,John,Blair,Constitution,yes,,,,,139.0,2.0,0,0.0,,,,,3093.8500000000004,18.0
John Blair,John,Blair,NC,yes,,,,,,,,,,,,,,
Timothy Blair,Timothy,Blair,MA,no,,,,,,,,,,,,,,
"John Blair, Jun.",John,"Blair, Jun.",VA,yes,,,,,139.0,2.0,0,0.0,,,,,2943.6100000000006,17.0
Edward Blake,Edward,Blake,SC,yes,,,,,,,,,,,,,3920.49,19.0
John Blake,John,Blake,SC,yes,,,,,827.0,3.0,177,3.0,,,,,687.3399999999999,16.0
Joseph Blanchard,Joseph,Blanchard,NH,yes,1600.0,6.0,50.88889,6.0,,,,,,,,,291.98,7.0
Theodorick Bland,Theodorick,Bland,VA,no,,,,,,,,,,,,,,
Benjamin Blaney,Benjamin,Blaney,MA,yes,700.0,2.0,79.71110999999999,2.0,,,,,,,,,,
Timothy Bloodworth,Timothy,Bloodworth,NC,no,,,,,,,,,,,,,,
William Blount,William,Blount,NC,yes,,,,,,,,,,,,,,
Thomas Blount,Thomas,Blount,NC,yes,,,,,,,,,,,,,32.2,1.0
John G. Blount,John G.,Blount,NC,yes,,,,,,,,,,,,,,
Edmund Blount,Edmund,Blount,NC,yes,,,,,,,,,,,,,,
William Blount,William,Blount,Constitution,yes,,,,,,,,,,,,,,
Benjamin Blout,Benjamin,Blout,VA,yes,,,,,,,,,,,,,,
W. Bodman,W.,Bodman,MA,no,,,,,,,,,,,,,,
John Bonds,John,Bonds,NC,yes,,,,,,,,,,,,,,
Benj. Bonney,Benj.,Bonney,MA,yes,,,,,,,,,,,,,,
Edmund Booker,Edmund,Booker,VA,no,,,,,,,,,,,,,,
Absalom Bostwick,Absalom,Bostwick,NC,no,,,,,,,,,,,,,,
John Lewis Bourquin,John Lewis,Bourquin,SC,no,2800.0,7.0,821.68753,7.0,1827.0,4.0,60,2.0,,,,,342.27,6.0
James Bowdoin,James,Bowdoin,MA,yes,,,,,,,,,,,,,,
Jonathan Bowen,Jonathan,Bowen,NJ,yes,,,,,,,,,,,,,,
Card Bowen,Card,Bowen,RI,no,,,,,,,,,,,,,,
Fielder Bowie,Fielder,Bowie,MD,yes,,,,,,,,,,,,,,
John Bowie,John,Bowie,SC,no,,,,,,,,,,,,,,
Robert Bowman,Robert,Bowman,NC,yes,,,,,,,,,,,,,,
John Bowman,John,Bowman,SC,no,,,,,,,,,,,,,404.75,4.0
John Boyd,John,Boyd,PA,yes,5700.0,4.0,360.0875,4.0,96.0,1.0,0,0.0,,,,,2121.0299999999997,12.0
Jacob Bradbury,Jacob,Bradbury,MA,yes,,,,,,,,,,,,,86.97999999999999,3.0
James Bradford,James,Bradford,CT,yes,,,,,30.0,1.0,38.0,1.0,,,,,2637.71,7.0
Philip Burr Bradley,Philip Burr,Bradley,CT,yes,,,,,,,,,,,,,240.32,2.0
Jesse Bradley,Jesse,Bradley,MA,no,,,,,,,,,,,,,,
Hezekiah Brainard,Hezekiah,Brainard,CT,yes,400.0,1.0,30.97778,1.0,,,,,,,,,,
Thomas Brandon,Thomas,Brandon,SC,no,,,,,,,,,,,,,,
Nicholas Breading,Nicholas,Breading,PA,no,,,,,,,,,,,,,85.61,1.0
David Brearley,David,Brearley,NJ,yes,300.0,1.0,31.71667,1.0,12.0,1.0,45.0,1.0,,,,,,
David Brearly,David,Brearly,Constitution,yes,300.0,1.0,31.71667,1.0,12.0,1.0,45.0,1.0,,,,,,
Robert Breckenridge,Robert,Breckenridge,VA,yes,,,,,,,,,,,,,,
Samuel Breese,Samuel,Breese,NJ,yes,,,,,,,,,,,,,,
Adam Brevard,Adam,Brevard,NC,yes,,,,,,,,,,,,,,
William Bridgers,William,Bridgers,NC,yes,,,,,,,,,,,,,,
John Howell Briggs,John Howell,Briggs,VA,no,3000.0,5.0,282.08195,5.0,80.0,1.0,0,0.0,,,,,3289.12,8.0
Art. Brigham,Art.,Brigham,MA,no,,,,,,,,,,,,,,
Simeon Bright,Simeon,Bright,NC,yes,,,,,,,,,,,,,26.6,1.0
Dan. Nath. Brinsmade,Dan. Nath.,Brinsmade,CT,yes,,,,,,,,,,,,,,
Hezekiah Broad,Hezekiah,Broad,MA,no,,,,,,,,,,,,,,
Humphrey Brooke,Humphrey,Brooke,VA,yes,,,,,,,,,,,,,,
David Brooks,David,Brooks,CT,no,,,,,,,,,,,,,74.18,2.0
John Brooks,John,Brooks,MA,yes,8800.0,13.0,1774.56382,13.0,237.0,6.0,60.0,1.0,,,,,7418.64,13.0
E. Brooks,E.,Brooks,MA,yes,,,,,,,,,,,,,8.5,1.0
Jacob Broom,Jacob,Broom,Constitution,yes,300.0,1.0,23.60833,1.0,2.0,1.0,78.0,1.0,,,,,,
R. Brounfield,R.,Brounfield,SC,yes,,,,,,,,,,,,,,
William Brown,William,Brown,PA,no,11000.0,27.0,1014.2611200000001,27.0,7896.0,132.0,5572.0,121.0,,,,,8082.910000000001,57.0
