,occupation,6p_total,# of people,% of total people,average debt per person
0,gentleman,6063.15,2,22.22222222222222,3031.575
1,attorney,1325.68,1,11.11111111111111,1325.68
2,executor,1324.81,1,11.11111111111111,1324.81
3,doctor,384.34,1,11.11111111111111,384.34
4,merchant,235.01,1,11.11111111111111,235.01
5,assignee,16.67,1,11.11111111111111,16.67
6,farmer,3.34,1,11.11111111111111,3.34
7,esq,0.0,1,11.11111111111111,0.0
