,Search Names,Search Name,Original Names,count,6p_Total,6p_def_Total,3p_Total,Location,Family Size,Slavecount,Match Status,Match Reason,url
32,['James Hill' 'John De la Mater'],James Hill,"['James Hill', 'John De la Mater']",1,92.0,47.0,1000.0,,,,No Match,Too Many Potential Matches Found (5),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=James_Hill&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
55,['Susannah Wardill' 'Susannah Nardill'],Susannah Nardill,"['Susannah Wardill', 'Susannah Nardill']",1,1721.0,911.0,995.0,,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Susannah_Nardill&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
5,['Abraham Van Duerson' 'Abraham Van Deursen'],Abraham Van Deursen,"['Abraham Van Duerson', 'Abraham Van Deursen']",1,1711.0,905.0,944.0,,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Abraham Van_Deursen&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
21,['Henry Truax' 'Isaac Truax'],Isaac Truax,['Isaac and Henry Truax'],4,0.0,0.0,884.0, Albany,,,Match,Only Location Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Isaac_Truax&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
50,['Philip Livingston' 'Philip H Livingston'],Philip Livingston,"['Philip Livingston', 'Philip H Livingston']",1,1200.0,600.0,864.0,,,,No Match,Too Many Potential Matches Found (4),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Philip_Livingston&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
54,['Stephen Van Rensselaer' 'Stephen Van Rensealear'],Stephen Van Rensealear,"['Stephen Van Renselear', 'Stephen Van Rensealear']",1,1424.0,714.0,784.0,,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Stephen Van_Rensealear&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
11,['Catherine Dow' 'Rachel Dow'],Catherine Dow,['Catherine and Rachel Dow'],2,0.0,0.0,612.0, Albany,,,Match,Only Location Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Catherine_Dow&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
56,['Theodorus Van Wyck Graham' 'Theo V W Graham'],Theo V W Graham,"['Theodosius V W Graham', 'Theo V W Graham']",1,414.0,207.0,590.0,,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Theo V W_Graham&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
33,['James J Beckman' 'James J Buchman'],James J Beckman,"['James J Beckman', 'James J Buchman']",1,1310.0,655.0,541.0,,,,No Match,Too Many Potential Matches Found (4),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=James J_Beckman&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
42,['Joseph Pitcain' 'Joseph Pitcairn'],Joseph Pitcairn,"['Joseph Pitcain', 'Joseph Pitcairn']",1,932.0,468.0,520.0,,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Joseph_Pitcairn&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
7,['Alexander Mowatt' 'Michael Mowatt'],Michael Mowatt,"['John and Alexander Mowatt', 'Alexander and Michael Mowatt']",1,0.0,0.0,511.0,,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Michael_Mowatt&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
40,['Jonathan Maltbe' 'Jonathan Malbie' 'Jonathan Maltbie'],Jonathan Maltbe,"['Jonathan Maltbe', 'Jonathan Malbie', 'Jonathan Maltbie']",1,1051.0,526.0,368.0,,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jonathan_Maltbe&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
41,['Jonathan Maltbe' 'Jonathan Malbie' 'Jonathan Maltbie'],Jonathan Malbie,"['Jonathan Maltbe', 'Jonathan Malbie', 'Jonathan Maltbie']",1,1051.0,526.0,368.0,,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jonathan_Malbie&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
3,['James Cole' 'Abraham Cole'],James Cole,['Abraham and James Cole'],1,0.0,0.0,360.0,,,,No Match,Too Many Potential Matches Found (2),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=James_Cole&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
24,['Horace Johnston' 'Seth Johnston'],Seth Johnston,['Horace and Seth Johnston'],1,0.0,0.0,338.0,,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Seth_Johnston&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
8,['Alida Van Rensealear' 'Alida Van Renselear'],Alida Van Renselear,"['Alida Van Rensealear', 'Alida Van Renselear']",1,591.0,347.0,316.0,,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Alida Van_Renselear&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
34,['John C Freeke' 'John C Fruke'],John C Fruke,"['John C Freeke', 'John C Fruke']",1,297.0,149.0,266.0,,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John C_Fruke&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
22,['Henry Van Renselear' 'Henry Van Rensealear'],Henry Van Renselear,"['Henry Van Renselear', 'Henry Van Rensealear']",1,413.0,208.0,253.0,,,,No Match,Too Many Potential Matches Found (4),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Henry Van_Renselear&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
9,['Alida Van Schaick' 'Hilda Van Schaick'],Hilda Van Schaick,"['Alida Van Schaick', 'Hilda Van Schaick']",1,407.0,254.0,234.0,,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Hilda Van_Schaick&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
27,['Philip Mark' 'Jacob Van Der Mark'],Jacob Van Der Mark,['Jacob and Philip Mark'],1,757.0,428.0,233.0,"Marbletown, Ulster, New York",3.0,,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jacob_Mark&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
46,['Mary Frost' 'Maria De Freert'],Maria De Freert,"['Maria De Frust', 'Maria De Freert']",1,285.0,192.0,211.0,,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Maria De_Freert&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
16,['E Marsh' 'Daniel Marsh'],Daniel Marsh,['Daniel and E Marsh'],1,0.0,0.0,202.0,,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Daniel_Marsh&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
2,['A McWhoker' 'A McWhorker' 'Alexander McWhoker'],A McWhorker,"['A McWhoker', 'A McWhorker', 'Alexander McWhoker']",1,244.0,166.0,194.0,,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=A_McWhorker&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
1,['A McWhoker' 'A McWhorker' 'Alexander McWhoker'],A McWhoker,"['A McWhoker', 'A McWhorker', 'Alexander McWhoker']",1,244.0,166.0,194.0,,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=A_McWhoker&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
4,['Abraham Paine' 'Michael Van Peene'],Michael Van Peene,['Michael and Abraham Van Peene'],1,0.0,0.0,180.0,,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Michael Van_Peene&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
10,['Francis Wainright' 'Andrew Caldwell'],Andrew Caldwell,['Wainwright and Caldwell'],1,0.0,0.0,178.0,,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Andrew_Caldwell&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
12,['Catherine Hasbrook' 'Catherine Harsbrook'],Catherine Harsbrook,"['Catherine Hasbrook', 'Catherine Harsbrook']",1,249.0,175.0,160.0,,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Catherine_Harsbrook&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
43,['Joseph Totten' 'Joseph Totton'],Joseph Totton,"['Joseph Totten', 'Joseph Totton']",1,131.0,115.0,124.0,,,,No Match,Too Many Potential Matches Found (3),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Joseph_Totton&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
53,['Simon Van Antioch' 'Simon Van Antwerp'],Simon Van Antioch,"['Simon Van Antioch', 'Simon Van Antwerp']",1,166.0,83.0,94.0,,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Simon Van_Antioch&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
51,['Robert Bawick' 'Robert Berwick'],Robert Bawick,"['Robert Bawick', 'Robert Barwick']",1,29.0,65.0,16.0,,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Robert_Bawick&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
39,['Joiz Koiz Silva' 'Joize Rovi Silva'],Joize Rovi Silva,"['Joiz Koiz Silva', 'Joize Rovi Silva']",1,47.0,73.0,0.0,,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Joize Rovi_Silva&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
