,occupation,6p_total,# of people,% of total people,average debt per person
0,treasurer,12283.44,1,9.090909090909092,12283.44
1,doctors,2008.37,1,9.090909090909092,2008.37
2,merchant,861.53,7,63.63636363636363,123.07571428571428
3,farmer,62.51,1,9.090909090909092,62.51
4,executors,0.0,1,9.090909090909092,0.0
