,occupation,6p_total,# of people,% of total people,average debt per person
0,merchant,78510.94,47,82.45614035087719,1670.4455319148938
1,shoemaker,1237.07,2,3.508771929824561,618.535
2,executor,303.77,3,5.263157894736842,101.25666666666666
3,frederick company,206.67,1,1.7543859649122806,206.67
4,shopkeeper,33.33,1,1.7543859649122806,33.33
5,administrator,22.5,2,3.508771929824561,11.25
6,esq,17.665733,1,1.7543859649122806,17.665733
