,occupation,6p_total,# of people,% of total people,average debt per person
0,merchant,7448.803132999999,24,80.0,310.3667972083333
1,broker,1776.12,1,3.3333333333333335,1776.12
2,doctor,933.33,1,3.3333333333333335,933.33
3,farmer,674.3100000000001,2,6.666666666666667,337.15500000000003
4,mariner,377.49,1,3.3333333333333335,377.49
5,schoolmaster,131.15,1,3.3333333333333335,131.15
