,town,state,county,name_type
1269,George town,MD,Cecil County,town
1377,Allegany County,MD,Allegany County,county
1492,Doden Maryland,MD,Anne Arundel County,town
1507,,MD,,state
1531,Isaac,MD,,other
1592,London,,,other
1634,Frederick County Maryland,MD,Frederick County,county
1701,Edenton,NC,Chowan County,town
1703,Wayne County,NC,Wayne County,county
1707,Richmond Virginia,VA,Henrico County,town
1708,Newbern,NC,Craven County,town
1709,Rowan County,NC,Rowan County,county
1713,Warren County,NC,Warren County,county
1714,Tarborugh,NC,Edgecombe County,town
1718,Murfrees Borough,NC,Hertford County,town
1719,Perquimans County,NC,Perquimans County,county
1720,Mecklenburg County,NC,Mecklenburg County,county
1722,Fayetteville,NC,Cumberland County,town
1723,Wilmington,NC,New Hanover County,town
1724,Petersburg Virginia,VA,Hampshire County,town
1725,Edgecombe County,NC,Edgecombe County,county
1726,Pitt County,NC,Pitt County,county
1727,Salisbury,NC,Rowan County,town
1730,Halifax,NC,Halifax County,town
1737,Montgomery County Maryland,MD,Montgomery County,county
1740,Washington,NC,Beaufort County,town
1751,Halifax ,NC,Halifax County,town
1753,Eustatia,BVI,,other
1757,North Carolina,NC,,state
1758,Currituck County,NC,Currituck County,county
1764,Hillsborough,NC,Orange County,town
1765,Rockingham County,NC,Rockingham County,county
1773,,NC,,state
1778,Exeter,NH,Rockingham County,town
1779,Rockingham,NH,Rockingham County,county
1780,Merrimac,NH,Hillsborough County,town
1789,Kittery,MA,York County,town
1793,Deerfield,NH,Rockingham County,town
1795,Greenland,NH,Rockingham County,town
1796,,NH,,state
1797,Kingstown,NH,Rockingham County,town
1798,Andover,MA,Essex County,town
1799,Kensington,NH,Rockingham County,town
1800,Hampton,NH,Rockingham County,town
1801,North Hampton,NH,Rockingham County,town
1804,Newbury,NH,Hillsborough County,town
1806,Candia,NH,Rockingham County,town
1810,Salem,MA,Essex County,town
1812,Marbury,NH,Strafford County,town
1813,London,NH,Rockingham County,town
1815,Newbury Port,MA,Essex County,town
1819,Salem,NH,Rockingham County,town
1821,Glouster,NH,,other
1825,Canterbury,NH,Rockingham County,town
1831,York,NH,York County,town
1835,New Castle,NH,Rockingham County,town
1836,Wells,NH,York County,town
1839,Beverly,MA,Essex County,town
1841,Sandwich,NH,Strafford County,town
1842,Pembroke,NH,Hillsborough County,town
1844,Gilmantown,NH,Strafford County,town
1848,Pelham,NH,Hillsborough County,town
1850,Situate,MA,Plymouth County,town
1852,Concord,NH,Grafton County,town
1853,Ipswich,MA,Essex County,town
1854,Barrington,NH,Strafford County,town
1857,Rowley,MA,Essex County,town
1858,Newtown,NH,Rockingham County,town
1863,South Hampton,NH,Rockingham County,town
1864,Tamworth,NH,Strafford County,town
1870,Amherst,NH,Hillsborough County,town
1872,Hopkinton,NH,Hillsborough County,town
1875,Acworth,NH,Cheshire County,town
1876,Somersworth,NH,Strafford County,town
1877,Haverhill,MA,Essex County,town
1882,Nottingham,NH,Rockingham County,town
1884,Charlestown,NH,Cheshire County,town
1892,Stoughton,MA,Suffolk County,town
1896,Wakefield,NH,Strafford County,town
1901,Londonberry,NH,Rockingham County,town
1905,Salisbury,NH,Hillsborough County,town
1912,Durham,NH,Strafford County,town
1930,Hollis,NH,Hillsborough County,town
1951,Dover,NH,Strafford County,town
1968,Brintwood,NH,Rockingham County,town]
