,First Name,Last Name,Search Town,Search County,Search State,Name,"Home in 1790 (City, County, State)",index_new,valid
780,Alexander,Nelson,,Mecklenburg County,NC,Alex Nelson,"Lincoln, North Carolina",1261,0
794,John,Linox,,Rockingham County,NC,John Lenox,"Caswell, North Carolina",1297,0
1095,Jacob,Sommer,,Philadelphia County,PA,Jacob Sommers,"Frederick, Maryland",1800,0
1163,Kenry,Smith,,Montgomery County,PA,William K Smith | William Smith | William H Smith,"Luzerne, Pennsylvania",1970,0
1202,Martha,Jones,,Chester County,PA,Morda Jones,"Montgomery, Pennsylvania",2050,0
1228,Samuel,Henderson,,Bucks County,PA,Saml Henderson,"Montgomery, Pennsylvania",2090,0
1309,James Mc,Farlane,,Westmoreland County,PA,James Farland | James Farlane,"Washington, Pennsylvania",2217,0
1310,James,Mcfarlane,,Westmoreland County,PA,James Farland | James Farlane,"Washington, Pennsylvania",2217,0
1328,Jacob Lawer,Swyler,,Philadelphia County,PA,Jacob Seller,"Bucks, Pennsylvania",2253,0
1329,Jacob Sawer,Swyler,,Philadelphia County,PA,Jacob Seller,"Bucks, Pennsylvania",2253,0
1362,Nicholas,Pomp,,Montgomery County,PA,Nicholas Pump | Nicholas Pamp,"Bucks, Pennsylvania",2310,0
1363,Wilder,Bevins,,Lancaster County,PA,Walter Beavin,"Charles, Maryland",2314,0
1367,William,Rannals,,Franklin County,PA,William Runnels,"Washington, Maryland",2322,0
1432,Moses Hobson In,Trust,,Montgomery County,PA,John Hurst | John Thurst,"Mifflin, Pennsylvania",2447,0
1449,Daniel,Snyder,,Northampton County,PA,Daniel Snider,"Bucks, Pennsylvania",2482,0
200,Martin,Mcdonald,,,NY,Martin McDonald,"Cortlandt, Westchester, New York",318,1
337,Isaac,Gillet,,,VT,Asa Gillet | Ica Gillet,"Newhuntington, Chittenden, Vermont",526,1
372,Benjamin,Talmage,,,CT,Benjamin Tallmadge | Benjamin Tollmady,"Litchfield, Litchfield, Connecticut",570,1
438,Solomon,Simson,,,NY,Solomon Simpson,"New York City Dock Ward, New York, New York",681,1
508,Stephen R,Bradley,,,VT,R. Stephen Bradley | R Stephen Bradley,"Westminster, Windham, Vermont",794,1
521,Peter,Schermerhorn,,,NY,Peter Schemerhorn,"New York City Montgomery Ward, New York, New York",815,1
531,Richard,Wainwright,,,SC,Richd Wainwright | Richd Wainewright,"St Phillips and St Michaels, Charleston, South Carolina",821,1
541,Israel,Josephs,,,SC,Israel Joseph,"St Phillips and St Michaels, Charleston, South Carolina",851,1
631,Christian,Lybrant,,,PA,Christian Leybrandt,"Water Street East Side, Philadelphia, Pennsylvania",1005,1
971,Francis,Hiam,,,PA,Francis Hime | Frances Harne,"Mixed Township, York, Pennsylvania",1587,1
989,Allen,Boys,,,PA,Allen Boyce,"Bullskin, Fayette, Pennsylvania",1615,1
1004,Nathaniel G,Philips,,,PA,Nathanial Philips,"Warrinton, York, Pennsylvania",1627,1
1013,Thomas,Magens,,,PA,Thomas Magins | Thomas Magans | Magans,"Northern Liberties, Philadelphia, Pennsylvania",1656,1
1020,John,Gammil,,,PA,John Gammet | John Gammel,"Martick, Lancaster, Pennsylvania",1667,1
1021,David,Lenax,,,PA,"Colonel Col. David, Esquire Lenox | Colonel David Lenox","Water Street East Side, Philadelphia, Pennsylvania",1668,1
1053,Elizabeth,Marshall,,,PA,Elizabeth Marshal,"Mojamensing and Passyunk, Philadelphia, Pennsylvania",1722,1
1059,Stephen,Burrowes,,,PA,Stephen (Sadler) Burrows | Stephen Bunows,"Water Street East Side, Philadelphia, Pennsylvania",1728,1
1060,Stephen,Burrows,,,PA,Stephen (Sadler) Burrows | Stephen Bunows,"Water Street East Side, Philadelphia, Pennsylvania",1728,1
1065,John,Havard,,,PA,John Havert,"Tredifferin, Chester, Pennsylvania",1744,1
1077,Eleanor,James,,,PA,Elenor (Genl Woman) James | Elenor James,"Water Street East Side, Philadelphia, Pennsylvania",1762,1
1080,Benjamin,Loxley,,,PA,Benjn (Carpentr) Loxley | Benj Loxley,"Water Street East Side, Philadelphia, Pennsylvania",1771,1
1085,Phillip,Vance,,,PA,Philip (B.smith) Vance | Philip Vance,"Southwark, Philadelphia, Pennsylvania",1782,1
1086,Philip,Gardner,,,PA,Phillip Gardner,"York Borough, York, Pennsylvania",1783,1
1088,Nathan,Paul,,,PA,Nathaniel Paull,"Fannet, Hamilton, Letterkenney, Montgomery, and Peters, Franklin, Pennsylvania",1784,1
1098,George,Maul,,,PA,George Hail | George Mail,"Hopewell, Newton, Tyborn, and Westpensboro, Cumberland, Pennsylvania",1812,1
1099,Charles,Mcclare,,,PA,Charles McClure,"Hopewell, Newton, Tyborn, and Westpensboro, Cumberland, Pennsylvania",1828,1
1100,Charles,Mcclure,,,PA,Charles McClure,"Hopewell, Newton, Tyborn, and Westpensboro, Cumberland, Pennsylvania",1828,1
1108,James,Searle,,,PA,James (Mert) Serle,"Water Street East Side, Philadelphia, Pennsylvania",1840,1
1111,Dietrick,Metzner,,,PA,Jno Didrich Metzner,"Reading, Berks, Pennsylvania",1850,1
1122,Thomas,Dickason,,,PA,Thomas Dickenson,"Hopewell, Newton, Tyborn, and Westpensboro, Cumberland, Pennsylvania",1862,1
1133,Thomas,Affleck,,,PA,Thos (Cabinet Maker) Affleck | Thos Affleck,"Water Street East Side, Philadelphia, Pennsylvania",1899,1
1143,John G,Gloninger,,,PA,"John, Esqr Gloninger Esquire | John Gloninger Esquire","Lebanon, Dauphin, Pennsylvania",1923,1
1150,Sabastian,Graff,,,PA,Sebastian Graff,"Manheim, Lancaster, Pennsylvania",1942,1
1166,Thomas,Reber,,,PA,Thos Reber,"Bern, Berks, Pennsylvania",1978,1
1182,John,O'Connor,,,PA,John Connor,"Radnor, Delaware, Pennsylvania",2005,1
1215,Christina,Grover,,,PA,Christopher Garver,"Hopewell, Newton, Tyborn, and Westpensboro, Cumberland, Pennsylvania",2066,1
1280,Cantwell,Jones,,,PA,Sarah (Gentlewoman) Jones | Sarah Jones,"Southwark, Philadelphia, Pennsylvania",2154,1
1293,Alexander J,Dallas,,,PA,"John A., Esqr (Atty At Law) Dallass | John A Dallas","Water Street East Side, Philadelphia, Pennsylvania",2192,1
1364,Charles,Fausett,,,PA,Charles Fausset,"Elizabeth, Lancaster, Pennsylvania",2315,1
1365,Charles,Faussett,,,PA,Charles Fausset,"Elizabeth, Lancaster, Pennsylvania",2315,1
1388,Margaret,Fullerton,,,PA,Margret Fullerton,"Water Street East Side, Philadelphia, Pennsylvania",2354,1
1399,William,Bingham,,,PA,"Wm, Esqr (Speaker of Assembley) Bingham | Wm Bingham","Water Street East Side, Philadelphia, Pennsylvania",2388,1
1421,Nathaniel,Leonard,,,PA,Nathanial Leonard,"Hopewell, Newton, Tyborn, and Westpensboro, Cumberland, Pennsylvania",2429,1
1427,Philip,Gisinger,,,PA,Philip Gysinger,"Upper Saucon, Northampton, Pennsylvania",2439,1
1438,Robert,Mcmordie,,,PA,Robert McMordick,"Mixed Township, York, Pennsylvania",2452,1
1453,Jacob,Winey,,,PA,Jacob Weiney,"Reading, Berks, Pennsylvania",2488,1
1490,Nathan,Waterman,,,RI,Nathaniel Waterman,"Johnstown, Providence, Rhode Island",2562,1
1531,Hannah,Cooke,,,RI,Hannah Cook,"Providence, Providence, Rhode Island",2617,1
