,First Name,Last Name,Search Town,Search County,Search State,Name,"Home in 1790 (City, County, State)",index_new,valid
734,John,Barclay,Philadelphia,Philadelphia County,PA,"John, Esqr Barcly | John Backley","Water Street East Side, Philadelphia, Pennsylvania",1551,1
737,William,Hayes,Philadelphia,Philadelphia County,PA,Wm (Iron Mert) Hays | Wm Hays Iron | William Hays Irons | Wm Hays,"Water Street East Side, Philadelphia, Pennsylvania",1558,1
741,James,Duncan,Philadelphia,Philadelphia County,PA,James (Mariner) Duncan | James Dunsom,"Water Street East Side, Philadelphia, Pennsylvania",1577,1
747,Joseph,Huddell,Philadelphia,Philadelphia County,PA,Joseph (Cooper) Huddle | Joseph Huddle,"Southwark, Philadelphia, Pennsylvania",1593,1
748,Joseph,Huddell,Philadelphia,Philadelphia County,PA,Joseph Huddle,"Southwark, Philadelphia, Pennsylvania",1594,1
749,Joseph,Huddell,Philadelphia,Philadelphia County,PA,Stave Mert | Joseph Huddle,"Southwark, Philadelphia, Pennsylvania",1595,1
750,Mordeai,Lewis,Philadelphia,Philadelphia County,PA,Mordica & Co. (Mert) Lewis | Mordica Lewis,"Water Street East Side, Philadelphia, Pennsylvania",1596,1
751,Mordeai,Lewis,Philadelphia,Philadelphia County,PA,Nathl (Mert) Lewis | Nathe Lewis,"Water Street East Side, Philadelphia, Pennsylvania",1597,1
762,Richard,Bache,Philadelphia,Philadelphia County,PA,"Richard, Esqr Bache | Richard Barne","Water Street East Side, Philadelphia, Pennsylvania",1622,1
768,Joseph C,Fisher,Philadelphia,Philadelphia County,PA,Joseph C. (Hatter) Fisher | Joseph Fisher,"Water Street East Side, Philadelphia, Pennsylvania",1633,1
769,Joseph C,Fisher,Philadelphia,Philadelphia County,PA,Joseph Fisher,"Water Street East Side, Philadelphia, Pennsylvania",1634,0
796,Richard,Potter,Philadelphia,Philadelphia County,PA,Richd Potter| Richard James Potter,"Water Street East Side, Philadelphia, Pennsylvania",1685,1
797,Richard,Potter,Philadelphia,Philadelphia County,PA,Richd & James (Mercht) Potter | Richd Potter,"Water Street East Side, Philadelphia, Pennsylvania",1686,1
803,Israel,Whelen,Philadelphia,Philadelphia County,PA,Israel Wheelen | Israel Wheeler,"Water Street East Side, Philadelphia, Pennsylvania",1690,1
804,Israel,Whelen,Philadelphia,Philadelphia County,PA,Israel (Grocer) Wheelen | Israel Wheelen,"Water Street East Side, Philadelphia, Pennsylvania",1691,1
806,John,Barry,Philadelphia,Philadelphia County,PA,John (School Master) Barrey | John Barrey,"Water Street East Side, Philadelphia, Pennsylvania",1693,0
807,John,Barry,Philadelphia,Philadelphia County,PA,Jno (Laborer) Barry | Jno Barry,"Southwark, Philadelphia, Pennsylvania",1694,1
810,Archibald,Mccall,Philadelphia,Philadelphia County,PA,Archibald McCall,"Water Street East Side, Philadelphia, Pennsylvania",1702,1
811,Archibald,Mccall,Philadelphia,Philadelphia County,PA,Archd (Mert.) McCall | Archd McCall | Archibald McCall,"Water Street East Side, Philadelphia, Pennsylvania",1703,1
814,Richard,Wistar,Philadelphia,Philadelphia County,PA,Richard (Mercht) Wistar,"Water Street East Side, Philadelphia, Pennsylvania",1708,1
815,Richard,Wistar,Philadelphia,Philadelphia County,PA,Richd Wisters,"Water Street East Side, Philadelphia, Pennsylvania",1709,0
835,andrew,Pettit,Philadelphia,Philadelphia County,PA,Charles & Andrew (Mercht) Pettit | Charles Andrew Pettet,"Water Street East Side, Philadelphia, Pennsylvania",1749,1
836,andrew,Pettit,Philadelphia,Philadelphia County,PA,Andrew Pettet,"Water Street East Side, Philadelphia, Pennsylvania",1750,0
839,Mary,Robeson,Philadelphia,Philadelphia County,PA,Mary Robinson,"Northern Liberties, Philadelphia, Pennsylvania",1755,0
840,Mary,Robeson,Philadelphia,Philadelphia County,PA,Mary (Widow) Robenson | Mary Robinson,"Water Street East Side, Philadelphia, Pennsylvania",1756,1
845,John,Mccrea,Philadelphia,Philadelphia County,PA,John (Broker) McCree | John McCree,"Water Street East Side, Philadelphia, Pennsylvania",1763,0
846,John,Mccrea,Philadelphia,Philadelphia County,PA,Jno (House Carpenr) McRoy | Jno McRoy,"Southwark, Philadelphia, Pennsylvania",1764,0
847,John,Mccree,Philadelphia,Philadelphia County,PA,John (Broker) McCree | John McCree,"Water Street East Side, Philadelphia, Pennsylvania",1763,1
848,John,Mccree,Philadelphia,Philadelphia County,PA,Jno (House Carpenr) McRoy | Jno McRoy,"Southwark, Philadelphia, Pennsylvania",1764,0
851,William,Rush,Philadelphia,Philadelphia County,PA,William (Grazier) Rush | William Ruch,"Water Street East Side, Philadelphia, Pennsylvania",1767,1
854,John,West,Philadelphia,Philadelphia County,PA,"John, Junr (Shop Keeper) Guest Junior | John Guen Junior","Water Street East Side, Philadelphia, Pennsylvania",1773,0
855,John,West,Philadelphia,Philadelphia County,PA,Francis & Jno (Mert) West | West Francis,"Water Street East Side, Philadelphia, Pennsylvania",1774,0
856,John,West,Philadelphia,Philadelphia County,PA,Jno West,"Water Street East Side, Philadelphia, Pennsylvania",1775,1
859,John,Whiteman,Philadelphia,Philadelphia County,PA,John Weitman | David Weitman | David Weitman,"Northern Liberties, Philadelphia, Pennsylvania",1778,1
860,John,Whiteman,Philadelphia,Philadelphia County,PA,John Weitman,"Northern Liberties, Philadelphia, Pennsylvania",1779,1
893,James C,Fisher,Philadelphia,Philadelphia County,PA,Joseph C. (Hatter) Fisher | Joseph Fisher,"Water Street East Side, Philadelphia, Pennsylvania",1633,1
894,James C,Fisher,Philadelphia,Philadelphia County,PA,Jas Fisher | Jas Samuel Fisher,"Water Street East Side, Philadelphia, Pennsylvania",1820,0
909,Robert,Waln,Philadelphia,Philadelphia County,PA,Robt Waln,"Water Street East Side, Philadelphia, Pennsylvania",1842,1
926,Thomas L,Moore,Philadelphia,Philadelphia County,PA,Thomas (Gent) Moore | Thomas Moore,"Water Street East Side, Philadelphia, Pennsylvania",1875,1
927,Thomas L,Moore,Philadelphia,Philadelphia County,PA,Thomas (Sadler) Moore | Thomas Moore,"Water Street East Side, Philadelphia, Pennsylvania",1876,1
930,Walter,Stewart,Philadelphia,Philadelphia County,PA,Walter (Mariner) Stewart | Watter Stewart,"Water Street East Side, Philadelphia, Pennsylvania",1879,1
931,Walter,Stewart,Philadelphia,Philadelphia County,PA,Walter (Mercht; R. M. Dwelling) Stewart | Matter Stewart,"Water Street East Side, Philadelphia, Pennsylvania",1880,1
1015,John,White,Philadelphia,Philadelphia County,PA,John M Whyatt,"Water Street East Side, Philadelphia, Pennsylvania",1993,0
1027,James,Moore,Philadelphia,Philadelphia County,PA,James More,"Blockley, Philadelphia, Pennsylvania",2017,0
1028,James,Moore,Philadelphia,Philadelphia County,PA,James (Taylor) Moor | James Moor,"Southwark, Philadelphia, Pennsylvania",2018,1
1029,George,Ludlam,Philadelphia,Philadelphia County,PA,George Ludlom,"Water Street East Side, Philadelphia, Pennsylvania",2020,1
1030,George,Ludlam,Philadelphia,Philadelphia County,PA,Geo. (Plummer) Ludlum | Robert Ludlum,"Water Street East Side, Philadelphia, Pennsylvania",2021,1
1033,John,Mcconnell,Philadelphia,Philadelphia County,PA,John (Lab) McConnell | John McConnell,"Water Street East Side, Philadelphia, Pennsylvania",2025,1
1034,John,Mcconnell,Philadelphia,Philadelphia County,PA,Jno (Weaver) McConnell | Jno McConnell,"Southwark, Philadelphia, Pennsylvania",2026,1
1039,Benjamin,Harbeson,Philadelphia,Philadelphia County,PA,Benjn Harbeson | Benjm Harbeson,"Oxford, Philadelphia, Pennsylvania",2035,1
1040,Benjamin,Harbeson,Philadelphia,Philadelphia County,PA,Benja (Coppersmith) Harbeson | Benj Harbeson,"Water Street East Side, Philadelphia, Pennsylvania",2036,1
1042,Frederick,Shinkle,Philadelphia,Philadelphia County,PA,Fredrick (Skin Dressr) Shinkle | Fredrick Shinkle,"Water Street East Side, Philadelphia, Pennsylvania",2040,1
1090,John,Cox,Philadelphia,Philadelphia County,PA,James Cox | James Ino Cox,"Water Street East Side, Philadelphia, Pennsylvania",1491,0
1104,Thomas,Bell,Philadelphia,Philadelphia County,PA,Captain Capt. Thos (Marr) Bell | Captain Thos Bell,"Water Street East Side, Philadelphia, Pennsylvania",2170,1
1105,Thomas,Bell,Philadelphia,Philadelphia County,PA,Thos (Joiner) Bell | Thos Bell,"Water Street East Side, Philadelphia, Pennsylvania",2171,1
1113,John,Long,Philadelphia,Philadelphia County,PA,Wm (Joiner) Long | Wm Long,"Water Street East Side, Philadelphia, Pennsylvania",2182,0
1114,Israel,Whalen,Philadelphia,Philadelphia County,PA,Israel Wheelen | Israel Wheeler,"Water Street East Side, Philadelphia, Pennsylvania",1690,1
1115,Israel,Whalen,Philadelphia,Philadelphia County,PA,Israel (Grocer) Wheelen | Israel Wheelen,"Water Street East Side, Philadelphia, Pennsylvania",1691,1
1116,William,Wistar,Philadelphia,Philadelphia County,PA,William (Mercht) Wistar | William Weitar,"Water Street East Side, Philadelphia, Pennsylvania",2184,1
1117,William,Wistar,Philadelphia,Philadelphia County,PA,Wm (Mert) Wister | Wm Wester,"Water Street East Side, Philadelphia, Pennsylvania",2185,1
1118,William,Wister,Philadelphia,Philadelphia County,PA,William (Mercht) Wistar | William Weitar,"Water Street East Side, Philadelphia, Pennsylvania",2184,1
1119,William,Wister,Philadelphia,Philadelphia County,PA,Wm (Mert) Wister | Wm Wester,"Water Street East Side, Philadelphia, Pennsylvania",2185,1
1140,andrew,Summeres,Philadelphia,Philadelphia County,PA,Andr Summers | Ande Summers,"Water Street East Side, Philadelphia, Pennsylvania",1559,1
1141,andrew,Summeres,Philadelphia,Philadelphia County,PA,Andw (Broker) Sommers | Andw Sommers,"Southwark, Philadelphia, Pennsylvania",2224,1
1148,John,Craig,Philadelphia,Philadelphia County,PA,Jno Craig,"Water Street East Side, Philadelphia, Pennsylvania",2233,1
1149,John,Reed,Philadelphia,Philadelphia County,PA,John Vanread | John Danread | John Van Reed,"Water Street East Side, Philadelphia, Pennsylvania",2238,0
1150,John,Reed,Philadelphia,Philadelphia County,PA,John (Mert) Van Reade | John Vandeade,"Water Street East Side, Philadelphia, Pennsylvania",2239,0
1153,Robert,Taggart,Philadelphia,Philadelphia County,PA,Robert (Gent.) Taggart | Robert Taggars,"Water Street East Side, Philadelphia, Pennsylvania",2244,1
1154,Robert,Taggart,Philadelphia,Philadelphia County,PA,Robt (Laborer) Taggart | Robt Taggart,"Southwark, Philadelphia, Pennsylvania",2245,1
1155,Ann,Cook,Philadelphia,Philadelphia County,PA,John Cook,"Northern Liberties, Philadelphia, Pennsylvania",2249,0
1156,Ann,Cook,Philadelphia,Philadelphia County,PA,John (Barber) Cook | John Cook,"Water Street East Side, Philadelphia, Pennsylvania",2250,0
1161,John,Cooke,Philadelphia,Philadelphia County,PA,John Cook,"Northern Liberties, Philadelphia, Pennsylvania",2249,1
1162,John,Cooke,Philadelphia,Philadelphia County,PA,John (Barber) Cook | John Cook,"Water Street East Side, Philadelphia, Pennsylvania",2250,1
1186,Abraham,Dubois,Philadelphia,Philadelphia County,PA,Abrm (Gold Smith) Dubois | Abra Dubois,"Water Street East Side, Philadelphia, Pennsylvania",2293,1
1189,George,Aston,Philadelphia,Philadelphia County,PA,George (Mercht) Aston | George Arton,"Water Street East Side, Philadelphia, Pennsylvania",2298,1
1198,Benjamin,Morgan,Philadelphia,Philadelphia County,PA,"Benjamin R., Esq. (Atty At Law) Morgan | Benjamin R Morgan","Water Street East Side, Philadelphia, Pennsylvania",2317,1
1199,Benjamin,Morgan,Philadelphia,Philadelphia County,PA,Benjn Morgan,"Water Street East Side, Philadelphia, Pennsylvania",2318,1
1200,Benjamin,Morgan,Philadelphia,Philadelphia County,PA,Benjn (Mert) Morgan | Benjn Morgan,"Water Street East Side, Philadelphia, Pennsylvania",2319,1
1201,John,Budd,Philadelphia,Philadelphia County,PA,John Boyd,"Southwark, Philadelphia, Pennsylvania",2320,0
1202,John,Budd,Philadelphia,Philadelphia County,PA,Jno (Rope Mar) Boyd | Jno Boyd,"Southwark, Philadelphia, Pennsylvania",2321,0
1211,John,Steinmety,Philadelphia,Philadelphia County,PA,John (Mercht) Steinmetz | John Steinmetz,"Water Street East Side, Philadelphia, Pennsylvania",2342,1
1216,William,Shippen,Philadelphia,Philadelphia County,PA,Doctor Doctr Wm (Phy. & Professor of Anatomy in Un. & Col.) Shippin | Doctor Wm Shippin | Doctor WmShippen,"Water Street East Side, Philadelphia, Pennsylvania",2349,1
1224,andrew,Boshart,Philadelphia,Philadelphia County,PA,Andrew Boshart,"Water Street East Side, Philadelphia, Pennsylvania",2362,1
1225,andrew,Boshart,Philadelphia,Philadelphia County,PA,Andrew Boshart Junior,"Water Street East Side, Philadelphia, Pennsylvania",2363,1
1226,John,Phillips,Philadelphia,Philadelphia County,PA,Jonas (Mercht) Phillips | Jonai Phillips,"Water Street East Side, Philadelphia, Pennsylvania",2366,0
1227,John,Phillips,Philadelphia,Philadelphia County,PA,John (Gent.) Philips | John Philips,"Water Street East Side, Philadelphia, Pennsylvania",2367,1
1228,John,Phillips,Philadelphia,Philadelphia County,PA,John (Ivory Turner) Philips | John Philips,"Water Street East Side, Philadelphia, Pennsylvania",2368,1
1229,John,Phillips,Philadelphia,Philadelphia County,PA,Jno (Taylor) Philips | Jno Philips,"Southwark, Philadelphia, Pennsylvania",2369,1
1239,David,Jackosn,Philadelphia,Philadelphia County,PA,David Jackson,"Northern Liberties, Philadelphia, Pennsylvania",2381,1
1240,David,Jackosn,Philadelphia,Philadelphia County,PA,David (Druggist) Jackson | David Jackson,"Water Street East Side, Philadelphia, Pennsylvania",2382,1
1300,Thoams,Leiper,Philadelphia,Philadelphia County,PA,Thos (Stevedore) Leiper | Thos Leiper,"Water Street East Side, Philadelphia, Pennsylvania",2498,1
1301,Thoams,Leiper,Philadelphia,Philadelphia County,PA,Thomas (Tobacconist & Snuff Maker) Leeper | Thomas Laper,"Water Street East Side, Philadelphia, Pennsylvania",2499,0
1302,Thomas,Leiper,Philadelphia,Philadelphia County,PA,Thos (Stevedore) Leiper | Thos Leiper,"Water Street East Side, Philadelphia, Pennsylvania",2498,1
1303,Thomas,Leiper,Philadelphia,Philadelphia County,PA,Thomas (Tobacconist & Snuff Maker) Leeper | Thomas Laper,"Water Street East Side, Philadelphia, Pennsylvania",2499,0
1313,James,Williams,North Scituate,Providence County,RI,James William,"Scituate, Providence, Rhode Island",2511,1
1316,Thomas,Mitchell,North Scituate,Providence County,RI,Thomas Mitchel,"Glocester, Providence, Rhode Island",2514,1
1362,Joanna,Cady,Plainfield,Windham County,CT,John Cady,"Brooklyne, Windham, Connecticut",2612,0
1363,Joanna,Cady,Plainfield,Windham County,CT,John Cady,"Thompson, Windham, Connecticut",2613,0
1367,John,Read,Somerset,Bristol County,MA,John Reed,"Dartmouth, Bristol, Massachusetts",2621,0
1368,John,Read,Somerset,Bristol County,MA,John Reed,"Freetown, Bristol, Massachusetts",2622,0
1369,John,Read,Somerset,Bristol County,MA,John Reed,"Taunton, Bristol, Massachusetts",2623,0
1375,Samuel,Wyatt,Rehoboth,Bristol County,MA,Samuel White,"Freetown, Bristol, Massachusetts",2634,0
1376,Samuel,Wyatt,Rehoboth,Bristol County,MA,Samuel White,"Mansfield, Bristol, Massachusetts",2635,0
1377,Samuel,Wyatt,Rehoboth,Bristol County,MA,Samuel White,"Raynham, Bristol, Massachusetts",2636,0
1395,Joanna,Jenckes,Providence,Providence County,RI,John Jenckes,"Smithfield, Providence, Rhode Island",2670,0
1396,Joanna,Jenckes,Providence,Providence County,RI,John Jenckes | John Jenckis,"Smithfield, Providence, Rhode Island",2671,0
1397,Joanna,Jenckes,Providence,Providence County,RI,John Jenkes | John Jenkis,"Cumberland, Providence, Rhode Island",2672,0
1399,Joanna,Jenkes,Providence,Providence County,RI,John Jenckes,"Smithfield, Providence, Rhode Island",2670,0
1400,Joanna,Jenkes,Providence,Providence County,RI,John Jenckes | John Jenckis,"Smithfield, Providence, Rhode Island",2671,0
1401,Joanna,Jenkes,Providence,Providence County,RI,John Jenkes | John Jenkis,"Cumberland, Providence, Rhode Island",2672,0
1406,Charles,Dyer,North Kingstown,Washington County,RI,Charles Dyre Junior,"North Kingston, Washington, Rhode Island",2711,1
1407,Charles,Dyer,North Kingstown,Washington County,RI,Collo Charles Dyre | Colls Charles Hyre,"North Kingston, Washington, Rhode Island",2712,1
1438,John,Mason,Swansea,Bristol County,MA,"John, 2d Mason II | John Manon II","Swanzey, Bristol, Massachusetts",2771,1
1457,Benjamin,Whipple,North Providence,Providence County,RI,Benajah Whipple,"Glocester, Providence, Rhode Island",2812,1
1463,Daniel,Read,Attleboro,Bristol County,MA,Daniel Reed,"Rehoboth, Bristol, Massachusetts",2819,1
1469,Benjamin,Hoxsie,Charlestown,Washington County,RI,Benjamin Hoxie,"Charleston, Washington, Rhode Island",2844,1
1470,Benjamin,Hoxsie,Charlestown,Washington County,RI,"Benjamin, Esqr Hoxie Esquire | Benjamin Hoxie Esquire","Charleston, Washington, Rhode Island",2845,1
1471,Benjamin,Hoxsie,Charlestown,Washington County,RI,Benjamin Hoxie,"Richmond, Washington, Rhode Island",2846,0
1496,Nathaniel,Medbury,North Scituate,Providence County,RI,Nathaniel Medberry,"Scituate, Providence, Rhode Island",2904,1
1497,Nathaniel,Medbury,North Scituate,Providence County,RI,Nathan Medbury,"Smithfield, Providence, Rhode Island",2905,0
1502,Ephraim,Browning,Charlestown,Washington County,RI,Epharim Browning,"South Kingston, Washington, Rhode Island",2917,1
1510,Isaac,Angell,North Providence,Providence County,RI,Isaac Angel,"Smithfield, Providence, Rhode Island",2933,0
1578,William,Washington,Charleston,Charleston County,SC,Willm Washington,"St Pauls, Charleston, South Carolina",3040,1
1588,Samuel,Miller,Charleston,Charleston County,SC,Saml Miller,"St Georges, Charleston, South Carolina",3072,1
1590,Daniel,Cannon,Charleston,Charleston County,SC,Dan Cannon,"St James Goose Creek, Charleston, South Carolina",3076,1
1592,George,Smith,Charleston,Charleston County,SC,Geo. (Esta) Smith | Geo Smith,"St James Goose Creek, Charleston, South Carolina",3079,1
1593,George,Smith,Charleston,Charleston County,SC,Geo Smith,"St James Goose Creek, Charleston, South Carolina",3080,1
1594,John,Vaughan,Philadelphia,Philadelphia County,PA,John Vaughn,"Water Street East Side, Philadelphia, Pennsylvania",3082,1
1595,John,Vaughan,Philadelphia,Philadelphia County,PA,John (Mert) Vaughn | John Vaughn,"Water Street East Side, Philadelphia, Pennsylvania",3083,1
1598,Thomas,Pinckney,Charleston,Charleston County,SC,Thos Pinckney,"St James Santee, Charleston, South Carolina",3093,1
1599,Thomas,Pinckney,Charleston,Charleston County,SC,Thos Pinkney,"St Bartholomes, Charleston, South Carolina",3094,1
1608,Thomas,Shubrick,Charleston,Charleston County,SC,Thos Shubrick | Thos Shadrick,"Christ Church, Charleston, South Carolina",3115,1
1609,Thomas,Shubrick,Charleston,Charleston County,SC,Thos Shubrick,"St Thomas, Charleston, South Carolina",3116,1
1617,Ann,Cordes,Johns Island,Charleston County,SC,John Cordes | John Corder,"St Phillips and St Michaels, Charleston, South Carolina",3140,1
1618,Ann,Cordes,Johns Island,Charleston County,SC,John Cords | John Goods,"St Stephens, Charleston, South Carolina",3141,1
1619,Ann,Cordes,Johns Island,Charleston County,SC,Mr Cord | On Indermaur,"St Stephens, Charleston, South Carolina",3142,1
1626,John,Owen,Charleston,Charleston County,SC,John Owans | John Ouam,"St Bartholomes, Charleston, South Carolina",3151,1
1627,John,Owen,Charleston,Charleston County,SC,John Owans,"St Johns, Charleston, South Carolina",3152,1
1631,Peter,Smith,Charleston,Charleston County,SC,Petter Smith,"St Bartholomes, Charleston, South Carolina",3157,1
1634,Charles Coteaworth,Pinckney,Charleston,Charleston County,SC,Charles Pinckney,"St Phillips and St Michaels, Charleston, South Carolina",3161,0
1635,Charles Coteaworth,Pinckney,Charleston,Charleston County,SC,Charles C Pinckney | Charles C Pinkney,"St Phillips and St Michaels, Charleston, South Carolina",3162,1
1636,Charles Coteaworth,Pinckney,Charleston,Charleston County,SC,Charles Pinkney,"St Bartholomes, Charleston, South Carolina",3163,0
1639,Isacc,Hazelehurst,Philadelphia,Philadelphia County,PA,Isaac Hazelhurst | Isaac Haselhurst,"Water Street East Side, Philadelphia, Pennsylvania",3166,1
1640,Isacc,Hazelehurst,Philadelphia,Philadelphia County,PA,"Isaac, & Co. (Mert.) Hazelhurst | Isaac Hardham","Water Street East Side, Philadelphia, Pennsylvania",3167,1
1641,William Hasell,Gibbes,Charleston,Charleston County,SC,William Gibbes| William Gibbs,"St Andrews, Charleston, South Carolina",3168,1
1642,William Hasell,Gibbes,Charleston,Charleston County,SC,William H Gibbs | William K Gibbs | William H Gibbes,"St Phillips and St Michaels, Charleston, South Carolina",3169,1
1656,Edward,Lightwood,Charleston,Charleston County,SC,Edwd Lightwood,"St Andrews, Charleston, South Carolina",3202,1
1663,Richard,Hutson,Charleston,Charleston County,SC,Richard Hudson,"St Phillips and St Michaels, Charleston, South Carolina",3212,1
1664,Richard,Hutson,Charleston,Charleston County,SC,Richd Hampton| Richard Hudson,"St Andrews, Charleston, South Carolina",3213,1
1665,Richard,Hutson,Charleston,Charleston County,SC,Richd Hutson,"St Andrews, Charleston, South Carolina",3214,1
1668,Paul,Pritchard,Charleston,Charleston County,SC,Paul Prichard | Paul Parland,"Christ Church, Charleston, South Carolina",3221,1
1670,Thomas,Jones,Charleston,Charleston County,SC,Thos Jones,"St James Santee, Charleston, South Carolina",3224,1
