,town,state,new_town,county,new_state,country,name_type
113,Portsmouth New Hampshire,NH,Portsmouth,Rockingham County,NH,US,town
114,Granby Massachusetts,MA,Granby,Hampshire County,MA,US,town
115,Long Island,NY,,,NY,US,state
116,Long Meadow Massachusetts,MA,Longmeadow,Hampden County,MA,US,town
117,State of New Hampshire,NH,,,NH,US,state
118,Waterbury,CT,Waterbury,New Haven County,CT,US,town
119,Norfolk,CT,Norfolk,Litchfield County,CT,US,town
120,Volentown,CT,Voluntown,New London County,CT,US,town
121,Ridgefield,CT,Ridgefield,Fairfield County,CT,US,town
122,Colchester,,Colchester,New London County,CT,US,town
123,Savannah,GA,Savannah,Chatham County,GA,US,town
124,,GA,,,GA,US,state
125,Charleston,SC,Charleston,Charleston County,SC,US,town
126,Philadelphia,PA,Philadelphia,Philadelphia County,PA,US,town
127,Maryland,MD,,,MD,US,state
128,Effingham County,GA,,Effingham County,GA,US,county
129,South Carolina,SC,,,SC,US,state
130,Charleston  South Carolina,SC,Charleston,Charleston County,SC,US,town
131,Augusta,GA,Augusta,Richmond County,GA,US,town
132,Charleston South Carolina,SC,Charleston,Charleston County,SC,US,town
133,Portsmouth Virginia,VA,Portsmouth,Norfolk County,VA,US,town
134,Carolina,SC,,,SC,US,state
135,Columbia County,GA,,Columbia County,GA,US,county
136,Baltimore,MD,Baltimore,Baltimore County,MD,US,town
137,Georgia,GA,,,GA,US,state
138,George Town,MD,Georgetown,Cecil County,MD,US,town
139,Prince Georges County,MD,,Prince Georges County,MD,US,county
140,Harford County,MD,,Harford County,MD,US,county
141,St Marys County,MD,,St Marys County,MD,US,county
142,Annapolis,MD,Annapolis,Anne Arundel County,MD,US,town
143,Frederick Town,MD,Frederick,Frederick County,MD,US,town
144,Virginia,VA,,,VA,US,state
145,Rotterdam,,,,,NL,country
146,Baltimore County,MD,,Baltimore County,MD,US,county
147,Anne Arundel County,MD,,Anne Arundel County,MD,US,county
148,Baltimore Town,MD,Baltimore,Baltimore County,MD,US,town
149,Frederick County,MD,,Frederick County,MD,US,county
150,Somerset County,MD,,Somerset County,MD,US,county
151,Bladensburg,MD,Bladensburg,Prince Georges County,MD,US,town
152,Caroline County,MD,,Caroline County,MD,US,county
153,Cambridge,MD,Cambridge,Dorchester County,MD,US,town
154,Virgina,VA,,,VA,US,state
155,Georges Town,MD,Georgetown,Cecil County,MD,US,town
156,,MD,,,MD,US,state
157,Washington County,MD,,Washington County,MD,US,county
158,Kent County,MD,,Kent County,MD,US,county
159,Charles County,MD,,Charles County,MD,US,county
160,Montgomery County,MD,,Montgomery County,MD,US,county
161,Calver County,MD,,Calvert County,MD,US,county
162,Queen Annes County,MD,,Queen Annes County,MD,US,county
163,Talbot County,MD,,Talbot County,MD,US,county
164,Calvert County,MD,,Calvert County,MD,US,county
165,Talbot,MD,,Talbot County,MD,US,county
166,Frederick,MD,Frederick,Frederick County,MD,US,town
167,Cecil County,MD,,Cecil County,MD,US,county
168,Dorchester County,MD,,Dorchester County,MD,US,county
169,Pennsylvania,PA,,,PA,US,state
170,Worcester County,MD,,Worcester County,MD,US,county
171,Alexandria State of Virginia,VA,Alexandria,Fairfax County,VA,US,town
172,George town,MD,Georgetown,Cecil County,MD,US,town
173,Allegany County,MD,,Allegany County,MD,US,county
174,Doden Maryland,MD,,Anne Arundel County,MD,US,county
175,Isaac,MD,,,MD,US,state
176,London,,,,,GB,country
177,Frederick County Maryland,MD,,Frederick County,MD,US,county
178,Edenton,NC,Edenton,Chowan County,NC,US,town
179,Wayne County,NC,,Wayne County,NC,US,county
180,,NC,,,NC,US,state
181,Richmond Virginia,VA,Richmond,Chesterfield County,VA,US,town
182,Newbern,NC,New Bern,Craven County,NC,US,town
183,Rowan County,NC,,Rowan County,NC,US,county
184,Warren County,NC,,Warren County,NC,US,county
185,Tarborugh,NC,Tarboro,Edgecombe County,NC,US,town
186,Murfrees Borough,NC,Murfreesboro,Hertford County,NC,US,town
187,Perquimans County,NC,,Perquimans County,NC,US,county
188,Mecklenburg County,NC,,Mecklenburg County,NC,US,county
189,Fayetteville,NC,Fayetteville,Cumberland County,NC,US,town
190,Wilmington,NC,,New Castle County,DE,US,county
191,Petersburg Virginia,VA,Petersburg,Grant County,VA,US,town
192,Edgecombe County,NC,,Edgecombe County,NC,US,county
193,Pitt County,NC,,Pitt County,NC,US,county
194,Salisbury,NC,Salisbury,Hillsborough County,NH,US,town
195,Halifax,NC,Halifax,Halifax County,NC,US,town
196,Montgomery County Maryland,MD,,Montgomery County,MD,US,county
197,Washington,NC,Washington,Beaufort County,NC,US,town
198,Halifax ,NC,Halifax,Halifax County,NC,US,town
199,Eustatia,BVI,,,,VI,country
200,North Carolina,NC,,,NC,US,state
201,Currituck County,NC,,Currituck County,NC,US,county
202,Hillsborough,NC,Hillsborough,Orange County,NC,US,town
203,Rockingham County,NC,,Rockingham County,NC,US,county
204,Exeter,NH,Exeter,Rockingham County,NH,US,town
205,Rockingham,NH,,Rockingham County,NH,US,county
206,Merrimac,NH,Merrimack,Hillsborough County,NH,US,town
207,Kittery,MA,Kittery,York County,MA,US,town
208,Deerfield,NH,Deerfield,Rockingham County,NH,US,town
209,Greenland,NH,Greenland,Rockingham County,NH,US,town
210,,NH,,,NH,US,state
211,Kingstown,NH,Kingston,Rockingham County,NH,US,town
212,Andover,MA,Andover,Essex County,MA,US,town
213,Kensington,NH,Kensington,Rockingham County,NH,US,town
214,Hampton,NH,Hampton,Rockingham County,NH,US,town
215,North Hampton,NH,North Hampton,Rockingham County,NH,US,town
216,Newbury,NH,Newbury,Hillsborough County,NH,US,town
217,Candia,NH,Candia,Rockingham County,NH,US,town
218,Salem,MA,Salem,Essex County,MA,US,town
219,Marbury,NH,Madbury,Strafford County,NH,US,town
220,London,NH,,,,GB,country
221,Newbury Port,MA,Newburyport,Essex County,MA,US,town
222,Salem,NH,Salem,Rockingham County,NH,US,town
223,Glouster,NH,Gloucester,Essex County,MA,US,town
224,Canterbury,NH,Canterbury,Rockingham County,NH,US,town
225,York,NH,York,York County,MA,US,town
226,New Castle,NH,New Castle,Rockingham County,NH,US,town
227,Wells,NH,Wells,York County,MA,US,town
228,Beverly,MA,Beverly,Essex County,MA,US,town
229,Sandwich,NH,Sandwich,Carroll County,NH,US,town
230,Pembroke,NH,Pembroke,Hillsborough County,NH,US,town
231,Gilmantown,NH,Gilmantown,Strafford County,NH,US,town
232,Pelham,NH,Pelham,Hillsborough County,NH,US,town
233,Situate,MA,Scituate,Plymouth County,MA,US,town
234,Concord,NH,Concord,Grafton County,NH,US,town
235,Ipswich,MA,Ipswich,Essex County,MA,US,town
236,Barrington,NH,Barrington,Strafford County,NH,US,town
237,Rowley,MA,Rowley,Essex County,MA,US,town
238,Newtown,NH,Newton,Rockingham County,NH,US,town
239,South Hampton,NH,South Hampton,Rockingham County,NH,US,town
240,Tamworth,NH,Tamworth,Carroll County,NH,US,town
241,Amherst,NH,Amherst,Hillsborough County,NH,US,town
242,Hopkinton,NH,Hopkinton,Hillsborough County,NH,US,town
243,Acworth,NH,Acworth,Sullivan County,NH,US,town
244,Somersworth,NH,Somersworth,Strafford County,NH,US,town
245,Haverhill,MA,Haverhill,Essex County,MA,US,town
246,Nottingham,NH,Nottingham,Rockingham County,NH,US,town
247,Charlestown,NH,Charlestown,Sullivan County,NH,US,town
248,Stoughton,MA,Stoughton,Norfolk County,MA,US,town
249,Wakefield,NH,Wakefield,Carroll County,NH,US,town
250,Londonberry,NH,Londonderry,Rockingham County,NH,US,town
251,Salisbury,NH,Salisbury,Hillsborough County,NH,US,town
252,Durham,NH,Durham,Strafford County,NH,US,town
253,Hollis,NH,Hollis,Hillsborough County,NH,US,town
254,Dover,NH,Dover,Strafford County,NH,US,town
255,Brintwood,NH,Brentwood,Rockingham County,NH,US,town
256,Roxbury,MA,Roxbury,Suffolk County,MA,US,town
257,Keene,NH,Keene,Cheshire County,NH,US,town
258,Rye,NH,Rye,Rockingham County,NH,US,town
259,Almsbury,MA,Amesbury,Essex County,MA,US,town
260,Lancaster,PA,Lancaster,Lancaster County,PA,US,town
261,Philadelphia County,PA,,Philadelphia County,PA,US,county
262,Bucks County Pennsylvania,PA,,Bucks County,PA,US,county
263,,PA,,,PA,US,state
264,Carlisle Pennsylvania,PA,Carlisle,Cumberland County,PA,US,town
265,Germantown,PA,New Germantown,Perry County,PA,US,town
266,Franklin County,PA,,Franklin County,PA,US,county
267,New Castle Delaware,DE,,New Castle County,DE,US,county
268,Reading,PA,Reading,Berks County,PA,US,town
269,Bethlehem,PA,Bethlehem,Northampton County,PA,US,town
270,New Jersey,NJ,,,NJ,US,state
271,Barbadoes,,,,,BB,country
272,Sta Croix,,,,,VI,country
273,Westmoreland,PA,Westmoreland City,Westmoreland County,PA,US,town
274,Blockley,PA,Philadelphia,Philadelphia County,PA,US,town
275,Alexandria Virginia,VA,Alexandria,Fairfax County,VA,US,town
276,Montgomery,PA,Montgomery,Lycoming County,PA,US,town
277,W Callisters Town,PA,,,PA,US,state
278,Huntington New Jersey,NJ,Huntington,Hunterdon County,NJ,US,town
279,Cumberland,PA,,Cumberland County,PA,US,county
280,Delaware,PA,,,DE,US,state
281,State of Delaware,DE,,,DE,US,state
282,Cambridge Massachusetts,MA,Cambridge,Middlesex County,MA,US,town
283,Massachusetts,MA,,,MA,US,state
284,Reading Pennsylvania,PA,Reading,Berks County,PA,US,town
285,Tulpehocken,PA,Tulpehocken,Berks County,PA,US,town
286,,VA,,,VA,US,state
287,Chester County,PA,,Chester County,PA,US,county
288,Connecticutt,CT,,,CT,US,state
289,Armstrong,PA,Armstrong,Lycoming County,PA,US,town
290,Bucks County,PA,,Bucks County,PA,US,county
291,Reading Berks County,PA,Reading,Berks County,PA,US,town
292,County of Philadelphia,PA,,Philadelphia County,PA,US,county
