,Search Names,Search Name,Original Names,Original Occupations,# debtholders,count,6p_Total,6p_def_Total,3p_Total,Location,Family Size,Slavecount,Match Status,Match Reason,url,origin
234,"['Thomas Stockwell', 'Thomas Noble Stockett']",Thomas Noble Stockett,"['Thomas Noble Stockett', 'Thomas Noble Stockell']",[],2,1,113.0,57.0,36.0, Maryland,,,Match,Only Location Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Thomas+Noble_Stockett&name_x=s_s&residence=_maryland-usa_23&residence_x=1-0_1-0,Aggregated CD debt files
151,"['John Erskine', 'John Enshine']",John Enshine,"['John Erskine', 'John Enshine']",[],2,1,111.0,55.0,55.0,"Talbot, Maryland",,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Enshine&name_x=ps_ps&residence=_talbot-maryland-usa_2849&residence_x=1-0_1-0,Aggregated CD debt files
58,"['Conrad Vanwagenen', 'Conrod Wegner']",Conrad Vanwagenen,"['Conrad Van Wagener', 'Conrad VanWagenen']",[],2,1,109.0,104.0,123.0,Pennsylvania,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Conrad_Vanwagenen&name_x=ps_ps&residence=_pennsylvania-usa_41&residence_x=1-0_1-0,Aggregated CD debt files
229,"['Solomon Smith', 'Solomon Marks']",Solomon Marks,"['Solomon Smith', 'Solomon Marks']",['Broker'],2,1,109.0,54.0,0.0,"Westmoreland, Pennsylvania",,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Solomon_Marks&name_x=ps_ps&residence=_westmoreland-pennsylvania-usa_3123&residence_x=1-0_1-0,Aggregated CD debt files
118,"['Jacob Gombar', 'Laurence Bringle']",Laurence Bringle,"['Lawrence Brangle and Jacob Gombar', 'Lawrance Brangle and Jacob Gombare', 'Lawrence Brangle and Jacob Gombare']",[],2,1,108.0,103.0,55.0,"Frederick, Maryland",13,4.0,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Lawrence_Brangle&name_x=ps_ps&residence=_frederick-maryland-usa_1081&residence_x=1-0_1-0,Aggregated CD debt files
208,"['Thriphma Steer', 'Mrs Mrs Trifina Steer']",Thriphma Steer,"['Tryphena Steer', 'Thriphma Steer']",['Widow'],2,1,105.0,102.0,86.0,"Gloucester, Providence, Rhode Island",,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Thriphma_Steer&name_x=ps_ps&residence=_providence-rhode+island-usa_2441&residence_x=1-0_1-1,Aggregated CD debt files
50,"['Chisrtopher Weiser', 'Christr Wieser']",Chisrtopher Weiser,"['Christopher Weiser', 'Chisrtopher Weiser']",[],2,1,105.0,53.0,0.0,"Northumberland, Pennsylvania",,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Chisrtopher_Weiser&name_x=ps_ps&residence=_northumberland-pennsylvania-usa_2193&residence_x=1-0_1-0,Aggregated CD debt files
157,"['John Mawney', 'John Warner']",John Warner,"['John Mawney Transferred from the Register', 'Matthew Watson from the office of William Imlay Connecticut', 'Sarah Ward transferred from the Register of the Treasury', 'John Warner']",[],2,1,102.0,41.0,0.0,Rhode Island,,,No Match,Too Many Potential Matches Found (4),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Warner&name_x=1_1&residence=_Rhode Island-usa_42&residence_x=1-0_1-0,Aggregated CD debt files
126,"['James Bell', 'William Martin']",William Martin,"['James Bell', 'William Martin']",[],2,1,99.0,50.0,1082.0,"Allegheny, Pennsylvania",,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=William_Martin&name_x=ps_ps&residence=_allegheny-pennsylvania-usa_146&residence_x=1-0_1-0,Aggregated CD debt files
200,"['Michael Bull', 'Thomas Bull']",Michael Bull,['Michael and Thomas Bull'],['Trader'],3,1,99.0,100.0,75.0,"Hartford, Hartford, Connecticut",,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Michael_Bull&name_x=ps_ps&residence=_hartford-hartford-connecticut-usa_999&residence_x=1-0_1-1,Aggregated CD debt files
