,Search Names,Search Name,Original Names,Original Occupations,# debtholders,count,6p_Total,6p_def_Total,3p_Total,Location,Family Size,Slavecount,Match Status,Match Reason,url,origin
96,"['Gustavus Austin', 'Isaac Bronson']",Gustavus Austin,"['Gustavus Austin', 'Isaac Bronson']",[],2,1,26.0,63.0,885.0,"Suffield, Hartford, Connecticut",,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Gustavus_Austin&name_x=ps_ps&residence=_suffield-hartford-connecticut-usa_2521&residence_x=1-0_1-1,Aggregated CD debt files
248,"['William Wheater', 'William Wheaton']",William Wheater,"['William Wheater', 'William Wheaten']",['Esquire'],2,1,5.0,52.0,149.0,"Providence, Providence, Rhode Island",,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=William_Wheater&name_x=ps_ps&residence=_providence-providence-rhode+island-usa_5531&residence_x=1-0_1-1,Aggregated CD debt files
24,"['James Greenleaf', 'James Watson']",James Greenleaf,['Watson and Greenleaf'],,2,17,0.0,0.0,147636.0,,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=James_Greenleaf&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,NY debt file
31,"['Leonard Bleecker', 'Samuel Marsh']",Samuel Marsh,"['Leonard Bleecker', 'Samuel March']",,2,16,0.0,0.0,79719.0,"Whites, Montgomery, New York",6.0,0.0,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Samuel_March&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,NY debt file
17,"['Herman LeRoy', 'William Bayard']",Herman LeRoy,['Le Roy and Bayard'],,2,14,0.0,0.0,67012.0,,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Herman_LeRoy&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,NY debt file
0,"['H and S Johnson ', 'William I Johnston']",H and S Johnson ',['H and S Johnson and Co'],,2,32,0.0,0.0,59338.0,,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=H and S Johnson_'&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,NY debt file
7,"['Charles John Michael De Wolf', 'Henry van der Borcht']",Charles John Michael De Wolf,['Charles and Vanderborcht and DeWolf'],,2,1,0.0,0.0,11700.0,,,,No Match,Too Many Potential Matches Found (7),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Charles John Michael De_Wolf&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,NY debt file
12,"['George Morewood', 'Edmund Moorewood']",George Morewood,['George and Edm Morewood'],,2,3,0.0,0.0,10039.0,,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=George_Morewood&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,NY debt file
22,"['James Constable', 'William Constable']",James Constable,"['William and James Constable', 'William Constable']",,2,2,0.0,0.0,8907.0,,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=James_Constable&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,NY debt file
3,"['Alexander Mowatt', 'John Mowatt']",Alexander Mowatt,"['John and Alexander Mowatt', 'John Mowatt']",,2,5,0.0,0.0,6419.0,,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Alexander_Mowatt&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,NY debt file
23,"['John Davenport', 'James Davenport']",John Davenport,['John and James Davenport'],,2,4,0.0,0.0,5701.0,,,,No Match,Too Many Potential Matches Found (4),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Davenport&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,NY debt file
14,"['Guilian Crommelin', 'Robert Daniel']",Robert Daniel,['Robert Daniel and Guilian Crommelin'],,2,1,0.0,0.0,3213.0,,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Robert_Daniel&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,NY debt file
11,"['Dominick Lynch', 'Thomas Stoughton']",Dominick Lynch,"['Dominick Lynch', 'Lynch and Stoughton']",,2,1,0.0,0.0,2792.0,"New York City West Ward, New York, New York",15.0,0.0,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Dominick_Lynch&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,NY debt file
9,"['J Shaw', 'Charles Shaw']",J Shaw,"['Charles and J Shaw', 'Charles Shaw']",,2,1,0.0,0.0,2733.0,,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=J_Shaw&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,NY debt file
30,"['John Pintard', 'Leonard Bleecker']",John Pintard,"['Pintard and Bleecker', 'Leonard Bleecker']",,2,3,0.0,0.0,1855.0,"New York City East Ward, New York, New York",9.0,0.0,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Pintard&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,NY debt file
33,"['Michael Bull', 'Thomas Bull']",Michael Bull,['Michael and Thomas Bull'],,2,1,0.0,0.0,1001.0,,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Michael_Bull&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,NY debt file
15,"['Henry Truax', 'Isaac Truax']",Isaac Truax,['Isaac and Henry Truax'],,2,4,0.0,0.0,884.0, Albany,,,Match,Only Location Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Isaac_Truax&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,NY debt file
6,"['Catherine Dow', 'Rachel Dow']",Catherine Dow,['Catherine and Rachel Dow'],,2,2,0.0,0.0,612.0, Albany,,,Match,Only Location Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Catherine_Dow&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,NY debt file
106,"['Seth Johnson', 'Horace Johnson']",Horace Johnson,['Horace and Seth Johnson and Co'],[],2,1,0.0,0.0,532.0,Connecticut,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Horace_Johnson&name_x=ps_ps&residence=_connecticut-usa_9&residence_x=1-0_1-0,Aggregated CD debt files
4,"['Alexander Mowatt', 'Michael Mowatt']",Michael Mowatt,"['John and Alexander Mowatt', 'Alexander and Michael Mowatt']",,2,1,0.0,0.0,511.0,,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Michael_Mowatt&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,NY debt file
1,"['James Cole', 'Abraham Cole']",James Cole,['Abraham and James Cole'],,2,1,0.0,0.0,360.0,,,,No Match,Too Many Potential Matches Found (2),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=James_Cole&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,NY debt file
18,"['Horace Johnston', 'Seth Johnston']",Seth Johnston,['Horace and Seth Johnston'],,2,1,0.0,0.0,338.0,,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Seth_Johnston&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,NY debt file
10,"['E Marsh', 'Daniel Marsh']",E Marsh,['Daniel and E Marsh'],,2,1,0.0,0.0,202.0,,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=E_Marsh&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,NY debt file
2,"['Abraham Paine', 'Michael Van Peene']",Michael Van Peene,['Michael and Abraham Van Peene'],,2,1,0.0,0.0,180.0,,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Michael Van_Peene&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,NY debt file
5,"['Francis Wainright', 'Andrew Caldwell']",Andrew Caldwell,['Wainwright and Caldwell'],,2,1,0.0,0.0,178.0,,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Andrew_Caldwell&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,NY debt file
140,"['William Patterson', 'James Pattison']",James Pattison,"['William Patterson', 'James Pattison']",[],3,1,0.0,167.0,176.0,"Baltimore, Baltimore, Maryland",,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=James_Pattison&name_x=ps_ps&residence=_baltimore-maryland-usa_223&residence_x=1-0_1-1,Aggregated CD debt files
199,"['Michael Bull', 'Thomas Bull']",Thomas Bull,['Michael and Thomas Bull'],[],3,1,0.0,0.0,91.0,Connecticut,,,No Match,Too Many Potential Matches Found (2),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Thomas_Bull&name_x=1_1&residence=_Connecticut-usa_9&residence_x=1-0_1-0,Aggregated CD debt files
114,"['James Bursill', 'Ja Manning']",Ja Manning,"['Rev Ja Manning No 10315', 'Warrant for transferring into the books of this office from the Register of the Treasury Viz', 'No 11723 in Favor of James Bursill Jun from Register of Treasury']",[],2,1,0.0,5.0,70.0,Rhode Island,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Ja_Manning&name_x=ps_ps&residence=_rhode+island-usa_42&residence_x=1-0_1-0,Aggregated CD debt files
60,"['Daniel Bordman', 'Elijah Boardman']",Elijah Boardman,['Daniel and Elijah Boardman'],[],3,1,0.0,0.0,64.0,"Wethersfield, Hartford, Connecticut",6,0.0,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Elijah_Boardman&name_x=1_1&residence=_Connecticut-usa_9&residence_x=1-0_1-0,Aggregated CD debt files
141,"['Richd Potter', 'James Potter']",James Potter,['Richard and James Potter'],[],2,1,0.0,0.0,11.0,Pennsylvania,,,No Match,Too Many Potential Matches Found (8),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=James_Potter&name_x=1_1&residence=_Pennsylvania-usa_41&residence_x=1-0_1-0,Aggregated CD debt files
41,"['Charles Crawley', 'George Cross']",George Cross,['Cross and Crowly'],['Merchant'],2,1,0.0,116.0,0.0,"St Phillips and St Michaels, Charleston, South Carolina",8,4.0,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=William+George_Cross&name_x=s_s&residence=_charleston-charleston-south+carolina-usa_21847&residence_x=1-0_1-1,Aggregated CD debt files
