,Delegates,Loan Matches,Scores,state
1995,John Taylor Gilman,John Taylor Gilman,100.0,NH
3850,John Thomas,John Laird and Thomas Dick nan,85.5,MD
3179,John Thomas,John P Thomas,95.0,VA
2954,John Thomas,John Thomas,100.0,CT
3839,John Thomas,John Thomas,100.0,MD
4040,John Thomas,John and Thomas Gilliart,85.5,VA
4038,John Thomas,John and Thomas Gilliat,85.5,VA
3846,John Thomas,Samuel John and Thomas Snowden nan,85.5,MD
7486,John Thompson,John H Thompson,95.0,NY
3338,John Thompson,John Thompson,100.0,CT
1790,John Thompson,John Thompson,100.0,NH
4902,John Thompson,John Thompson,100.0,PA
3606,John Thompson,John Thompson,100.0,VA
4490,John Thompson,John Thompson Mason,95.0,MD
297,John Treadwell,John Treadwell,100.0,CT
969,"John Tyler, Sr.",John Tyler,95.0,CT
4580,John Wallace,John Wallace,100.0,VA
290,John Watson,John Watson,100.0,CT
2769,John Williams,John  Williams ,96.29629629629629,NY
1367,John Williams,John Williams,100.0,CT
1569,John Williams,John Williams,100.0,MD
2591,John Williams,John Williams,100.0,NY
1321,John Wilson,John Willson,95.65217391304348,CT
908,John Wilson,John Wilson,100.0,SC
1289,John Wilson,John Wilson,100.0,VA
1728,John Wood,John Wood,100.0,CT
4209,Jonathan Clark,Jonathan Clark,100.0,VA
189,Jonathan Dayton,Jonathan  Dayton ,96.7741935483871,NY
188,Jonathan Dayton,Jonathan Dayton,100.0,NY
2163,Jonathan Roberts,Jonathan of Robert Pinkney nan,85.5,MD
3457,Jonathan Smith,Jonathan B Smith,95.0,PA
3456,Jonathan Smith,Jonathan Smith,100.0,PA
1326,Jonathan Smith,Jonathan Smith,100.0,RI
315,Jonathan Sturges,Jonathan Sturges,100.0,CT
755,Jonathan Sturges,Jonathan Sturges,100.0,NY
2182,Joseph Badger,Joseph Badger,100.0,NH
101,Joseph Barker,Joseph Barker,100.0,RI
4465,Joseph Brown,Joseph Brown,100.0,PA
2657,Joseph Heister,Joseph Heister,100.0,PA
2571,Joseph Horsefield,Joseph Horsfield,96.96969696969697,PA
1178,Joseph Jones,Joseph Jones,100.0,VA
3593,Joseph Leech,Joseph Leech,100.0,CT
2053,Joseph Martin,Joseph Martin,100.0,RI
347,Joseph Mosely,Joseph Moseley,96.29629629629629,CT
286,Joseph Moss White,Joseph White,95.0,CT
2224,Joseph Palmer,Joseph Palmer,100.0,CT
433,Joseph Wilkinson,Joseph Wilkinson,100.0,RI
4362,Joseph Wood,Joseph Wood,100.0,NY
359,Joseph Woodbridge,Joseph Woodbridge,100.0,CT
2042,Josiah Bartlett,Josiah Bartlett,100.0,NH
1486,Josiah Smith,Josiah Smith,100.0,RI
1647,Josiah Smith,Josiah Smith,100.0,SC
2334,Josiah Smith,Josiah Smith,100.0,VA
3148,King William,William King,95.0,CT
1487,Levin Powell,Levin Powell,100.0,VA
1204,Lewis Morris,Lewis Morris,100.0,SC
79,Luther Martin,Luther Martin,100.0,MD
91,Luther Martin,Luther Martin,100.0,RI
2129,Manchester Isaac,Isaac Manchester,95.0,RI
3070,Matthew Adgate,Matthew Adgate,100.0,NY
248,Matthew Griswold,Matthew Griswold,100.0,CT
1870,Matthew Lock,Mathew Lock,95.65217391304348,NC
1174,Matthew Patterson,Matthew Paterson,96.96969696969697,NY
2006,Matthias Hutchinson,Mathias Hutchinson,97.29729729729729,SC
3183,Melancton Smith,Melancton Smith,100.0,NY
950,Miles King,Miles King,100.0,VA
513,Moses Cleveland,Moses Cleveland,100.0,CT
948,Moses Rawlings,Moses Rawlings,100.0,MD
538,Nathan Hale,Nathan Hale,100.0,CT
1461,Nathaniel Burwell,Nathaniel Burwell,100.0,VA
4766,Nathaniel Leonard,Nathaniel Leonard,100.0,NY
3234,Nathaniel Leonard,Nathaniel Leonard,100.0,PA
1128,Nathaniel Russell,Nathaniel Russell,100.0,
1767,Nathaniel Russell,Nathaniel Russell,100.0,RI
1965,Nathaniel Russell,Nathaniel Russell,100.0,SC
340,Nicholas Carroll,Nicholas Carroll,100.0,MD
46,Nicholas Gilman,Nicholas Gilman,100.0,NH
3426,Nicholas Low,Nicholas  Low,96.0,NY
1909,Nicholas Low,Nicholas Low,100.0,MD
3425,Nicholas Low,Nicholas Low,100.0,NY
1821,Nicholas Low,Nicholas Low,100.0,SC
3280,Nicholas Low,Nicholas Low and H and S Johnson and Co,90.0,NY
42,Oliver Ellsworth,Oliver Ellsworth,100.0,CT
196,Oliver Elsworth,Oliver Ellsworth,96.7741935483871,CT
535,Oliver Wolcott,Oliver Wolcott,100.0,CT
1067,Parke Goodall,Parke Goodall,100.0,VA
1149,Paul Carrington,Paul Carrington,100.0,VA
2007,Peter Smith,Peter Smith,100.0,SC
2422,Philemon Hawkins,Philemon Hawkins ( Son of John Jun),90.0,NC
2423,Philemon Hawkins,Philemon Hawkins ( Son of Philemon Jun),90.0,NC
1938,Philemon Hawkins,Philemon Hawkins (son of Philemon),90.0,NC
3435,Philip Livingston,Philip H Livingston,95.0,NY
3615,Philip Livingston,Philip Livingston,100.0,NY
2101,Potter Samuel J,Samuel Potter,95.0,RI
1989,Ralph Izard,Ralph Izard,100.0,SC
766,Richard Downing,Richard Downing  Jennings,90.0,NC
3285,Richard Harison,Richard Harrison,96.7741935483871,NY
1986,Richard Hutson,Richard Hutson,100.0,SC
378,Richard Law,Richard Law,100.0,CT
932,Richard Potts,Richard Potts,100.0,MD
443,Richard Smith,Richard Smith,100.0,NY
92,Richard Smith,Richard Smith,100.0,RI
137,Richard Smith,Richard Smith,100.0,VA
952,Richard Thomas,Richard Thomas,100.0,MD
917,Robert Alexander,Alexander M  Robert,95.0,VA
1462,Robert Andrews,Robert Andrews,100.0,VA
3251,Robert Barnwell,Robert Barnwell,100.0,SC
5791,Robert Daniel,Robert Daniel and  Guilian Crommelin,90.0,NY
5111,Robert Montgomery,Robert Montgomery,100.0,PA
241,Robert Morris,Robert Morris,100.0,PA
152,Robert Morris,Robert Morris,100.0,SC
180,Robert Morris,Robert Morris,100.0,VA
4480,Robert Patton,Robert Patton,100.0,PA
4162,Robert Patton,Robert Patton,100.0,VA
3410,Robert R. Livingston,Robert Livingston,95.0,NY
3409,Robert R. Livingston,Robert R Livingston,97.43589743589743,NY
3219,Robert Rutherford,Robert Rutherford,100.0,VA
2647,Robert Whitehill,Robert Whitehill,100.0,PA
1403,Robert Williams,Robert Williams,100.0,SC
362,Roger Newberry,Roger Newberry,100.0,CT
41,Roger Sherman,Roger Sherman,100.0,CT
46,Roger Sherman,Roger Sherman ,100.0,NY
157,Rufus King,Rufus King,100.0,NY
1197,Samuel  Richardson,Samuel Richardson,97.14285714285714,VA
1987,Samuel Adams,Samuel Adams III,95.0,CT
2520,Samuel Ashmead,Samuel Ashmead,100.0,PA
763,Samuel Beach,Samuel Beach,100.0,NY
305,Samuel Canfield,Samuel Canfield,100.0,CT
588,Samuel Carver,Samuel Carver,100.0,CT
1428,Samuel Eddy,Samuel Eddy,100.0,RI
559,Samuel H. Parsons,Samuel Parsons,95.0,SC
81,Samuel Hay,Samuel Hay,100.0,NY
35,Samuel Hay,Samuel Hay,100.0,PA
1215,"Samuel Hopkins, Jun.",Samuel Hopkins,95.0,CT
1230,"Samuel Hopkins, Jun.",Samuel Hopkins,95.0,VA
