,Delegates,Loan Matches,Scores,state
1816,William Jones,William Jones,100.0,SC
275,William Judd,William Judd,100.0,CT
3752,William King,William King,100.0,CT
5291,William Martin,William Martin,100.0,PA
8038,William Martin,William Martine,96.55172413793103,NY
758,William Mason,William Mason,100.0,SC
1106,William Mason,William Matson,96.29629629629629,CT
1345,William McKee,William McKee,100.0,VA
50,William Moore,William Moore,100.0,MD
776,William Morris,William Morris,100.0,CT
927,William Morris,William Morris,100.0,VA
1629,William Morris,William W Morris,95.0,NY
813,William Morris,William W Morris,95.0,SC
3867,William N. Hill,William Hill,95.0,CT
398,William Noyes,William Noyes,100.0,CT
106,William Paterson,William Patterson,96.96969696969697,MD
171,William Paterson,William Patterson,96.96969696969697,PA
166,William Paterson,William Patterson,96.96969696969697,VA
205,William Patterson,William Patterson,100.0,MD
303,William Patterson,William Patterson,100.0,PA
278,William Patterson,William Patterson,100.0,VA
1703,William Peachy,William Peachy,100.0,VA
1989,William Phillips,William Phillips,100.0,CT
5522,William Porter,William Porter,100.0,PA
4031,William Porter,William Porter,100.0,VA
214,William R. Davie,William Davies,86.66666666666667,VA
1974,William Read,William Read,100.0,SC
868,William Richardson,William Richardson,100.0,MD
894,William Richardson,William Richardson,100.0,VA
5397,William Richardson Davie,William Davies,85.5,VA
5247,William Richardson Davie,William Richardson,95.0,MD
5368,William Richardson Davie,William Richardson,95.0,VA
4629,William Robinson,William J Robinson,95.0,SC
4110,William Robinson,William Robinson,100.0,CT
5000,William Robinson,William Robinson,100.0,MD
5176,William Robinson,William Robinson,100.0,VA
8936,William Robinson,Williiam J Robinson,91.42857142857143,NY
3761,William Robison,William J Robinson,90.9090909090909,SC
3369,William Robison,William Robinson,96.7741935483871,CT
4043,William Robison,William Robinson,96.7741935483871,MD
4202,William Robison,William Robinson,96.7741935483871,VA
7226,William Robison,Williiam J Robinson,88.23529411764706,NY
0,William Samuel Johnson,William Johnson,95.0,NY
0,William Samuel Johnson,William Johnson,95.0,SC
1991,William Scott,William Scott,100.0,SC
5012,William Simpson,Jonathan and William Simpson,90.0,SC
3367,William Smith,William  Smith,96.29629629629629,MD
1643,William Smith,William S Smith,95.0,NC
6012,William Smith,William S Smith,95.0,NY
2631,William Smith,William Smith,100.0,CT
1318,William Smith,William Smith,100.0,MD
1642,William Smith,William Smith,100.0,NC
6011,William Smith,William Smith,100.0,NY
3796,William Smith,William Smith,100.0,PA
3127,William Smith,William Smith,100.0,SC
3535,William Smith,William Smith,100.0,VA
3128,William Smith,William Smith Stevens,90.0,SC
